seed,b_index,step,n_alive,n_freeze_win
5,13,130000,59,7
5,14,140000,52,7
5,15,150000,49,6
5,16,160000,48,5
5,17,170000,50,3
5,18,180000,43,1
5,19,190000,53,8
5,20,200000,45,9
5,21,210000,39,7
5,22,220000,30,4
5,23,230000,32,4
5,24,240000,24,3
5,25,250000,26,6
5,26,260000,21,4
5,27,270000,21,7
5,28,280000,16,1
5,29,290000,23,9
5,30,300000,16,1
5,31,310000,17,0
5,32,320000,20,5
5,33,330000,15,1
5,34,340000,12,1
5,35,350000,12,0
5,36,360000,13,3
5,37,370000,16,1
5,38,380000,18,3
5,39,390000,17,0
5,40,400000,17,2
5,41,410000,20,0
5,42,420000,15,2
5,43,430000,18,1
5,44,440000,20,5
5,45,450000,21,7
5,46,460000,18,6
5,47,470000,13,4
5,48,480000,9,3
5,49,490000,6,0
5,50,500000,8,0
5,51,510000,8,0
5,52,520000,6,1
5,53,530000,6,1
5,54,540000,7,0
5,55,550000,6,1
5,56,560000,8,2
5,57,570000,5,0
5,58,580000,6,1
5,59,590000,10,1
5,60,600000,15,2
5,61,610000,18,3
5,62,620000,17,1
5,63,630000,13,0
5,64,640000,13,0
5,65,650000,24,8
5,66,660000,18,7
5,67,670000,11,3
5,68,680000,7,0
5,69,690000,13,2
5,70,700000,8,0
5,71,710000,11,0
5,72,720000,15,3
5,73,730000,13,3
5,74,740000,11,2
5,75,750000,11,1
5,76,760000,8,2
5,77,770000,7,0
5,78,780000,5,0
5,79,790000,9,1
5,80,800000,17,4
5,81,810000,13,3
5,82,820000,8,0
5,83,830000,13,5
5,84,840000,8,1
5,85,850000,7,0
5,86,860000,9,0
5,87,870000,9,1
5,88,880000,18,2
5,89,890000,13,0
5,90,900000,13,4
5,91,910000,9,1
5,92,920000,14,4
5,93,930000,9,1
5,94,940000,8,0
5,95,950000,9,2
5,96,960000,19,1
5,97,970000,15,0
5,98,980000,19,0
5,99,990000,15,3
6,1,10000,76,5
6,2,20000,69,15
6,3,30000,41,5
6,4,40000,32,7
6,5,50000,26,6
6,6,60000,26,14
6,7,70000,19,6
6,8,80000,19,2
6,9,90000,18,4
6,10,100000,13,3
6,11,110000,13,3
6,12,120000,9,1
6,13,130000,18,6
6,14,140000,14,7
6,15,150000,14,2
6,16,160000,11,1
6,17,170000,11,2
6,18,180000,17,6
6,19,190000,19,7
6,20,200000,17,0
6,21,210000,17,4
6,22,220000,14,5
6,23,230000,11,1
6,24,240000,10,2
6,25,250000,15,5
6,26,260000,8,1
6,27,270000,10,2
6,28,280000,20,3
6,29,290000,9,2
6,30,300000,18,8
6,31,310000,16,3
6,32,320000,15,2
6,33,330000,13,0
6,34,340000,12,1
6,35,350000,20,3
6,36,360000,24,11
6,37,370000,13,2
6,38,380000,10,1
6,39,390000,11,1
6,40,400000,8,0
6,41,410000,11,4
6,42,420000,10,3
6,43,430000,6,0
6,44,440000,4,0
6,45,450000,4,0
6,46,460000,3,0
6,47,470000,4,0
6,48,480000,3,0
6,49,490000,9,0
6,50,500000,19,4
6,51,510000,11,1
6,52,520000,15,2
6,53,530000,17,3
6,54,540000,11,1
6,55,550000,11,1
6,56,560000,14,4
6,57,570000,7,3
6,58,580000,5,0
6,59,590000,4,0
6,60,600000,3,0
6,61,610000,5,1
6,62,620000,6,2
6,63,630000,8,2
6,64,640000,5,0
6,65,650000,9,2
6,66,660000,5,0
6,67,670000,7,2
6,68,680000,5,0
6,69,690000,11,3
6,70,700000,8,2
6,71,710000,7,0
6,72,720000,7,0
6,73,730000,8,2
6,74,740000,6,1
6,75,750000,4,0
6,76,760000,5,0
6,77,770000,5,1
6,78,780000,3,0
6,79,790000,4,0
6,80,800000,4,0
6,81,810000,3,0
6,82,820000,2,0
6,83,830000,4,0
6,84,840000,3,1
6,85,850000,4,0
6,86,860000,4,1
6,87,870000,3,1
