arm,seed,window,t1_online,t1_memo,T_A,tasks,diverged
LE_md7500,7,0.099628333333,0.88274375,1.0,2,50,False
LE_md7500,8,0.09997145833200001,0.8721291667,1.0,3,50,False
LE_md7500,9,0.100456145823,0.8811333333,0.7200000286,3,50,False
LL_sw750,0,0.77165833333,0.8487395833,0.9750000238,0,50,False
LL_sw750,1,0.7779623958350002,0.8559520833,1.0,0,50,False
LL_sw750,2,0.774671354165,0.8361229167,1.0,0,50,False
LL_sw750,3,0.7644831249899999,0.836825,1.0,0,50,False
LL_sw750,4,0.763280833325,0.8373479167,1.0,0,50,False
LL_sw750,5,0.7651008333350001,0.8429333333,1.0,0,50,False
LL_sw750,6,0.7777887499899999,0.8521416667,1.0,0,50,False
LL_sw750,7,0.7657823958350001,0.8376229167,1.0,0,50,False
LL_sw750,8,0.77230572916,0.8396458333,1.0,0,50,False
LL_sw750,9,0.7685019791700001,0.8517604167,1.0,0,50,False
LL_md750,0,0.73241583333,0.8745875,1.0,0,50,False
LL_md750,1,0.734256250005,0.86859375,1.0,0,50,False
LL_md750,2,0.7250739583350001,0.856125,1.0,0,50,False
LL_md750,3,0.7284577083350001,0.86183125,1.0,0,50,False
LL_md750,4,0.731345625005,0.8470270833,1.0,0,50,False
LL_md750,5,0.7286414583449999,0.8605854167,1.0,0,50,False
LL_md750,6,0.733147604175,0.865075,1.0,0,50,False
LL_md750,7,0.7255102083349999,0.87293125,1.0,0,50,False
LL_md750,8,0.727342187495,0.8571541667,1.0,0,50,False
LL_md750,9,0.72693322917,0.866825,1.0,0,50,False
