arm,cond,seed,slot,lr,task,hard,n_classes,online_acc,train_acc,test_acc,acc,dead_frac_l1,zeroout_l1,zbar_l1,zsd_l1,zbar_min_l1,mob_l1,eff_rank_l1,dead_frac_l2,zeroout_l2,zbar_l2,zsd_l2,zbar_min_l2,mob_l2,eff_rank_l2,w_norm_l1,w_norm_l2,w_norm_l3,alpha_med_l1,alpha_min_l1,alpha_max_l1,alpha_clip_frac_l1,two_alpha_W_med_l1,alpha_med_l2,alpha_min_l2,alpha_max_l2,alpha_clip_frac_l2,two_alpha_W_med_l2
KKT1,std,0,0,0.0001,11,1,5,0.6653846154,0.7915999889,0.6480000019,0.7915999889,0,0,-0.8229962587,5.67300415,-5.517630577,0.9008238316,45.49371245,0,0,-2.094758987,4.531898499,-10.08222771,0.7449400425,45.753628,0.8866783381,0.6179834604,0.7436843514,0.1073578373,0.0297079999,0.3314593434,0,1.200000048,0.1395059079,0.03721934184,0.2296398729,0,1.200000048
KKT1,std,0,0,0.0001,12,0,1,0.9668269231,1,0.9899999499,1,0,0,0.01857301779,5.534974098,-4.965603828,1.0258255,44.43332854,0,0,-1.58571732,4.407531261,-8.817113876,0.8329205513,40.33036307,0.9191972613,0.6219722629,0.7492349148,0.110126473,0.03411551937,0.3495102227,0,1.200000048,0.1391704977,0.04489930719,0.2784629166,0,1.200000048
KKT1,std,0,0,0.0001,13,1,5,0.7083733974,0.8463999629,0.6940000057,0.8463999629,0,0,-0.6423245668,5.893411636,-4.824692249,0.9417402148,45.7707388,0,0,-2.062542677,5.017433167,-12.18155289,0.7937943339,48.03038934,0.924737215,0.6223715544,0.7116800547,0.1029427052,0.03213751316,0.241262719,0,1.200000048,0.1260342151,0.04326924682,0.2644856572,0,1.200000048
KKT1,std,0,0,0.0001,14,0,1,0.9700320513,1,1,1,0,0,-2.744218349,5.731666565,-11.94322109,0.6478624344,41.39987991,0,0,-3.168100834,4.134976387,-12.71174335,0.6310433149,38.09970982,0.935688436,0.6193526983,0.7143084407,0.1061212122,0.04138527811,0.2396107912,0,1.200000048,0.1439365447,0.0470260717,0.3257755041,0,1.200000048
KKT1,std,0,0,0.0001,15,1,5,0.6258413462,0.7671999931,0.6340000033,0.7671999931,0,0,-0.2580862343,6.404231548,-4.423190594,0.94763726,42.67296036,0,0,-1.98355341,4.983599186,-9.065407753,0.7692814469,41.98843528,0.956928432,0.6239572167,0.706713438,0.0969555378,0.02570655756,0.2496775091,0,1.200000048,0.1247647554,0.04235731065,0.2399037033,0,1.200000048
KKT1,std,0,0,0.0001,16,0,1,0.9596554487,1,0.969999969,1,0,0,-0.2281157672,6.773899078,-3.021057367,0.9712282419,43.27906339,0,0,-2.102595329,5.320428848,-9.739823341,0.8293148875,38.19656533,0.980917275,0.6239478588,0.7037255764,0.08975207061,0.02722466365,0.2130660266,0,1.200000048,0.1152318195,0.02657418139,0.2337435484,0,1.200000048
KKT1,std,0,0,0.0001,17,1,5,0.6946714744,0.8331999779,0.6400000453,0.8331999779,0,0,-0.3650425673,6.860426426,-3.645052195,0.9608896375,51.77276767,0,0,-1.526251435,5.046152115,-7.779556751,0.8421415687,49.07719744,1.001657367,0.6219753027,0.7136752605,0.09001646936,0.03262735158,0.39201653,0,1.200000048,0.1233140305,0.03581222892,0.2239045203,0,1.200000048
KKT1,std,0,0,0.0001,18,0,1,0.9672676282,1,0.9799999595,1,0,0,-2.101955891,4.868030548,-9.038534164,0.7377642989,44.04845739,0,0,-2.971560478,3.705745697,-10.54598427,0.6273438931,39.92094584,0.9952431917,0.6240493655,0.7015464306,0.1241586134,0.04354265705,0.2677755654,0,1.200000048,0.163489297,0.05325886607,0.2843310833,0,1.200000048
KKT1,std,0,0,0.0001,19,1,5,0.6170272436,0.7815999985,0.5900000334,0.7815999985,0,0,-0.2851417065,6.08968401,-3.50603652,0.9644300342,51.6348414,0,0,-1.221991301,5.107111931,-8.282975197,0.9228129387,47.78851919,1.038996458,0.6264287829,0.712886095,0.09969486296,0.02716059051,0.2439231575,0,1.200000048,0.1235778481,0.04144150764,0.2257165909,0,1.200000048
KKT1,std,0,0,0.0001,20,0,1,0.9686298077,1,0.9899999499,1,0,0,-1.421377063,7.087891102,-6.615515709,0.9175049663,42.55846547,0,0,-3.17477107,5.220732212,-12.12101364,0.7234473228,42.85695003,1.045523047,0.6301169395,0.711430192,0.08578871191,0.03445242345,0.2124536484,0,1.200000048,0.117350556,0.04757452384,0.2069456726,0,1.200000048
KKT1,std,0,0,0.0001,21,1,5,0.5485176282,0.6887999773,0.55400002,0.6887999773,0,0,0.09286365658,6.276438713,-4.682087898,0.9967081547,47.67144014,0,0,-2.53366518,5.120449543,-13.7410841,0.7424470782,44.10643199,1.057367086,0.6313682199,0.7043216228,0.09660805017,0.02373525128,0.294211328,0,1.200000048,0.1218554676,0.03677768633,0.2209982127,0,1.200000048
KKT1,std,0,0,0.0001,22,0,1,0.9569310897,1,0.9899999499,1,0,0,-0.03555679321,8.383838654,-2.827392578,1.007107496,26.71002224,0,0,-3.366162777,10.01101685,-18.41581726,0.8562827706,20.32188245,1.07440567,0.6325976849,0.6974810958,0.07072947174,0.01022210997,0.2541920543,0,1.200000048,0.06137583405,0.01374352816,0.2091292888,0,1.200000048
KKT1,std,0,0,0.0001,23,1,5,0.6913862179,0.8175999522,0.7540000081,0.8175999522,0,0,-0.1453844756,6.389568329,-5.520134449,0.9843854308,50.1788257,0,0,-1.33944416,5.797938347,-9.797833443,0.8986108899,50.39319843,1.076889396,0.6346493363,0.7141754031,0.09469278902,0.02386111952,0.2197001576,0,1.200000048,0.1043203771,0.04684862494,0.231859833,0,1.200000048
KKT1,std,0,0,0.0001,24,0,1,0.9638621795,1,0.9799999595,1,0,0,-0.116187036,7.272877693,-3.878970623,0.9774147868,48.93453653,0,0,-2.319607735,5.598539829,-11.08345985,0.8347591162,43.58022123,1.074359298,0.6345490813,0.7088061571,0.08361968398,0.02552046627,0.2148054987,0,1.200000048,0.1091665253,0.03218293935,0.2052604407,0,1.200000048
KKT1,std,0,0,0.0001,25,1,5,0.6455528846,0.7755999565,0.6640000343,0.7755999565,0,0,0.0609822236,6.599478722,-7.818441391,0.9957010746,49.59162509,0,0,-2.051080227,5.800280571,-8.735715866,0.7841603756,46.11987076,1.111244082,0.6378751397,0.7160256505,0.09318116307,0.02465469204,0.2597405314,0,1.200000048,0.1095495149,0.03230072558,0.2200065255,0,1.200000048
KKT1,std,0,0,0.0001,26,0,1,0.9552884615,1,0.9899999499,1,0,0,-0.08172120154,6.632266521,-2.426842928,0.9965162873,44.22200583,0,0,-1.837153912,5.741111279,-11.06811619,0.8302762508,35.58129013,1.132809997,0.6389237642,0.7197373509,0.09169699252,0.0270489417,0.2376271337,0,1.200000048,0.1066814139,0.02487440594,0.216880396,0,1.200000048
KKT1,std,0,0,0.0001,27,1,5,0.6411057692,0.7748000026,0.6320000291,0.7748000026,0,0,0.04081143439,6.746640682,-2.322761059,1.012842774,51.75008274,0,0,-2.017941952,5.176647186,-10.52291965,0.769600451,50.75648963,1.135188103,0.6403018832,0.731795609,0.08607332408,0.0262997169,0.2254840583,0,1.200000048,0.1157825813,0.03105234541,0.2359164059,0,1.200000048
