arm,seed,task,cap_on,med_K_l1,med_K_l2,med_U_l1,med_U_l2,med_b1,med_b2,med_d_l1,med_d_l2,med_gate_mean_l1,med_gate_mean_l2,med_gate_rms_l1,med_gate_rms_l2,med_lowgate_l1,med_lowgate_l2,med_pplus_l1,med_pplus_l2,med_q_l1,med_q_l2,med_row_mean_l1,med_row_mean_l2,med_row_norm_l1,med_row_norm_l2,med_sigma_l1,med_sigma_l2,med_v_norm_l1,med_v_norm_l2,med_wt_norm_l1,med_wt_norm_l2,med_zbar_l1,med_zbar_l2,memo_acc,online_acc,rem_par,rem_perp,rows_par,rows_perp
ref,4,19,0,3.089714536384123,5.225172028624825,11.670077800750732,11.69206714630127,-0.22790468484163284,-0.1761825755238533,-1.7915457620486661,-2.072748576436017,0.03538117110720504,0.1262500014466544,0.17006616262918808,0.19716744226502222,0.93875,0.0,0.025416666666666667,0.029166666666666667,-2.649001046186916,-0.7645778980790501,-0.005410700805211899,0.04568996931426227,17.361289799786764,3.973597567067828,9.00305766158716,3.8184107733280035,17.11058397782083,3.912529478447278,17.304167249731933,3.9526338916429786,-15.960705024320632,-8.043973812541614,0.4625000059604645,0.45023958333333336,0.0,0.0,0,0
ref,4,20,0,3.118866095756572,5.569772614021452,11.32038688659668,13.894272327423096,-0.32435567677021027,-0.18405866622924805,-1.7600231800730985,-1.9163354219226165,0.03343556764020299,0.1363750014298906,0.16844436977648214,0.22363284576043257,0.9450000000000001,0.0,0.025,0.04041666666666667,-2.8937096596828225,-0.7431447092090284,-0.0018596351827334136,0.04880142247886397,17.793065998598635,4.000784989988926,9.180501879730482,3.8095102906983005,17.516956618915756,3.92851260130609,17.713214009673624,3.988584323008559,-17.417624200806024,-7.4097885434267425,0.42750000953674316,0.4215625,0.0,0.0,0,0
ref,4,21,0,3.1296046464180325,5.159366973095703,11.33068037033081,11.407505512237549,-0.3077722638845444,-0.2005387842655182,-1.8954481974542712,-2.161807004930286,0.025926626096464796,0.12175000145410499,0.14856665174312159,0.18418740535340897,0.9545833333333333,0.0,0.02,0.024166666666666666,-3.018392893792578,-0.7997604669334488,-0.0006554279122903088,0.05188866587821394,18.29057338572794,4.0080353923197976,9.487401756765276,3.741677440839421,18.018127588186296,3.9346745595018042,18.1165643982319,3.983940944376587,-18.14267156265676,-8.212273218023281,0.4300000071525574,0.42104166666666665,0.0,0.0,0,0
ref,4,22,0,3.1433225087863548,5.331296820824544,11.585437297821045,12.228753566741943,-0.3582371920347214,-0.20658665895462036,-1.9129714499953479,-2.1401463074958134,0.023813831511559844,0.12475000144913792,0.14394897951777863,0.192937814566838,0.9633333333333334,0.0,0.018333333333333333,0.0275,-3.1542494691667273,-0.7790325578382862,-0.006273223534829155,0.05119144868978765,18.84815892257089,4.025880696680426,9.925988322624736,3.8059227771016584,18.579491991876157,3.948894081601167,18.81533087311289,3.9793864294569143,-19.154512484421332,-8.185979120574581,0.37416666746139526,0.40871875,0.0,0.0,0,0
ref,4,23,0,3.180117755064825,5.341756415111735,12.287667274475098,13.231115818023682,-0.36880192160606384,-0.2058049812912941,-1.8645715618685688,-1.985107137865425,0.030648906558043622,0.13300000143547852,0.16202108355117084,0.21517434858062354,0.9520833333333334,0.0,0.02291666666666667,0.03666666666666667,-3.142029918064357,-0.791189833789699,-0.003155332303234046,0.05087395074195228,19.2551034992627,4.05092233106942,10.171164477129498,3.872774535505388,18.92787563857498,3.9810002878737674,19.17136095678856,4.018385343100439,-19.155745734758675,-7.607176708790163,0.42750000953674316,0.3965416666666667,0.0,0.0,0,0
ref,4,24,0,3.2091126253090567,5.481820048109993,12.391875743865967,14.282430648803711,-0.368506595492363,-0.2079964280128479,-1.876469544293332,-1.8428977450979205,0.02937195533766785,0.13525000143175323,0.15681187373373257,0.22085062890186807,0.9529166666666666,0.0,0.021666666666666667,0.03916666666666667,-3.133525270433841,-0.8016123700263116,0.0019596949569692084,0.05056080393958837,19.82005846650214,4.052530809726104,9.96604680473411,4.000891793976335,19.438720340307206,3.946167134017265,19.74408660217948,3.988369054551891,-18.95905486834546,-7.642083256926077,0.39916667342185974,0.39069791666666664,0.0,0.0,0,0
ref,4,25,0,3.135788583754139,5.20343047398786,12.22269582748413,12.52550745010376,-0.3930819034576416,-0.21154894679784775,-1.9121034704695758,-2.0451639711451826,0.025303861617291895,0.12400000145037969,0.14886166069936888,0.1907878410435946,0.9612499999999999,0.0,0.02,0.02666666666666667,-3.2367308815124805,-0.8209126667547747,0.0040906682223493945,0.04997862956486642,20.22359888265222,4.0127869993797525,10.593196215813606,3.922574275740445,19.78761210105173,3.957807053690808,20.1515984659414,3.9915369916978864,-19.597929644683997,-8.147855496903261,0.38499999046325684,0.38217708333333333,0.0,0.0,0,0
ref,4,26,0,3.1426049868036596,4.930948723071204,11.756678104400635,12.559196472167969,-0.4115459471940994,-0.21309631317853928,-1.9823325443579678,-1.9216088618299512,0.022688891704393067,0.1258750014472753,0.1383252940962108,0.19611576751930035,0.9633333333333334,0.0,0.0175,0.028749999999999998,-3.409238944070997,-0.8155740205607931,0.010067502437100395,0.04606258955784142,20.654251951397775,4.037061024410691,10.628591379367261,4.146092037811844,20.20668087417475,3.9667435467699597,20.517974283762385,4.008728721598079,-20.536483120092498,-8.20278677823643,0.39666667580604553,0.38659375,0.0,0.0,0,0
ref,4,27,0,3.1931057588537435,5.4337608149642485,12.639290809631348,14.962249755859375,-0.4344003200531006,-0.212180495262146,-1.9686924758256372,-1.7974230986055788,0.02105279459068677,0.13150000143796206,0.13578926727860657,0.21130546677166778,0.9670833333333333,0.0,0.017083333333333332,0.035,-3.605887608962642,-0.8041772614640963,0.0056028911931346615,0.04805040351231582,21.006033101925826,4.041149324462324,10.825237909759498,4.223717101093321,20.566130407010437,3.969421061291744,20.856880766211294,4.0085892686042905,-21.87192366515597,-7.658117301923533,0.414166659116745,0.38658333333333333,0.0,0.0,0,0
ref,4,28,0,3.1374635113189213,5.206278415928548,13.339225769042969,13.403632164001465,-0.4699653685092926,-0.22727391123771667,-1.9311339100896978,-1.9647303464912753,0.0232008033183388,0.12475000144913792,0.1436271503995275,0.19293781456683803,0.9625,0.0,0.018333333333333333,0.0275,-3.6914508596541302,-0.8609778398761481,0.014447287247596228,0.05270924298558384,21.32515260265778,4.076077591168201,10.943251618774688,4.1898228877158115,20.856344980371016,3.9637356740797696,21.28056582084186,4.023539821590755,-22.22527611937374,-8.315018417009462,0.3616666793823242,0.3629375,0.0,0.0,0,0
