arm,seed,p_late,beta,kappa_g,persist,D2_early,D2_late,N_early,N_late,cos_late,dN2_early,dN2_late,N120,acc120,E_late
LR001,1,0.5126338586395964,0.8243068685291938,0.0,56.68874179525123,0.7817622887322327,1.343385570811979,4.156964209968644,8.017096290982712,-0.03446605166037753,0.524841894875709,0.6847739300281622,8.407109850567315,0.8945000171661377,-2.0496582556206435e-10
LR001,2,0.5057461622154344,0.7652014763216556,0.0,51.06912784640474,0.7915312789106178,1.2934391586533434,4.175281389276472,7.932443997506022,-0.03808475753554448,0.5357396860459489,0.5846718367460234,8.266169146790334,0.8966000080108643,-1.173914452451408e-08
SN02,0,0.32506620111577256,-0.032948636684929714,0.509472020275707,33.47594832536743,0.8382348586258301,0.8253825724783903,4.242170523322546,6.780336620582519,-0.050950033336469726,0.49926745709597664,0.23885884905018195,6.938712550134697,0.9208999872207642,-0.01053878822854745
SN02,1,0.31315568476301264,-0.05302504355507178,0.5176202091854072,36.426169058554024,0.8387287855951084,0.8183823213389673,4.2506217907291335,6.754445061453258,-0.05023013368625222,0.5050919854320692,0.24813705462181013,6.920631568135162,0.9212999939918518,0.0345786462426416
SN02,2,0.31285611795603036,-0.06722961048737833,0.5357778291904615,34.71907952111047,0.8470772147996364,0.820980486985986,4.24517452608008,6.761469233472167,-0.05067689419663438,0.5049052842361934,0.24787864971338158,6.933213673820744,0.9056000113487244,0.0405345182096378
SN06,0,0.4297531547755428,0.3558174356466973,1.3819096358210716,29.914415547071805,0.5793421076772182,0.6927264535824508,3.4919884658976263,5.770814909215784,-0.04454686226030152,0.28288153054575627,0.2819188558341919,5.994821211764496,0.8927000164985657,0.06162279433802495
SN06,1,0.4251963843473196,0.3720298405192335,1.4116627768150505,30.439082998104915,0.5730598753453351,0.6915160641049604,3.4873993442626436,5.778898063418988,-0.045083501527320796,0.28009369901230885,0.277401611694947,6.011845886146831,0.892799973487854,0.036028407666018
SN06,2,0.4182831990891234,0.3576889111688822,1.4078392331032175,28.919761200033275,0.5764280933335126,0.6880967213165489,3.496580368526021,5.736499554115907,-0.04646664527387688,0.2819752829932812,0.2660221606405909,5.959330654866144,0.8791999816894531,0.0506096564133851
SN15,0,0.46170723717983425,0.03972575849585698,3.650669582279411,29.633892890577215,0.6915106406184885,0.7088681815277421,3.610360057935375,6.738667940410245,-0.031053484872335314,0.4257444568398527,0.3682764765168931,6.996079089741447,0.8691999912261963,-0.0030653455667054
SN15,1,0.4610427197888859,0.1014441232168567,3.88061375131009,30.58043333180481,0.6741806719245294,0.7180582931663599,3.6088333681901688,6.718969535208473,-0.03152806929834163,0.42486278494192276,0.37109471987803,6.976268522999025,0.881600022315979,-0.01200817008586385
SN15,2,0.45950612219352527,0.06256461412431633,3.8581589964905287,29.627363956670212,0.6850308869679631,0.7125952859292379,3.5809862242591235,6.727352873241682,-0.03262261811418864,0.4205912115562834,0.35516815473454977,6.977322575388448,0.8730999827384949,-0.016959026669579
ELU1,0,0.43738255152619115,0.3744874191754732,0.07659065979803875,51.79656692078766,0.9497024856542404,1.181666477173165,4.445598966405034,7.968249729139939,-0.032729356457889436,0.6091936547495141,0.5388504324905713,8.270829511699906,0.9049999713897704,-0.05799986238655065
ELU1,1,0.43040946649469136,0.30210900483458614,0.0695826742022851,50.63442951549499,0.967973432043695,1.1542179626253364,4.5242369590497535,8.100557967801347,-0.03419914381687234,0.6402241644989188,0.5220637474719223,8.38825390389899,0.9160000085830688,-0.018372070298030698
ELU1,2,0.4192871113942073,0.32518798855199327,0.07915869165787609,48.0174417370296,0.9464218857872615,1.1391567636358169,4.481945790701302,7.92522821558577,-0.03385052989741375,0.63033564632362,0.49040437484959476,8.202761411481509,0.8942000269889832,-0.026788127817186102
