task,N,N2,D2,erode,cos,rowmean,bias,arm,kind,param,seed,steps2,persist,kappa_g,absd2,gate_cv,sd,zbar,acc,E,E_pred,r_W1b1,r_W2,r_scale
46,4.286989229403704,19.764258394560162,0.7402635051096275,-0.2696997082799615,nan,-0.02384754588514142,0.002345137905795127,R,relu,0.0,2,,,,,,,,,,,,,
47,4.329777525373669,20.173820944330856,0.6808193003186495,-0.2712567505479545,nan,-0.023775374066298625,0.004858109453343786,R,relu,0.0,2,,,,,,,,,,,,,
48,4.362080354755379,20.48761173882659,0.5826353095120606,-0.2688445150163297,nan,-0.023842080249838693,0.005869590748116025,R,relu,0.0,2,,,,,,,,,,,,,
49,4.3997959534077715,20.841687798049147,0.6201549625092605,-0.26607890328670275,nan,-0.024817018630885528,0.002423233697190881,R,relu,0.0,2,,,,,,,,,,,,,
50,4.442821025369948,21.23144561028494,0.6270222216792061,-0.23726440944340546,nan,-0.02476144149957273,0.003925177389755845,R,relu,0.0,2,0.016839951855145297,37.23420512557018,0.0,0.0,2.1665737602128825,3.2889799379696427,-2.585330502188735,0.9120000004768372,,,,,
51,4.498076255047076,21.695552327513255,0.6984287815410164,-0.23432206431270555,nan,-0.024788353625865824,0.0036327212979085743,R,relu,0.0,2,,,,,,,,,,,,,
52,4.531114033051528,22.034610417047798,0.650985032199179,-0.31192694266463866,nan,-0.024761726905050133,0.0025313030648976566,R,relu,0.0,2,,,,,,,,,,,,,
53,4.581821665900564,22.50788491577995,0.825585331520218,-0.3523108327880617,nan,-0.02416050106726719,0.0024048918799962848,R,relu,0.0,2,,,,,,,,,,,,,
54,4.61568735713547,22.855718918338553,0.6056128940691858,-0.257778891510582,nan,-0.024956552400446218,0.0008342429576441646,R,relu,0.0,2,,,,,,,,,,,,,
55,4.658296031397131,23.267791132074503,0.7108778027082446,-0.29880558897229614,nan,-0.025496639444073665,-0.0009643259760923683,R,relu,0.0,2,,,,,,,,,,,,,
56,4.696968747916059,23.64851814753242,0.7115245564410929,-0.33079754098317876,nan,-0.02527924093006979,-0.0010687401224276983,R,relu,0.0,2,,,,,,,,,,,,,
57,4.736774429715057,24.041248692924047,0.6914332948100014,-0.298702749418372,nan,-0.025312101293521697,-0.00033321557159069924,R,relu,0.0,2,,,,,,,,,,,,,
58,4.779563457228701,24.441715548244783,0.6989788920514178,-0.29851203673068205,nan,-0.025725886229046903,-0.002493503567238804,R,relu,0.0,2,,,,,,,,,,,,,
59,4.815501208177165,24.8006286309033,0.6660961950635783,-0.3071831124050603,nan,-0.02578407903165122,-0.002774098810041323,R,relu,0.0,2,,,,,,,,,,,,,
60,4.853406555015976,25.204123276458077,0.7111939135872397,-0.3076992680324631,nan,-0.02611280400699694,-0.0033430876792408526,R,relu,0.0,2,0.018712455469686997,38.00644521181783,0.0,0.0,2.2062677574727463,3.519675275536821,-2.6948696419243756,0.899399995803833,-1.4430078389138234e-08,0.0,-0.04003615768656473,-0.04003614325648634,23.244453407478634
61,4.887144936226672,25.56087054414351,0.6460269321838016,-0.2892796644983741,nan,-0.025919126094382624,-0.0024311889056116342,R,relu,0.0,2,,,,,,,,,,,,,
62,4.914826481779511,25.858274578856623,0.6687711099820544,-0.3713670752689394,nan,-0.02662895328884769,-0.0048413894232362505,R,relu,0.0,2,,,,,,,,,,,,,
63,4.94949770236156,26.21504994842855,0.6732799543616176,-0.3165045847896872,nan,-0.027122275275020043,-0.005106249721720814,R,relu,0.0,2,,,,,,,,,,,,,
64,4.98652812392308,26.625667685636927,0.7326599348174767,-0.3220421976091022,nan,-0.026541164523204732,-0.0029365455562947317,R,relu,0.0,2,,,,,,,,,,,,,
65,5.029560178155339,27.0768577912036,0.8027277707464612,-0.3515376651797878,nan,-0.02618068936834062,-0.0031702358199981974,R,relu,0.0,2,,,,,,,,,,,,,
66,5.064698171252476,27.45982541931254,0.723222398005753,-0.3402547698968091,nan,-0.026798066055407025,-0.0037523944186978043,R,relu,0.0,2,,,,,,,,,,,,,
67,5.103053819636087,27.875400989943564,0.741242946659963,-0.3256673760289359,nan,-0.02646682101581428,-0.002339174747467041,R,relu,0.0,2,,,,,,,,,,,,,
68,5.13456860519631,28.230333009050273,0.7615397120571622,-0.40660769295046006,nan,-0.027347376661747084,-0.004000149669591338,R,relu,0.0,2,,,,,,,,,,,,,
69,5.169875894469983,28.63581545568934,0.799909323864129,-0.3944268772250625,nan,-0.027349158868785237,-0.003109468421898782,R,relu,0.0,2,,,,,,,,,,,,,
70,5.204537160882157,29.041266402018763,0.7834712483054389,-0.3780203019760116,nan,-0.027124019609252356,-0.0017358518706168979,R,relu,0.0,2,0.017482439720759125,44.81475473787127,0.0,0.0,2.1052009372105895,3.9387793225556944,-2.818617738575176,0.9018999934196472,,,,,
71,5.238141317735528,29.43269490002406,0.7728700794201867,-0.38144158141489093,nan,-0.027492147647740984,-0.0014472789491992444,R,relu,0.0,2,,,,,,,,,,,,,
72,5.269189207879025,29.794871105891637,0.7325104266500608,-0.3703342207824855,nan,-0.027957924852666797,-0.003461512974463403,R,relu,0.0,2,,,,,,,,,,,,,
73,5.2941259990925165,30.098105825193294,0.6700591204701369,-0.36682440116848314,nan,-0.028900749305318225,-0.005647082083160057,R,relu,0.0,2,,,,,,,,,,,,,
74,5.32174867916327,30.421232242492614,0.7760397083191264,-0.45291329101980293,nan,-0.028296466520608025,-0.004490645388141274,R,relu,0.0,2,,,,,,,,,,,,,
75,5.3527005958587335,30.76390476217283,0.7883219554037646,-0.4456494357235411,nan,-0.02862536176392182,-0.004075147770927288,R,relu,0.0,2,,,,,,,,,,,,,
76,5.386636693904843,31.129514827395834,0.7721520927775419,-0.40654202755454816,nan,-0.028356305341537293,-0.0013454142748378216,R,relu,0.0,2,,,,,,,,,,,,,
77,5.421044393109921,31.519555135388195,0.7477853639224955,-0.35774505593012956,nan,-0.02763963894201723,0.00034099459880962966,R,relu,0.0,2,,,,,,,,,,,,,
78,5.449733340614735,31.863396781304367,0.7414142896171921,-0.39757264370101875,nan,-0.02780614331067587,-0.0002287372574210167,R,relu,0.0,2,,,,,,,,,,,,,
79,5.478410259841748,32.18537153124248,0.7071698220532451,-0.3851950721151377,nan,-0.02840522485278231,-0.0015245985891669989,R,relu,0.0,2,,,,,,,,,,,,,
80,5.5089250024644905,32.54244622940476,0.7069066488596926,-0.3498319506974131,nan,-0.028566599757535824,-0.002314888038672507,R,relu,0.0,2,0.0160428963873076,44.06353016273075,0.0,0.0,2.119962148514532,4.190288159321353,-3.030352604479466,0.9027000069618225,2.6253465287146005e-09,0.0,-0.013608688359404536,-0.013608690984751065,14.880556594441686
81,5.5323731632600595,32.82201148299153,0.6932275349531686,-0.4136622813664001,nan,-0.02867298835960249,-0.0022126173623837533,R,relu,0.0,2,,,,,,,,,,,,,
82,5.560949579700353,33.17277929783679,0.7523171817767235,-0.4015493669314627,nan,-0.02895542436107469,-0.0024446808639913796,R,relu,0.0,2,,,,,,,,,,,,,
83,5.596794394162214,33.61548823659321,0.8451036449539556,-0.40239470619753603,nan,-0.028830268643074346,-0.001243514254456386,R,relu,0.0,2,,,,,,,,,,,,,
84,5.62334041783439,33.95637839557974,0.672190017913938,-0.331299858927401,nan,-0.029073773187795745,-0.0011514104343950749,R,relu,0.0,2,,,,,,,,,,,,,
