task,N,N2,D2,erode,cos,rowmean,bias,arm,kind,param,seed,steps2,persist,kappa_g,absd2,gate_cv,sd,zbar,acc,E,E_pred,r_W1b1,r_W2,r_scale
55,4.3340447802803554,18.799273306202352,0.6044533123558989,-0.3321100000498926,-0.0529215810428326,-0.008488273458316892,0.020355090390221448,SN06,snake,0.6,1,,,,,,,,,,,,,
56,4.365255304652496,19.07224975641963,0.6353027794804222,-0.3623263292631455,-0.054526261795243815,-0.008439630356602392,0.021273785524826963,SN06,snake,0.6,1,,,,,,,,,,,,,
57,4.393975240390425,19.323531715258827,0.6416642288860426,-0.390382270046845,-0.05846411127759132,-0.008478431603156844,0.019920132190454753,SN06,snake,0.6,1,,,,,,,,,,,,,
58,4.420797213209244,19.560446096319517,0.6260355196540965,-0.38912113859340863,-0.058871752749581,-0.008495501151228945,0.01936901999026304,SN06,snake,0.6,1,,,,,,,,,,,,,
59,4.4473415299487105,19.797036005908083,0.6172054475371506,-0.38061553794857966,-0.06028639026450769,-0.008338393929252518,0.018639357950305566,SN06,snake,0.6,1,,,,,,,,,,,,,
60,4.47407989624366,20.036271121258377,0.6108705990228992,-0.3716354836726067,-0.05539165493480363,-0.008252470294280707,0.01810815237928182,SN06,snake,0.6,1,0.022878015626894847,26.701205602149095,1.0985722934154925,0.7609021545972365,0.8218948278723085,1.7741089314410852,-0.675566719978773,0.9083999991416931,0.021580206441560515,0.021580207063755345,0.05849721553033771,0.036917009088777195,14.930817086214113
61,4.508154553162197,20.343909076078067,0.6312285539828235,-0.3235905991631342,-0.047747145251334146,-0.008765588306525575,0.017542325728572904,SN06,snake,0.6,1,,,,,,,,,,,,,
62,4.5338811011412705,20.57616826976635,0.6315487715477941,-0.399289577859507,-0.05791292492073838,-0.008369939755598571,0.019482703910325652,SN06,snake,0.6,1,,,,,,,,,,,,,
63,4.560315693971866,20.817537308096327,0.6363914630809702,-0.3950224247509982,-0.057226536509854854,-0.008177303797769398,0.017967504198895767,SN06,snake,0.6,1,,,,,,,,,,,,,
64,4.589234005632157,21.081536729222925,0.6361339454328245,-0.37213452430622324,-0.05330938183740816,-0.008071298593609326,0.01809407494729385,SN06,snake,0.6,1,,,,,,,,,,,,,
65,4.6181058534582675,21.346249655429887,0.6141673412743173,-0.34945441506735747,-0.05174527620936717,-0.008418541460573338,0.01557116504816804,SN06,snake,0.6,1,,,,,,,,,,,,,
66,4.648353133324945,21.62609203293961,0.6576888964677575,-0.3778465189580349,-0.05383413165754163,-0.009475555644629012,0.012754068064095918,SN06,snake,0.6,1,,,,,,,,,,,,,
67,4.677427082036879,21.897524876731215,0.622681005771604,-0.3512481619799999,-0.04952476749188527,-0.009053977903036668,0.014071912966901436,SN06,snake,0.6,1,,,,,,,,,,,,,
68,4.702246297615481,22.13098378917276,0.6085918813744619,-0.37513296893291587,-0.05321119416036997,-0.009159764815814321,0.013835559426806867,SN06,snake,0.6,1,,,,,,,,,,,,,
69,4.7286808146483885,22.382752373826506,0.6122800554119656,-0.3605114707582181,-0.05215152787467348,-0.009952301465328755,0.011033481410704553,SN06,snake,0.6,1,,,,,,,,,,,,,
70,4.758638390621136,22.666738020457405,0.6326704421725251,-0.3486847955416241,-0.05090877378686718,-0.010397092577355285,0.009043692466802896,SN06,snake,0.6,1,0.023918780766163272,26.450781432284916,1.1837682680482344,0.7599389132236799,0.827049711328786,1.8144967675962558,-0.9840968411796973,0.9079999923706055,,,,,
71,4.787018466237817,22.938373836709285,0.6316052481997315,-0.359969431947857,-0.04982294877355084,-0.010151014955202299,0.010988735781429568,SN06,snake,0.6,1,,,,,,,,,,,,,
72,4.810648298159583,23.165126560038537,0.5820416947773197,-0.35528897144806465,-0.04964189634092344,-0.010115925352997261,0.011649014339782297,SN06,snake,0.6,1,,,,,,,,,,,,,
73,4.83559718793934,23.40530027606052,0.6038421302662675,-0.3636684142442831,-0.050406711101637566,-0.009982217807444715,0.012265506865223869,SN06,snake,0.6,1,,,,,,,,,,,,,
74,4.858349583684812,23.625792920096302,0.6496902080958751,-0.4291975640600951,-0.05776798891049581,-0.009661558327501742,0.012866141553968192,SN06,snake,0.6,1,,,,,,,,,,,,,
75,4.889967512392542,23.933854190989326,0.6377948477950032,-0.32973357690197547,-0.04412727997566818,-0.010036320468732476,0.01191041169455275,SN06,snake,0.6,1,,,,,,,,,,,,,
76,4.914082141535579,24.170321318208277,0.6200843076846589,-0.3836171804657119,-0.05184870470510216,-0.009030108176032824,0.015553308313828893,SN06,snake,0.6,1,,,,,,,,,,,,,
77,4.935233606985252,24.37934829790227,0.6634956517417993,-0.45446867204780644,-0.05959245957660832,-0.009271275597234691,0.014022555716219359,SN06,snake,0.6,1,,,,,,,,,,,,,
78,4.961210265859306,24.63633871255726,0.6353976426955874,-0.3784072280405941,-0.05055580803076399,-0.009378921789563403,0.015177980160806327,SN06,snake,0.6,1,,,,,,,,,,,,,
79,4.986130637142253,24.8839109322416,0.6863326250263726,-0.43876040534203115,-0.055913100062201196,-0.008452694653819214,0.016373376899864525,SN06,snake,0.6,1,,,,,,,,,,,,,
