model,condition,seed,update,valid,self_operation_valid,initial_S_target_jump,initial_prediction_rms,S,A,rho,sham_S,sham_rho,S_difference,S_difference_ratio,C_S,C_S_geometry,C_S_readout,C_output,C_output_c_only,prediction_difference_ratio,z_other_rms,z_other_rms_over_sigma,z_other_mean,v_other_rms,z_population_difference,force_z_population_difference,force_b_population_difference,loss,sham_loss
leaky100,free_sham,1,10,True,False,0.0,0.0,0.06306683145194779,4.03979805072129,0.01561138221765503,0.06306683145194779,0.01561138221765503,0.0,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.80489059474218e-06,9.80489059474218e-06
leaky100,free_sham,1,20,True,False,0.0,0.0,0.06308875820853063,4.039857988083859,0.015616578205129978,0.06308875820853063,0.015616578205129978,0.0,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.276821709969601e-06,9.276821709969601e-06
leaky100,free_sham,1,50,True,False,0.0,0.0,0.06324772488023507,4.04010310132265,0.015654977928540738,0.06324772488023507,0.015654977928540738,0.0,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.714949522852313e-06,8.714949522852313e-06
leaky100,free_sham,1,100,True,False,0.0,0.0,0.0634907790453661,4.040456144566572,0.015713765172465914,0.0634907790453661,0.015713765172465914,0.0,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.258922439960034e-06,8.258922439960034e-06
leaky100,free_sham,1,200,True,False,0.0,0.0,0.06387951123145588,4.041027422865792,0.015807740098470847,0.06387951123145588,0.015807740098470847,0.0,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5919269481951225e-06,7.5919269481951225e-06
leaky100,free_sham,1,500,True,False,0.0,0.0,0.0647255761337073,4.042346230742579,0.016011883307139974,0.0647255761337073,0.016011883307139974,0.0,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.027597797984313e-06,6.027597797984313e-06
leaky100,free_sham,1,1000,True,False,0.0,0.0,0.06579563474424678,4.044090222003955,0.016269576377463527,0.06579563474424678,0.016269576377463527,0.0,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.151235642371408e-06,4.151235642371408e-06
leaky100,free_sham,1,2000,True,False,0.0,0.0,0.06730054122410668,4.046622288004749,0.01663128812975779,0.06730054122410668,0.01663128812975779,0.0,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9907500163926845e-06,1.9907500163926845e-06
leaky100,free_sham,2,0,True,False,0.0,0.0,1.6612374449970693,6.978713908402666,0.23804349437463962,1.6612374449970693,0.23804349437463962,0.0,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006539751273587038,0.006539751273587038
leaky100,free_sham,2,1,True,False,0.0,0.0,1.6542657754190355,6.972036519981417,0.23727153044566163,1.6542657754190355,0.23727153044566163,0.0,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006098523746659649,0.006098523746659649
leaky100,free_sham,2,2,True,False,0.0,0.0,1.6497938693539134,6.9677790958387895,0.23677470922394522,1.6497938693539134,0.23677470922394522,0.0,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005811249534491981,0.005811249534491981
leaky100,free_sham,2,5,True,False,0.0,0.0,1.6417860817333036,6.960226108398047,0.235881141814109,1.6417860817333036,0.235881141814109,0.0,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0052833332576891715,0.0052833332576891715
leaky100,free_sham,2,10,True,False,0.0,0.0,1.6376091528480634,6.956484108843016,0.23540758912484977,1.6376091528480634,0.23540758912484977,0.0,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0048734580849208895,0.0048734580849208895
leaky100,free_sham,2,20,True,False,0.0,0.0,1.6396076089249612,6.9589662480913965,0.23561080058042366,1.6396076089249612,0.23561080058042366,0.0,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004534568557180584,0.004534568557180584
leaky100,free_sham,2,50,True,False,0.0,0.0,1.6533413024325072,6.973900263883721,0.23707555885116316,1.6533413024325072,0.23707555885116316,0.0,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004189843038540402,0.004189843038540402
leaky100,free_sham,2,100,True,False,0.0,0.0,1.6677625737835213,6.990902631561661,0.23856183695852284,1.6677625737835213,0.23856183695852284,0.0,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003986568706139587,0.003986568706139587
leaky100,free_sham,2,200,True,False,0.0,0.0,1.68852637218557,7.01733875709322,0.2406220407243109,1.68852637218557,0.2406220407243109,0.0,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0037660088852760195,0.0037660088852760195
leaky100,free_sham,2,500,True,False,0.0,0.0,1.7430780056876536,7.088799710351603,0.24589184021411675,1.7430780056876536,0.24589184021411675,0.0,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0033060358126650626,0.0033060358126650626
leaky100,free_sham,2,1000,True,False,0.0,0.0,1.8280609944189807,7.2008387455738,0.25386778665785986,1.8280609944189807,0.25386778665785986,0.0,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002718542406229104,0.002718542406229104
leaky100,free_sham,2,2000,True,False,0.0,0.0,1.9748283568960359,7.393798644262454,0.2670925260357869,1.9748283568960359,0.2670925260357869,0.0,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001742544977172823,0.001742544977172823
leaky100,free_sham,3,0,True,False,0.0,0.0,0.8820435230851235,4.560342094336144,0.19341608695992443,0.8820435230851235,0.19341608695992443,0.0,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0043793692324712325,0.0043793692324712325
leaky100,free_sham,3,1,True,False,0.0,0.0,0.8836772700719752,4.56185014708946,0.1937102801668697,0.8836772700719752,0.1937102801668697,0.0,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0036132402016251634,0.0036132402016251634
leaky100,free_sham,3,2,True,False,0.0,0.0,0.883839026973837,4.562003621570441,0.19373922080964526,0.883839026973837,0.19373922080964526,0.0,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003460665934740795,0.003460665934740795
leaky100,free_sham,3,5,True,False,0.0,0.0,0.8824712216458843,4.560771475480998,0.1934916551706453,0.8824712216458843,0.1934916551706453,0.0,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003335925168330331,0.003335925168330331
leaky100,free_sham,3,10,True,False,0.0,0.0,0.8805736290420639,4.559116860413069,0.193145658688442,0.8805736290420639,0.193145658688442,0.0,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0032254485396481887,0.0032254485396481887
leaky100,free_sham,3,20,True,False,0.0,0.0,0.8799923801675635,4.558889866671469,0.19302777779320704,0.8799923801675635,0.19302777779320704,0.0,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0031090129513056015,0.0031090129513056015
leaky100,free_sham,3,50,True,False,0.0,0.0,0.8830276792393528,4.562685673399992,0.1935324373509482,0.8830276792393528,0.1935324373509482,0.0,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0029437094402051424,0.0029437094402051424
leaky100,free_sham,3,100,True,False,0.0,0.0,0.885670122549572,4.566666286166988,0.1939423787615879,0.885670122549572,0.1939423787615879,0.0,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00283186229800033,0.00283186229800033
leaky100,free_sham,3,200,True,False,0.0,0.0,0.8900567182250954,4.57378551933463,0.19459957500468364,0.8900567182250954,0.19459957500468364,0.0,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0026542769192212877,0.0026542769192212877
leaky100,free_sham,3,500,True,False,0.0,0.0,0.9046443083824581,4.595810796588857,0.19684106862143044,0.9046443083824581,0.19684106862143044,0.0,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0022553674338734674,0.0022553674338734674
leaky100,free_sham,3,1000,True,False,0.0,0.0,0.9273379887948038,4.629330602360519,0.20031794409367726,0.9273379887948038,0.20031794409367726,0.0,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017617286701591226,0.0017617286701591226
leaky100,free_sham,3,2000,True,False,0.0,0.0,0.9718633946901308,4.690199859183377,0.2072115099289915,0.9718633946901308,0.2072115099289915,0.0,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009887176039960258,0.0009887176039960258
leaky100,free_sham,4,0,True,False,0.0,0.0,1.612511269842974,6.913706395002787,0.2332339815599479,1.612511269842974,0.2332339815599479,0.0,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01162068969819268,0.01162068969819268
leaky100,free_sham,4,1,True,False,0.0,0.0,1.6205423550169846,6.9219873679531965,0.23411518526017946,1.6205423550169846,0.23411518526017946,0.0,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005866483229131686,0.005866483229131686
leaky100,free_sham,4,2,True,False,0.0,0.0,1.6204590536180425,6.92209582125621,0.2340994830845847,1.6204590536180425,0.2340994830845847,0.0,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005215163243956035,0.005215163243956035
leaky100,free_sham,4,5,True,False,0.0,0.0,1.6145638714706463,6.916580540081154,0.23343382790301495,1.6145638714706463,0.23343382790301495,0.0,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0047810662638180365,0.0047810662638180365
leaky100,free_sham,4,10,True,False,0.0,0.0,1.6089622287593177,6.911319511719134,0.23280101954931923,1.6089622287593177,0.23280101954931923,0.0,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004449187986365575,0.004449187986365575
leaky100,free_sham,4,20,True,False,0.0,0.0,1.605984462517871,6.908670911166901,0.2324592505806032,1.605984462517871,0.2324592505806032,0.0,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00411547534834524,0.00411547534834524
leaky100,free_sham,4,50,True,False,0.0,0.0,1.6079833400081616,6.911292355669176,0.23266029814079117,1.6079833400081616,0.23266029814079117,0.0,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0037709020566850963,0.0037709020566850963
leaky100,free_sham,4,100,True,False,0.0,0.0,1.614414191187531,6.918726873449748,0.23333977778234907,1.614414191187531,0.23333977778234907,0.0,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003591160411780281,0.003591160411780281
leaky100,free_sham,4,200,True,False,0.0,0.0,1.6251854684801836,6.931733965651228,0.23445583407174217,1.6251854684801836,0.23445583407174217,0.0,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0034222789648540785,0.0034222789648540785
leaky100,free_sham,4,500,True,False,0.0,0.0,1.6504743196353644,6.964385641141777,0.23698778394540157,1.6504743196353644,0.23698778394540157,0.0,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003113882977885712,0.003113882977885712
leaky100,free_sham,4,1000,True,False,0.0,0.0,1.684907338819968,7.01121533669513,0.24031601625491952,1.684907338819968,0.24031601625491952,0.0,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0027013828213876944,0.0027013828213876944
leaky100,free_sham,4,2000,True,False,0.0,0.0,1.75248153397983,7.1010313241625855,0.24679253674275234,1.75248153397983,0.24679253674275234,0.0,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0020334956278382854,0.0020334956278382854
leaky100,free_sham,5,0,True,False,0.0,0.0,-0.3620843574246384,3.0472052434345778,0.11882506378747382,-0.3620843574246384,0.11882506378747382,0.0,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0037978488069596358,0.0037978488069596358
leaky100,free_sham,5,1,True,False,0.0,0.0,-0.35931478301107944,3.049713695662484,0.1178191852966795,-0.35931478301107944,0.1178191852966795,0.0,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0020833167425614325,0.0020833167425614325
leaky100,free_sham,5,2,True,False,0.0,0.0,-0.3578280746802872,3.051071784911379,0.11727946764473804,-0.3578280746802872,0.11727946764473804,0.0,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016760966199906606,0.0016760966199906606
leaky100,free_sham,5,5,True,False,0.0,0.0,-0.3559681138124264,3.052806978706771,0.11660354431029946,-0.3559681138124264,0.11660354431029946,0.0,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014957659227700195,0.0014957659227700195
leaky100,free_sham,5,10,True,False,0.0,0.0,-0.3547288931309697,3.0540152187946625,0.1161516455281358,-0.3547288931309697,0.1161516455281358,0.0,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001417832278477034,0.001417832278477034
leaky100,free_sham,5,20,True,False,0.0,0.0,-0.3533691908789217,3.0554134315853334,0.1156534782579562,-0.3533691908789217,0.1156534782579562,0.0,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001338456528581511,0.001338456528581511
leaky100,free_sham,5,50,True,False,0.0,0.0,-0.3517589029997231,3.0573242262744955,0.11505449764755868,-0.3517589029997231,0.11505449764755868,0.0,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012601389752990005,0.0012601389752990005
leaky100,free_sham,5,100,True,False,0.0,0.0,-0.3511351314272273,3.058611224699893,0.11480214569005259,-0.3511351314272273,0.11480214569005259,0.0,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001218354338396656,0.001218354338396656
leaky100,free_sham,5,200,True,False,0.0,0.0,-0.3502218702041563,3.0608629709690027,0.11441932341495302,-0.3502218702041563,0.11441932341495302,0.0,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011702100752953102,0.0011702100752953102
leaky100,free_sham,5,500,True,False,0.0,0.0,-0.3472368224235745,3.0677087320802663,0.11319093589048372,-0.3472368224235745,0.11319093589048372,0.0,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001052393683778009,0.001052393683778009
leaky100,free_sham,5,1000,True,False,0.0,0.0,-0.3421778136566102,3.078951172012495,0.11113453723040126,-0.3421778136566102,0.11113453723040126,0.0,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008927928803188876,0.0008927928803188876
leaky100,free_sham,5,2000,True,False,0.0,0.0,-0.33219358098976665,3.1002032583068035,0.10715219400523963,-0.33219358098976665,0.10715219400523963,0.0,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000641519596262316,0.000641519596262316
leaky100,free_sham,6,0,True,False,0.0,0.0,-0.6393036222059048,3.57094988580128,0.17902900982953796,-0.6393036222059048,0.17902900982953796,0.0,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.600611775819941e-05,1.600611775819941e-05
leaky100,free_sham,6,1,True,False,0.0,0.0,-0.6392971967879639,3.570962684473752,0.1790265688206642,-0.6392971967879639,0.1790265688206642,0.0,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4515339344055887e-05,1.4515339344055887e-05
leaky100,free_sham,6,2,True,False,0.0,0.0,-0.6392817178814989,3.570980621752694,0.1790213349205265,-0.6392817178814989,0.1790213349205265,0.0,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4094204903828115e-05,1.4094204903828115e-05
leaky100,free_sham,6,5,True,False,0.0,0.0,-0.6392422079429735,3.5710221415523478,0.17900818942138805,-0.6392422079429735,0.17900818942138805,0.0,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3609402881141905e-05,1.3609402881141905e-05
leaky100,free_sham,6,10,True,False,0.0,0.0,-0.6391800564716399,3.571084551215554,0.1789876569161799,-0.6391800564716399,0.1789876569161799,0.0,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3138237993729425e-05,1.3138237993729425e-05
leaky100,free_sham,6,20,True,False,0.0,0.0,-0.6390568437022853,3.5712081124687094,0.17894696236577412,-0.6390568437022853,0.17894696236577412,0.0,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2554018549121392e-05,1.2554018549121392e-05
leaky100,free_sham,6,50,True,False,0.0,0.0,-0.6387404095814492,3.571530707388808,0.17884220014124994,-0.6387404095814492,0.17884220014124994,0.0,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1539893218669641e-05,1.1539893218669641e-05
leaky100,free_sham,6,100,True,False,0.0,0.0,-0.6384198012087083,3.571882389883992,0.17873483265204682,-0.6384198012087083,0.17873483265204682,0.0,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0627158646304498e-05,1.0627158646304498e-05
leaky100,free_sham,6,200,True,False,0.0,0.0,-0.6379488147120291,3.5724142833214447,0.17857638115781396,-0.6379488147120291,0.17857638115781396,0.0,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.446147537253084e-06,9.446147537253084e-06
leaky100,free_sham,6,500,True,False,0.0,0.0,-0.6368174011316852,3.5736910922353613,0.17819598412277787,-0.6368174011316852,0.17819598412277787,0.0,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.978504466673909e-06,6.978504466673909e-06
leaky100,free_sham,6,1000,True,False,0.0,0.0,-0.6352495250181552,3.5754237457635463,0.17767111542257075,-0.6352495250181552,0.17767111542257075,0.0,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.300491299064221e-06,4.300491299064221e-06
leaky100,free_sham,6,2000,True,False,0.0,0.0,-0.6330881992777853,3.5777932684579943,0.1769493516741514,-0.6330881992777853,0.1769493516741514,0.0,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6466239018188964e-06,1.6466239018188964e-06
leaky100,free_sham,7,0,True,False,0.0,0.0,0.935441580208804,5.446438283155659,0.1717529019105694,0.935441580208804,0.1717529019105694,0.0,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6413796098886814e-08,5.6413796098886814e-08
leaky100,free_sham,7,1,True,False,0.0,0.0,0.9354781961940419,5.446474538694089,0.17175848148155362,0.9354781961940419,0.17175848148155362,0.0,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6521377095998814e-08,1.6521377095998814e-08
leaky100,free_sham,7,2,True,False,0.0,0.0,0.9354909866912198,5.446487130797558,0.17176043277536046,0.9354909866912198,0.17176043277536046,0.0,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2615709833376465e-08,1.2615709833376465e-08
leaky100,free_sham,7,5,True,False,0.0,0.0,0.9355026638127402,5.44649849546302,0.17176221834854483,0.9355026638127402,0.17176221834854483,0.0,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0821781347627274e-08,1.0821781347627274e-08
leaky100,free_sham,7,10,True,False,0.0,0.0,0.9355110474527663,5.446506710742752,0.171763498538899,0.9355110474527663,0.171763498538899,0.0,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.525137082040628e-09,9.525137082040628e-09
leaky100,free_sham,7,20,True,False,0.0,0.0,0.9355190820843522,5.446514944204505,0.17176471407276936,0.9355190820843522,0.17176471407276936,0.0,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.362179542206178e-09,8.362179542206178e-09
leaky100,free_sham,7,50,True,False,0.0,0.0,0.9355301952244784,5.446527544739856,0.17176635710361812,0.9355301952244784,0.17176635710361812,0.0,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.807607833252986e-09,6.807607833252986e-09
leaky100,free_sham,7,100,True,False,0.0,0.0,0.9355451570042114,5.446545348069839,0.17176854266636232,0.9355451570042114,0.17176854266636232,0.0,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.63411453311465e-09,5.63411453311465e-09
leaky100,free_sham,7,200,True,False,0.0,0.0,0.9355671594982363,5.4465729728272025,0.17177171115961434,0.9355671594982363,0.17177171115961434,0.0,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.543354408217947e-09,4.543354408217947e-09
leaky100,free_sham,7,500,True,False,0.0,0.0,0.9356174355761439,5.446636554043498,0.1717789366506484,0.9356174355761439,0.1717789366506484,0.0,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7107186485321712e-09,2.7107186485321712e-09
