env,endpoint,family,contrast,seed,c,se,m,state,note
pmnist,A,H,sE,1,0.06699949503,0.1276532651,0.1505980319,EQ,
pmnist,A,H,sE,2,0.1134997606,0.1122327092,0.1377700698,EQ,
pmnist,A,H,Lb,0,1.107499599,0.1402897816,0.1614485489,DIR+,
pmnist,A,H,Lb,1,0.8494997025,0.09318769506,0.1227532388,DIR+,
pmnist,A,H,Lb,2,1.084499359,0.07679245355,0.1108218933,DIR+,
pmnist,A,H,Eb,0,0.7360002398,0.1137004055,0.1389683177,DIR+,
pmnist,A,H,Eb,1,0.5584996939,0.1177291974,0.142283432,DIR+,
pmnist,A,H,Eb,2,0.3899991512,0.1789939375,0.1960184705,DIR+,
pmnist,A,H,N,0,0.5022500455,0.07704609225,0.09554216813,DIR+,
pmnist,A,H,N,1,0.4582495987,0.07098116578,0.09072227651,DIR+,
pmnist,A,H,N,2,0.5989995599,0.05485213949,0.07874619207,DIR+,
pmnist,A,H,D,0,0.1307506859,0.07646679668,0.09507563596,EQ,
pmnist,A,H,D,1,0.1672495902,0.06547545492,0.08648260378,EQ,
pmnist,A,H,D,2,-0.09550064802,0.1253867931,0.1375283732,EQ,
pmnist,A,H,I,0,-0.6052495539,0.1291943703,0.141008478,DIR-,
pmnist,A,H,I,1,-0.3912501037,0.08632106001,0.1031674898,DIR-,
pmnist,A,H,I,2,-0.4854997993,0.08475758765,0.1018629188,DIR-,
pmnist,late,H,Gamma_N_B0_l0,0,0,nan,nan,,
pmnist,late,H,Gamma_N_B0_l0,1,0,nan,nan,,
pmnist,late,H,Gamma_N_B0_l0,2,0,nan,nan,,
pmnist,late,H,Gamma_N_B1_l0,0,0.05097476107,nan,nan,,
pmnist,late,H,Gamma_N_B1_l0,1,0.04726381185,nan,nan,,
pmnist,late,H,Gamma_N_B1_l0,2,0.04807189099,nan,nan,,
pmnist,late,H,Gamma_N_B2_l0,0,1.084202172e-20,nan,nan,,
pmnist,late,H,Gamma_N_B2_l0,1,-6.505213035e-20,nan,nan,,
pmnist,late,H,Gamma_N_B2_l0,2,8.131516294e-20,nan,nan,,
pmnist,late,H,Gamma_N_B3_l0,0,-1.139292401e-20,nan,nan,,
pmnist,late,H,Gamma_N_B3_l0,1,-2.111196534e-20,nan,nan,,
pmnist,late,H,Gamma_N_B3_l0,2,1.324349248e-20,nan,nan,,
pmnist,late,H,Phi_N_B0_l0,0,0,nan,nan,,
pmnist,late,H,Phi_N_B0_l0,1,0,nan,nan,,
pmnist,late,H,Phi_N_B0_l0,2,0,nan,nan,,
pmnist,late,H,Phi_N_B1_l0,0,-0.09924303405,nan,nan,,
pmnist,late,H,Phi_N_B1_l0,1,-0.0931675033,nan,nan,,
pmnist,late,H,Phi_N_B1_l0,2,-0.09564425867,nan,nan,,
pmnist,late,H,Phi_N_B2_l0,0,-0.3469738374,nan,nan,,
pmnist,late,H,Phi_N_B2_l0,1,-0.3635165831,nan,nan,,
pmnist,late,H,Phi_N_B2_l0,2,-0.3688504788,nan,nan,,
pmnist,late,H,Phi_N_B3_l0,0,-0.0587755387,nan,nan,,
pmnist,late,H,Phi_N_B3_l0,1,-0.05897028043,nan,nan,,
pmnist,late,H,Phi_N_B3_l0,2,-0.05543190009,nan,nan,,
pmnist,late,H,Psi_N_B0_l0,0,0,nan,nan,,
pmnist,late,H,Psi_N_B0_l0,1,0,nan,nan,,
pmnist,late,H,Psi_N_B0_l0,2,0,nan,nan,,
pmnist,late,H,Psi_N_B1_l0,0,0.06604202827,nan,nan,,
pmnist,late,H,Psi_N_B1_l0,1,0.06224203423,nan,nan,,
pmnist,late,H,Psi_N_B1_l0,2,0.06399832923,nan,nan,,
pmnist,late,H,Psi_N_B2_l0,0,0.3469738374,nan,nan,,
pmnist,late,H,Psi_N_B2_l0,1,0.3635165831,nan,nan,,
pmnist,late,H,Psi_N_B2_l0,2,0.3688504788,nan,nan,,
pmnist,late,H,Psi_N_B3_l0,0,0.0587755387,nan,nan,,
pmnist,late,H,Psi_N_B3_l0,1,0.05897028043,nan,nan,,
pmnist,late,H,Psi_N_B3_l0,2,0.05543190009,nan,nan,,
pmnist,late,H,Gamma_N_B0_l1,0,0,nan,nan,,
pmnist,late,H,Gamma_N_B0_l1,1,0,nan,nan,,
pmnist,late,H,Gamma_N_B0_l1,2,0,nan,nan,,
pmnist,late,H,Gamma_N_B1_l1,0,0.0346084153,nan,nan,,
pmnist,late,H,Gamma_N_B1_l1,1,0.03571571654,nan,nan,,
pmnist,late,H,Gamma_N_B1_l1,2,0.03783332683,nan,nan,,
pmnist,late,H,Gamma_N_B2_l1,0,2.493664997e-19,nan,nan,,
pmnist,late,H,Gamma_N_B2_l1,1,-4.33680869e-20,nan,nan,,
pmnist,late,H,Gamma_N_B2_l1,2,-1.463672933e-19,nan,nan,,
pmnist,late,H,Gamma_N_B3_l1,0,-1.610143458e-19,nan,nan,,
pmnist,late,H,Gamma_N_B3_l1,1,2.176543802e-20,nan,nan,,
pmnist,late,H,Gamma_N_B3_l1,2,-5.555212645e-20,nan,nan,,
pmnist,late,H,Phi_N_B0_l1,0,0,nan,nan,,
pmnist,late,H,Phi_N_B0_l1,1,0,nan,nan,,
pmnist,late,H,Phi_N_B0_l1,2,0,nan,nan,,
pmnist,late,H,Phi_N_B1_l1,0,-0.06696895159,nan,nan,,
pmnist,late,H,Phi_N_B1_l1,1,-0.06940091543,nan,nan,,
pmnist,late,H,Phi_N_B1_l1,2,-0.07298731575,nan,nan,,
pmnist,late,H,Phi_N_B2_l1,0,-0.3280964802,nan,nan,,
pmnist,late,H,Phi_N_B2_l1,1,-0.3392685401,nan,nan,,
pmnist,late,H,Phi_N_B2_l1,2,-0.3351730774,nan,nan,,
pmnist,late,H,Phi_N_B3_l1,0,-0.1322862077,nan,nan,,
pmnist,late,H,Phi_N_B3_l1,1,-0.1163366804,nan,nan,,
pmnist,late,H,Phi_N_B3_l1,2,-0.1098250141,nan,nan,,
pmnist,late,H,Psi_N_B0_l1,0,0,nan,nan,,
pmnist,late,H,Psi_N_B0_l1,1,0,nan,nan,,
pmnist,late,H,Psi_N_B0_l1,2,0,nan,nan,,
pmnist,late,H,Psi_N_B1_l1,0,0.0445643714,nan,nan,,
pmnist,late,H,Psi_N_B1_l1,1,0.04620960002,nan,nan,,
pmnist,late,H,Psi_N_B1_l1,2,0.04852361873,nan,nan,,
pmnist,late,H,Psi_N_B2_l1,0,0.3280964802,nan,nan,,
pmnist,late,H,Psi_N_B2_l1,1,0.3392685401,nan,nan,,
pmnist,late,H,Psi_N_B2_l1,2,0.3351730774,nan,nan,,
pmnist,late,H,Psi_N_B3_l1,0,0.1322862077,nan,nan,,
pmnist,late,H,Psi_N_B3_l1,1,0.1163366804,nan,nan,,
pmnist,late,H,Psi_N_B3_l1,2,0.1098250141,nan,nan,,
pmnist,late,H,Gamma_D_B0_l0,0,0,nan,nan,,
pmnist,late,H,Gamma_D_B0_l0,1,0,nan,nan,,
pmnist,late,H,Gamma_D_B0_l0,2,0,nan,nan,,
pmnist,late,H,Gamma_D_B1_l0,0,-3.035766083e-19,nan,nan,,
pmnist,late,H,Gamma_D_B1_l0,1,4.445228907e-19,nan,nan,,
pmnist,late,H,Gamma_D_B1_l0,2,-1.301042607e-19,nan,nan,,
pmnist,late,H,Gamma_D_B2_l0,0,0.04218958769,nan,nan,,
pmnist,late,H,Gamma_D_B2_l0,1,0.04481177124,nan,nan,,
pmnist,late,H,Gamma_D_B2_l0,2,0.04524159694,nan,nan,,
pmnist,late,H,Gamma_D_B3_l0,0,0.00877509637,nan,nan,,
pmnist,late,H,Gamma_D_B3_l0,1,0.008804067175,nan,nan,,
pmnist,late,H,Gamma_D_B3_l0,2,0.008275819076,nan,nan,,
pmnist,late,H,Phi_D_B0_l0,0,0,nan,nan,,
pmnist,late,H,Phi_D_B0_l0,1,0,nan,nan,,
pmnist,late,H,Phi_D_B0_l0,2,0,nan,nan,,
pmnist,late,H,Phi_D_B1_l0,0,-6.505213035e-20,nan,nan,,
pmnist,late,H,Phi_D_B1_l0,1,-3.469446952e-19,nan,nan,,
pmnist,late,H,Phi_D_B1_l0,2,-6.2883726e-19,nan,nan,,
pmnist,late,H,Phi_D_B2_l0,0,-0.1129605085,nan,nan,,
pmnist,late,H,Phi_D_B2_l0,1,-0.1237288434,nan,nan,,
pmnist,late,H,Phi_D_B2_l0,2,-0.1228497096,nan,nan,,
pmnist,late,H,Phi_D_B3_l0,0,-0.1441991408,nan,nan,,
pmnist,late,H,Phi_D_B3_l0,1,-0.1314363996,nan,nan,,
pmnist,late,H,Phi_D_B3_l0,2,-0.1366171473,nan,nan,,
pmnist,late,H,Psi_D_B0_l0,0,0,nan,nan,,
pmnist,late,H,Psi_D_B0_l0,1,0,nan,nan,,
pmnist,late,H,Psi_D_B0_l0,2,0,nan,nan,,
pmnist,late,H,Psi_D_B1_l0,0,0,nan,nan,,
pmnist,late,H,Psi_D_B1_l0,1,0,nan,nan,,
pmnist,late,H,Psi_D_B1_l0,2,0,nan,nan,,
pmnist,late,H,Psi_D_B2_l0,0,-0.1303790591,nan,nan,,
pmnist,late,H,Psi_D_B2_l0,1,-0.138939295,nan,nan,,
pmnist,late,H,Psi_D_B2_l0,2,-0.1400709452,nan,nan,,
pmnist,late,H,Psi_D_B3_l0,0,-0.02897411172,nan,nan,,
pmnist,late,H,Psi_D_B3_l0,1,-0.02906889934,nan,nan,,
pmnist,late,H,Psi_D_B3_l0,2,-0.02732493348,nan,nan,,
pmnist,late,H,Gamma_D_B0_l1,0,0,nan,nan,,
pmnist,late,H,Gamma_D_B0_l1,1,0,nan,nan,,
pmnist,late,H,Gamma_D_B0_l1,2,0,nan,nan,,
pmnist,late,H,Gamma_D_B1_l1,0,-4.499439016e-19,nan,nan,,
pmnist,late,H,Gamma_D_B1_l1,1,2.493664997e-19,nan,nan,,
pmnist,late,H,Gamma_D_B1_l1,2,-1.084202172e-19,nan,nan,,
pmnist,late,H,Gamma_D_B2_l1,0,0.04195767514,nan,nan,,
pmnist,late,H,Gamma_D_B2_l1,1,0.04333348412,nan,nan,,
pmnist,late,H,Gamma_D_B2_l1,2,0.04252444787,nan,nan,,
pmnist,late,H,Gamma_D_B3_l1,0,0.01975021516,nan,nan,,
pmnist,late,H,Gamma_D_B3_l1,1,0.0173688435,nan,nan,,
pmnist,late,H,Gamma_D_B3_l1,2,0.01639667232,nan,nan,,
pmnist,late,H,Phi_D_B0_l1,0,0,nan,nan,,
pmnist,late,H,Phi_D_B0_l1,1,0,nan,nan,,
pmnist,late,H,Phi_D_B0_l1,2,0,nan,nan,,
pmnist,late,H,Phi_D_B1_l1,0,-4.119968255e-19,nan,nan,,
pmnist,late,H,Phi_D_B1_l1,1,1.517883041e-19,nan,nan,,
pmnist,late,H,Phi_D_B1_l1,2,-5.421010862e-20,nan,nan,,
pmnist,late,H,Phi_D_B2_l1,0,-0.1312887892,nan,nan,,
pmnist,late,H,Phi_D_B2_l1,1,-0.1345854671,nan,nan,,
pmnist,late,H,Phi_D_B2_l1,2,-0.1300689223,nan,nan,,
pmnist,late,H,Phi_D_B3_l1,0,-0.2143940592,nan,nan,,
pmnist,late,H,Phi_D_B3_l1,1,-0.1841764395,nan,nan,,
pmnist,late,H,Phi_D_B3_l1,2,-0.1742089831,nan,nan,,
pmnist,late,H,Psi_D_B0_l1,0,0,nan,nan,,
pmnist,late,H,Psi_D_B0_l1,1,0,nan,nan,,
pmnist,late,H,Psi_D_B0_l1,2,0,nan,nan,,
pmnist,late,H,Psi_D_B1_l1,0,0,nan,nan,,
pmnist,late,H,Psi_D_B1_l1,1,0,nan,nan,,
pmnist,late,H,Psi_D_B1_l1,2,0,nan,nan,,
pmnist,late,H,Psi_D_B2_l1,0,-0.1314832106,nan,nan,,
pmnist,late,H,Psi_D_B2_l1,1,-0.1357306882,nan,nan,,
pmnist,late,H,Psi_D_B2_l1,2,-0.1329849697,nan,nan,,
pmnist,late,H,Psi_D_B3_l1,0,-0.06521296768,nan,nan,,
pmnist,late,H,Psi_D_B3_l1,1,-0.05734894954,nan,nan,,
pmnist,late,H,Psi_D_B3_l1,2,-0.05413907291,nan,nan,,
pmnist,late,H,Gamma_I_B0_l0,0,0,nan,nan,,
pmnist,late,H,Gamma_I_B0_l0,1,0,nan,nan,,
pmnist,late,H,Gamma_I_B0_l0,2,0,nan,nan,,
pmnist,late,H,Gamma_I_B1_l0,0,8.67361738e-20,nan,nan,,
pmnist,late,H,Gamma_I_B1_l0,1,8.67361738e-20,nan,nan,,
pmnist,late,H,Gamma_I_B1_l0,2,-4.33680869e-20,nan,nan,,
pmnist,late,H,Gamma_I_B2_l0,0,1.084202172e-20,nan,nan,,
pmnist,late,H,Gamma_I_B2_l0,1,-6.505213035e-20,nan,nan,,
pmnist,late,H,Gamma_I_B2_l0,2,8.131516294e-20,nan,nan,,
pmnist,late,H,Gamma_I_B3_l0,0,-1.139292401e-20,nan,nan,,
pmnist,late,H,Gamma_I_B3_l0,1,-2.111196534e-20,nan,nan,,
pmnist,late,H,Gamma_I_B3_l0,2,1.324349248e-20,nan,nan,,
pmnist,late,H,Phi_I_B0_l0,0,0,nan,nan,,
pmnist,late,H,Phi_I_B0_l0,1,0,nan,nan,,
pmnist,late,H,Phi_I_B0_l0,2,0,nan,nan,,
pmnist,late,H,Phi_I_B1_l0,0,-2.602085214e-19,nan,nan,,
pmnist,late,H,Phi_I_B1_l0,1,1.734723476e-19,nan,nan,,
pmnist,late,H,Phi_I_B1_l0,2,-6.071532166e-19,nan,nan,,
pmnist,late,H,Phi_I_B2_l0,0,-2.220446049e-17,nan,nan,,
pmnist,late,H,Phi_I_B2_l0,1,-2.602085214e-17,nan,nan,,
pmnist,late,H,Phi_I_B2_l0,2,-3.087807787e-17,nan,nan,,
pmnist,late,H,Phi_I_B3_l0,0,-6.310056644e-18,nan,nan,,
pmnist,late,H,Phi_I_B3_l0,1,-8.435092902e-18,nan,nan,,
pmnist,late,H,Phi_I_B3_l0,2,-3.794707604e-18,nan,nan,,
pmnist,late,H,Psi_I_B0_l0,0,0,nan,nan,,
pmnist,late,H,Psi_I_B0_l0,1,0,nan,nan,,
pmnist,late,H,Psi_I_B0_l0,2,0,nan,nan,,
pmnist,late,H,Psi_I_B1_l0,0,0,nan,nan,,
pmnist,late,H,Psi_I_B1_l0,1,0,nan,nan,,
pmnist,late,H,Psi_I_B1_l0,2,0,nan,nan,,
pmnist,late,H,Psi_I_B2_l0,0,-1.283695372e-17,nan,nan,,
pmnist,late,H,Psi_I_B2_l0,1,-1.595945598e-17,nan,nan,,
pmnist,late,H,Psi_I_B2_l0,2,-1.526556659e-17,nan,nan,,
pmnist,late,H,Psi_I_B3_l0,0,-1.170938346e-18,nan,nan,,
pmnist,late,H,Psi_I_B3_l0,1,-2.233456475e-18,nan,nan,,
pmnist,late,H,Psi_I_B3_l0,2,-4.185020386e-18,nan,nan,,
pmnist,late,H,Gamma_I_B0_l1,0,0,nan,nan,,
pmnist,late,H,Gamma_I_B0_l1,1,0,nan,nan,,
pmnist,late,H,Gamma_I_B0_l1,2,0,nan,nan,,
pmnist,late,H,Gamma_I_B1_l1,0,-3.252606517e-19,nan,nan,,
pmnist,late,H,Gamma_I_B1_l1,1,-2.385244779e-19,nan,nan,,
pmnist,late,H,Gamma_I_B1_l1,2,-6.505213035e-20,nan,nan,,
pmnist,late,H,Gamma_I_B2_l1,0,2.493664997e-19,nan,nan,,
pmnist,late,H,Gamma_I_B2_l1,1,-4.33680869e-20,nan,nan,,
pmnist,late,H,Gamma_I_B2_l1,2,-1.463672933e-19,nan,nan,,
pmnist,late,H,Gamma_I_B3_l1,0,-1.610143458e-19,nan,nan,,
pmnist,late,H,Gamma_I_B3_l1,1,2.176543802e-20,nan,nan,,
pmnist,late,H,Gamma_I_B3_l1,2,-5.555212645e-20,nan,nan,,
pmnist,late,H,Phi_I_B0_l1,0,0,nan,nan,,
pmnist,late,H,Phi_I_B0_l1,1,0,nan,nan,,
pmnist,late,H,Phi_I_B0_l1,2,0,nan,nan,,
pmnist,late,H,Phi_I_B1_l1,0,-2.602085214e-19,nan,nan,,
pmnist,late,H,Phi_I_B1_l1,1,4.33680869e-20,nan,nan,,
pmnist,late,H,Phi_I_B1_l1,2,-8.67361738e-20,nan,nan,,
pmnist,late,H,Phi_I_B2_l1,0,-1.45716772e-17,nan,nan,,
pmnist,late,H,Phi_I_B2_l1,1,-2.983724379e-17,nan,nan,,
pmnist,late,H,Phi_I_B2_l1,2,-2.498001805e-17,nan,nan,,
pmnist,late,H,Phi_I_B3_l1,0,-6.635317296e-18,nan,nan,,
pmnist,late,H,Phi_I_B3_l1,1,-9.671083379e-18,nan,nan,,
pmnist,late,H,Phi_I_B3_l1,2,-6.808789643e-18,nan,nan,,
pmnist,late,H,Psi_I_B0_l1,0,0,nan,nan,,
pmnist,late,H,Psi_I_B0_l1,1,0,nan,nan,,
pmnist,late,H,Psi_I_B0_l1,2,0,nan,nan,,
pmnist,late,H,Psi_I_B1_l1,0,0,nan,nan,,
pmnist,late,H,Psi_I_B1_l1,1,0,nan,nan,,
pmnist,late,H,Psi_I_B1_l1,2,0,nan,nan,,
pmnist,late,H,Psi_I_B2_l1,0,-2.15105711e-17,nan,nan,,
pmnist,late,H,Psi_I_B2_l1,1,-1.040834086e-17,nan,nan,,
pmnist,late,H,Psi_I_B2_l1,2,-6.938893904e-18,nan,nan,,
pmnist,late,H,Psi_I_B3_l1,0,-6.071532166e-18,nan,nan,,
pmnist,late,H,Psi_I_B3_l1,1,-7.589415207e-18,nan,nan,,
pmnist,late,H,Psi_I_B3_l1,2,-3.859759734e-18,nan,nan,,
pmnist,all,H,first_departure_SMAXH_from_ELU1,0,1,nan,nan,,
pmnist,all,H,first_departure_SMINH_from_LR,0,1,nan,nan,,
pmnist,all,H,first_departure_SMAXH_from_ELU1,1,1,nan,nan,,
pmnist,all,H,first_departure_SMINH_from_LR,1,1,nan,nan,,
pmnist,all,H,first_departure_SMAXH_from_ELU1,2,1,nan,nan,,
pmnist,all,H,first_departure_SMINH_from_LR,2,1,nan,nan,,
pmnist,L_ISSA,H,PAR,0,0.03600358963,0.6626543051,0.6626543051,UNRES,
pmnist,L_ISSA,H,PAR,1,-0.3439986706,0.3129191567,0.3129191567,UNRES,
pmnist,L_ISSA,H,PAR,2,-0.4800033569,0.2364537195,0.2364537195,UNRES,
pmnist,L_ISSA,H,a1,0,-0.6299984455,0.3443129061,0.3443129061,DIR-,
pmnist,L_ISSA,H,a1,1,-0.9779965878,0.2098142709,0.2098142709,DIR-,
pmnist,L_ISSA,H,a1,2,-1.32999897,0.1837995097,0.1837995097,DIR-,
pmnist,L_ISSA,H,b1,0,-0.6660020351,0.2454325951,0.2454325951,DIR-,
pmnist,L_ISSA,H,b1,1,-0.6339979172,0.2109128816,0.2109128816,DIR-,
pmnist,L_ISSA,H,b1,2,-0.8499956131,0.4042289776,0.4042289776,DIR-,
pmnist,L_ISSA,H,sL,0,0.0720012188,0.3036677689,0.3036677689,UNRES,
pmnist,L_ISSA,H,sL,1,-0.2199995518,0.1018235548,0.1018235548,UNRES,
pmnist,L_ISSA,H,sL,2,-0.5580031872,0.2491623789,0.2491623789,UNRES,
pmnist,L_ISSA,H,sE,0,0.03599762917,0.4800728218,0.4800728218,EQ,
pmnist,L_ISSA,H,sE,1,0.1239991188,0.3163949729,0.3163949729,EQ,
pmnist,L_ISSA,H,sE,2,-0.07799983025,0.2118087027,0.2118087027,EQ,
pmnist,L_ISSA,H,Lb,0,0.6299984455,0.3443129061,0.3443129061,DIR+,
pmnist,L_ISSA,H,Lb,1,0.9779965878,0.2098142709,0.2098142709,DIR+,
pmnist,L_ISSA,H,Lb,2,1.32999897,0.1837995097,0.1837995097,DIR+,
pmnist,L_ISSA,H,Eb,0,0.6660020351,0.2454325951,0.2454325951,DIR+,
pmnist,L_ISSA,H,Eb,1,0.6339979172,0.2109128816,0.2109128816,DIR+,
pmnist,L_ISSA,H,Eb,2,0.8499956131,0.4042289776,0.4042289776,DIR+,
pmnist,L_ISSA,H,N,0,0.3329980373,0.3935654093,0.3935654093,UNRES,
pmnist,L_ISSA,H,N,1,0.5509978533,0.2433104382,0.2433104382,UNRES,
pmnist,L_ISSA,H,N,2,0.6259995699,0.1364893303,0.1364893303,UNRES,
pmnist,L_ISSA,H,D,0,0.369001627,0.2814419426,0.2814419426,EQ,
pmnist,L_ISSA,H,D,1,0.2069991827,0.1132652813,0.1132652813,EQ,
pmnist,L_ISSA,H,D,2,0.145996213,0.1942190254,0.1942190254,EQ,
pmnist,L_ISSA,H,I,0,-0.2970004082,0.1239206524,0.1239206524,DIR-,
pmnist,L_ISSA,H,I,1,-0.4269987345,0.1140390373,0.1140390373,DIR-,
pmnist,L_ISSA,H,I,2,-0.7039994001,0.1591074254,0.1591074254,DIR-,
pmnist,A_ISSA,H,PAR,0,-0.1299977303,0.6196370306,0.6247675254,EQ,
pmnist,A_ISSA,H,PAR,1,-0.271999836,0.2361868674,0.2493364142,EQ,
pmnist,A_ISSA,H,PAR,2,-0.3520011902,0.1902999671,0.2063940129,EQ,
pmnist,A_ISSA,H,a1,0,-0.7339990139,0.2244240461,0.2382237679,DIR-,
pmnist,A_ISSA,H,a1,1,-0.8239996433,0.05895804378,0.09929985923,DIR-,
pmnist,A_ISSA,H,a1,2,-1.115999222,0.1280472046,0.1509320964,DIR-,
pmnist,A_ISSA,H,b1,0,-0.6040012836,0.2405168412,0.2534418317,DIR-,
pmnist,A_ISSA,H,b1,1,-0.5519998074,0.2002846179,0.2156347358,DIR-,
pmnist,A_ISSA,H,b1,2,-0.7639980316,0.4022748926,0.4101335153,DIR-,
pmnist,A_ISSA,H,sL,0,-0.04399895668,0.2077237479,0.222561377,UNRES,
pmnist,A_ISSA,H,sL,1,-0.3320014477,0.09029920512,0.1205751117,UNRES,
pmnist,A_ISSA,H,sL,2,-0.654001236,0.2249577572,0.2387266295,UNRES,
pmnist,A_ISSA,H,sE,0,0.08599877357,0.1909602331,0.207002951,EQ,
pmnist,A_ISSA,H,sE,1,-0.06000161171,0.2475478195,0.2601236899,EQ,
pmnist,A_ISSA,H,sE,2,-0.3020000458,0.1643985999,0.1827876111,EQ,
pmnist,A_ISSA,H,Lb,0,0.7339990139,0.2244240461,0.2382237679,DIR+,
pmnist,A_ISSA,H,Lb,1,0.8239996433,0.05895804378,0.09929985923,DIR+,
pmnist,A_ISSA,H,Lb,2,1.115999222,0.1280472046,0.1509320964,DIR+,
pmnist,A_ISSA,H,Eb,0,0.6040012836,0.2405168412,0.2534418317,DIR+,
pmnist,A_ISSA,H,Eb,1,0.5519998074,0.2002846179,0.2156347358,DIR+,
pmnist,A_ISSA,H,Eb,2,0.7639980316,0.4022748926,0.4101335153,DIR+,
pmnist,A_ISSA,H,N,0,0.4099988937,0.1895122101,0.1977551096,DIR+,
pmnist,A_ISSA,H,N,1,0.3819990158,0.14371522,0.1544223754,DIR+,
pmnist,A_ISSA,H,N,2,0.406999588,0.0587704225,0.081524034,DIR+,
