act,arm,lam,lr,seed,task,online_acc,memo_acc,acc,dead_frac_l1,zeroout_l1,zbar_l1,zsd_l1,zbar_min_l1,mob_l1,eff_rank_l1,dead_frac_l2,zeroout_l2,zbar_l2,zsd_l2,zbar_min_l2,mob_l2,eff_rank_l2,w_norm_l1,w_norm_l2,w_norm_l3,reg_loss,wt_q10_l1,wt_med_l1,wt_q90_l1,wt_max_l1,wt_ratio0_med_l1,rowmean_abs_med_l1,b_med_l1,exceed_t1_frac_l1,exceed_2x0_frac_l1,bind_frac_l1,proj_rows_l1,proj_removed_l1,wt_q10_l2,wt_med_l2,wt_q90_l2,wt_max_l2,wt_ratio0_med_l2,rowmean_abs_med_l2,b_med_l2,exceed_t1_frac_l2,exceed_2x0_frac_l2,bind_frac_l2,proj_rows_l2,proj_removed_l2,pen_wt_total,pen_rest_total
LR,l2wt,0,0.001,4,18,0.9351875,0.9925000072,0.9925000072,0,0,-0.8323040009,0.7670426965,-1.740867734,0.1787499785,66.43647784,0,0,-0.4279333353,0.2782333195,-1.593467712,0.1052500159,27.29876734,1.116412759,1.018800735,34.56387329,0.1535069613,0.3184433748,1.099422636,1.622048679,1.782929937,1.891142858,0.005489913391,-0.2999613285,0.66,0.46,nan,nan,nan,0.1491025978,0.2597081553,0.9632769836,1.065866912,0.4693165856,0.06308936809,-0.1170739532,0.31,0,nan,nan,nan,0.1535069613,11.84535213
LR,l2wt,0,0.001,4,19,0.9335729167,1,1,0,0,-0.7585568428,0.7433902025,-2.070875645,0.1944999993,62.41063797,0,0,-0.331679225,0.2463797033,-1.361627698,0.1112500131,28.84204251,1.066543102,0.9924213886,35.15573883,0.1431894637,0.1936270196,1.063388409,1.586250949,1.852679057,1.822550387,0.004345918711,-0.3254616559,0.57,0.4,nan,nan,nan,0.1113665577,0.307963944,0.9465369236,1.150018261,0.5278226921,0.06430563337,-0.1061133258,0.33,0.02,nan,nan,nan,0.1431894637,12.25560175
LR,l2wt,0,0.001,4,20,0.93700625,1,1,0,0,-0.7322358489,0.7018735409,-2.089499235,0.2079999745,60.9763848,0,0,-0.3010796309,0.2433895469,-1.134544253,0.1180000082,29.00535067,0.90351969,1.010787487,35.86618423,0.1372615139,0.2435501088,0.90560278,1.638548368,1.804424434,1.585917379,0.005438811291,-0.3561452031,0.61,0.39,nan,nan,nan,0.1111163834,0.2733308017,0.9330637558,1.214873742,0.4702169549,0.06953367883,-0.07817065716,0.31,0.01,nan,nan,nan,0.1372615139,12.79134036
LR,l2wt,0,0.001,4,21,0.9369270833,0.9108333588,0.9108333588,0,0,-0.7558041811,0.7084306479,-2.262882948,0.1577499807,57.07925327,0,0,-0.4131326079,0.2518820763,-1.961713433,0.103000015,26.47260812,0.7617367506,0.9893190861,36.31752777,0.1438886238,0.266238511,0.7488534783,1.691657186,1.952054609,1.290266476,0.004520276825,-0.3531989455,0.63,0.43,nan,nan,nan,0.1116447353,0.2864533973,0.9235958055,1.115992815,0.4999497662,0.06285201316,-0.09132491797,0.35,0.02,nan,nan,nan,0.1438886238,13.16235404
LR,l2wt,0,0.001,4,22,0.9399770833,1,1,0,0,-0.713981688,0.6557898521,-2.17025423,0.2162499428,56.03183345,0,0,-0.1507518291,0.2315140516,-0.9196844697,0.1847499758,30.95234426,0.9107662439,0.9711484313,36.61288071,0.1242619546,0.1005545995,0.906135576,1.490919078,2.079070026,1.565368784,0.004437506842,-0.3550716192,0.54,0.35,nan,nan,nan,0.0450028381,0.2747619989,0.9200023422,1.177277362,0.4608861253,0.06085998836,-0.1095189862,0.33,0.01,nan,nan,nan,0.1242619546,13.63989939
LR,l2wt,0,0.001,4,23,0.9401458333,1,1,0,0,-0.7915637493,0.714055419,-2.305239916,0.2169999927,60.76124165,0,0,-0.2839508951,0.2418591082,-1.377138734,0.1210000068,27.85769699,1.019697905,1.004907131,37.52865982,0.1324499601,0.1887041551,0.9936215775,1.566914702,1.805266511,1.716809977,0.005166393103,-0.3253356665,0.59,0.4,nan,nan,nan,0.07781550193,0.2704507836,0.9217066866,1.189335185,0.4742010815,0.07108298943,-0.09864075482,0.29,0.03,nan,nan,nan,0.1324499601,14.10787126
LR,l2wt,0,0.001,4,24,0.9397770833,1,1,0,0,-0.794603467,0.711656034,-1.843033671,0.182499975,55.19658177,0,0,-0.3547744751,0.2511306107,-1.443560958,0.1075000092,26.4098789,0.947517097,1.016999006,37.8322525,0.1415943057,0.1883323897,0.8866008807,1.716945579,1.908396975,1.540816263,0.005475656253,-0.3278702199,0.64,0.41,nan,nan,nan,0.04510028537,0.2487590403,0.9485844363,1.213308851,0.4213712359,0.06844273994,-0.1129909642,0.29,0.02,nan,nan,nan,0.1415943057,14.48876843
LR,l2wt,0,0.001,4,25,0.9352208333,1,1,0,0,-0.7678667307,0.6601216793,-2.303613186,0.2282499671,60.21424374,0,0,-0.4277580678,0.2632401884,-1.585027814,0.1127500162,27.27141883,0.9107047915,1.034249544,38.57957077,0.1336784233,0.1878764266,0.8780110061,1.585843254,1.83898924,1.512243468,0.005289596689,-0.3719155937,0.61,0.39,nan,nan,nan,0.05448694572,0.2931758983,0.9757160171,1.216059736,0.5122185045,0.06936678135,-0.1327001005,0.28,0.03,nan,nan,nan,0.1336784233,14.9739215
LR,l2wt,0,0.001,4,26,0.9327895833,1,1,0,0,-0.7418932319,0.6989768147,-2.495542288,0.2244999707,62.53205132,0,0,-0.3676543236,0.227047503,-1.559745073,0.1112500131,26.43771388,1.040754199,1.058009267,39.19364548,0.131754072,0.160121784,1.037894345,1.594422235,1.853884166,1.783401819,0.004955406839,-0.3709996045,0.59,0.4,nan,nan,nan,0.05220535435,0.2675189251,0.970464132,1.28361235,0.4731939051,0.0654182366,-0.1224539652,0.24,0.02,nan,nan,nan,0.131754072,15.43519251
LR,l2wt,0,0.001,4,27,0.9371145833,1,1,0,0,-0.7467160821,0.6550397873,-1.539917231,0.2087499797,61.65628047,0,0,-0.4650061131,0.25016132,-1.657809973,0.108250007,25.22338627,0.9084227681,1.065762877,39.82710266,0.1348042383,0.1805869321,0.9175444831,1.567410071,1.991796643,1.556867832,0.004616443762,-0.3986009657,0.6,0.41,nan,nan,nan,0.042001312,0.2666030562,0.9721967453,1.349246841,0.4594264534,0.06312754978,-0.1553303152,0.26,0.02,nan,nan,nan,0.1348042383,15.81599122
LR,l2wt,0,0.001,4,28,0.93544375,1,1,0,0,-0.7429513335,0.6335498691,-1.659439802,0.1997499764,55.75705969,0,0,-0.391431421,0.2521523833,-1.543881893,0.1150000095,25.98716546,0.8370505571,1.068054914,40.17486572,0.1243751399,0.1110220811,0.8377211722,1.583272883,2.003768966,1.453847436,0.004844282752,-0.3801776916,0.54,0.35,nan,nan,nan,0.01028552226,0.240659513,0.9177702103,1.274944673,0.4115728374,0.0648215743,-0.1495382786,0.25,0.05,nan,nan,nan,0.1243751399,16.21604171
LR,l2wt,0,0.001,4,29,0.9417854167,1,1,0,0,-0.7049763799,0.6660414338,-2.411496878,0.2072499841,52.38184742,0,0,-0.2116096467,0.2125866264,-1.390817523,0.147999987,26.6978222,0.926441133,1.083160996,40.47630692,0.1170413585,0.09327856496,0.8935226248,1.51436077,1.702960955,1.559765429,0.004475899359,-0.3929135948,0.54,0.32,nan,nan,nan,0.008270841643,0.2316106114,0.9421929545,1.230889401,0.4102917228,0.07779523322,-0.1702347845,0.25,0.04,nan,nan,nan,0.1170413585,16.59996714
LR,l2wt,0,0.001,4,30,0.9363833333,0.7366666794,0.7366666794,0,0,-0.9405270219,0.7529901862,-3.466879129,0.1577499956,60.03943097,0,0,-0.8069956303,0.2910730243,-2.676988602,0.1000000164,16.70582582,1.040800333,1.079230547,40.93518448,0.1277629542,0.2926966173,1.036229795,1.440794293,1.741257767,1.789079784,0.00512628857,-0.4201308191,0.55,0.39,nan,nan,nan,0.1207133786,0.2793461828,0.9546260961,1.189307135,0.4921999837,0.07123794958,-0.1650444269,0.25,0.02,nan,nan,nan,0.1277629542,17.03929227
LR,l2wt,0,0.001,4,31,0.9405416667,1,1,0,0,-0.7070119977,0.6390783787,-2.537916183,0.2207499743,58.10294546,0,0,-0.3727853,0.2507914901,-1.539647102,0.1150000095,24.6887698,0.8588321805,1.114334702,41.3690033,0.1222124496,0.1227695982,0.8732203596,1.534300106,1.77570775,1.510383299,0.005292320451,-0.4052077085,0.54,0.38,nan,nan,nan,0.04059088298,0.2934663897,0.8816527197,1.253102607,0.5069564857,0.07658961772,-0.2035413906,0.24,0.02,nan,nan,nan,0.1222124496,17.44617121
LR,l2wt,0,0.001,4,32,0.9402145833,1,1,0,0,-0.6220974326,0.5966567397,-1.689116478,0.2222499847,54.56591702,0,0,-0.1764311045,0.2108910382,-1.425889015,0.1367499977,24.707277,0.8039720058,1.062011123,41.63010025,0.09932286002,0.05915118318,0.8018375897,1.367166239,1.68587538,1.392594644,0.003824790126,-0.3815888762,0.45,0.29,nan,nan,nan,0.003889780175,0.1987816096,0.8988577414,1.169017728,0.3439639005,0.06940888207,-0.1242182702,0.22,0.02,nan,nan,nan,0.09932286002,17.82170534
LR,l2wt,0,0.001,4,33,0.9399916667,1,1,0,0,-0.7310940623,0.6641147733,-1.76525569,0.2289999574,63.47332789,0,0,-0.3985019028,0.2405672818,-1.682923198,0.1082500219,25.36603885,0.8853408098,1.090875149,42.35118484,0.1265173611,0.1396361433,0.9367461646,1.5087765,1.688557301,1.627234656,0.005095999029,-0.3537474573,0.59,0.4,nan,nan,nan,0.002960064845,0.261210602,0.9656507873,1.248180053,0.4441027162,0.07738386909,-0.2045501098,0.25,0.02,nan,nan,nan,0.1265173611,18.20438327
LR,l2wt,0,0.001,4,34,0.93689375,1,1,0,0,-0.7644902468,0.7447516322,-2.269867659,0.2117499858,61.95683246,0,0,-0.4865742028,0.2769474685,-1.815060019,0.1090000123,23.58423037,1.026378036,1.142127395,42.74738693,0.1331616338,0.1960098398,0.9982849836,1.556113041,1.745284718,1.75356098,0.004318623117,-0.3879317343,0.59,0.44,nan,nan,nan,0.002557880391,0.2813925039,0.9892699631,1.234206679,0.4968376461,0.07840399902,-0.1771824434,0.22,0.04,nan,nan,nan,0.1331616338,18.53454089
LR,l2wt,0,0.001,4,35,0.93581875,1,1,0,0,-0.7036966681,0.6379227638,-2.087731838,0.2132499814,59.66210345,0,0,-0.2670809925,0.209333092,-1.500354767,0.1285000145,24.4167104,0.8624747992,1.119725943,43.35765457,0.1066554894,0.06773423685,0.8508404589,1.356609604,1.736671229,1.46463552,0.004239197016,-0.4202216119,0.49,0.26,nan,nan,nan,0.003847369061,0.2205241315,0.9196535321,1.231985793,0.3779838851,0.09356184374,-0.1646206826,0.2,0.03,nan,nan,nan,0.1066554894,18.92312089
