arm,seed,lr,task,iv,online_acc,memo_acc,acc,dead_frac_l1,zeroout_l1,zbar_l1,zsd_l1,zbar_min_l1,mob_l1,eff_rank_l1,dead_frac_l2,zeroout_l2,zbar_l2,zsd_l2,zbar_min_l2,mob_l2,eff_rank_l2,w_norm_l1,w_norm_l2,w_norm_l3,alpha_med_l1,alpha_min_l1,alpha_max_l1,alpha_clip_frac_l1,two_alpha_W_med_l1,alpha_med_l2,alpha_min_l2,alpha_max_l2,alpha_clip_frac_l2,two_alpha_W_med_l2
SNAc3,1,0.001,11,none,0.9701895833,1,1,0,0,-0.1200744361,3.369301319,-18.29857254,0.9830150604,54.93874731,0,0,0.1203308776,10.27490997,-72.03528595,0.9897989631,37.90114148,7.953799248,2.49585557,1.928771377,0.917283535,0.2963938713,1.655249596,0,6,0.2971307635,0.07612673193,0.8008487225,0,6
SNAc3,1,0.001,12,none,0.97123125,1,1,0,0,-0.4748069346,3.488502026,-13.4540329,0.9788636565,58.71240488,0,0,-0.01621092483,10.6106205,-32.87915802,0.9876371026,43.45578223,8.396565437,2.628160954,1.903427243,0.8874586821,0.310369283,1.71584177,0,6,0.2884951234,0.09997405112,0.7003158331,0,6
SNAc3,1,0.001,13,none,0.9820645833,1,1,0,0,-0.9198217988,3.669905901,-9.603912354,0.9832633734,61.76361866,0,0,-0.01978701353,11.46003723,-55.21820831,0.9804477692,46.8404232,8.84105587,2.721891165,2.098662138,0.8423807621,0.3959115744,1.45375824,0,6,0.2696175575,0.09014938027,0.618324995,0,6
SNAc3,1,0.001,14,none,0.9807145833,1,1,0,0,-0.4707767665,3.745248556,-7.839739799,0.9801501632,62.65907346,0,0,-1.001370072,13.00928974,-41.27311707,0.9854404926,46.10730863,9.214511871,2.857777357,2.171873093,0.8224827647,0.4053254128,1.283912539,0,6,0.2262190878,0.0739440918,0.5194635391,0,6
SNAc3,1,0.001,15,none,0.9803270833,1,1,0,0,-0.6168414354,3.893366337,-7.36093092,0.9807735085,64.15865747,0,0,0.4135247767,14.49880505,-23.10941315,0.9847861528,48.49138516,9.421772003,2.96843791,2.198372841,0.7842230797,0.377210021,1.334848404,0,6,0.2107435763,0.06349331886,0.4895052314,0,6
SNAc3,1,0.001,16,none,0.9811833333,1,1,0,0,-0.3722704947,4.012629032,-8.413602829,0.9761971235,64.34632629,0,0,-0.4207033217,14.93544674,-29.38775063,0.9903175831,48.3669765,9.714224815,3.032564402,2.199805498,0.771894455,0.3720871806,1.440501928,0,6,0.204411298,0.0516727902,0.4449669123,0,6
SNAc3,1,0.001,17,none,0.9792375,1,1,0,0,-0.539346993,3.970529556,-10.43821239,0.9830922484,64.37337103,0,0,-1.355689526,16.24584198,-31.48736572,0.9882854223,47.14633118,9.937085152,2.992074728,2.094871044,0.7731888294,0.3745967448,1.399493933,0,6,0.1907618791,0.05000000075,0.5124678016,0.009999999776,6
SNAc3,1,0.001,18,none,0.98005625,1,1,0,0,-0.2749531865,4.090006351,-8.274195671,0.983944118,63.1769173,0,0,-1.143753648,16.7271347,-31.84580994,0.9864532351,45.9533209,10.22235107,3.063399315,2.083856821,0.7509532571,0.3400327861,1.21878159,0,6,0.1844474375,0.05000000075,0.4325338602,0.009999999776,6
SNAc3,1,0.001,19,none,0.97091875,1,1,0,0,-0.5372074246,4.134148598,-7.780552387,0.9795227051,64.35728569,0,0,-0.9929767847,18.26298523,-36.94221878,0.9868407249,46.16583718,10.37960815,3.205018759,1.900737524,0.7452340722,0.3820306659,1.14686203,0,6,0.1685345769,0.06123872846,0.5290083885,0,6
SNAc3,1,0.001,20,none,0.9798375,1,1,0,0,-0.3636361659,4.05810833,-6.995582104,0.9893196821,67.58553804,0,0,-0.8129184246,16.38413429,-39.46683502,0.9855033159,49.46035658,10.63261509,3.184430599,1.902843952,0.7618552446,0.4316994846,1.162901163,0,6,0.1852338165,0.05056280643,0.5408021212,0,6
SNAc3,1,0.001,21,none,0.9799229167,1,1,0,0,-0.2049303949,4.245075226,-9.175825119,0.9841496944,66.81582966,0,0,-0.9031352997,17.49172401,-48.21194839,0.991515696,48.60222031,10.93640995,3.279091358,1.877585053,0.7264253497,0.4481756091,1.026255846,0,6,0.1719762981,0.05179183558,0.5070573688,0,6
SNAc3,1,0.001,22,none,0.98108125,1,1,0,0,-0.2174675316,4.23167038,-8.833310127,0.9826873541,66.24559059,0,0,-1.046554565,19.04973412,-56.19395828,0.9894182086,48.19459816,11.2279892,3.314919472,1.973339796,0.7288477421,0.4923204482,1.032000065,0,6,0.1601347327,0.05000000075,0.4690234661,0.009999999776,6
SNAc3,1,0.001,23,none,0.98119375,1,1,0,0,-0.140681833,4.3790555,-8.718132973,0.9844285846,66.63034666,0,0,-0.8778467774,19.77326965,-82.0775528,0.987554729,47.06802657,11.4472084,3.419901609,1.932487845,0.7023729086,0.440765202,1.044779062,0,6,0.1552569121,0.05072880909,0.4631507993,0,6
SNAc3,1,0.001,24,none,0.9800229167,1,1,0,0,-0.4467254579,4.538351536,-7.695074081,0.9813640118,66.59309391,0,0,-0.8679726124,21.15952682,-74.40567017,0.9904854298,47.82204233,11.66390514,3.444568157,1.963500977,0.6784515977,0.4555559456,0.9591792226,0,6,0.1430632323,0.05000000075,0.5391433239,0.009999999776,6
SNAc3,1,0.001,25,none,0.9820145833,1,1,0,0,-0.2846068442,4.583194733,-9.114177704,0.9804810882,66.93160923,0,0,-1.452400565,21.33115005,-34.56180954,0.9889655709,50.01743276,11.92698288,3.538454771,2.000480413,0.6726305485,0.4575126767,1.076524258,0,6,0.1450082362,0.05000000075,0.4787758589,0.009999999776,6
SNAc3,1,0.001,26,none,0.9819791667,1,1,0,0,-1.011059523,4.741838455,-7.835330486,0.9821277857,67.22216233,0,0,-0.1339116395,22.43459702,-48.16695023,0.9935567379,50.14184415,12.15411758,3.667000532,2.019846916,0.653123498,0.4217553735,0.9996920228,0,6,0.1378449351,0.05000000075,0.3953286409,0.009999999776,6
SNAc3,1,0.001,27,none,0.9795645833,1,1,0,0,-0.6789566278,4.745081902,-11.37762547,0.9808001518,65.34386585,0,0,-2.967421055,23.48726654,-91.15988922,0.9883817434,47.99671768,12.32143688,3.756391764,2.000721455,0.6502997875,0.4028742909,0.9376562834,0,6,0.129783079,0.05000000075,0.3786511421,0.009999999776,6
SNAc3,1,0.001,28,none,0.97948125,1,1,0,0,-0.1366456002,4.721177101,-10.41726112,0.9819200635,64.89405014,0,0,-3.260390282,25.17030144,-79.21035004,0.9892655611,46.56283042,12.51517105,3.759454012,1.954490662,0.6556022167,0.4099368453,0.8470573425,0,6,0.1223990545,0.05000000075,0.4220371246,0.009999999776,6
SNAc3,1,0.001,29,none,0.97893125,1,1,0,0,-0.4006524086,4.798996925,-13.89461708,0.9854773879,64.97707479,0,0,-3.039027929,24.93347549,-70.86037445,0.9856972098,46.55171562,12.71943283,3.881123304,1.888824224,0.6425728798,0.4136274755,0.9280462861,0,6,0.1234806105,0.05000000075,0.4146425724,0.01999999955,6
SNAc3,1,0.001,30,none,0.9807479167,1,1,0,0,-0.5963913202,4.923847675,-8.800106049,0.9811329246,64.93790756,0,0,1.537810922,26.86862373,-96.97485352,0.9924856424,46.60216582,12.90138912,3.95100522,1.884194732,0.6249052286,0.4007645249,0.8614681959,0,6,0.1150993705,0.05000000075,0.3920151591,0.02999999933,6
SNAc3,1,0.001,31,none,0.9781104167,1,1,0,0,-0.1946034729,5.178181648,-13.18427372,0.987765491,64.40162901,0,0,-0.702205956,27.74326324,-88.24398804,0.992777288,45.24460646,13.258955,4.011052132,1.824804306,0.5941108465,0.3623840809,0.852969408,0,6,0.1106116325,0.05000000075,0.4523329735,0.05999999866,6
SNAc3,1,0.001,32,none,0.9788166667,1,1,0,0,-0.3677823842,5.130037785,-11.60969925,0.9900646806,65.64683459,0,0,-1.200429678,27.68857193,-66.89077759,0.9924175739,47.45148866,13.41225052,4.095148087,1.733521342,0.5999842882,0.3553206623,0.8381021023,0,6,0.1116208881,0.05000000075,0.4590060115,0.01999999955,6
SNAc3,1,0.001,33,none,0.9804125,1,1,0,0,-0.8603034616,5.101107121,-11.29854584,0.9851112962,67.14136042,0,0,-0.4779332578,27.22733498,-64.9325943,0.9871073365,48.15530734,13.54107857,4.112373829,1.700194955,0.6033862829,0.3608012497,0.8546853065,0,6,0.1107081547,0.05000000075,0.4528083205,0.03999999911,6
SNAc3,1,0.001,34,none,0.9804625,1,1,0,0,-0.9777184129,5.264144897,-9.265846252,0.9844453931,66.60816077,0,0,-0.3080830276,27.06529617,-82.8132782,0.9866242409,46.93260784,13.703372,4.107952595,1.686377168,0.5775519013,0.3797025084,0.7708652616,0,6,0.1100983173,0.05000000075,0.3868086338,0.03999999911,6
