exp,width,period,enc,c,lr,seed,run_id
A,100,100,centered,,0.01,2,A_w100_T100_centered_lr0.01_s2
A,100,100,centered,,0.01,3,A_w100_T100_centered_lr0.01_s3
A,100,100,centered,,0.01,4,A_w100_T100_centered_lr0.01_s4
A,100,1000,std,,0.01,0,A_w100_T1000_std_lr0.01_s0
A,100,1000,std,,0.01,1,A_w100_T1000_std_lr0.01_s1
A,100,1000,std,,0.01,2,A_w100_T1000_std_lr0.01_s2
A,100,1000,std,,0.01,3,A_w100_T1000_std_lr0.01_s3
A,100,1000,std,,0.01,4,A_w100_T1000_std_lr0.01_s4
A,100,1000,centered,,0.01,0,A_w100_T1000_centered_lr0.01_s0
A,100,1000,centered,,0.01,1,A_w100_T1000_centered_lr0.01_s1
A,100,1000,centered,,0.01,2,A_w100_T1000_centered_lr0.01_s2
A,100,1000,centered,,0.01,3,A_w100_T1000_centered_lr0.01_s3
A,100,1000,centered,,0.01,4,A_w100_T1000_centered_lr0.01_s4
A,100,10000,std,,0.01,0,A_w100_T10000_std_lr0.01_s0
A,100,10000,std,,0.01,1,A_w100_T10000_std_lr0.01_s1
A,100,10000,std,,0.01,2,A_w100_T10000_std_lr0.01_s2
A,100,10000,std,,0.01,3,A_w100_T10000_std_lr0.01_s3
A,100,10000,std,,0.01,4,A_w100_T10000_std_lr0.01_s4
A,100,10000,centered,,0.01,0,A_w100_T10000_centered_lr0.01_s0
A,100,10000,centered,,0.01,1,A_w100_T10000_centered_lr0.01_s1
A,100,10000,centered,,0.01,2,A_w100_T10000_centered_lr0.01_s2
A,100,10000,centered,,0.01,3,A_w100_T10000_centered_lr0.01_s3
A,100,10000,centered,,0.01,4,A_w100_T10000_centered_lr0.01_s4
A,100,100000,std,,0.01,0,A_w100_T100000_std_lr0.01_s0
A,100,100000,std,,0.01,1,A_w100_T100000_std_lr0.01_s1
A,100,100000,std,,0.01,2,A_w100_T100000_std_lr0.01_s2
A,100,100000,std,,0.01,3,A_w100_T100000_std_lr0.01_s3
A,100,100000,std,,0.01,4,A_w100_T100000_std_lr0.01_s4
A,100,100000,centered,,0.01,0,A_w100_T100000_centered_lr0.01_s0
A,100,100000,centered,,0.01,1,A_w100_T100000_centered_lr0.01_s1
A,100,100000,centered,,0.01,2,A_w100_T100000_centered_lr0.01_s2
A,100,100000,centered,,0.01,3,A_w100_T100000_centered_lr0.01_s3
A,100,100000,centered,,0.01,4,A_w100_T100000_centered_lr0.01_s4
A,100,10000,std,,0.003,0,A_w100_T10000_std_lr0.003_s0
A,100,10000,std,,0.003,1,A_w100_T10000_std_lr0.003_s1
A,100,10000,std,,0.003,2,A_w100_T10000_std_lr0.003_s2
A,100,10000,std,,0.003,3,A_w100_T10000_std_lr0.003_s3
A,100,10000,std,,0.003,4,A_w100_T10000_std_lr0.003_s4
A,100,10000,std,,0.001,0,A_w100_T10000_std_lr0.001_s0
A,100,10000,std,,0.001,1,A_w100_T10000_std_lr0.001_s1
A,100,10000,std,,0.001,2,A_w100_T10000_std_lr0.001_s2
A,100,10000,std,,0.001,3,A_w100_T10000_std_lr0.001_s3
A,100,10000,std,,0.001,4,A_w100_T10000_std_lr0.001_s4
B,5,100,std,0.0,0.01,0,B_w5_K100_c0.0_lr0.01_s0
B,5,100,std,0.0,0.01,1,B_w5_K100_c0.0_lr0.01_s1
B,5,100,std,0.0,0.01,2,B_w5_K100_c0.0_lr0.01_s2
B,5,100,std,0.0,0.01,3,B_w5_K100_c0.0_lr0.01_s3
B,5,100,std,0.0,0.01,4,B_w5_K100_c0.0_lr0.01_s4
B,5,100,std,2.0,0.01,0,B_w5_K100_c2.0_lr0.01_s0
B,5,100,std,2.0,0.01,1,B_w5_K100_c2.0_lr0.01_s1
B,5,100,std,2.0,0.01,2,B_w5_K100_c2.0_lr0.01_s2
B,5,100,std,2.0,0.01,3,B_w5_K100_c2.0_lr0.01_s3
B,5,100,std,2.0,0.01,4,B_w5_K100_c2.0_lr0.01_s4
B,5,10000,std,0.0,0.01,0,B_w5_K10000_c0.0_lr0.01_s0
B,5,10000,std,0.0,0.01,1,B_w5_K10000_c0.0_lr0.01_s1
B,5,10000,std,0.0,0.01,2,B_w5_K10000_c0.0_lr0.01_s2
B,5,10000,std,0.0,0.01,3,B_w5_K10000_c0.0_lr0.01_s3
B,5,10000,std,0.0,0.01,4,B_w5_K10000_c0.0_lr0.01_s4
B,5,10000,std,2.0,0.01,0,B_w5_K10000_c2.0_lr0.01_s0
B,5,10000,std,2.0,0.01,1,B_w5_K10000_c2.0_lr0.01_s1
B,5,10000,std,2.0,0.01,2,B_w5_K10000_c2.0_lr0.01_s2
B,5,10000,std,2.0,0.01,3,B_w5_K10000_c2.0_lr0.01_s3
B,5,10000,std,2.0,0.01,4,B_w5_K10000_c2.0_lr0.01_s4
B,100,100,std,0.0,0.01,0,B_w100_K100_c0.0_lr0.01_s0
B,100,100,std,0.0,0.01,1,B_w100_K100_c0.0_lr0.01_s1
B,100,100,std,0.0,0.01,2,B_w100_K100_c0.0_lr0.01_s2
B,100,100,std,0.0,0.01,3,B_w100_K100_c0.0_lr0.01_s3
B,100,100,std,0.0,0.01,4,B_w100_K100_c0.0_lr0.01_s4
B,100,100,std,2.0,0.01,0,B_w100_K100_c2.0_lr0.01_s0
B,100,100,std,2.0,0.01,1,B_w100_K100_c2.0_lr0.01_s1
B,100,100,std,2.0,0.01,2,B_w100_K100_c2.0_lr0.01_s2
B,100,100,std,2.0,0.01,3,B_w100_K100_c2.0_lr0.01_s3
B,100,100,std,2.0,0.01,4,B_w100_K100_c2.0_lr0.01_s4
B,100,10000,std,0.0,0.01,0,B_w100_K10000_c0.0_lr0.01_s0
B,100,10000,std,0.0,0.01,1,B_w100_K10000_c0.0_lr0.01_s1
B,100,10000,std,0.0,0.01,2,B_w100_K10000_c0.0_lr0.01_s2
B,100,10000,std,0.0,0.01,3,B_w100_K10000_c0.0_lr0.01_s3
B,100,10000,std,0.0,0.01,4,B_w100_K10000_c0.0_lr0.01_s4
B,100,10000,std,2.0,0.01,0,B_w100_K10000_c2.0_lr0.01_s0
B,100,10000,std,2.0,0.01,1,B_w100_K10000_c2.0_lr0.01_s1
B,100,10000,std,2.0,0.01,2,B_w100_K10000_c2.0_lr0.01_s2
B,100,10000,std,2.0,0.01,3,B_w100_K10000_c2.0_lr0.01_s3
B,100,10000,std,2.0,0.01,4,B_w100_K10000_c2.0_lr0.01_s4
