exp,width,period,enc,c,lr,ckpt,kind,b0,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15,b16,b17,b18,b19,b20,b21,b22,b23,b24,b25,b26,b27,b28,b29,b30,b31,b32,b33,b34,b35,b36,b37,b38,b39,git_hash
A,5,10000,std,,0.01,300000,raw,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,c644695f7b3aba0ee7db4ecd6f0bf7745ea04a19
A,5,10000,std,,0.01,1000000,raw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,c644695f7b3aba0ee7db4ecd6f0bf7745ea04a19
A,5,100000,centered,,0.01,0,raw,0,0,2,2,2,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,2,0,1,c644695f7b3aba0ee7db4ecd6f0bf7745ea04a19
A,5,100000,centered,,0.01,10000,raw,6,2,3,1,0,0,2,1,1,1,0,2,0,0,0,1,0,1,0,0,1,0,0,2,0,3,0,1,1,1,0,2,0,1,0,1,2,0,5,5,c644695f7b3aba0ee7db4ecd6f0bf7745ea04a19
A,5,100000,centered,,0.01,50000,raw,1,0,3,3,5,0,2,2,0,0,0,0,3,1,0,0,0,1,0,1,1,0,0,1,2,1,0,3,0,0,2,1,4,1,0,0,4,3,0,1,c644695f7b3aba0ee7db4ecd6f0bf7745ea04a19
A,5,100000,centered,,0.01,100000,raw,5,1,1,1,2,0,3,0,2,1,1,0,0,1,2,1,1,1,1,1,2,0,0,0,1,4,0,1,2,0,3,2,3,1,0,1,0,3,1,1,c644695f7b3aba0ee7db4ecd6f0bf7745ea04a19
A,5,100000,centered,,0.01,300000,raw,1,1,0,1,1,3,0,3,2,2,1,0,2,1,2,0,1,1,2,2,1,0,1,4,2,1,4,0,1,2,0,1,1,0,0,0,1,0,1,0,c644695f7b3aba0ee7db4ecd6f0bf7745ea04a19
A,5,100000,centered,,0.01,1000000,raw,1,2,1,3,0,0,3,3,2,3,0,0,1,1,0,1,2,0,0,1,0,1,1,1,0,1,0,2,1,0,1,1,0,1,0,1,2,0,0,2,c644695f7b3aba0ee7db4ecd6f0bf7745ea04a19
A,5,100000,std,,0.01,0,raw,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,c644695f7b3aba0ee7db4ecd6f0bf7745ea04a19
A,5,100000,std,,0.01,10000,raw,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,4,0,1,3,c644695f7b3aba0ee7db4ecd6f0bf7745ea04a19
A,5,100000,std,,0.01,50000,raw,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,c644695f7b3aba0ee7db4ecd6f0bf7745ea04a19
A,5,100000,std,,0.01,100000,raw,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,3,c644695f7b3aba0ee7db4ecd6f0bf7745ea04a19
A,5,100000,std,,0.01,300000,raw,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,c644695f7b3aba0ee7db4ecd6f0bf7745ea04a19
A,5,100000,std,,0.01,1000000,raw,0,1,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,2,0,1,3,0,c644695f7b3aba0ee7db4ecd6f0bf7745ea04a19
A,100,100,centered,,0.01,0,raw,47,221,330,414,448,506,444,472,440,450,410,376,346,361,344,329,302,298,319,288,320,317,329,325,329,311,362,367,395,377,425,419,484,509,456,439,427,359,224,56,c644695f7b3aba0ee7db4ecd6f0bf7745ea04a19
A,100,100,centered,,0.01,10000,raw,23,94,216,328,443,442,500,556,603,652,693,695,679,686,664,672,731,742,688,714,767,710,705,765,739,728,798,720,716,673,734,716,673,613,573,550,431,301,156,25,c644695f7b3aba0ee7db4ecd6f0bf7745ea04a19
A,100,100,centered,,0.01,50000,raw,196,482,452,467,424,475,430,417,426,440,368,356,343,353,361,303,320,294,266,273,283,269,303,290,285,332,345,354,357,361,371,409,429,409,457,462,459,493,514,210,c644695f7b3aba0ee7db4ecd6f0bf7745ea04a19
A,100,100,centered,,0.01,100000,raw,69,246,284,339,305,347,327,321,283,290,294,256,249,249,268,253,210,222,256,225,236,211,236,248,219,237,227,261,243,282,282,300,297,319,315,345,333,320,226,114,c644695f7b3aba0ee7db4ecd6f0bf7745ea04a19
A,100,100,centered,,0.01,300000,raw,4,24,109,151,225,309,338,349,330,332,345,347,354,325,326,328,317,351,326,306,314,292,334,305,294,354,306,329,355,340,356,328,358,282,260,218,194,147,72,14,c644695f7b3aba0ee7db4ecd6f0bf7745ea04a19
A,100,100,centered,,0.01,1000000,raw,2,37,91,142,135,188,169,207,217,231,215,224,215,228,266,245,287,273,247,264,259,277,263,239,248,235,216,213,236,214,205,182,172,198,161,159,151,92,48,4,c644695f7b3aba0ee7db4ecd6f0bf7745ea04a19
A,100,100,std,,0.01,0,raw,3647,1331,739,398,187,135,100,76,93,59,47,39,27,44,45,17,15,18,10,8,6,13,12,10,26,44,37,50,40,51,56,85,80,113,162,187,395,746,1315,3578,c644695f7b3aba0ee7db4ecd6f0bf7745ea04a19
A,100,100,std,,0.01,10000,raw,58,140,164,130,116,100,85,70,47,43,41,32,32,38,27,32,30,32,27,35,59,40,35,33,28,40,24,46,40,45,40,46,79,65,72,136,129,159,154,60,c644695f7b3aba0ee7db4ecd6f0bf7745ea04a19
A,100,100,std,,0.01,50000,raw,14,34,44,33,25,21,21,18,9,11,13,15,15,7,10,13,5,11,8,12,11,12,23,9,14,10,14,9,13,12,12,9,19,11,29,25,36,39,41,22,c644695f7b3aba0ee7db4ecd6f0bf7745ea04a19
A,100,100,std,,0.01,100000,raw,13,42,24,12,7,3,0,0,2,0,0,2,1,1,3,2,3,1,2,1,0,0,2,0,2,2,1,3,1,1,0,1,0,0,2,9,7,16,32,20,c644695f7b3aba0ee7db4ecd6f0bf7745ea04a19
A,100,100,std,,0.01,300000,raw,8,13,26,17,17,16,7,9,2,6,5,5,2,3,3,2,1,2,1,3,15,3,3,0,2,1,4,6,11,5,3,5,4,7,16,25,17,29,22,14,c644695f7b3aba0ee7db4ecd6f0bf7745ea04a19
A,100,100,std,,0.01,1000000,raw,0,8,3,3,4,6,7,7,5,5,4,4,7,4,5,7,6,11,3,0,5,1,6,3,4,4,7,4,5,4,1,1,5,2,3,7,8,12,1,2,c644695f7b3aba0ee7db4ecd6f0bf7745ea04a19
A,100,1000,centered,,0.01,0,raw,105,234,327,411,362,376,359,403,369,366,330,366,328,317,324,349,333,335,339,307,369,349,318,348,346,335,333,331,354,388,381,397,363,407,393,367,375,314,241,113,c644695f7b3aba0ee7db4ecd6f0bf7745ea04a19
A,100,1000,centered,,0.01,10000,raw,436,809,875,821,777,706,630,633,620,587,557,525,518,479,433,442,411,406,449,383,436,390,426,433,435,489,441,496,486,522,617,588,633,737,728,839,873,901,901,527,c644695f7b3aba0ee7db4ecd6f0bf7745ea04a19
A,100,1000,centered,,0.01,50000,raw,249,435,445,484,481,481,460,451,415,417,430,414,371,406,357,391,360,365,347,351,335,326,364,356,363,351,365,378,414,432,427,466,461,526,486,459,468,457,469,301,c644695f7b3aba0ee7db4ecd6f0bf7745ea04a19
A,100,1000,centered,,0.01,100000,raw,154,255,309,333,358,337,312,291,327,293,293,289,268,297,288,289,285,293,301,280,279,278,277,269,284,248,298,309,279,290,312,282,301,320,308,309,324,303,272,154,c644695f7b3aba0ee7db4ecd6f0bf7745ea04a19
A,100,1000,centered,,0.01,300000,raw,57,107,125,132,156,129,153,162,169,162,171,175,166,157,171,232,151,197,165,190,166,179,170,178,162,161,171,181,174,166,151,162,183,147,143,152,146,139,108,49,c644695f7b3aba0ee7db4ecd6f0bf7745ea04a19
A,100,1000,centered,,0.01,1000000,raw,34,34,40,35,52,60,58,53,52,63,61,50,61,55,73,60,57,50,70,63,54,94,47,72,66,75,67,59,83,55,75,77,72,55,52,59,40,50,48,41,c644695f7b3aba0ee7db4ecd6f0bf7745ea04a19
A,100,1000,std,,0.01,0,raw,4429,1285,576,327,108,42,32,20,5,10,20,8,16,6,5,11,7,5,1,2,0,1,3,21,9,6,22,14,10,19,10,9,14,39,47,106,342,576,1274,4531,c644695f7b3aba0ee7db4ecd6f0bf7745ea04a19
A,100,1000,std,,0.01,10000,raw,783,408,287,187,131,101,78,76,74,54,46,46,56,79,69,61,37,42,48,33,44,41,43,54,54,60,54,62,39,44,47,67,66,77,94,147,214,300,460,793,c644695f7b3aba0ee7db4ecd6f0bf7745ea04a19
A,100,1000,std,,0.01,50000,raw,26,75,68,47,44,33,29,22,26,17,26,25,25,17,24,19,17,13,8,20,13,19,21,13,19,16,21,15,20,19,20,22,33,30,18,48,48,50,72,29,c644695f7b3aba0ee7db4ecd6f0bf7745ea04a19
A,100,1000,std,,0.01,100000,raw,7,33,32,27,24,17,9,7,14,2,8,14,11,7,3,7,6,4,3,0,1,4,2,7,1,10,10,5,7,17,13,11,5,12,18,20,18,27,36,20,c644695f7b3aba0ee7db4ecd6f0bf7745ea04a19
