endpoint,contrast,high,low,status,cross_run,n_paired,label,soft_end,ci_below_zero,equivalence_margin,point,percentile_ci_lo,percentile_ci_hi,studentized_ci_lo,studentized_ci_hi,ci_degenerate,sign_n_positive,sign_n_negative,sign_p_two_sided,seed_values
P3prime,P3prime:LR_a0p00001_1216_minus_R_1216,LR_a0p00001_1216,R_1216,OK,1,10,,,,,0.017126223184502826,-0.1314910198173777,0.09536262253078166,0.006571529122678697,0.06838166838173028,1,6,4,0.75390625,"[-0.04497898089310859, 0.013060271981461147, -0.21800305874164685, -0.22524683213498745, 0.17327365455808436, 0.021192174387544505, 0.1109168382506473, 0.09536262253078166, 0.02628775593401933, -0.05568122445883217]"
P3prime,P3prime:E_a0p001_1216_minus_R_1216,E_a0p001_1216,R_1216,OK,1,10,,,,,-0.0936180084249437,-0.1851555218267226,0.018486564634017544,-0.13196121707819108,0.6127377300505404,1,3,7,0.34375,"[-0.08150574196591037, -0.2634923731138198, -0.15120785369015258, -0.30713827678974465, 0.20655594753537876, -0.0353367501656012, -0.10573027488397702, 0.04379342853183957, 0.018486564634017544, -0.14926610110995164]"
P3prime,P3prime:S_b10_1216_minus_R_1216,S_b10_1216,R_1216,OK,1,10,,,,,0.27414684864981853,0.0936264155371356,0.4005942141379164,-1.6078250816021122,0.8278430388313769,1,9,1,0.021484375,"[0.30237738981850215, 0.24591630748113497, 0.01538231478023299, -9.779885140923696e-05, 0.3962699329106927, 0.16088096363126814, 0.43251200483574365, 0.1718705162940382, 0.39998954642115997, 0.40491849536514013]"
P5prime,P5prime:S_b1_1216_minus_E_1216,S_b1_1216,E_1216,OK,1,10,SHORT_OF_SOFT_E_1216,E_1216,0,0.15,2.07710791710938,1.68689335842081,2.763986906313293,-1.9640137823060013,6.142136670761788,1,10,0,0.001953125,"[1.5308078610767524, 1.8429788557648676, 2.7693768991581256, 1.4896136363395196, 1.7230530643362854, 1.81436081730454, 3.880222339540964, 2.3112369784538918, 2.763986906313293, 2.688754672229791]"
P5prime,P5prime:S_b1_1216_minus_LR_1216,S_b1_1216,LR_1216,OK,1,10,SHORT_OF_SOFT_LR_1216,LR_1216,0,0.15,1.8791465439153305,1.4754033005002791,2.415776288868872,-48456710204947.11,2.9578828744916548,1,10,0,0.001953125,"[2.480551315433453, 1.732452637610913, 1.6152310821322353, 1.335575518868323, 2.0258404502197482, 2.3531423563156757, 2.415776288868872, 1.5321559151336093, 2.4299943656942378, 1.2818293524607558]"
P5prime,P5prime:G_b1_1216_minus_E_1216,G_b1_1216,E_1216,OK,1,10,SHORT_OF_SOFT_E_1216,E_1216,0,0.15,2.721781304348309,2.388781918700388,3.5746928203019412,-3594114530888.012,572116062350.394,1,10,0,0.001953125,"[2.2486838312650157, 2.7236526678511797, 3.5746928203019412, 2.1023160173948137, 2.388781918700388, 2.5860136837440084, 5.051194788314204, 2.719909940845438, 3.396041687533926, 3.593362399560746]"
P5prime,P5prime:G_b1_1216_minus_LR_1216,G_b1_1216,LR_1216,OK,1,10,SHORT_OF_SOFT_LR_1216,LR_1216,0,0.15,2.6523478771405378,2.186437079791711,3.1302382162682933,-41725984049610.62,41148683930969.586,1,10,0,0.001953125,"[3.198427285621716, 2.613126449697225, 2.420547003276051, 1.948277899923617, 2.691569304583851, 3.1247952227551443, 3.5867487376421114, 1.9408288775251554, 3.062049146914871, 2.186437079791711]"
P5prime,P5prime:LR_a0p01_1216_minus_LR_1216,LR_a0p01_1216,LR_1216,OK,1,10,SHORT_OF_SOFT_LR_1216,LR_1216,0,0.15,2.254299432096114,1.7130121827364304,2.6709070215679716,-34979483695590.62,15899994340788.459,1,10,0,0.001953125,"[2.61966817989995, 2.0873931123555796, 2.2119941680749733, 1.7130121827364304, 2.2966046961172544, 2.722145863235993, 3.2495413319745126, 1.675508191636841, 2.6214880464391523, 1.6139126406136062]"
P5prime,P5prime:LR_a0p001_1216_minus_LR_1216,LR_a0p001_1216,LR_1216,OK,1,10,SHORT_OF_SOFT_LR_1216,LR_1216,0,0.15,2.497224515281706,1.9034836268526827,3.1233841895655057,-173457885009249.44,3.0040330143428036,1,10,0,0.001953125,"[3.141887118087996, 2.1807776103134033, 2.342822370388237, 1.896872466255729, 2.651626660175175, 3.1233841895655057, 3.268566564838622, 1.9034836268526827, 2.9961215684876037, 1.8139656986314545]"
P5prime,P5prime:LR_a0p0001_1216_minus_LR_1216,LR_a0p0001_1216,LR_1216,OK,1,10,SHORT_OF_SOFT_LR_1216,LR_1216,0,0.15,2.3088048628044655,1.937690306024323,3.0908180237032585,-187688836650916.2,95848963478645.2,1,10,0,0.001953125,"[3.2004881412005606, 2.1824078801470836, 2.19323209976556, 1.6628790311488157, 2.424377625843371, 3.0300006270514905, 3.152079264315616, 1.9405045008770703, 3.0295567830909005, 1.6929727319015622]"
P5prime,P5prime:E_a0p1_1216_minus_E_1216,E_a0p1_1216,E_1216,OK,1,10,SHORT_OF_SOFT_E_1216,E_1216,0,0.15,1.5622464999123107,1.2118902146343373,2.1434597488043097,-200009912042673.34,16.57070614910092,1,10,0,0.001953125,"[0.9542660098670435, 1.2887975895108292, 2.4943445348407263, 1.2824512985644692, 1.0336967225387226, 1.3900837067299523, 3.6911216268075178, 1.792574962767893, 1.734409293094669, 2.078166590190642]"
P5prime,P5prime:E_a0p01_1216_minus_E_1216,E_a0p01_1216,E_1216,OK,1,10,SHORT_OF_SOFT_E_1216,E_1216,0,0.15,2.1898922247975077,1.9404362943853268,2.8835311985966534,-17366511194659.154,30298308218002.938,1,10,0,0.001953125,"[1.6786565845118397, 1.9869343459709328, 3.2427756374646997, 1.7787999530993168, 2.0366786662941245, 2.102072635671337, 4.424124861553377, 2.2777118139236783, 2.8475966952088183, 2.8835311985966534]"
P5prime,P5prime:S_b0p3_1216_minus_E_1216,S_b0p3_1216,E_1216,OK,1,10,SHORT_OF_SOFT_E_1216,E_1216,0,0.15,2.1238782179249416,1.7144541007770997,2.810593569390676,-0.6792506042426898,3.412877700195249,1,10,0,0.001953125,"[1.6157995839895258, 1.7983823014961535, 2.790604705433007, 1.5912282224229384, 1.7144541007770997, 1.9766738931928436, 4.203202169815637, 2.27108254265704, 2.7240732206901663, 2.897113918091186]"
P5prime,P5prime:S_b0p3_1216_minus_LR_1216,S_b0p3_1216,LR_1216,OK,1,10,SHORT_OF_SOFT_LR_1216,LR_1216,0,0.15,1.8525487850013809,1.4920014793367578,2.5154554322039795,0.275648624966615,3.0726954278361243,1,10,0,0.001953125,"[2.5655430383462265, 1.687856083342199, 1.6364588884071172, 1.4371901049517417, 2.017241486660563, 2.5154554322039795, 2.7387561191435448, 1.4920014793367578, 2.3900806800711107, 1.4901885983221508]"
P5prime,P5prime:S_b3_1216_minus_E_1216,S_b3_1216,E_1216,OK,1,10,SHORT_OF_SOFT_E_1216,E_1216,0,0.15,2.7256041574684113,2.388778505696816,3.574641899233663,2.708783501435072,8525738884.262709,1,10,0,0.001953125,"[2.2514483095518347, 2.7236583443624607, 3.574641899233663, 2.1242351912502224, 2.388778505696816, 2.5938617623680713, 5.057013638904394, 2.7275499705743624, 3.398575879236868, 3.590845017426007]"
P5prime,P5prime:S_b3_1216_minus_LR_1216,S_b3_1216,LR_1216,OK,1,10,SHORT_OF_SOFT_LR_1216,LR_1216,0,0.15,2.6523490088943924,2.183919697656972,3.132887551263174,2.138064415562374,2.768433657088768,1,10,0,0.001953125,"[3.201191763908535, 2.613132126208506, 2.4204960822077726, 1.9701970737790255, 2.6915658915802787, 3.132643301379207, 3.592567588232301, 1.9484689072540797, 3.0645833386178127, 2.183919697656972]"
P5prime,P5prime:G_b0p3_1216_minus_E_1216,G_b0p3_1216,E_1216,OK,1,10,SHORT_OF_SOFT_E_1216,E_1216,0,0.15,1.6126586184993883,1.1296512563683976,2.2976521906781198,-492526424822058.4,5.2176929783307635,1,10,0,0.001953125,"[1.1296512563683976, 1.1038227775433678, 2.2976521906781198, 1.0588382144413462, 1.2312861171014404, 1.2933480735349838, 3.6068711718266577, 1.9319691634637928, 2.3231333242904926, 1.965869800778225]"
P5prime,P5prime:G_b0p3_1216_minus_LR_1216,G_b0p3_1216,LR_1216,OK,1,10,SHORT_OF_SOFT_LR_1216,LR_1216,0,0.15,1.3434808015642068,0.9932965593894132,1.9891407836714374,-0.03343381903662923,9.27797391803075,1,10,0,0.001953125,"[2.079394710725098, 0.9932965593894132, 1.1435063736522293, 0.9048000969701495, 1.5340735029849033, 1.8321296125461197, 2.142425121154565, 1.1528881001435103, 1.9891407836714374, 0.5589444810091899]"
P5prime,P5prime:G_b3_1216_minus_E_1216,G_b3_1216,E_1216,OK,1,10,SHORT_OF_SOFT_E_1216,E_1216,0,0.15,2.724181463076029,2.3887816470244765,3.5746943010444223,-5263777834192.011,2.730693660612273,1,10,0,0.001953125,"[2.2514557284766643, 2.7214330190374914, 3.5746943010444223, 2.12423389449891, 2.3887816470244765, 2.5878666925927583, 5.057024448235942, 2.7269299071145663, 3.3992990598138677, 3.5909251797519346]"
P5prime,P5prime:G_b3_1216_minus_LR_1216,G_b3_1216,LR_1216,OK,1,10,SHORT_OF_SOFT_LR_1216,LR_1216,0,0.15,2.651237916895738,2.1839998599828996,3.1332528510140887,2.066420897882837,42433438734146.99,1,10,0,0.001953125,"[3.201199182833365, 2.6109068008835368, 2.420548484018532, 1.970195777027713, 2.6915690329079394, 3.126648231603894, 3.5925783975638494, 1.9478488437942836, 3.0653065191948126, 2.1839998599828996]"
P5prime,P5prime:LR_a0p00001_1216_minus_LR_1216,LR_a0p00001_1216,LR_1216,OK,1,10,SHORT_OF_SOFT_LR_1216,LR_1216,0,0.15,2.4236755888218813,1.8717672425035334,2.853325016684703,-26443097931737.45,2.5337575857270376,1,10,0,0.001953125,"[2.853325016684703, 2.379761364115708, 2.1865363567563105, 1.7449001025698454, 2.467589813528054, 2.9912286684553346, 3.2697257493930847, 1.8717672425035334, 2.6910853984010417, 1.723748695546873]"
P5prime,P5prime:E_a0p001_1216_minus_E_1216,E_a0p001_1216,E_1216,OK,1,10,SHORT_OF_SOFT_E_1216,E_1216,0,0.15,2.4975986583579637,2.131486503073127,3.0370891386647885,-123523912452633.11,64994580486424.05,1,10,0,0.001953125,"[1.8670548012552008, 2.2137349371743817, 3.407477378833695, 1.817046775386285, 2.1980847206218854, 2.395918204891053, 4.517524686930553, 2.599279111824874, 3.017276747720095, 3.0370891386647885]"
P5prime,P5prime:S_b10_1216_minus_E_1216,S_b10_1216,E_1216,OK,1,10,SHORT_OF_SOFT_E_1216,E_1216,0,0.15,2.7252499086782045,2.3877987059971995,3.5740675473040806,-4025895779199.2925,9990022940.409464,1,10,0,0.001953125,"[2.250937933039613, 2.7231436177693364, 3.5740675473040806, 2.1240872533246202, 2.3877987059971995, 2.5921359186879225, 5.055766966650274, 2.7273561995870725, 3.3987797295072375, 3.5912737351398802]"
P5prime,P5prime:S_b10_1216_minus_LR_1216,S_b10_1216,LR_1216,OK,1,10,SHORT_OF_SOFT_LR_1216,LR_1216,0,0.15,2.651601745748022,2.1843484153708452,3.132734288142248,-3422238617104.555,2.7672662024326042,1,10,0,0.001953125,"[3.2006813873963136, 2.612617399615382, 2.4199217302781904, 1.9700491358534236, 2.6905860918806623, 3.1309174576990584, 3.591320915978181, 1.94827513626679, 3.0647871888881824, 2.1843484153708452]"
V2_adjacent,leaky:LR_a0p01_1216_minus_LR_1216,LR_a0p01_1216,LR_1216,OK,1,10,MONOTONE_TOWARD_RELU,,,0.15,2.254299432096114,1.7130121827364304,2.6709070215679716,-34979483695590.62,15899994340788.459,1,10,0,0.001953125,"[2.61966817989995, 2.0873931123555796, 2.2119941680749733, 1.7130121827364304, 2.2966046961172544, 2.722145863235993, 3.2495413319745126, 1.675508191636841, 2.6214880464391523, 1.6139126406136062]"
V2_adjacent,leaky:LR_a0p001_1216_minus_LR_a0p01_1216,LR_a0p001_1216,LR_a0p01_1216,OK,0,10,MONOTONE_TOWARD_RELU,,,0.15,0.2140142466168449,0.13082820231326353,0.3781301451937164,-0.0007097103516431891,0.25204972676040827,1,10,0,0.001953125,"[0.5222189381880458, 0.093384497957824, 0.13082820231326353, 0.18386028351929856, 0.35502196405792047, 0.40123832632951234, 0.01902523286410973, 0.22797543521584157, 0.37463352204845124, 0.20005305801784823]"
V2_adjacent,leaky:LR_a0p0001_1216_minus_LR_a0p001_1216,LR_a0p0001_1216,LR_a0p001_1216,OK,0,10,MONOTONE_TOWARD_RELU,,,0.15,-0.10493543151851045,-0.17412100053084806,0.03343521460329692,-0.1938987238919076,-0.034148958187104686,1,4,6,0.75390625,"[0.05860102311256453, 0.001630269833679976, -0.149590270622677, -0.23399343510691323, -0.227249034331804, -0.0933835625140151, -0.11648730052300582, 0.03702087402438762, 0.03343521460329692, -0.12099296672989213]"
V2_adjacent,leaky:LR_a0p00001_1216_minus_LR_a0p0001_1216,LR_a0p00001_1216,LR_a0p0001_1216,OK,0,10,MONOTONE_TOWARD_RELU,,,0.15,0.012040110318030622,-0.18862167164300758,0.08202107142102957,-0.06314892345855679,0.09431662417629388,1,5,5,1.0,"[-0.34716312451585735, 0.19735348396862454, -0.006695743009249411, 0.08202107142102957, 0.04321218768468299, -0.038771958596156036, 0.1176464850774685, -0.06873725837353671, -0.3384713846898591, 0.030775963645310656]"
V2_adjacent,leaky:R_1216_minus_LR_a0p00001_1216,R_1216,LR_a0p00001_1216,OK,1,10,MONOTONE_TOWARD_RELU,,,0.15,-0.017126223184502826,-0.09536262253078166,0.1314910198173777,-0.06838166838173028,-0.006571529122678697,1,4,6,0.75390625,"[0.04497898089310859, -0.013060271981461147, 0.21800305874164685, 0.22524683213498745, -0.17327365455808436, -0.021192174387544505, -0.1109168382506473, -0.09536262253078166, -0.02628775593401933, 0.05568122445883217]"
V2_adjacent,elu:E_a0p1_1216_minus_E_1216,E_a0p1_1216,E_1216,OK,1,10,MONOTONE_TOWARD_RELU,,,0.15,1.5622464999123107,1.2118902146343373,2.1434597488043097,-200009912042673.34,16.57070614910092,1,10,0,0.001953125,"[0.9542660098670435, 1.2887975895108292, 2.4943445348407263, 1.2824512985644692, 1.0336967225387226, 1.3900837067299523, 3.6911216268075178, 1.792574962767893, 1.734409293094669, 2.078166590190642]"
V2_adjacent,elu:E_a0p01_1216_minus_E_a0p1_1216,E_a0p01_1216,E_a0p1_1216,OK,0,10,MONOTONE_TOWARD_RELU,,,0.15,0.7286969046953279,0.6041687917381162,0.8679925892506307,0.7214052685971201,0.7433915053467325,1,10,0,0.001953125,"[0.7243905746447963, 0.6981367564601035, 0.7484311026239732, 0.49634865453484767, 1.002981943755402, 0.7119889289413849, 0.7330032347458595, 0.48513685115578503, 1.1131874021141492, 0.8053646084060113]"
V2_adjacent,elu:E_a0p001_1216_minus_E_a0p01_1216,E_a0p001_1216,E_a0p01_1216,OK,0,10,MONOTONE_TOWARD_RELU,,,0.15,0.1671908969401361,0.12740293985246828,0.2411218929815384,0.1619525197919799,0.1734400548293479,1,10,0,0.001953125,"[0.188398216743361, 0.22680059120344898, 0.1647017413689956, 0.03824682228696802, 0.16140605432776095, 0.29384556921971583, 0.09339982537717562, 0.3215672979011957, 0.1696800525112766, 0.15355794006813506]"
V2_adjacent,elu:R_1216_minus_E_a0p001_1216,R_1216,E_a0p001_1216,OK,1,10,MONOTONE_TOWARD_RELU,,,0.15,0.0936180084249437,-0.018486564634017544,0.18515552182671516,-0.6127377300505404,0.13196121707819108,1,7,3,0.34375,"[0.08150574196591037, 0.2634923731138198, 0.15120785369015258, 0.30713827678974465, -0.20655594753537876, 0.0353367501656012, 0.10573027488397702, -0.04379342853183957, -0.018486564634017544, 0.14926610110995164]"
V2_adjacent,silu:S_b10_1216_minus_S_b3_1216,S_b10_1216,S_b3_1216,OK,0,10,MONOTONE_TOWARD_RELU,,,0.15,-0.0005125515526729999,-0.000979799699616252,-0.00014793792560203678,-0.0005449825088008511,-0.0005097134511340473,1,2,8,0.109375,"[-0.0005103765122216642, -0.0005147265931243356, -0.0005743519295822036, -0.00014793792560203678, -0.000979799699616252, -0.0017258436801491006, -0.001246672254119947, -0.00019377098728964905, 0.00020385027036934962, 0.00042871771387304304]"
V2_adjacent,silu:R_1216_minus_S_b10_1216,R_1216,S_b10_1216,OK,1,10,MONOTONE_TOWARD_RELU,,,0.15,-0.27414684864981853,-0.4005942141379164,-0.0936264155371356,-0.8278430388313769,1.6078250816021122,1,1,9,0.021484375,"[-0.30237738981850215, -0.24591630748113497, -0.01538231478023299, 9.779885140923696e-05, -0.3962699329106927, -0.16088096363126814, -0.43251200483574365, -0.1718705162940382, -0.39998954642115997, -0.40491849536514013]"
V2_adjacent,gelu:G_b3_1216_minus_G_b1_1216,G_b3_1216,G_b1_1216,OK,0,10,MONOTONE_TOWARD_RELU,,,0.15,0.0023124530301994457,-0.00018331998246915045,0.005829659921738011,0.0009833907379358212,1.2145404743703776,1,7,3,0.34375,"[0.002771897211648976, -0.0022196488136882165, 1.4807424810882148e-06, 0.021917877104096036, -2.71675911494397e-07, 0.0018530088487499156, 0.005829659921738011, 0.007019966269128323, 0.0032573722799412344, -0.002437219808811495]"
V2_adjacent,gelu:R_1216_minus_G_b3_1216,R_1216,G_b3_1216,OK,1,10,MONOTONE_TOWARD_RELU,,,0.15,-0.2735504470024216,-0.4009114069575821,-0.09372664617105325,-0.7069111183365461,1.9855315329077055,1,0,10,0.001953125,"[-0.3028951852555534, -0.24420570874928982, -0.016009068520574692, -4.884232288017021e-05, -0.39725287393796976, -0.15661173753610402, -0.43376948642141183, -0.17144422382153182, -0.4005088767277902, -0.4045699399771945]"
rho,S_b1_1216_vs_E_1216,S_b1_1216,E_1216,OK,1,,,E_1216,,,0.8124466273427288,0.7462651391335718,0.8741278695414576,0.4690456737847452,1.0337466858348814,1,,,,"[0.785609595966783, 0.7439684069809706, 0.7782022624108459, 0.7012635903889585, 0.8651911474348759, 0.7462651391335718, 0.8392836587186745, 0.9044218066115713, 0.9217006651225106, 0.8438339324713439]"
rho,S_b1_1216_vs_LR_1216,S_b1_1216,LR_1216,OK,1,,,LR_1216,,,0.7785342598470096,0.7049590735821643,0.8625039013674209,0.4443239940070082,0.9021708509065983,1,,,,"[0.8558630556030403, 0.7320115934237473, 0.6717424017762404, 0.6779065537405812, 0.8829822525981977, 0.7922940883102718, 0.7647744313837475, 0.8625039013674209, 0.9118870142216848, 0.7203595590078906]"
rho,G_b1_1216_vs_E_1216,G_b1_1216,E_1216,OK,1,,,E_1216,,,1.0960193671952982,1.034419930363418,1.1324705898693566,1.0462653330927165,1.4178845889527505,1,,,,"[1.1540230756945222, 1.0994762800085185, 1.004498174671869, 0.9897047412329669, 1.1994714567935723, 1.0636538460787417, 1.0925624543820782, 1.0643416860549673, 1.1324705898693566, 1.1277343953070278]"
rho,G_b1_1216_vs_LR_1216,G_b1_1216,LR_1216,OK,1,,,LR_1216,,,1.1038366123590695,1.0496086875154607,1.1543108524838357,1.102223975895686,1.1042809114305399,1,,,,"[1.103551348752486, 1.1041218759656533, 1.0066572365896436, 0.9888997950376264, 1.173146645051843, 1.052106675792187, 1.1354750599158283, 1.092560138441278, 1.149073797618674, 1.228728962691996]"
rho,LR_a0p01_1216_vs_LR_1216,LR_a0p01_1216,LR_1216,OK,1,,,LR_1216,,,0.918230218680629,0.8992602135552533,0.983747510378396,0.9144494651683933,0.9321359869089986,1,,,,"[0.9038624595933604, 0.881984260409162, 0.9199242706599134, 0.8694844798431614, 1.0009974811615816, 0.9165361667013446, 1.0287236181055537, 0.9432018881275717, 0.983747510378396, 0.90698297385515]"
rho,LR_a0p001_1216_vs_LR_1216,LR_a0p001_1216,LR_1216,OK,1,,,LR_1216,,,1.0431890589473265,0.9743331114840804,1.088164083304961,0.9964725237106751,1.0609255452584996,1,,,,"[1.0840433304145296, 0.921441925032797, 0.9743331114840804, 0.9628076123875087, 1.1557372552201435, 1.0516315862798336, 1.0347465316148194, 1.0715371967912806, 1.124333615708939, 1.019408338725494]"
rho,LR_a0p0001_1216_vs_LR_1216,LR_a0p0001_1216,LR_1216,OK,1,,,LR_1216,,,1.009029628796127,0.9221307614215993,1.0923775355340133,0.9680633423912625,1.0641075077854425,1,,,,"[1.1042624044528428, 0.9221307614215993, 0.9121215005374999, 0.8440380774939247, 1.0566885546113194, 1.0201896956833594, 0.9978695619088944, 1.0923775355340133, 1.13688061517729, 0.9514129850621676]"
rho,E_a0p1_1216_vs_E_1216,E_a0p1_1216,E_1216,OK,1,,,E_1216,,,0.5910538507058274,0.5202581063749415,0.7009174377222785,0.5465199057005217,0.6523885816578735,1,,,,"[0.489728693925811, 0.5202581063749415, 0.7009174377222785, 0.6037380299097376, 0.5190468430625187, 0.5717556292641304, 0.7983815855482975, 0.7014615556202045, 0.5783696715019173, 0.6522080665235425]"
rho,E_a0p01_1216_vs_E_1216,E_a0p01_1216,E_1216,OK,1,,,E_1216,,,0.8981325763085013,0.8614854644120523,0.94958183845938,0.8764155633452468,1.0518217051477157,1,,,,"[0.8614854644120523, 0.8020799454773379, 0.9112285649284293, 0.8374034791729196, 1.022670972078221, 0.8646039492071096, 0.9569285921053772, 0.891302905281233, 0.94958183845938, 0.9049622473357695]"
rho,S_b0p3_1216_vs_E_1216,S_b0p3_1216,E_1216,OK,1,,,E_1216,,,0.8450503349934294,0.7810633651176306,0.9083907357222312,0.7590301023253762,0.8959905136944992,1,,,,"[0.8292272927370749, 0.7259657981434611, 0.7841673323419751, 0.7491005648462093, 0.860873377249784, 0.813026165389052, 0.9091434940386609, 0.8887087716846418, 0.9083907357222312, 0.9092250236028289]"
rho,S_b0p3_1216_vs_LR_1216,S_b0p3_1216,LR_1216,OK,1,,,LR_1216,,,0.8434219278568476,0.7294837149631489,0.8792343107439042,0.8262861659128228,0.8570858740824898,1,,,,"[0.8851876961458556, 0.7131682530387147, 0.6805706231553795, 0.7294837149631489, 0.8792343107439042, 0.8469442840949027, 0.8670217782034262, 0.8398995716187923, 0.8969088841801949, 0.8374528165275388]"
rho,S_b3_1216_vs_E_1216,S_b3_1216,E_1216,OK,1,,,E_1216,,,1.0966498153021245,1.0359076051815483,1.1333156612308795,1.0669205478275396,1.4684847143385285,1,,,,"[1.1554418041484245, 1.0994785714862756, 1.004483865716468, 1.0000236039106583, 1.1994697430329586, 1.0668818409904806, 1.0938210591179733, 1.0673313446466286, 1.1333156612308795, 1.1269443446236278]"
rho,S_b3_1216_vs_LR_1216,S_b3_1216,LR_1216,OK,1,,,LR_1216,,,1.10431472470429,1.0517485183348423,1.1552311600647498,1.1031350536875209,1.1045725938354058,1,,,,"[1.1045051749519217, 1.1041242744566584, 1.0066360595326362, 1.0000254494085234, 1.1731451574610599, 1.054749094038474, 1.1373171626684397, 1.0968609771370483, 1.150024786039917, 1.2273142499761778]"
