arm,seed,is_control,source,k_star,censored
E_a0p01_1216,5,0,this_run,58,0
E_a0p01_1216,6,0,this_run,45,0
E_a0p01_1216,7,0,this_run,25,0
E_a0p01_1216,8,0,this_run,43,0
E_a0p01_1216,9,0,this_run,40,0
S_b0p3_1216,0,0,this_run,10,0
S_b0p3_1216,1,0,this_run,10,0
S_b0p3_1216,2,0,this_run,10,0
S_b0p3_1216,3,0,this_run,10,0
S_b0p3_1216,4,0,this_run,10,0
S_b0p3_1216,5,0,this_run,10,0
S_b0p3_1216,6,0,this_run,10,0
S_b0p3_1216,7,0,this_run,10,0
S_b0p3_1216,8,0,this_run,10,0
S_b0p3_1216,9,0,this_run,10,0
S_b3_1216,0,0,this_run,69,0
S_b3_1216,1,0,this_run,33,0
S_b3_1216,2,0,this_run,104,0
S_b3_1216,3,0,this_run,84,0
S_b3_1216,4,0,this_run,77,0
S_b3_1216,5,0,this_run,169,0
S_b3_1216,6,0,this_run,131,0
S_b3_1216,7,0,this_run,111,0
S_b3_1216,8,0,this_run,91,0
S_b3_1216,9,0,this_run,93,0
G_b0p3_1216,0,0,this_run,10,0
G_b0p3_1216,1,0,this_run,10,0
G_b0p3_1216,2,0,this_run,10,0
G_b0p3_1216,3,0,this_run,10,0
G_b0p3_1216,4,0,this_run,10,0
G_b0p3_1216,5,0,this_run,10,0
G_b0p3_1216,6,0,this_run,10,0
G_b0p3_1216,7,0,this_run,10,0
G_b0p3_1216,8,0,this_run,10,0
G_b0p3_1216,9,0,this_run,10,0
G_b3_1216,0,0,this_run,48,0
G_b3_1216,1,0,this_run,29,0
G_b3_1216,2,0,this_run,48,0
G_b3_1216,3,0,this_run,49,0
G_b3_1216,4,0,this_run,45,0
G_b3_1216,5,0,this_run,139,0
G_b3_1216,6,0,this_run,94,0
G_b3_1216,7,0,this_run,63,0
G_b3_1216,8,0,this_run,70,0
G_b3_1216,9,0,this_run,72,0
LR_a0p00001_1216,0,0,this_run,29,0
LR_a0p00001_1216,1,0,this_run,23,0
LR_a0p00001_1216,2,0,this_run,41,0
LR_a0p00001_1216,3,0,this_run,19,0
LR_a0p00001_1216,4,0,this_run,33,0
LR_a0p00001_1216,5,0,this_run,47,0
LR_a0p00001_1216,6,0,this_run,27,0
LR_a0p00001_1216,7,0,this_run,24,0
LR_a0p00001_1216,8,0,this_run,25,0
LR_a0p00001_1216,9,0,this_run,33,0
E_a0p001_1216,0,0,this_run,30,0
E_a0p001_1216,1,0,this_run,26,0
E_a0p001_1216,2,0,this_run,35,0
E_a0p001_1216,3,0,this_run,19,0
E_a0p001_1216,4,0,this_run,32,0
E_a0p001_1216,5,0,this_run,48,0
E_a0p001_1216,6,0,this_run,40,0
E_a0p001_1216,7,0,this_run,25,0
E_a0p001_1216,8,0,this_run,27,0
E_a0p001_1216,9,0,this_run,15,0
S_b10_1216,0,0,this_run,36,0
S_b10_1216,1,0,this_run,25,0
S_b10_1216,2,0,this_run,47,0
S_b10_1216,3,0,this_run,46,0
S_b10_1216,4,0,this_run,32,0
S_b10_1216,5,0,this_run,58,0
S_b10_1216,6,0,this_run,72,0
S_b10_1216,7,0,this_run,47,0
S_b10_1216,8,0,this_run,45,0
S_b10_1216,9,0,this_run,36,0
R_1216,0,1,/home/issan/Projects/claude/proj_004_drift/results/gate_dose_0830/logs,30,0
R_1216,1,1,/home/issan/Projects/claude/proj_004_drift/results/gate_dose_0830/logs,25,0
R_1216,2,1,/home/issan/Projects/claude/proj_004_drift/results/gate_dose_0830/logs,37,0
R_1216,3,1,/home/issan/Projects/claude/proj_004_drift/results/gate_dose_0830/logs,20,0
R_1216,4,1,/home/issan/Projects/claude/proj_004_drift/results/gate_dose_0830/logs,30,0
R_1216,5,1,/home/issan/Projects/claude/proj_004_drift/results/gate_dose_0830/logs,49,0
R_1216,6,1,/home/issan/Projects/claude/proj_004_drift/results/gate_dose_0830/logs,30,0
R_1216,7,1,/home/issan/Projects/claude/proj_004_drift/results/gate_dose_0830/logs,26,0
R_1216,8,1,/home/issan/Projects/claude/proj_004_drift/results/gate_dose_0830/logs,26,0
R_1216,9,1,/home/issan/Projects/claude/proj_004_drift/results/gate_dose_0830/logs,17,0
LR_1216,0,1,/home/issan/Projects/claude/proj_004_drift/results/gate_dose_0830/logs,465,0
LR_1216,1,1,/home/issan/Projects/claude/proj_004_drift/results/gate_dose_0830/logs,500,1
LR_1216,2,1,/home/issan/Projects/claude/proj_004_drift/results/gate_dose_0830/logs,500,1
LR_1216,3,1,/home/issan/Projects/claude/proj_004_drift/results/gate_dose_0830/logs,47,0
LR_1216,4,1,/home/issan/Projects/claude/proj_004_drift/results/gate_dose_0830/logs,500,1
LR_1216,5,1,/home/issan/Projects/claude/proj_004_drift/results/gate_dose_0830/logs,500,1
LR_1216,6,1,/home/issan/Projects/claude/proj_004_drift/results/gate_dose_0830/logs,500,1
LR_1216,7,1,/home/issan/Projects/claude/proj_004_drift/results/gate_dose_0830/logs,274,0
LR_1216,8,1,/home/issan/Projects/claude/proj_004_drift/results/gate_dose_0830/logs,500,1
LR_1216,9,1,/home/issan/Projects/claude/proj_004_drift/results/gate_dose_0830/logs,500,1
E_1216,0,1,/home/issan/Projects/claude/proj_004_drift/results/gate_dose_0830/logs,10,0
E_1216,1,1,/home/issan/Projects/claude/proj_004_drift/results/gate_dose_0830/logs,10,0
E_1216,2,1,/home/issan/Projects/claude/proj_004_drift/results/gate_dose_0830/logs,10,0
E_1216,3,1,/home/issan/Projects/claude/proj_004_drift/results/gate_dose_0830/logs,10,0
E_1216,4,1,/home/issan/Projects/claude/proj_004_drift/results/gate_dose_0830/logs,10,0
E_1216,5,1,/home/issan/Projects/claude/proj_004_drift/results/gate_dose_0830/logs,10,0
E_1216,6,1,/home/issan/Projects/claude/proj_004_drift/results/gate_dose_0830/logs,10,0
E_1216,7,1,/home/issan/Projects/claude/proj_004_drift/results/gate_dose_0830/logs,10,0
E_1216,8,1,/home/issan/Projects/claude/proj_004_drift/results/gate_dose_0830/logs,10,0
E_1216,9,1,/home/issan/Projects/claude/proj_004_drift/results/gate_dose_0830/logs,10,0
