arm,seed,is_control,events_within_task,events_across_boundary,units_within_task,units_across_boundary,opportunities_within_task,opportunities_across_boundary,n_units,n_records,valley_escapes_within_task,valley_escapes_across_boundary,valley_units_escaped_within_task,valley_opportunities_within_task,valley_opportunities_across_boundary,rate_within_task,rate_across_boundary,valley_rate_within_task,valley_rate_across_boundary
G_b1_1216,4,0,540,556,98,99,383931,95767,100,5001,807,729,99,371617,92580,0.0014065027309594692,0.005805757724477116,0.002171590643054543,0.007874270900842514
G_b1_1216,5,0,630,811,99,100,369916,92235,100,5001,834,941,96,351134,87481,0.001703089350014598,0.008792757629966933,0.0023751616192108993,0.010756621437797922
G_b1_1216,6,0,683,724,98,99,376069,93758,100,5001,1016,1071,100,357372,88930,0.001816156077741053,0.007722007722007722,0.0028429759466326405,0.012043180029236478
G_b1_1216,7,0,622,649,98,100,378681,94447,100,5001,897,838,99,363701,90536,0.0016425434600626913,0.006871578769045073,0.0024663116131107697,0.009255986568878678
G_b1_1216,8,0,715,698,99,100,376592,93877,100,5001,912,912,100,359810,89600,0.001898606449420062,0.00743526103305389,0.0025346710764014343,0.01017857142857143
G_b1_1216,9,0,619,721,99,99,376141,93823,100,5001,908,1001,99,359886,89611,0.0016456594734421401,0.007684682860279462,0.002523021178928883,0.011170503621207218
LR_a0p01_1216,0,0,151,719,73,99,380583,95048,100,5001,,,,,,0.0003967597081319975,0.007564598939483209,,
LR_a0p01_1216,1,0,149,730,76,100,381346,95253,100,5001,,,,,,0.00039072128722996964,0.0076638006152037206,,
LR_a0p01_1216,2,0,144,721,69,100,377073,94177,100,5001,,,,,,0.000381888918060959,0.00765579706297716,,
LR_a0p01_1216,3,0,132,619,67,99,384212,95943,100,5001,,,,,,0.0003435603260699822,0.006451747391680477,,
LR_a0p01_1216,4,0,121,671,68,99,381294,95263,100,5001,,,,,,0.00031734042497390464,0.007043658083411188,,
LR_a0p01_1216,5,0,115,747,54,100,375413,93799,100,5001,,,,,,0.0003063292960020031,0.007963837567564686,,
LR_a0p01_1216,6,0,141,659,63,99,382140,95453,100,5001,,,,,,0.00036897472130632754,0.006903921301582978,,
LR_a0p01_1216,7,0,163,683,68,99,382240,95447,100,5001,,,,,,0.0004264336542486396,0.007155803744486469,,
LR_a0p01_1216,8,0,152,710,77,99,381275,95254,100,5001,,,,,,0.0003986623827945709,0.007453755222877779,,
LR_a0p01_1216,9,0,104,667,55,100,383405,95775,100,5001,,,,,,0.00027125363518994274,0.006964239102062125,,
LR_a0p001_1216,0,0,35,653,26,100,380750,95143,100,5001,,,,,,9.192383453709783e-05,0.006863353058028441,,
LR_a0p001_1216,1,0,33,610,20,98,382267,95532,100,5001,,,,,,8.632709598265087e-05,0.006385294979692669,,
LR_a0p001_1216,2,0,48,686,33,99,379118,94719,100,5001,,,,,,0.00012660965715159924,0.007242475110590272,,
LR_a0p001_1216,3,0,40,641,28,99,381001,95222,100,5001,,,,,,0.00010498660108503652,0.006731637646762303,,
LR_a0p001_1216,4,0,27,588,22,99,382359,95536,100,5001,,,,,,7.061426565086738e-05,0.00615474794841735,,
LR_a0p001_1216,5,0,31,672,22,99,378066,94461,100,5001,,,,,,8.199626520237207e-05,0.007114047067043542,,
LR_a0p001_1216,6,0,23,593,22,99,381919,95443,100,5001,,,,,,6.0222193711231965e-05,0.0062131324455434135,,
LR_a0p001_1216,7,0,20,699,18,98,379613,94863,100,5001,,,,,,5.268523469954928e-05,0.00736852091964201,,
LR_a0p001_1216,8,0,44,704,35,99,380154,94996,100,5001,,,,,,0.00011574256748580839,0.007410838351088467,,
LR_a0p001_1216,9,0,14,541,12,96,384350,96030,100,5001,,,,,,3.6425133342005986e-05,0.005633656149120067,,
LR_a0p0001_1216,0,0,0,606,0,99,382834,95680,100,5001,,,,,,0.0,0.006333612040133779,,
LR_a0p0001_1216,1,0,0,690,0,100,380083,95020,100,5001,,,,,,0.0,0.007261629130709324,,
LR_a0p0001_1216,2,0,0,734,0,99,376696,94168,100,5001,,,,,,0.0,0.007794579899753632,,
LR_a0p0001_1216,3,0,0,614,0,97,381904,95455,100,5001,,,,,,0.0,0.006432350322141323,,
LR_a0p0001_1216,4,0,4,706,4,100,378459,94623,100,5001,,,,,,1.0569176581875448e-05,0.007461188083235577,,
LR_a0p0001_1216,5,0,4,813,4,100,376659,94163,100,5001,,,,,,1.0619685179432856e-05,0.008633964508352538,,
LR_a0p0001_1216,6,0,3,665,3,99,380552,95135,100,5001,,,,,,7.883285332884862e-06,0.0069900667472539025,,
LR_a0p0001_1216,7,0,2,634,2,99,381935,95461,100,5001,,,,,,5.236493120557163e-06,0.00664145567299735,,
LR_a0p0001_1216,8,0,0,707,0,99,381394,95337,100,5001,,,,,,0.0,0.00741579869305726,,
LR_a0p0001_1216,9,0,4,607,4,98,381237,95294,100,5001,,,,,,1.0492161044179867e-05,0.006369760950322161,,
E_a0p1_1216,0,0,3236,1718,100,100,335676,82154,100,5001,,,,,,0.009640248334703703,0.020911945857779293,,
E_a0p1_1216,1,0,3069,1957,100,100,332295,81437,100,5001,,,,,,0.009235769421748747,0.024030845929982687,,
E_a0p1_1216,2,0,3350,1848,100,100,334806,81842,100,5001,,,,,,0.010005794400339302,0.02258009335060238,,
E_a0p1_1216,3,0,3568,1879,100,99,331597,80957,100,5001,,,,,,0.010760049095739709,0.02320985214373062,,
E_a0p1_1216,4,0,3150,1877,100,100,329597,80631,100,5001,,,,,,0.009557125823353975,0.023278887772692883,,
E_a0p1_1216,5,0,3268,1885,100,100,330719,80889,100,5001,,,,,,0.009881500609278572,0.023303539418215086,,
E_a0p1_1216,6,0,3089,1776,100,99,336628,82393,100,5001,,,,,,0.009176301436600639,0.02155522920636462,,
E_a0p1_1216,7,0,3591,1900,100,100,333025,81235,100,5001,,,,,,0.010782974251182343,0.023388933341539977,,
E_a0p1_1216,8,0,3449,1928,100,100,331777,81067,100,5001,,,,,,0.010395536761137752,0.02378279694573624,,
E_a0p1_1216,9,0,3173,1844,100,100,333381,81615,100,5001,,,,,,0.009517638977626199,0.022593885927831892,,
E_a0p01_1216,0,0,1065,1125,95,100,361128,89520,100,5001,,,,,,0.002949092842427062,0.012567024128686327,,
E_a0p01_1216,1,0,1258,1229,98,100,361599,89529,100,5001,,,,,,0.003478991921990935,0.013727395592489585,,
E_a0p01_1216,2,0,1246,1182,93,100,358415,88731,100,5001,,,,,,0.0034764170026366083,0.013321161713493594,,
E_a0p01_1216,3,0,1338,1150,92,99,364527,90166,100,5001,,,,,,0.0036705100033742354,0.012754253266197902,,
E_a0p01_1216,4,0,1190,1082,93,100,362734,89826,100,5001,,,,,,0.0032806409104192053,0.012045510208625565,,
E_a0p01_1216,5,0,1129,1284,94,99,359055,89024,100,5001,,,,,,0.003144365069418334,0.014423076923076924,,
E_a0p01_1216,6,0,1059,1103,85,100,362346,89890,100,5001,,,,,,0.002922620920335812,0.012270552897986427,,
E_a0p01_1216,7,0,1455,1252,97,100,360579,89116,100,5001,,,,,,0.004035176757381877,0.01404910453790565,,
E_a0p01_1216,8,0,1253,1215,96,100,360857,89296,100,5001,,,,,,0.003472289577311788,0.01360643253897151,,
E_a0p01_1216,9,0,1201,1169,93,99,362619,89840,100,5001,,,,,,0.0033120161933048184,0.013012021371326803,,
S_b0p3_1216,0,0,2373,355,99,86,159825,38477,100,5001,288,179,54,138776,34534,0.014847489441576725,0.009226291031005536,0.002075286793105436,0.005183297619737071
S_b0p3_1216,1,0,1743,248,98,81,185664,45464,100,5001,315,161,56,169551,42174,0.0093879265770424,0.0054548653879992965,0.001857848081108339,0.003817517902024944
S_b0p3_1216,2,0,2375,480,98,87,141875,33888,100,5001,331,188,46,117584,29243,0.016740088105726872,0.014164305949008499,0.002815008844740781,0.006428888964880484
S_b0p3_1216,3,0,2085,277,99,88,177231,43072,100,5001,277,158,58,159989,39851,0.011764307598557814,0.006431092124814264,0.001731369031620924,0.003964768763644576
S_b0p3_1216,4,0,1798,307,96,82,210828,51793,100,5001,351,166,63,193686,48194,0.008528278976227066,0.005927441932307455,0.0018122115176109786,0.003444412167489729
S_b0p3_1216,5,0,2378,419,99,90,144859,34668,100,5001,402,228,52,120579,29924,0.016415963108954223,0.012086073612553363,0.0033339138655984874,0.007619302232321882
S_b0p3_1216,6,0,1802,304,95,86,190559,46538,100,5001,335,191,59,170942,42550,0.009456388834954003,0.006532296188061369,0.0019597290308993693,0.004488836662749706
S_b0p3_1216,7,0,2038,373,99,85,163863,39806,100,5001,319,153,54,144542,35932,0.012437218896273106,0.00937044666633171,0.0022069709842122013,0.004258042970054547
S_b0p3_1216,8,0,1769,325,98,81,198401,48627,100,5001,264,167,55,181093,45101,0.00891628570420512,0.006683529726283752,0.0014578144931057524,0.0037028003813662667
S_b0p3_1216,9,0,1719,320,99,78,189482,46438,100,5001,342,185,58,171183,42632,0.009072101835530552,0.006890908307851329,0.001997861937225075,0.0043394633139425785
S_b3_1216,0,0,572,621,98,100,382184,95304,100,5001,1066,844,100,372169,92690,0.0014966612940363804,0.0065159909342734825,0.0028642901477554552,0.009105620886827058
S_b3_1216,1,0,502,452,96,98,388172,96864,100,5001,917,576,98,380719,94839,0.001293241140525334,0.0046663363065741655,0.0024086005689235366,0.006073450795558789
S_b3_1216,2,0,613,749,100,99,375731,93685,100,5001,1136,946,100,363963,90566,0.0016314863559301735,0.007994876447670385,0.003121196385346862,0.010445421018925425
S_b3_1216,3,0,599,692,100,98,379700,94691,100,5001,1155,969,99,368906,91856,0.0015775612325520146,0.007307980695103019,0.003130878868871745,0.010549120362306218
S_b3_1216,4,0,572,627,98,99,380735,94959,100,5001,1124,874,100,370628,92298,0.0015023572826243976,0.006602849650901968,0.0030326904605156653,0.00946932761273267
S_b3_1216,5,0,674,1147,100,100,357281,89074,100,5001,1197,1333,100,339462,84492,0.0018864703132828221,0.012876933785391922,0.003526167877406013,0.015776641575533778
S_b3_1216,6,0,734,914,100,100,372653,92886,100,5001,1271,1208,100,357493,88944,0.0019696607836244442,0.009840018947957711,0.003555314369791856,0.013581579420759129
S_b3_1216,7,0,656,799,100,99,376638,93927,100,5001,1217,1012,99,364953,90844,0.0017417254764521902,0.008506606194172069,0.0033346759719744736,0.011139976222975651
S_b3_1216,8,0,572,730,100,99,377296,94113,100,5001,1131,959,99,365320,90965,0.0015160510580552139,0.007756632983753573,0.003095915909339757,0.010542516352443248
S_b3_1216,9,0,563,734,98,99,377602,94202,100,5001,1108,1035,99,366509,91275,0.0014909878655303733,0.007791766629158617,0.0030231181226109045,0.011339359079704191
G_b0p3_1216,0,0,1236,513,99,97,301490,74648,100,5001,697,499,96,277434,68961,0.0040996384623038905,0.006872253777730147,0.0025123092339078843,0.007235973956294137
G_b0p3_1216,1,0,1145,465,100,91,305815,75854,100,5001,712,591,95,282847,70298,0.0037440936513905465,0.006130197484641549,0.0025172619826266496,0.008407067057384279
G_b0p3_1216,2,0,1204,582,98,94,284080,70387,100,5001,693,534,89,256419,63745,0.004238242748521543,0.008268572321593476,0.0027026078410726196,0.00837712761785238
G_b0p3_1216,3,0,1180,470,96,92,303604,75230,100,5001,701,576,98,278842,69334,0.003886641809725827,0.006247507643227436,0.0025139684839443127,0.008307612426803588
G_b0p3_1216,4,0,953,475,99,97,320840,79755,100,5001,725,588,99,296997,73822,0.002970327889290612,0.005955739452071971,0.0024411020986743973,0.00796510525317656
G_b0p3_1216,5,0,1238,550,99,98,279975,69283,100,5001,738,584,95,252215,62684,0.00442182337708724,0.007938455320930099,0.0029260749757151635,0.009316572011996682
G_b0p3_1216,6,0,1136,502,98,95,287783,71312,100,5001,727,518,98,261433,64952,0.003947418714795523,0.007039488445142472,0.002780827210030868,0.007975120088680872
G_b0p3_1216,7,0,980,404,100,92,314922,78191,100,5001,696,498,97,294198,73110,0.003111881672287106,0.005166835057743219,0.0023657536760956907,0.006811653672548215
G_b0p3_1216,8,0,1118,419,96,91,313057,77607,100,5001,717,575,99,290413,72194,0.003571234631393005,0.0053989975131109305,0.002468897742180963,0.007964650802005707
G_b0p3_1216,9,0,1050,473,100,95,306869,76186,100,5001,753,562,95,283430,70446,0.0034216554946899166,0.00620848974877274,0.0026567406414282186,0.007977741816426766
G_b3_1216,0,0,282,588,89,99,382477,95481,100,5001,1077,853,98,375319,93540,0.000737299236293947,0.006158293273007195,0.0028695589618431255,0.009119093435963224
G_b3_1216,1,0,336,483,91,99,384653,96036,100,5001,1299,810,99,377081,94040,0.0008735145702750271,0.005029363988504311,0.0034448831948573383,0.00861335601871544
G_b3_1216,2,0,322,626,93,99,379521,94761,100,5001,1128,952,95,371197,92558,0.000848437899352078,0.006606093224005656,0.0030388176628582666,0.010285442641370816
G_b3_1216,3,0,232,508,81,98,384728,96065,100,5001,933,738,97,378326,94356,0.0006030234347383087,0.005288086191641076,0.0024661270967366766,0.00782144219763449
G_b3_1216,4,0,264,472,83,98,384482,95989,100,5001,976,692,99,378156,94336,0.0006866381261021323,0.004917230099282209,0.002580945429928389,0.0073354816824966074
G_b3_1216,5,0,439,972,99,100,363473,90721,100,5001,1348,1311,99,350617,87335,0.001207792600825921,0.010714167612790865,0.0038446510009497543,0.015011163909085705
G_b3_1216,6,0,394,755,96,100,374908,93551,100,5001,1154,1131,99,364679,90896,0.0010509244934757327,0.00807046423875747,0.00316442679726554,0.01244279176201373
G_b3_1216,7,0,305,614,90,98,379843,94816,100,5001,1128,906,98,371324,92542,0.0008029633295861711,0.006475700303746204,0.0030377783283601382,0.009790149337598064
G_b3_1216,8,0,340,672,90,100,377698,94316,100,5001,1105,975,98,368494,91891,0.0009001900989679585,0.007124984096017643,0.0029986919732750057,0.010610397100913039
G_b3_1216,9,0,367,645,94,99,378678,94519,100,5001,1431,1023,100,369433,92045,0.0009691611342618267,0.006824024799246712,0.0038735034498813044,0.011114128958661524
LR_a0p00001_1216,0,0,0,689,0,99,380024,95013,100,5001,,,,,,0.0,0.007251639249365876,,
LR_a0p00001_1216,1,0,0,651,0,99,381433,95343,100,5001,,,,,,0.0,0.006827978981152261,,
LR_a0p00001_1216,2,0,0,714,0,99,378048,94512,100,5001,,,,,,0.0,0.00755459624174708,,
LR_a0p00001_1216,3,0,1,670,1,98,381379,95345,100,5001,,,,,,2.622063616507464e-06,0.0070271120667051235,,
LR_a0p00001_1216,4,0,0,621,0,95,380317,95061,100,5001,,,,,,0.0,0.006532647457948054,,
LR_a0p00001_1216,5,0,0,801,0,100,376069,94011,100,5001,,,,,,0.0,0.008520279541755752,,
LR_a0p00001_1216,6,0,0,692,0,99,380263,95071,100,5001,,,,,,0.0,0.0072787706030230034,,
LR_a0p00001_1216,7,0,0,651,0,97,382443,95589,100,5001,,,,,,0.0,0.006810407055205097,,
LR_a0p00001_1216,8,0,1,668,1,100,380706,95173,100,5001,,,,,,2.626698817460192e-06,0.007018797347987349,,
LR_a0p00001_1216,9,0,0,604,0,97,382585,95630,100,5001,,,,,,0.0,0.006316009620412005,,
E_a0p001_1216,0,0,131,746,53,98,378150,94420,100,5001,,,,,,0.0003464233769668121,0.007900868460072019,,
E_a0p001_1216,1,0,148,870,63,99,376346,93965,100,5001,,,,,,0.0003932551428738448,0.009258766562017772,,
E_a0p001_1216,2,0,120,805,58,99,374409,93480,100,5001,,,,,,0.00032050511606291515,0.008611467693624305,,
E_a0p001_1216,3,0,141,719,61,97,378276,94417,100,5001,,,,,,0.00037274371094121755,0.007615154050647659,,
E_a0p001_1216,4,0,165,731,62,99,376244,93937,100,5001,,,,,,0.000438545199391884,0.007781811213898677,,
E_a0p001_1216,5,0,105,857,49,100,372254,92960,100,5001,,,,,,0.0002820654714254246,0.009219018932874355,,
E_a0p001_1216,6,0,133,842,52,100,374225,93447,100,5001,,,,,,0.0003554011624022981,0.009010455124295056,,
E_a0p001_1216,7,0,121,702,60,98,379640,94799,100,5001,,,,,,0.0003187230007375408,0.007405141404445195,,
E_a0p001_1216,8,0,125,864,54,100,375108,93664,100,5001,,,,,,0.000333237360973373,0.009224461906388794,,
E_a0p001_1216,9,0,121,678,54,96,379023,94635,100,5001,,,,,,0.000319241840204948,0.007164368362656523,,
S_b10_1216,0,0,253,590,78,99,381628,95280,100,5001,2029,1092,98,373701,93091,0.0006629492594882975,0.006192275398824517,0.00542947436587004,0.011730457294475298
S_b10_1216,1,0,315,621,89,100,381919,95313,100,5001,2332,1161,100,373913,93041,0.0008247822182190465,0.006515375657045733,0.006236744911249408,0.012478369750970003
S_b10_1216,2,0,284,648,85,100,379408,94731,100,5001,2016,1129,100,370788,92325,0.0007485345591026019,0.006840421826012604,0.005437069160814266,0.012228540481992959
S_b10_1216,3,0,275,627,85,98,381124,95152,100,5001,2192,1166,99,372286,92674,0.000721549941751241,0.006589456869009584,0.005887946363817066,0.012581738135830977
S_b10_1216,4,0,239,568,83,100,383778,95844,100,5001,2097,1068,99,376377,93705,0.0006227558640672472,0.005926296899127749,0.005571541300345133,0.01139747078597727
S_b10_1216,5,0,331,881,87,100,372457,92954,100,5001,2276,1423,99,361736,90024,0.0008886931914288092,0.009477806226735806,0.006291881372050335,0.015806895938860747
S_b10_1216,6,0,312,730,90,99,376867,94098,100,5001,1915,1237,98,367804,91595,0.0008278782700528303,0.007757869455248783,0.005206577416232558,0.01350510399039249
S_b10_1216,7,0,268,644,84,99,380193,94906,100,5001,2200,1190,96,371508,92463,0.0007049051402840136,0.006785661602006196,0.005921810566663436,0.01287001287001287
S_b10_1216,8,0,296,621,88,99,381417,95239,100,5001,1836,1034,100,373499,93046,0.0007760535057430581,0.006520438055838469,0.004915675811715694,0.01111278292457494
S_b10_1216,9,0,286,593,86,98,384046,95897,100,5001,2164,1051,100,376096,93628,0.0007447024575181099,0.006183717947381044,0.005753850080830426,0.01122527449053702
R_1216,0,1,0,711,0,100,379941,94975,100,5001,,,,,,0.0,0.00748618057383522,,
R_1216,1,1,0,715,0,98,378905,94707,100,5001,,,,,,0.0,0.007549600346331317,,
R_1216,2,1,0,676,0,99,378250,94551,100,5001,,,,,,0.0,0.007149580649596514,,
R_1216,3,1,0,623,0,97,382217,95542,100,5001,,,,,,0.0,0.006520692470327186,,
R_1216,4,1,0,657,0,98,379888,94960,100,5001,,,,,,0.0,0.0069187026116259475,,
R_1216,5,1,0,735,0,100,375886,93963,100,5001,,,,,,0.0,0.007822227898215255,,
R_1216,6,1,0,676,0,98,381213,95306,100,5001,,,,,,0.0,0.007092942731832204,,
R_1216,7,1,0,588,0,95,383106,95743,100,5001,,,,,,0.0,0.006141441149744629,,
R_1216,8,1,0,676,0,100,378199,94527,100,5001,,,,,,0.0,0.007151395897468448,,
R_1216,9,1,0,527,0,96,385560,96376,100,5001,,,,,,0.0,0.005468166348468498,,
LR_1216,0,1,445,4401,95,100,257442,64693,100,5001,,,,,,0.0017285446819089347,0.06802899850061057,,
LR_1216,1,1,432,4584,99,100,259521,65213,100,5001,,,,,,0.0016646051764597084,0.07029273304402496,,
LR_1216,2,1,288,4147,95,100,271235,68153,100,5001,,,,,,0.001061809869670212,0.060848385250832686,,
LR_1216,3,1,385,4535,95,100,261678,65816,100,5001,,,,,,0.0014712738556546595,0.06890421781937522,,
LR_1216,4,1,446,4672,96,100,252875,63584,100,5001,,,,,,0.001763717251606525,0.07347760442878712,,
LR_1216,5,1,308,4062,96,100,269846,67831,100,5001,,,,,,0.001141391756779793,0.0598841237782135,,
LR_1216,6,1,329,4194,95,100,273515,68743,100,5001,,,,,,0.0012028590753706378,0.06100984827546078,,
LR_1216,7,1,532,4631,97,100,251287,63114,100,5001,,,,,,0.002117101163211786,0.07337516240453781,,
LR_1216,8,1,349,4339,96,100,268483,67436,100,5001,,,,,,0.0012998960828059878,0.06434248769203393,,
LR_1216,9,1,445,4314,99,100,252278,63408,100,5001,,,,,,0.0017639270962985277,0.06803557910673733,,
E_1216,0,1,2355,1944,100,95,134917,32673,100,5001,,,,,,0.017455176145333796,0.05949866862547057,,
E_1216,1,1,2491,1949,98,94,151246,36657,100,5001,,,,,,0.016469857054070853,0.05316856262105464,,
E_1216,2,1,2460,1686,100,99,158910,38637,100,5001,,,,,,0.015480460638097037,0.04363692833294511,,
E_1216,3,1,2348,1912,100,92,150821,36602,100,5001,,,,,,0.015568123802388261,0.052237582645757064,,
E_1216,4,1,2209,1865,99,89,150965,36756,100,5001,,,,,,0.014632530719040837,0.05074001523560779,,
E_1216,5,1,2332,1597,100,99,146832,35629,100,5001,,,,,,0.015882096545712106,0.044823037413343064,,
E_1216,6,1,2407,1776,100,96,157355,38264,100,5001,,,,,,0.015296622287185027,0.04641438427765001,,
E_1216,7,1,2654,2114,99,98,133637,32158,100,5001,,,,,,0.019859769375247874,0.06573791902481498,,
E_1216,8,1,2331,1690,100,99,149266,36260,100,5001,,,,,,0.015616416330577627,0.046607832322118035,,
E_1216,9,1,2277,1849,100,97,152332,37026,100,5001,,,,,,0.014947614421132788,0.049937881488683625,,
