arm,seed,lr,task,iv,online_acc,memo_acc,acc,dead_frac_l1,zeroout_l1,zbar_l1,zsd_l1,zbar_min_l1,mob_l1,eff_rank_l1,dead_frac_l2,zeroout_l2,zbar_l2,zsd_l2,zbar_min_l2,mob_l2,eff_rank_l2,w_norm_l1,w_norm_l2,w_norm_l3,alpha_med_l1,alpha_min_l1,alpha_max_l1,alpha_clip_frac_l1,two_alpha_W_med_l1,alpha_med_l2,alpha_min_l2,alpha_max_l2,alpha_clip_frac_l2,two_alpha_W_med_l2
SNA,4,0.001,33,none,0.98540625,1,1,0,0,-5.350916862,4.994694233,-62.76779938,0.5590025783,63.98338642,0,0,-14.0588398,15.09793091,-22.48696136,0.7081251144,82.24937081,15.93012428,4.544496536,2.092962742,0.1239324436,0.05000000075,0.1641262174,0.009999999776,1.200000048,0.05000000075,0.05000000075,0.05055295303,0.9800000191,1.45730269
SNA,4,0.001,34,none,0.9846833333,1,1,0,0,-5.382876396,4.946172714,-59.15323639,0.5593703389,65.68688825,0,0,-14.08198071,15.32792854,-28.46772385,0.7108926177,81.97348768,16.09301758,4.581056595,2.067893505,0.1248110682,0.05000000075,0.172410056,0.009999999776,1.200000048,0.05000000075,0.05000000075,0.05000000075,1,1.481372476
SNA,4,0.001,35,none,0.9857770833,1,1,0,0,-5.533905983,5.01000309,-58.01091003,0.564231813,66.28330167,0,0,-14.17811871,15.58488274,-23.49499893,0.7293605208,82.25391312,16.23542976,4.611906528,2.032088757,0.1229426339,0.05000000075,0.1674785465,0.009999999776,1.200000048,0.05000000075,0.05000000075,0.05190071464,0.9900000095,1.507756352
SNA,4,0.001,36,none,0.9854854167,1,1,0,0,-6.042078018,5.094290733,-54.90483093,0.5566686392,67.44943224,0,0,-12.85206509,15.79689884,-24.36857224,0.74004668,82.30732645,16.44685173,4.638567924,2.031121492,0.1213266924,0.05000000075,0.1586354673,0.009999999776,1.200000048,0.05000000075,0.05000000075,0.05000000075,1,1.533564925
SNA,4,0.001,37,none,0.9846791667,1,1,0,0,-5.202618599,5.089103699,-57.45026016,0.5674757957,66.94641103,0,0,-13.14054203,16.13894272,-24.38893509,0.7449082732,82.30090147,16.56581879,4.676069736,1.961730003,0.1215189397,0.05000000075,0.1667317301,0.009999999776,1.200000048,0.05000000075,0.05000000075,0.0501803644,0.9900000095,1.560570717
SNA,4,0.001,38,none,0.98531875,1,1,0,0,-5.739207268,5.144033432,-57.89364624,0.5579141974,66.87254799,0,0,-11.86319256,16.11156654,-25.62535477,0.7414368391,83.29237187,16.8843708,4.732942581,1.969709635,0.1203771234,0.05000000075,0.1591631621,0.009999999776,1.200000048,0.05000000075,0.05000000075,0.05164213851,0.9900000095,1.553838134
SNA,4,0.001,39,none,0.9860458333,1,1,0,0,-5.476929188,5.095687389,-60.35447311,0.5625687838,65.95514538,0,0,-11.78302193,16.08890724,-25.56304741,0.7455841303,82.80238108,16.92797279,4.781476974,1.978901744,0.119997099,0.05000000075,0.1586239338,0.009999999776,1.200000048,0.05000000075,0.05000000075,0.05000000075,1,1.559474468
SNA,4,0.001,40,none,0.9862916667,1,1,0,0,-5.610697269,5.180081844,-59.26721954,0.5576933622,66.69404723,0,0,-12.36236286,16.25037384,-26.49003601,0.7514631748,82.4238256,16.99608803,4.815788269,1.976378322,0.1190369055,0.05000000075,0.1596170813,0.009999999776,1.200000048,0.05000000075,0.05000000075,0.05000000075,1,1.575611949
SNA,4,0.001,41,none,0.9854541667,1,1,0,0,-5.582885742,5.19056654,-59.80792236,0.5596523285,66.74674543,0,0,-13.96800137,16.72639465,-26.38426208,0.7652625442,80.60263496,17.1550045,4.833106518,1.941261649,0.1189963073,0.05000000075,0.1582451165,0.009999999776,1.200000048,0.05000000075,0.05000000075,0.05000000075,1,1.625169396
SNA,4,0.001,42,none,0.9855979167,1,1,0,0,-5.714166164,5.292859554,-57.57455826,0.5598165989,67.55411061,0,0,-12.72208309,16.96346474,-26.17286873,0.7765173316,80.70512346,17.25425529,4.834685326,1.914733052,0.116263397,0.05000000075,0.1653925925,0.009999999776,1.200000048,0.05000000075,0.05000000075,0.05000000075,1,1.645664573
SNA,4,0.001,43,none,0.9849333333,1,1,0,0,-6.031369686,5.273104191,-55.18096924,0.553219378,68.39111609,0,0,-12.59811401,16.97639275,-24.44904709,0.7723227143,78.31215098,17.38202667,4.86827755,1.917105317,0.1172715649,0.05000000075,0.175379619,0.009999999776,1.200000048,0.05000000075,0.05000000075,0.05000000075,1,1.63684237
SNA,4,0.001,44,none,0.9847875,1,1,0,0,-6.072890759,5.45651865,-61.27056503,0.5517553687,66.22255959,0,0,-13.8849678,17.49951744,-31.09583092,0.7858241796,74.13466591,17.61961174,4.927131653,1.920673847,0.1131962165,0.05000000075,0.1520157009,0.009999999776,1.200000048,0.05000000075,0.05000000075,0.05000000075,1,1.695230842
SNA,4,0.001,45,none,0.9855208333,1,1,0,0,-5.856866837,5.365052223,-60.95788574,0.5618200302,66.579081,0,0,-13.87653828,17.14478874,-31.85330009,0.7897264361,74.39150032,17.72680283,4.924565792,1.858956337,0.1153362691,0.05000000075,0.1605527997,0.009999999776,1.200000048,0.05000000075,0.05000000075,0.05000000075,1,1.667927384
SNA,4,0.001,46,none,0.9851104167,1,1,0,0,-5.77373457,5.352846622,-62.76281738,0.5628535748,66.47120508,0,0,-13.68956566,17.63764381,-28.07546234,0.7804475427,70.1646715,17.81937599,4.961022854,1.894338846,0.1154027954,0.05000000075,0.1555597037,0.009999999776,1.200000048,0.05000000075,0.05000000075,0.05000000075,1,1.708809733
SNA,4,0.001,47,none,0.98583125,1,1,0,0,-5.623708725,5.41388464,-57.7677002,0.5550809503,68.05779977,0,0,-12.50434208,17.5151329,-23.58574867,0.7899198532,69.25700835,17.87770844,4.981589794,1.892148852,0.1146248952,0.05000000075,0.1620745212,0.009999999776,1.200000048,0.05000000075,0.05000000075,0.05000000075,1,1.688712955
SNA,4,0.001,48,none,0.98478125,1,1,0,0,-5.605293751,5.371706963,-60.56555939,0.5645774603,66.95360456,0,0,-12.01801205,17.65590668,-29.85019112,0.797553122,65.28514604,18.05573654,5.013868332,1.871344686,0.1154861972,0.05000000075,0.1500923783,0.009999999776,1.200000048,0.05000000075,0.05000000075,0.05000000075,1,1.717158675
SNA,4,0.001,49,none,0.9860729167,1,1,0,0,-5.671699047,5.282988071,-58.7792244,0.5659028888,67.81863378,0,0,-12.28261852,17.28588867,-30.5164547,0.7933068871,73.65114842,18.06637383,4.97677803,1.794527769,0.1172618642,0.05000000075,0.1554103196,0.009999999776,1.200000048,0.05000000075,0.05000000075,0.05000000075,1,1.671109796
SNA,4,0.001,50,none,0.9867791667,1,1,0,0,-5.659538746,5.389596462,-56.26260376,0.5589839816,68.79411884,0,0,-12.03965187,17.57529259,-30.40040398,0.7956793308,69.49335436,18.24350548,5.003228664,1.838636637,0.1152855158,0.05000000075,0.1556289196,0.009999999776,1.200000048,0.05000000075,0.05000000075,0.05000000075,1,1.700850844
