arm,cond,seed,slot,lr,task,iv,online_acc,memo_acc,acc,dead_frac_l1,zeroout_l1,zbar_l1,zsd_l1,zbar_min_l1,mob_l1,eff_rank_l1,gate_zero_frac_l1,sink_ratio_l1,p_pos_l1,fold_mean_l1,onesided_frac_l1,skew_l1,bias_over_sd_l1,bias_share_l1,abs_zbar_l1,dead_frac_l2,zeroout_l2,zbar_l2,zsd_l2,zbar_min_l2,mob_l2,eff_rank_l2,gate_zero_frac_l2,sink_ratio_l2,p_pos_l2,fold_mean_l2,onesided_frac_l2,skew_l2,bias_over_sd_l2,bias_share_l2,abs_zbar_l2,r_a1,w_norm_l1,w_norm_l2,w_norm_l3,m_l1,m_l2
CH,raw,0,0,0.001,22,none,0.9850125,1,1,0,0,-0.4930470884,20.61119461,-3.608508348,0.4858333468,56.78911815,0.5170500278,-0.02319890261,0.4858333468,0.4684666395,0,-0.02918573469,0.0616296567,-3.061513257e+11,4.756330013,0,0,-2.914494514,42.03643417,-5.157251835,0.4758333564,86.7573794,0.5226916671,-0.06695836782,0.4758333564,0.4678249955,0,-0.08506526798,0.07047853619,-2.962666291e+12,5.157251835,0.004067766014,23.23366737,3.679555655,1.06438458,11.96034908,16.14182281
CH,raw,0,0,0.001,23,none,0.98735625,1,1,0,0,-0.5909917355,19.99699783,-4.069583416,0.4825000167,57.61599619,0.51865834,-0.034243159,0.4825000167,0.4661083221,0,-0.006878477987,0.06815120578,-4.115787612e+11,4.837812424,0,0,-3.117775202,40.99642563,-5.931013107,0.4741666913,85.36175054,0.5244333148,-0.07959521562,0.4741666913,0.4658333361,0,-0.1194503307,0.07613696903,-3.121343627e+12,5.931013107,0.003545330139,23.32342911,3.655136347,1.127311826,11.65305233,15.97060966
CH,raw,0,0,0.001,24,none,0.9861229167,1,1,0,0,-0.819743216,19.86518669,-4.378615379,0.4850000143,58.0541595,0.5188416839,-0.03698493168,0.4850000143,0.4664083421,0,-0.04947188124,0.0706698522,-5.037039616e+11,4.994194508,0,0,-3.253817558,39.51826096,-6.219474792,0.4733333588,83.64717268,0.5271666646,-0.08583401144,0.4733333588,0.4635833204,0,-0.116375789,0.08289390057,-3.275822989e+12,6.219474792,0.003085482633,23.49959564,3.628676414,1.154790401,11.09900856,15.8871069
CH,raw,0,0,0.001,25,none,0.9869166667,1,1,0,0,-0.8265237808,19.51041985,-4.595604897,0.4866666794,59.90016336,0.5225666761,-0.03913981095,0.4866666794,0.4647333324,0,-0.05560412258,0.07558955252,-5.850527826e+11,4.909357071,0,0,-3.608960152,38.59452057,-6.496238708,0.4658333361,76.70754497,0.5303999782,-0.09325744212,0.4658333361,0.459400028,0,-0.1281815171,0.08926151693,-3.439513567e+12,6.496238708,0.001799171907,23.71169472,3.669246674,1.206723809,10.91332531,16.95564461
CH,raw,0,0,0.001,26,none,0.9862854167,1,1,0,0,-0.8516392112,19.70154381,-4.8245368,0.4850000143,61.75372989,0.5248916745,-0.03842906654,0.4850000143,0.461558342,0,-0.03404877335,0.07728219777,-6.677507604e+11,4.8245368,0,0,-3.768373013,39.42700195,-7.041868687,0.4650000036,71.52106901,0.531183362,-0.09894602001,0.4650000036,0.4558833241,0,-0.1028339043,0.09103792906,-3.581037511e+12,7.041868687,0.006052284036,23.78393745,3.660446644,1.208387017,10.72350311,18.08936501
CH,raw,0,0,0.001,27,none,0.9866979167,1,1,0,0,-0.8492026329,19.24858284,-4.977496147,0.4800000191,63.12011987,0.5275499821,-0.04310821742,0.4800000191,0.4592166841,0,-0.03115519322,0.08232173324,-7.307796808e+11,4.977496147,0,0,-3.837322712,39.11717606,-6.617706776,0.462500006,66.56954369,0.5302916765,-0.09695608914,0.462500006,0.4570916593,0,-0.1642754972,0.09535052627,-3.71563928e+12,6.617706776,0.002480152762,23.84931374,3.688506842,1.254099965,10.48737812,18.82013321
CH,raw,0,0,0.001,28,none,0.98774375,1,1,0,0,-0.9486464858,19.18499947,-5.2586689,0.478333354,65.27544482,0.5292583108,-0.04660688713,0.478333354,0.4570583105,0,-0.03653061017,0.08544501662,-8.391614792e+11,5.2586689,0,0,-4.01568079,38.52269363,-6.993748665,0.4583333433,60.73801529,0.5370000005,-0.1051961109,0.4583333433,0.4534333348,0,-0.1090313122,0.1000566036,-3.831468917e+12,6.993748665,0.003240593942,23.82238197,3.674921036,1.239630818,10.01146698,19.32845688
CH,raw,0,0,0.001,29,none,0.9869708333,1,1,0,0,-0.9426076412,19.16993332,-5.386580944,0.4808333516,68.63531721,0.5281333327,-0.05140545964,0.4808333516,0.4573333263,0,-0.05921820551,0.08848082274,-9.036038144e+11,5.386580944,0,0,-4.102577209,38.24211502,-7.389602184,0.4525000155,60.79513785,0.5388500094,-0.1098405495,0.4525000155,0.4528000057,0,-0.1404904723,0.1037753448,-3.943298236e+12,7.389602184,0.00268059806,24.05548859,3.697153568,1.254833937,9.746282578,18.84194946
CH,raw,0,0,0.001,30,none,0.98740625,1,1,0,0,-1.217684984,19.7580471,-5.559556007,0.4766666889,70.33092513,0.5307000279,-0.05911586061,0.4766666889,0.4556333125,0,-0.05471878871,0.08943185955,-1.000081326e+12,5.559556007,0,0,-4.328914642,38.42232895,-7.402199268,0.4550000131,60.74941431,0.5409833193,-0.1114429981,0.4550000131,0.4487499893,0,-0.09650958329,0.1069908217,-4.084436042e+12,7.402199268,0.002964264015,24.23137665,3.701215267,1.266287088,9.442406654,19.20402145
CH,raw,0,0,0.001,31,none,0.9879229167,1,1,0,0,-1.346114159,20.36173439,-5.71382618,0.4733333588,72.96944054,0.5323333144,-0.06615643203,0.4733333588,0.4544499815,0,-0.07823581249,0.08987251669,-1.085117432e+12,5.71382618,0,0,-4.465483189,36.41805649,-7.545746326,0.4550000131,60.78367959,0.5417666435,-0.116980359,0.4550000131,0.4489499927,0,-0.1117628217,0.1169694737,-4.229970002e+12,7.545746326,0.002592103323,24.46443367,3.6615448,1.295004368,9.107329369,18.83648491
CH,raw,0,0,0.001,32,none,0.9866854167,1,1,0,0,-1.428458333,19.42145538,-5.737504959,0.4675000012,73.28902002,0.5362166762,-0.07319246978,0.4675000012,0.4497666955,0,-0.04605659097,0.09787796438,-1.171242615e+12,5.737504959,0,0,-4.589740276,36.97169113,-7.725791931,0.451666683,59.87384917,0.5448499918,-0.1216032431,0.451666683,0.4469833374,0,-0.112954177,0.1186672449,-4.351434162e+12,7.725791931,0.0024576094,24.64689636,3.694067001,1.322731614,8.812744141,18.65883255
CH,raw,0,0,0.001,33,none,0.9876916667,1,1,0,0,-1.576590061,19.38501549,-5.881316662,0.4741666913,74.72078511,0.535374999,-0.07363282889,0.4741666913,0.450424999,0,-0.06139675155,0.1010366976,-1.237632549e+12,5.881316662,0,0,-4.79047966,36.93867111,-8.128595352,0.4500000179,62.76545684,0.5463833213,-0.1282991767,0.4500000179,0.4441333711,0,-0.0693859756,0.1220651567,-4.469480227e+12,8.128595352,0.005314124282,24.71103668,3.679591417,1.323968649,8.827178955,18.1247139
CH,raw,0,0,0.001,34,none,0.9871375,1,1,0,0,-1.642055511,19.42913628,-6.073355675,0.4658333361,74.57570372,0.5356500149,-0.08339626342,0.4658333361,0.4485500157,0,-0.07959711552,0.1050569639,-1.30935187e+12,6.073355675,0,0,-4.964323521,37.80694962,-8.07197094,0.4500000179,65.49100171,0.544416666,-0.1308088899,0.4500000179,0.4460166693,0,-0.1311383843,0.122655347,-4.595489178e+12,8.07197094,0.003494790988,24.89424133,3.653752804,1.307363749,9.037763596,17.74019241
CH,raw,0,0,0.001,35,none,0.9882833333,1,1,0,0,-1.75131762,19.52524948,-5.97866106,0.4708333313,75.10091692,0.537283361,-0.08594794571,0.4708333313,0.4480833411,0,-0.07665655017,0.1080782115,-1.381447631e+12,5.97866106,0,0,-5.112879276,36.43390274,-8.212758064,0.4450000226,67.40692427,0.5488499999,-0.1379836351,0.4450000226,0.4419000149,0,-0.1357870102,0.1312218755,-4.736803144e+12,8.212758064,0.00481545506,24.83559036,3.705779314,1.328734398,8.867267609,16.31238556
CH,raw,0,0,0.001,36,none,0.9871708333,1,1,0,0,-1.805983067,19.74784279,-5.986355782,0.4650000036,74.0881735,0.5413166881,-0.08400105685,0.4650000036,0.4449332952,0,-0.08347237855,0.1117501631,-1.459773506e+12,5.986355782,0,0,-5.258298874,37.35936356,-8.40424633,0.4491666853,69.11929631,0.5475833416,-0.1362001896,0.4491666853,0.4446333349,0,-0.1382400393,0.1320418268,-4.886542418e+12,8.40424633,0.003045348683,24.91981697,3.690254927,1.356528759,9.036414146,16.29104614
CH,raw,0,0,0.001,37,none,0.9876229167,1,1,0,0,-1.841678262,19.09447479,-6.135293007,0.462500006,73.29173705,0.5422416925,-0.08775179088,0.462500006,0.4427749813,0,-0.06260818988,0.1195716113,-1.523929186e+12,6.135293007,0,0,-5.377597809,36.84644318,-8.581851006,0.4475000203,71.70078031,0.5490416884,-0.145644784,0.4475000203,0.4410083294,0,-0.1540259272,0.1376454383,-5.021631513e+12,8.581851006,0.003306401893,25.11869049,3.682600021,1.374230862,9.092664719,15.9995966
