arm,cond,seed,slot,lr,task,hard,n_classes,online_acc,train_acc,test_acc,acc,dead_frac_l1,zeroout_l1,zbar_l1,zsd_l1,zbar_min_l1,mob_l1,eff_rank_l1,dead_frac_l2,zeroout_l2,zbar_l2,zsd_l2,zbar_min_l2,mob_l2,eff_rank_l2,w_norm_l1,w_norm_l2,w_norm_l3
SL,std,1,1,0.0001,3,1,5,0.6284054487,0.7671999931,0.6320000291,0.7671999931,0,0,0.2698633373,5.394827366,-3.914235115,0.5758024454,40.09119652,0,0,0.9515548348,2.683402777,-4.397945881,0.6468912363,28.96866845,0.7945122719,0.6132749319,0.7575417757
SL,std,1,1,0.0001,4,0,1,0.9666266026,1,0.9899999499,1,0,0,-3.659272909,4.726689339,-12.10062408,0.2395988554,23.22513811,0,0,-0.8106347919,2.37778616,-10.19906425,0.3423246741,15.24860853,0.8054243326,0.6149998903,0.7892656922
SL,std,1,1,0.0001,5,1,5,0.6427884615,0.7871999741,0.6860000491,0.7871999741,0,0,-0.6961554289,6.206757069,-4.551673412,0.4886875749,36.29384553,0,0,-1.034261346,3.357181549,-5.497395039,0.4804198742,25.80836484,0.8463415504,0.6250437498,0.8940012455
SL,std,1,1,0.0001,6,0,1,0.9626201923,1,1,1,0,0,-1.782910466,5.050422192,-9.396025658,0.3916164935,33.33788567,0,0,0.001002368983,2.731999636,-5.958435535,0.4991163015,20.68902629,0.8471499085,0.6254477501,0.93549788
SL,std,1,1,0.0001,7,1,5,0.6497195513,0.7999999523,0.6840000153,0.7999999523,0,0,-0.1546119303,5.368478775,-3.13297677,0.5297988057,45.82796274,0,0,-1.04254663,2.893564224,-5.814935207,0.3952991068,32.39986369,0.8821467161,0.6316128373,1.043223739
SL,std,1,1,0.0001,8,0,1,0.9543669872,1,1,1,0,0,-0.09665587544,6.713599682,-4.587624073,0.5473530293,27.52106987,0,0,-3.207828045,4.656455994,-10.89313507,0.1888458282,14.53072802,0.8930494785,0.6340108514,1.090200663
SL,std,1,1,0.0001,9,1,5,0.6145833333,0.7559999824,0.6500000358,0.7559999824,0,0,-0.5659660697,5.459889889,-4.511070251,0.5117599368,40.89854864,0,0,-2.783527374,3.290459871,-8.992460251,0.2522244751,26.61138484,0.930262208,0.6442695856,1.142397761
SL,std,1,1,0.0001,10,0,1,0.9482772436,1,1,1,0,0,-3.141382933,6.248796463,-25.16539574,0.3788385987,21.51055273,0,0,-3.900119066,4.269101143,-17.09638214,0.1837015301,11.95082444,0.9530805349,0.6461399794,1.16930449
SL,std,1,1,0.0001,11,1,5,0.6365785256,0.7795999646,0.6920000315,0.7795999646,0,0,-0.2381494045,7.746461868,-2.667123318,0.5293595195,43.94894532,0,0,-2.696692228,4.008577347,-11.54815292,0.3256722987,29.51402957,0.9954999089,0.6561621428,1.210138917
SL,std,1,1,0.0001,12,0,1,0.9585336538,1,1,1,0,0,-5.073050976,6.722657204,-14.28322315,0.2960802615,31.12481572,0,0,-3.49867487,3.118372679,-14.98890686,0.1393402517,17.38422117,0.9993980527,0.656264782,1.220293999
SL,std,1,1,0.0001,13,1,5,0.7198317308,0.8427999616,0.7460000515,0.8427999616,0,0,-0.5396919847,7.715065479,-4.623209476,0.5141449571,41.75248656,0,0,-3.444060564,4.798063278,-12.131567,0.2844053507,29.484088,1.031643629,0.6615726948,1.233082294
SL,std,1,1,0.0001,14,0,1,0.9521233974,1,1,1,0,0,-0.3955469131,6.197667599,-2.91172123,0.5202519298,32.70963793,0,0,-3.322983503,4.267346382,-12.87139797,0.1906321198,16.71210233,1.031479239,0.6637871861,1.247533679
SL,std,1,1,0.0001,15,1,5,0.6737179487,0.8019999862,0.7020000219,0.8019999862,0,0,-0.6414487958,8.259992599,-7.122851372,0.5031595826,44.29507545,0,0,-2.630427599,4.441465855,-12.83008099,0.3118590415,31.54067492,1.061021805,0.6666589379,1.274678946
SL,std,1,1,0.0001,16,0,1,0.9548477564,1,1,1,0,0,0.03772171214,7.768424511,-16.08646774,0.5537860394,37.105824,0,0,-3.191283941,4.627891541,-13.75831318,0.2484316528,23.02943298,1.046663284,0.6676498652,1.300113201
SL,std,1,1,0.0001,17,1,5,0.5840945513,0.7287999988,0.5860000253,0.7287999988,0,0,-0.4893693626,7.53129673,-3.26920867,0.518306911,46.79860359,0,0,-2.580475807,4.000351429,-8.341790199,0.3048049808,30.63319338,1.118968725,0.6746266484,1.313110709
SL,std,1,1,0.0001,18,0,1,0.9618589744,1,0.969999969,1,0,0,-5.635678768,6.545809269,-21.39468193,0.2588811815,30.47456941,0,0,-2.929988384,3.022139788,-11.52524281,0.1847971827,20.16663331,1.119929433,0.6713256836,1.332720399
SL,std,1,1,0.0001,19,1,5,0.6526041667,0.7975999713,0.6540000439,0.7975999713,0,0,-0.7347016335,8.259671211,-3.426421881,0.5081275105,48.86054333,0,0,-3.223769903,4.371747494,-10.67021847,0.2871379256,35.37485334,1.159194708,0.6793228388,1.356880784
SL,std,1,1,0.0001,20,0,1,0.9493990385,1,1,1,0,0,-1.926794291,6.569853306,-7.889776707,0.4381859004,46.62332867,0,0,-3.159221888,3.598708153,-10.16949463,0.1810513437,27.65714364,1.138747096,0.6769009233,1.382460237
SL,std,1,1,0.0001,21,1,5,0.6116987179,0.752399981,0.6540000439,0.752399981,0,0,-0.550588727,7.704802036,-5.187653542,0.5048190355,48.00299057,0,0,-3.874926567,4.340808392,-16.72302628,0.2538595498,33.00382112,1.163116574,0.6858320236,1.393483281
SL,std,1,1,0.0001,22,0,1,0.9393830128,1,0.9899999499,1,0,0,-2.460835457,6.053776264,-9.492041588,0.4166966379,35.93443498,0,0,-4.112913132,4.463901043,-13.93735313,0.1806252748,19.35127974,1.181723237,0.6923441291,1.413619876
SL,std,1,1,0.0001,23,1,5,0.6882612179,0.8203999996,0.7280000448,0.8203999996,0,0,-0.4968607724,7.86903286,-3.205417156,0.5162661076,50.09850848,0,0,-2.875135422,4.499923229,-11.03688145,0.2719275057,36.34207849,1.233561039,0.6956202984,1.439953923
SL,std,1,1,0.0001,24,0,1,0.9532451923,1,1,1,0,0,-3.433745384,6.824930668,-8.821433067,0.3583176434,45.49395216,0,0,-2.61660409,3.275086403,-11.80686474,0.2246929705,28.18194756,1.20746243,0.6942990422,1.458494306
SL,std,1,1,0.0001,25,1,5,0.7598157051,0.8768000007,0.7780000567,0.8768000007,0,0,-1.138912082,8.772049904,-7.073770046,0.5004883409,48.47389684,0,0,-2.794572592,5.018406868,-12.93607521,0.3501211107,34.8089449,1.23440516,0.6991342306,1.489451885
SL,std,1,1,0.0001,26,0,1,0.9601762821,1,0.9899999499,1,0,0,-2.181078911,7.445989609,-8.792469025,0.4475341141,39.0860798,0,0,-3.772506475,3.985117197,-11.91345978,0.2044551522,22.5720851,1.248656869,0.7009586692,1.497641325
SL,std,1,1,0.0001,27,1,5,0.6254807692,0.7712000012,0.6360000372,0.7712000012,0,0,-1.105771899,8.308181763,-6.173812389,0.5000392795,49.53370588,0,0,-3.960735083,5.184317112,-15.1940546,0.2715468109,32.43648326,1.272705674,0.7074910998,1.527420759
SL,std,1,1,0.0001,28,0,1,0.9432692308,1,0.9899999499,1,0,0,-0.9743357301,6.507494926,-6.883182049,0.4836733043,43.01374082,0,0,-3.94565177,4.267323971,-13.92537212,0.1637403816,24.15580991,1.254211307,0.707818985,1.542587161
