arm,iv,seed,task,step,CE_before,CE_after,CE_improvement,acc_before,acc_after,logit_change_rms,credit_D_only,credit_N_only,credit_both,credit_rest,credit_downstream
SNA,l2,0,106,300,2.7709624083489137,0.2529244740871982,2.5180379342617156,0.142578125,0.921875,3.9553023989742195,0.6215544325354394,0.4617010102671334,0.22923719097957806,1.0759199583510484,0.12962534212851615
SNA,l2,0,106,625,2.7709624083489137,0.1987870749393387,2.572175333409575,0.142578125,0.93359375,4.38914764949983,0.5813345220744105,0.47826866717239014,0.2537149310581678,1.149678282701352,0.10917893040325452
SNA,l2,0,107,300,2.537786259914982,0.2253270018185773,2.3124592580964047,0.17578125,0.93359375,4.108329055850702,0.4270122947165517,0.4186714248419886,0.08101577761324082,1.3082756359328032,0.07748412499182028
SNA,l2,0,107,625,2.537786259914982,0.22360123169722224,2.31418502821776,0.17578125,0.93359375,3.892046227091387,0.4484851339188374,0.40872824800399726,0.06583594977910687,1.3567048621998115,0.03443083431600712
SNA,l2,0,108,300,2.8957403066616134,0.23759360854659473,2.6581466981150186,0.107421875,0.921875,3.771130449588074,0.4306091039092888,0.5358142327832897,0.07516257100714453,1.4675900016013441,0.14897078881395187
SNA,l2,0,108,625,2.8957403066616134,0.2071574434846344,2.688582863176979,0.107421875,0.943359375,4.163322312369228,0.47587055640272197,0.529075917530646,0.05953161243216639,1.5307933720295148,0.09331140478192984
SNA,l2,0,109,300,3.1391551142676897,0.22691576706638306,2.9122393472013064,0.09375,0.935546875,3.786877689820554,0.4814970196947367,0.5389075528861169,0.1180971271680751,1.6522408259626986,0.12149682148967914
SNA,l2,0,109,625,3.1391551142676897,0.17480375741270698,2.9643513568549826,0.09375,0.951171875,3.8369653929597627,0.5289961254885125,0.5560995926142935,0.12490139304060627,1.645810343824632,0.10854390188693863
SNA,l2,0,110,300,3.1119029165940817,0.2251011014670761,2.8868018151270056,0.12890625,0.9296875,4.176779578784245,0.7881919744705991,0.45149481580204326,0.15875757175810803,1.2642004736067378,0.22415697948951743
SNA,l2,0,110,625,3.1119029165940817,0.17896334329402533,2.9329395733000565,0.12890625,0.947265625,4.4725332169691105,0.8695097327897766,0.4892891732818458,0.15899874632841457,1.2300001679257753,0.18514175297424412
SNA,l2,0,111,300,2.8286787739967756,0.2204779087784086,2.608200865218367,0.083984375,0.919921875,3.992235100950739,0.49637561228942967,0.343074598388051,0.20236444370368137,1.431530046610939,0.1348561642262663
SNA,l2,0,111,625,2.8286787739967756,0.15356712819791044,2.6751116457988653,0.083984375,0.947265625,3.9225273639632756,0.5516992591616633,0.3481670764379123,0.21844978923418287,1.4072711882255216,0.14952433273958485
SNA,l2,0,112,300,3.2804741949214264,0.2540547531838999,3.0264194417375263,0.09765625,0.919921875,4.365218390140873,0.7149282523549365,0.31315096490302907,0.18761334622687328,1.5792313187826823,0.2314955594700052
SNA,l2,0,112,625,3.2804741949214264,0.1851758748538456,3.095298320067581,0.09765625,0.939453125,4.661581882391953,0.7482221792697201,0.3369512783604292,0.2146962568739785,1.5362815575150341,0.259147048048419
SNA,l2,0,113,300,3.516855834418547,0.2654919028768288,3.2513639315417184,0.09375,0.91796875,4.036044354246026,0.869566719537786,0.4114290058898478,0.16203997190132527,1.621855938369301,0.18647229584345873
SNA,l2,0,113,625,3.516855834418547,0.1858968114025069,3.33095902301604,0.09375,0.935546875,4.319209356097216,0.8792511135102055,0.41383249775345465,0.1868729858221423,1.7019621090055936,0.14904031692464365
SNA,l2,0,114,300,3.1382533505620964,0.2929465500673745,2.845306800494722,0.0703125,0.9140625,4.351780828116598,0.7429354963008049,0.4460859291558229,0.06093933387398591,1.4819246078249753,0.11342143333913288
