arm,seed,step,L1_strict_dead_frac,L1_submerged_frac,L1_M_median_alive,L1_B_median_alive,L1_sigma_median_alive,L2_strict_dead_frac,L2_submerged_frac,L2_M_median_alive,L2_B_median_alive,L2_sigma_median_alive,task_boundary,side
both,0,90000,0.04,0.04,0.0606312051751227,-0.0998761492493164,0.3639249875872523,0.0,0.0,-0.0600128121306519,-0.1284951586973423,0.335744325612105,9,post
both,0,90000,0.0,0.0,-0.0039835368976485,-0.1171906174391215,0.3629898951498381,0.0,0.0,0.0097133247884425,-0.1489278828751567,0.3161007047685692,9,pre
both,0,100000,0.0,0.0,0.1340448745219432,-0.1032214634704029,0.3517787094742652,0.0,0.0,0.0591611726880713,-0.1616884411887051,0.3379814950926216,10,post
both,0,100000,0.01,0.01,0.0115012595928109,-0.0826396801202961,0.3516126816727062,0.0,0.0,0.0205933442483417,-0.1636366727649397,0.3171390305234446,10,pre
both,0,110000,0.03,0.03,0.2354964222052825,-0.0157000925020673,0.3539560756522055,0.02,0.02,-0.0367978974086133,-0.1624844091036849,0.3562135010815375,11,post
both,0,110000,0.01,0.01,0.0003573703486653,-0.0175808625643513,0.3539560756522055,0.0,0.0,0.0012282853896395,-0.1721057660341406,0.3266357805947022,11,pre
both,0,120000,0.05,0.05,-0.0377543362153662,-0.0739185872069843,0.3665015375873767,0.04,0.04,0.0942509667426335,-0.1851826104032494,0.3476291341897325,12,post
both,0,120000,0.0,0.0,-0.0056469537128576,-0.1027429781599238,0.364615475896316,0.0,0.0,-0.0134494159303846,-0.1821658836112133,0.3489041959990431,12,pre
both,0,130000,0.03,0.03,0.2348791689059446,-0.0980707011313547,0.3626071057937002,0.03,0.03,0.0293207986941868,-0.2029142590766031,0.3442177034406792,13,post
both,0,130000,0.01,0.01,-0.0075920398082785,-0.1394742068949786,0.3624561742095209,0.0,0.0,0.0101272349077822,-0.2062477673288468,0.3417312578767023,13,pre
both,0,140000,0.09,0.09,0.0186699388888055,-0.1129960471184063,0.3753708781728496,0.07,0.07,0.1522711604357047,-0.2376302629014648,0.3566818094895841,14,post
both,0,140000,0.0,0.0,0.0043677117477895,-0.1289604246299135,0.3657127595357999,0.0,0.0,0.0050290409244126,-0.2442634094328007,0.345865668021345,14,pre
both,0,150000,0.08,0.08,0.129622160767028,-0.1387269180622906,0.3705791851131547,0.03,0.03,0.1558162857084863,-0.2523078912580135,0.3326544437819494,15,post
both,0,150000,0.0,0.0,0.007684613995125,-0.1573972075369661,0.3664807437241251,0.01,0.01,-0.0257035674518165,-0.2394564490684698,0.3513317285801583,15,pre
both,0,160000,0.06,0.06,0.0977932414420358,-0.1296141998822761,0.3631704161866248,0.04,0.04,-0.1397717393551998,-0.2083508905315516,0.3491812547031681,16,post
both,0,160000,0.0,0.0,0.0160609554041372,-0.169293730371802,0.3548572863832839,0.0,0.0,0.0117643122485958,-0.2297926832119197,0.3412786482116221,16,pre
both,0,170000,0.06,0.06,-0.0014653170227542,-0.1170863174399121,0.3583251163029083,0.03,0.03,0.1400471527941705,-0.2879394343890577,0.3412310305593943,17,post
both,0,170000,0.0,0.0,-0.0179391606907116,-0.1477211720580686,0.3537212729529434,0.01,0.01,0.0098541990564822,-0.2715571569735704,0.3445263333200477,17,pre
both,0,180000,0.09,0.09,0.3445188111860609,-0.0871290046225106,0.3609448865170247,0.07,0.07,-0.0580861967208827,-0.2106083456610303,0.3827189212872928,18,post
both,0,180000,0.0,0.0,-0.0199201233125691,-0.1473891232326221,0.3570250380177983,0.01,0.01,-0.0133180901649206,-0.2496018580861989,0.3402922664609588,18,pre
both,0,190000,0.07,0.07,0.0718300403867403,0.0308976564505107,0.3622263242779439,0.03,0.03,-0.0250508765020329,-0.2212972614616407,0.3668561435341579,19,post
both,0,190000,0.0,0.0,-0.0086079190048107,-0.0255534106717902,0.3530336666553618,0.0,0.0,-0.0002237067995689,-0.2454037326763953,0.3501200738926854,19,pre
both,0,200000,0.05,0.05,0.340999430197306,-0.1017536915919704,0.3668194346998193,0.06,0.06,-0.0871929981018421,-0.2063838995014543,0.3802465289160904,20,post
both,0,200000,0.0,0.0,0.0032402934762647,-0.1096663171030567,0.3548890841658616,0.0,0.0,0.0139416873958455,-0.2215542064449263,0.336882085434305,20,pre
both,0,210000,0.06,0.06,0.2382123655732545,-0.0484609379242272,0.3823647436523111,0.02,0.02,-0.0801066324367109,-0.2024899680946125,0.3667659751322335,21,post
both,0,210000,0.0,0.0,0.0115803226480547,-0.0711535956947604,0.3714338548792969,0.0,0.0,0.0096412728147328,-0.2075402625045688,0.3238059392479476,21,pre
both,0,220000,0.05,0.05,-0.0528976940979136,-0.0568598765557184,0.372820495990033,0.01,0.01,-0.0481489733177804,-0.2457017445306605,0.3576699250820878,22,post
both,0,220000,0.0,0.0,-0.00562692523397,-0.0926734287522692,0.3662306629898438,0.01,0.01,-0.0019860427859294,-0.2356083616610883,0.3431712150269903,22,pre
both,0,230000,0.02,0.02,-0.0297489052810461,-0.1262308080476398,0.3611177265003545,0.08,0.08,0.2322101416794066,-0.2490769663452958,0.3399102855417315,23,post
both,0,230000,0.0,0.0,0.0089626650751832,-0.135594486108637,0.3580775559241494,0.0,0.0,0.0293149239127611,-0.2624733080056396,0.3485021102348482,23,pre
both,0,240000,0.05,0.05,0.2088996350980766,-0.0193142438052229,0.3596271188621466,0.06,0.06,-0.1050617210956174,-0.1702014814588413,0.4093912605266459,24,post
both,0,240000,0.0,0.0,-0.0126919682513381,-0.0588780510593194,0.3556537473709653,0.0,0.0,0.0226261406339195,-0.2030358923991913,0.3533868736300873,24,pre
both,0,250000,0.03,0.03,0.1385508090647571,0.0198443470705026,0.3747697783885911,0.05,0.05,0.0032743944954936,-0.2040602540230542,0.3753383876355721,25,post
both,0,250000,0.0,0.0,-0.0048310335899377,0.002069274757176,0.3692277575790661,0.0,0.0,-0.0070205322572767,-0.2206276004926544,0.3572723268203782,25,pre
both,0,260000,0.08,0.08,0.2451695035540928,-0.0449393149687101,0.384160222386198,0.07,0.07,0.1042090652314997,-0.1840051163483522,0.3949833859615724,26,post
both,0,260000,0.0,0.0,-0.0068951631801055,-0.0923286940724321,0.3675309119411378,0.0,0.0,0.0031080416827394,-0.2090181142169463,0.3684723734189365,26,pre
both,0,270000,0.08,0.08,0.1238506412014364,-0.018509217473198,0.391236420999997,0.08,0.08,-0.01728136589156,-0.2530525190963983,0.4014916423427224,27,post
both,0,270000,0.0,0.0,0.0074837730228551,-0.0429751279909301,0.3830613618705831,0.0,0.0,-0.0025597210429539,-0.2955306434449274,0.3928178681038186,27,pre
both,0,280000,0.07,0.07,-0.0182939360676943,-0.1818770140010207,0.3750916556254998,0.04,0.04,-0.1158143397259292,-0.2980536259092617,0.3808748775566073,28,post
both,0,280000,0.0,0.0,0.0041000269306131,-0.1944188985745685,0.37018584120581,0.0,0.0,-0.0208737257125832,-0.3071755746237916,0.3879172771159481,28,pre
both,0,290000,0.08,0.08,0.1758309742969035,-0.0363996435339596,0.3795526522730098,0.02,0.02,-0.1722199540004313,-0.2380799281635355,0.4432441847236482,29,post
both,0,290000,0.0,0.0,0.0028900423550381,-0.0721380656562965,0.3735783721802547,0.0,0.0,-0.0043475577368762,-0.2630687646643018,0.4016386534211335,29,pre
both,0,300000,0.07,0.07,0.0853167077116759,-0.1877383468417476,0.3678760634269125,0.06,0.06,0.0469172227805831,-0.2642959436637338,0.38347931286197,30,post
both,0,300000,0.0,0.0,0.0027559565828437,-0.2001476781188295,0.3554463343246925,0.0,0.0,-0.0003986933113425,-0.2699991635122281,0.3948269149075124,30,pre
both,0,310000,0.11,0.11,0.0073938299680398,-0.0708373344362578,0.3674640723710784,0.02,0.02,0.2595889637926478,-0.2847170246157855,0.3808815732836302,31,post
both,0,310000,0.0,0.0,0.0197001538860782,-0.1416316028470697,0.3525183569071296,0.01,0.01,0.0101931667528562,-0.300662997720355,0.3780528161948616,31,pre
both,0,320000,0.04,0.04,0.1115960225297468,-0.1494701059212375,0.359078105848856,0.03,0.03,0.0054231768124047,-0.2889345131641461,0.3855163907633808,32,post
both,0,320000,0.01,0.01,0.0049403597336628,-0.1883142988462386,0.3506305394780501,0.0,0.0,0.0199637890195119,-0.296250004835993,0.3662384956584665,32,pre
both,0,330000,0.06,0.06,-0.0011325131303626,-0.1299644170428994,0.3633803523004093,0.02,0.02,-0.1372537963845932,-0.2004081845187815,0.4065212394011322,33,post
both,0,330000,0.0,0.0,-0.0029191062531923,-0.2052249976649185,0.3523267203583191,0.0,0.0,0.0094051774528632,-0.2273990273666151,0.3662191283558521,33,pre
both,0,340000,0.09,0.09,0.1777747028780859,-0.0657570957032521,0.3674086678083358,0.11,0.11,-0.1579337911207922,-0.2145505109796478,0.4193305511297464,34,post
both,0,340000,0.0,0.0,-0.0031740998558251,-0.1152400684836583,0.3529885897767427,0.0,0.0,0.0142299529736132,-0.2467376155391639,0.3857383397089845,34,pre
both,0,350000,0.05,0.05,-0.0298421860891018,-0.1080854718656527,0.3745539314559916,0.04,0.04,-0.1281650405222723,-0.2126442833781467,0.3814174851244749,35,post
both,0,350000,0.0,0.0,-0.0009033992753515,-0.1079235958091474,0.3564784719087888,0.0,0.0,-0.033697667171141,-0.2142995642276139,0.392146957795037,35,pre
both,0,360000,0.04,0.04,0.0943116533852923,-0.1351891566509986,0.3577891490905601,0.02,0.02,-0.1349515037409797,-0.232014351132516,0.3706005293448743,36,post
both,0,360000,0.0,0.0,-0.0074576957440839,-0.1381628996304552,0.3485616436465633,0.0,0.0,0.041634202300055,-0.2221619677643277,0.3752349958624127,36,pre
both,0,370000,0.04,0.04,0.035087308529017,-0.0367870552797782,0.3638873243282122,0.03,0.03,-0.0148370940097786,-0.1912911490424395,0.3919224557251425,37,post
both,0,370000,0.0,0.0,-0.0140562081427346,-0.0607220204434944,0.3529159455779026,0.0,0.0,0.0147918741070408,-0.2127790707166456,0.3862893718990055,37,pre
both,0,380000,0.04,0.04,-0.0137321443390968,-0.0517221710392394,0.3732939553279241,0.02,0.02,0.013995565447257,-0.1978202487150541,0.4314797575268383,38,post
both,0,380000,0.0,0.0,0.0062105330751083,-0.0868069348187365,0.3547262328255249,0.0,0.0,0.0093656358042089,-0.2011489724549759,0.4211083418534226,38,pre
both,0,390000,0.04,0.04,0.1201806392498157,-0.0654084308034514,0.3656573524534607,0.03,0.03,-0.0364632942725427,-0.1589732784503356,0.4241723145846073,39,post
both,0,390000,0.0,0.0,-0.0032799908650376,-0.073453265033638,0.3513281648820208,0.0,0.0,0.0037833075306412,-0.1841853826205467,0.409860994535868,39,pre
both,0,400000,0.03,0.03,-0.0776717062115084,-0.0578419968746129,0.3478999842921321,0.06,0.06,-0.0087399755013407,-0.1869114264170676,0.3787308371835992,40,post
both,0,400000,0.0,0.0,-0.007855008848525,-0.0607828312028625,0.3463978749356026,0.0,0.0,-0.0090892947508211,-0.2028722965064343,0.3950164792621393,40,pre
both,0,410000,0.06,0.06,0.3043018872507855,0.0074878331170409,0.364780160119928,0.09,0.09,-0.1490952337478213,-0.162648130036196,0.4480487268649671,41,post
both,0,410000,0.0,0.0,0.004248497098868,-0.0065899867263777,0.3541256052997674,0.0,0.0,0.0112801093043396,-0.1966889979698273,0.4078967973079693,41,pre
both,0,420000,0.02,0.02,-0.2026964654756322,0.0298694059871015,0.3739533782660039,0.02,0.02,-0.0049215040056059,-0.1719620931793557,0.4280353914703558,42,post
both,0,420000,0.0,0.0,0.0044685332499869,0.0267433710896824,0.3727565002648276,0.0,0.0,0.0147272251061525,-0.1711903824363055,0.4407779841280744,42,pre
both,0,430000,0.04,0.04,0.2567729287905971,0.0626536072531222,0.3674671069397167,0.05,0.05,-0.1055937921934299,-0.1805770402988179,0.446142330122319,43,post
both,0,430000,0.0,0.0,-0.0057301397213012,0.0626536072531222,0.3629051474703051,0.0,0.0,0.03110305765469,-0.1821774375066409,0.421453843935603,43,pre
both,0,440000,0.05,0.05,0.0005504317173682,0.0779942145726089,0.3807551426746338,0.02,0.02,0.0269359684074477,-0.1700134862079299,0.4647280531939152,44,post
both,0,440000,0.0,0.0,-0.0007802964009101,0.0540171013122786,0.3703078226650196,0.0,0.0,0.030102615380331,-0.1797399515882789,0.4466256915005194,44,pre
both,0,450000,0.02,0.02,0.1907140294905089,0.0906575300581081,0.3716042046393559,0.05,0.05,-0.1575155533863474,-0.2004767034312229,0.4475363938928069,45,post
both,0,450000,0.0,0.0,0.002058002204595,0.074653379096545,0.3637022101964097,0.0,0.0,-0.0221831545742343,-0.2359385483534952,0.4208817263823396,45,pre
both,0,460000,0.06,0.06,0.0834499583433756,0.1241119676708163,0.3794748898313108,0.04,0.04,0.1429239280980645,-0.192184798969348,0.4166072723679981,46,post
both,0,460000,0.0,0.0,0.0059065381652411,0.0890733073650378,0.3659046875552081,0.0,0.0,0.0499148447634088,-0.197514840739833,0.4333503456699836,46,pre
both,0,470000,0.04,0.04,-0.0393495325695866,0.0991840768774316,0.3839370500232775,0.03,0.03,-0.1446343017403336,-0.2180168045809223,0.4267262469156964,47,post
both,0,470000,0.0,0.0,0.0032043508542041,0.0846551588766035,0.3740593448835777,0.0,0.0,0.0489684896987693,-0.1996324067252075,0.4430519450757282,47,pre
both,0,480000,0.06,0.06,0.161836487544217,0.1717637380821434,0.391116310092847,0.13,0.13,-0.2390301610898297,-0.2434733370437264,0.4544756253288252,48,post
both,0,480000,0.0,0.0,-0.015161267121403,0.1242959125706978,0.3707025269144686,0.0,0.0,-0.0087870358363581,-0.2543193456015707,0.4540671169666619,48,pre
both,0,490000,0.08,0.08,0.1081527441075545,0.1886585951175028,0.3813533193808949,0.09,0.09,0.0424271428457298,-0.2315667121350658,0.4952179177189372,49,post
both,0,490000,0.0,0.0,0.0125798779699524,0.1490534901275356,0.3597066817146972,0.0,0.0,0.019603494379437,-0.248910635298012,0.424895369842548,49,pre
both,0,500000,0.07,0.07,-0.0544314668612943,0.1699294631289593,0.3929641828990134,0.07,0.07,-0.0119861608994102,-0.292233332053999,0.436962172030335,50,post
both,0,500000,0.0,0.0,0.0112506743991172,0.1383754223301226,0.3741525218766768,0.0,0.0,0.0188367909332045,-0.3158985698112044,0.410236790590352,50,pre
both,0,510000,0.04,0.04,0.0561138078157388,0.1023421399873072,0.3863748631516018,0.06,0.06,-0.1115321533186818,-0.2450012895144864,0.424884820884205,51,post
both,0,510000,0.0,0.0,0.0040634131462856,0.0973123157625209,0.3842517159118654,0.0,0.0,-0.0154313474769072,-0.2330731317925178,0.4306909962955725,51,pre
both,0,520000,0.04,0.04,0.2030414098989709,0.0140740969110598,0.3939716657705457,0.05,0.05,-0.2278964774153903,-0.2184288021756301,0.4331236438298287,52,post
both,0,520000,0.0,0.0,-0.0097935580976568,0.0092137154015058,0.3875744950472327,0.0,0.0,0.0468637007824568,-0.2510576696380506,0.3918899530676336,52,pre
both,0,530000,0.03,0.03,0.0186638610290911,0.0511367170740644,0.3798522314431937,0.05,0.05,0.0474154202864954,-0.2541536434462188,0.4364056249514205,53,post
both,0,530000,0.0,0.0,-0.0034515862277787,0.0326070344839436,0.3759879879186849,0.0,0.0,0.0418307414280823,-0.258530119943543,0.3968090661827294,53,pre
both,0,540000,0.03,0.03,0.2996107295956973,0.0357172980700453,0.3810162501132073,0.1,0.1,-0.2854218201188678,-0.2589327140179345,0.4521004503056469,54,post
both,0,540000,0.0,0.0,0.0113875403547109,0.027077721933359,0.3798302364433989,0.0,0.0,-0.0309762415999436,-0.2777652809709858,0.4442956746288494,54,pre
both,0,550000,0.06,0.06,-0.0348229939427909,0.0839882483401905,0.3817304703639772,0.06,0.06,0.2037176545341974,-0.2889086015988257,0.4469851054095348,55,post
both,0,550000,0.0,0.0,0.002887305228186,0.0676350628449202,0.3759152346861293,0.0,0.0,0.0261082813313194,-0.2886575937576614,0.4477020412617524,55,pre
both,0,560000,0.03,0.03,0.2082353752618705,0.048683141341393,0.3861884686301624,0.04,0.04,-0.3039434100359981,-0.2604993052061123,0.4631814983557761,56,post
both,0,560000,0.0,0.0,0.0034955427649205,0.0294819291159786,0.3815562623935981,0.0,0.0,0.0154473744782892,-0.2702572458384219,0.4489182772052605,56,pre
both,0,570000,0.04,0.04,0.1164648202713273,0.1715837007357881,0.3889372218172776,0.04,0.04,-0.1160149907572543,-0.2809243176389919,0.5115825144160648,57,post
both,0,570000,0.0,0.0,0.0006540947128913,0.1562946774674677,0.3815016507915138,0.01,0.01,0.0330828598088813,-0.2959305426051778,0.5242567480515017,57,pre
both,0,580000,0.03,0.03,0.0743352254642464,0.1725143868055982,0.3849515543716414,0.1,0.1,0.00676312673907,-0.2273727666527994,0.5049923383309107,58,post
both,0,580000,0.0,0.0,-0.0070716837323405,0.140276192253474,0.3845401788319633,0.0,0.0,0.0674393558096635,-0.2751989818663736,0.5055683749367975,58,pre
both,0,590000,0.05,0.05,-0.0081610292159754,0.1301040501822046,0.3879054628354138,0.09,0.09,-0.1156427047557453,-0.2405337091561171,0.4905957527586444,59,post
both,0,590000,0.0,0.0,-0.0033073236079159,0.0953379472460859,0.3807606809946841,0.0,0.0,0.0094663978255522,-0.3122059643643625,0.4995093661627653,59,pre
both,0,600000,0.02,0.02,0.2049612829023748,0.1250295704794715,0.3859447361097089,0.11,0.11,-0.0697604493510814,-0.2617327874572526,0.4805189271696221,60,post
both,0,600000,0.0,0.0,-0.0096883179180175,0.0885193673997336,0.3824603362932613,0.02,0.02,0.0098316181819705,-0.307231170830048,0.4644318176681622,60,pre
both,0,610000,0.08,0.08,0.2000581094193995,0.1161952383447709,0.3952787244593158,0.06,0.06,0.0904424642673513,-0.3398925003697927,0.4686056194233271,61,post
both,0,610000,0.0,0.0,0.0075781873813164,0.0749945459206151,0.3854680502751678,0.01,0.01,0.0185149857337538,-0.2935682665043734,0.4634871832946953,61,pre
both,0,620000,0.03,0.03,-0.1567884464217148,0.1885793745744227,0.3961061525435412,0.03,0.03,0.2380997367338692,-0.2872865356386739,0.4777417590595357,62,post
both,0,620000,0.0,0.0,0.0031814747123347,0.1593527741978446,0.3850091111235585,0.0,0.0,-0.0277875667827385,-0.2850702202761069,0.4808366712319895,62,pre
both,0,630000,0.03,0.03,0.0965118128509177,0.1363088695759854,0.3961021258892621,0.04,0.04,0.0825611419702377,-0.2849471016969931,0.4973257124901132,63,post
both,0,630000,0.0,0.0,-0.0003163047984776,0.1265942640476807,0.385155156840435,0.01,0.01,-0.0110568170450349,-0.2829049223225087,0.5014558307106793,63,pre
both,0,640000,0.06,0.06,0.1226718941624609,0.1440276573269316,0.4014813972847824,0.06,0.06,0.0989393515248981,-0.278961285628702,0.4710542712525406,64,post
both,0,640000,0.0,0.0,0.0032766983820312,0.1230904129838585,0.3885425387745427,0.0,0.0,0.0028585915664582,-0.2694061342180917,0.5016355110975002,64,pre
both,0,650000,0.06,0.06,0.0608755122376082,0.1891156887518761,0.3980376050960867,0.17,0.17,-0.0470542120219712,-0.2628696851396111,0.4967049330914899,65,post
both,0,650000,0.0,0.0,-0.0017237522473401,0.1110906169136328,0.3923974652868496,0.0,0.0,-0.0211181139507481,-0.261270424444844,0.4737627333453965,65,pre
both,0,660000,0.02,0.02,0.0490605899787274,0.2032972988582425,0.3956062074428642,0.06,0.06,-0.1798047179050943,-0.2506812854656553,0.5037826871399667,66,post
both,0,660000,0.0,0.0,-0.0006128670614018,0.1594618391045091,0.3911809903701609,0.0,0.0,0.0268453691281753,-0.2794507323794169,0.4702155949962373,66,pre
both,0,670000,0.05,0.05,-0.0062646532721484,0.1188916749463232,0.3883801260837394,0.07,0.07,-0.0133127120029442,-0.2017619988089582,0.4927404679730237,67,post
both,0,670000,0.0,0.0,0.0003323938228916,0.0713578903840201,0.3832014164652068,0.0,0.0,0.0221982012573641,-0.2390286697753064,0.4837231119731436,67,pre
both,0,680000,0.01,0.01,-0.2900901099915544,0.1547883920383332,0.3855428320009628,0.06,0.06,0.2361749442838051,-0.2320441165968675,0.5057228404140828,68,post
both,0,680000,0.0,0.0,-0.0026642255729904,0.1489098381822215,0.3830550833042432,0.01,0.01,-0.0151669313472435,-0.2353723210148083,0.5056601817604901,68,pre
both,0,690000,0.04,0.04,0.2796634435730176,0.1578334689262902,0.3923400480899075,0.14,0.14,-0.3120094561367943,-0.2212531124148748,0.4956946436906247,69,post
both,0,690000,0.0,0.0,0.0029808871831205,0.146970142892819,0.3830470671348042,0.0,0.0,0.0118137964807444,-0.2180444147089961,0.4979652981037861,69,pre
both,0,700000,0.01,0.01,-0.1534533267160001,0.2135967624328116,0.3926821400327712,0.05,0.05,0.1153026563227219,-0.2243600087126452,0.4911738194379926,70,post
both,0,700000,0.0,0.0,0.0037962458607822,0.1898930857474984,0.391751492909399,0.0,0.0,-0.0009237977829856,-0.2190134022933156,0.467082919386459,70,pre
both,0,710000,0.03,0.03,0.1444106118517927,0.1799833225324207,0.3906031427131203,0.13,0.13,-0.1245804453505656,-0.2121195774234569,0.5028044135069476,71,post
both,0,710000,0.0,0.0,-0.0114353094740538,0.1662500683096607,0.38841373926126,0.0,0.0,-0.0217975860386237,-0.2033169999410619,0.5017064985532371,71,pre
both,0,720000,0.02,0.02,-0.0161488957250073,0.1682187915168625,0.4038558798231212,0.14,0.14,-0.1575916925224774,-0.2092198463860115,0.4975583896245583,72,post
both,0,720000,0.0,0.0,-0.0106470497557845,0.1671724255012999,0.4006178116299284,0.0,0.0,-0.0346982325948757,-0.2145802173417826,0.4781845165872024,72,pre
both,0,730000,0.01,0.01,0.1782776795122773,0.222659621036305,0.3987799218096646,0.23,0.23,-0.2070161440293043,-0.1864282891332667,0.5584888141961415,73,post
both,0,730000,0.0,0.0,-0.0020391484563886,0.2148296219450807,0.3971308315784552,0.0,0.0,0.0510877172507042,-0.2174056767559111,0.520216079033348,73,pre
both,0,740000,0.03,0.03,0.041971156641573,0.2848840364183711,0.4081345851468107,0.13,0.13,0.1051324218426763,-0.2119450765903343,0.5279324302536389,74,post
both,0,740000,0.0,0.0,0.001822396075482,0.2668592013625267,0.4005953452266155,0.0,0.0,0.0265108072969849,-0.2119368589490138,0.5228447911596412,74,pre
both,0,750000,0.02,0.02,0.0907318380321155,0.2310810777603383,0.3992558239195394,0.11,0.11,-0.1937005578714809,-0.1952915187508743,0.5204139194848307,75,post
both,0,750000,0.0,0.0,0.0024083547473893,0.2120999919838467,0.3974458375868028,0.0,0.0,0.02667580338755,-0.227135195911695,0.5409570941526054,75,pre
both,0,760000,0.02,0.02,0.0116533477133533,0.3065138762563227,0.4029859036281443,0.01,0.01,-0.0930650706330459,-0.2115458883252561,0.5875294895637683,76,post
both,0,760000,0.01,0.01,0.003001341573523,0.3029059755409881,0.4025941117975307,0.0,0.0,-0.0132597083672139,-0.2303146382436871,0.5408130856749748,76,pre
both,0,770000,0.03,0.03,0.3135735393432123,0.3692466715868447,0.399937124809444,0.08,0.08,-0.3627570452010556,-0.2058061854012755,0.6269063764672095,77,post
both,0,770000,0.01,0.01,-0.0100336908105147,0.3596794656204747,0.3959937880308543,0.0,0.0,-0.0359719062125925,-0.2126562850337156,0.5839177517480778,77,pre
both,0,780000,0.04,0.04,0.000383356108682,0.3599450203317157,0.4140446655351407,0.03,0.03,-0.1857012007881386,-0.2327137116730505,0.5345442746585671,78,post
both,0,780000,0.01,0.01,-0.0007434710931305,0.3296566818917113,0.4102193758040282,0.0,0.0,-0.0098439665790768,-0.2406660047537194,0.5555613660585051,78,pre
both,0,790000,0.02,0.02,0.0646308545758816,0.3900153806908768,0.4050656861294647,0.11,0.11,-0.0996035767731188,-0.2160977415767764,0.5386822303017266,79,post
both,0,790000,0.01,0.01,-0.0099829347705968,0.3905554523436698,0.4050235251802513,0.0,0.0,0.0434842203289079,-0.225551476032351,0.5162040952895041,79,pre
both,0,800000,0.04,0.04,-0.0422697438060767,0.3916297690853237,0.4257569404229122,0.02,0.02,-0.0621233347940773,-0.2340152713468445,0.5582708475775353,80,post
both,0,800000,0.01,0.01,-0.0020901601827745,0.3848824645877921,0.4198713045074692,0.0,0.0,0.0281609420576283,-0.2292767772180747,0.5851893396098431,80,pre
both,0,810000,0.04,0.04,0.0928881406542389,0.474218958129678,0.4286533899895229,0.09,0.09,0.0089480121227719,-0.2432949646907719,0.5974695129803351,81,post
both,0,810000,0.01,0.01,-0.0276892773702384,0.4510842331778328,0.4169915452488394,0.0,0.0,0.1002201902597495,-0.249648095479841,0.5925491595550887,81,pre
both,0,820000,0.04,0.04,0.125620273790834,0.4523083976274019,0.4341319994491897,0.08,0.08,-0.2217239581803084,-0.2466806448062415,0.5757875583868937,82,post
both,0,820000,0.01,0.01,-0.0054337897145923,0.4088819024281921,0.4313306630484081,0.0,0.0,0.0530047977335532,-0.2523962274318873,0.571412778352938,82,pre
both,0,830000,0.03,0.03,0.0406215389489335,0.395710372220256,0.4302494630367618,0.11,0.11,-0.0660413682857641,-0.2215998857579612,0.5654039176838315,83,post
