arm,cond,seed,slot,lr,task,iv,online_acc,memo_acc,acc,dead_frac_l1,zeroout_l1,zbar_l1,zsd_l1,zbar_min_l1,mob_l1,eff_rank_l1,dead_frac_l2,zeroout_l2,zbar_l2,zsd_l2,zbar_min_l2,mob_l2,eff_rank_l2,w_norm_l1,w_norm_l2,w_norm_l3
SL,raw,0,0,0.001,43,none,0.7232958333,0.8241667151,0.8241667151,0,0,-41.31635666,17.44744492,-62.43125153,0.1062124297,61.56014823,0,0,-30.68543625,13.65375042,-48.57384109,0.1136818603,62.0349033,41.72742462,5.237424374,4.43856144
SL,raw,0,0,0.001,44,none,0.7264458333,0.9816666842,0.9816666842,0,0,-37.05364227,16.89893532,-75.49227905,0.1085535437,67.01258718,0,0,-27.38072586,13.85900307,-57.80448151,0.1223246306,68.30559741,42.12626266,5.300278187,4.50231266
SL,raw,0,0,0.001,45,none,0.7272479167,0.956666708,0.956666708,0,0,-38.18583298,17.00055695,-69.31923676,0.1065257788,64.23299267,0,0,-28.18292618,13.47587967,-48.42667389,0.1188161001,66.40204671,42.59544754,5.361418724,4.51942873
SL,raw,0,0,0.001,46,none,0.7222291667,0.9908333421,0.9908333421,0,0,-37.01916885,16.87300301,-63.49469376,0.1091309637,66.85389324,0,0,-27.84540176,14.10019302,-49.61578751,0.1233368218,68.49781952,43.03897858,5.333318233,4.479084492
SL,raw,0,0,0.001,47,none,0.7336875,0.9966666698,0.9966666698,0,0,-38.20909882,17.18208885,-69.76898956,0.1096936539,66.0148274,0,0,-28.78920555,14.86430931,-52.70561981,0.1240283474,70.57440746,43.46434784,5.35399437,4.574521065
SL,raw,0,0,0.001,48,none,0.7235854167,0.6783333421,0.6783333421,0,0,-40.00024796,17.54398918,-67.56371307,0.1064605266,62.14498335,0,0,-32.50037384,14.90240192,-60.82369995,0.1165734604,64.07866932,43.92510986,5.379133701,4.581720352
SL,raw,0,0,0.001,49,none,0.7285125,0.9916666746,0.9916666746,0,0,-39.77781677,17.46293068,-73.72875214,0.1057448238,63.48078344,0,0,-29.04712296,13.99997997,-49.98367691,0.1168917641,68.01290377,44.35168839,5.425515175,4.66739893
SL,raw,0,0,0.001,50,none,0.72954375,0.9916666746,0.9916666746,0,0,-38.70975494,17.3484993,-58.95493698,0.1083909348,66.21720038,0,0,-28.09199905,14.43281269,-48.85074997,0.1232911572,70.16923407,44.7759285,5.403688908,4.589133739
SL,std,0,1,0.001,1,none,0.9828791667,1,1,0,0,-1.646596551,16.86317444,-8.206021309,0.501301229,72.85949552,0,0,-8.63890934,13.89413071,-17.41316795,0.3285651505,75.65133399,3.629514933,1.012948394,1.305291414
SL,std,0,1,0.001,2,none,0.9792791667,1,1,0,0,-2.89283514,24.02442551,-11.73123646,0.5015041232,74.82632195,0,0,-23.78645706,21.94512749,-39.02413559,0.2087653875,78.5412402,5.477555752,1.278730154,1.372509599
SL,std,0,1,0.001,3,none,0.9807958333,1,1,0,0,-3.911941767,27.36938095,-10.90313721,0.488104403,76.27775449,0,0,-32.65358734,26.84812737,-56.14195633,0.1771024168,64.98204649,6.675562382,1.455925465,1.326226115
SL,std,0,1,0.001,4,none,0.9799604167,1,1,0,0,-5.253410339,32.10976028,-14.56840992,0.4831644297,76.08253385,0,0,-37.81207275,31.85765076,-62.26370621,0.1810112745,72.87888103,7.690020561,1.612599969,1.252566218
SL,std,0,1,0.001,5,none,0.9782166667,1,1,0,0,-6.137539864,34.98957443,-17.10186958,0.4709202051,76.65818072,0,0,-44.10124588,36.63739014,-65.13495636,0.1684803069,78.95943383,8.691641808,1.72700417,1.208751202
SL,std,0,1,0.001,6,none,0.9767916667,1,1,0,0,-6.272334099,37.07494736,-19.38774872,0.4778946042,77.3015116,0,0,-48.74209976,40.69963455,-64.29763031,0.1819373816,81.58245381,9.533530235,1.85121429,1.081480742
SL,std,0,1,0.001,7,none,0.9777,1,1,0,0,-6.914409161,39.61200714,-22.34304428,0.4795565009,77.21620058,0,0,-55.50950623,45.74986267,-84.03939056,0.1734247059,82.3615603,10.40273857,1.978142023,1.064468145
SL,std,0,1,0.001,8,none,0.9756166667,1,1,0,0,-7.814580441,43.23638916,-19.70259476,0.4815023839,77.26217606,0,0,-65.96025085,51.63378525,-100.7719879,0.1608527452,83.37115107,11.23348236,2.117873907,1.097461939
SL,std,0,1,0.001,9,none,0.9769645833,1,1,0,0,-7.296281815,44.51613235,-21.5934124,0.4841097593,77.69403951,0,0,-72.18733215,55.5071373,-107.6352921,0.1659266949,83.35510821,11.92292309,2.228583336,1.098832011
SL,std,0,1,0.001,10,none,0.9751708333,1,1,0,0,-7.903198242,45.96463776,-20.37298584,0.4837203026,77.67801483,0,0,-81.10225677,60.95621109,-128.2852631,0.1574596912,82.23625482,12.6573,2.325851917,1.052915335
SL,std,0,1,0.001,11,none,0.9743833333,1,1,0,0,-9.444617271,49.03708649,-20.54187202,0.4786725044,78.01143794,0,0,-83.21951294,64.28934479,-128.4873657,0.1660277992,84.32393641,13.27269745,2.415407896,1.026302218
