step,run_id,dead_frac,dup_frac,sat_frac,eff_rank,stable_rank,wcos_mean,sign_match_mean,sign_clone_frac,drift_sq_W,trC_W,snr_drift,eff_rank_W,top1_frac,neg_gate_frac,eval_loss
80000,A_w100_T10000_std_lr0.01_cbp1e-5_s4,0.3,0.00141414,0.43,15.7859,5.92075,0.187518,0.499556,0.00020202,5.46524e-08,4.61875e-07,0.118327,19.1501,0.116512,0.3,2.61972e-09
90000,A_w100_T10000_std_lr0.01_cbp1e-5_s0,0.24,0.0010101,0.55,16.5367,5.99201,0.189231,0.498576,0,6.95833e-09,5.61307e-08,0.123967,18.9168,0.133436,0.24,3.437e-10
90000,A_w100_T10000_std_lr0.01_cbp1e-5_s1,0.39,0.00181818,0.38,13.2179,4.33661,0.1888,0.504101,0,0.000513505,0.00157194,0.32667,19.1318,0.138466,0.39,9.70109e-06
90000,A_w100_T10000_std_lr0.01_cbp1e-5_s2,0.45,0.00020202,0.45,14.9348,5.53735,0.187513,0.500444,0,6.23009e-05,0.0020739,0.0300405,18.9626,0.144566,0.45,1.05202e-05
90000,A_w100_T10000_std_lr0.01_cbp1e-5_s3,0.17,0.00323232,0.18,13.337,5.12642,0.186098,0.502737,0,1.62553e-05,4.13391e-05,0.39322,19.2098,0.117582,0.17,2.64366e-07
90000,A_w100_T10000_std_lr0.01_cbp1e-5_s4,0.28,0.00141414,0.29,13.5014,5.57633,0.187706,0.499485,0.00040404,0.000270921,0.000480617,0.563695,19.1338,0.117624,0.28,3.41139e-06
100000,A_w100_T10000_std_lr0.01_cbp1e-5_s0,0.21,0.0010101,0.24,17.0824,5.65754,0.188829,0.497717,0,2.10829e-06,1.4576e-05,0.144641,18.8917,0.133278,0.21,9.69767e-08
100000,A_w100_T10000_std_lr0.01_cbp1e-5_s1,0.38,0.00161616,0.4,15.3468,6.75014,0.190871,0.504919,0,0.00140149,0.00927551,0.151096,18.9311,0.147498,0.38,4.49313e-05
100000,A_w100_T10000_std_lr0.01_cbp1e-5_s2,0.44,0.0020202,0.41,15.6331,6.00668,0.18813,0.50095,0,0.000576326,0.0154809,0.0372282,18.844,0.155624,0.44,5.20886e-05
100000,A_w100_T10000_std_lr0.01_cbp1e-5_s3,0.2,0.00121212,0.22,17.0184,6.28663,0.187909,0.503414,0,0.000305104,0.0010961,0.278354,19.0572,0.129921,0.2,5.66391e-06
100000,A_w100_T10000_std_lr0.01_cbp1e-5_s4,0.26,0.00141414,0.27,13.9251,6.30339,0.187948,0.499404,0.00020202,0.000469647,0.00267334,0.175678,19.1453,0.12058,0.26,2.1081e-05
110000,A_w100_T10000_std_lr0.01_cbp1e-5_s0,0.29,0.0020202,0.4,13.6306,6.03223,0.188765,0.49795,0,1.3462e-07,1.26373e-06,0.106526,18.8947,0.136548,0.29,7.03395e-09
110000,A_w100_T10000_std_lr0.01_cbp1e-5_s1,0.38,0.0010101,0.42,14.2661,5.60119,0.19146,0.508212,0,3.46016e-06,9.86179e-05,0.0350865,18.9632,0.143965,0.38,8.0796e-07
110000,A_w100_T10000_std_lr0.01_cbp1e-5_s2,0.45,0.00161616,0.44,14.3839,4.13449,0.188691,0.502838,0,0.0130274,0.0375503,0.346933,18.8364,0.164556,0.45,0.000240395
110000,A_w100_T10000_std_lr0.01_cbp1e-5_s3,0.16,0.0020202,0.24,13.3586,5.72424,0.185996,0.501697,0,1.02365e-07,2.13873e-06,0.0478626,19.1001,0.127453,0.16,1.25871e-08
110000,A_w100_T10000_std_lr0.01_cbp1e-5_s4,0.27,0.0010101,0.27,13.8295,6.09183,0.187826,0.501939,0.00020202,0.000146393,0.000779146,0.187889,19.1278,0.123233,0.27,7.13636e-06
120000,A_w100_T10000_std_lr0.01_cbp1e-5_s0,0.24,0.00161616,0.23,15.1448,6.55954,0.18754,0.498495,0,0.00143873,0.00777045,0.185154,18.9111,0.136722,0.24,4.21908e-05
120000,A_w100_T10000_std_lr0.01_cbp1e-5_s1,0.34,0.00161616,0.35,14.4374,5.74374,0.190163,0.506333,0,0.000679752,0.00287803,0.236187,18.9893,0.144348,0.34,2.229e-05
120000,A_w100_T10000_std_lr0.01_cbp1e-5_s2,0.41,0.00141414,0.39,15.3623,4.67975,0.187925,0.503273,0,1.41608e-05,0.000290023,0.0488264,18.9301,0.160118,0.41,2.22422e-06
120000,A_w100_T10000_std_lr0.01_cbp1e-5_s3,0.24,0.00323232,0.24,15.3358,6.04264,0.190343,0.49999,0,0.000452379,0.00182796,0.247478,18.931,0.135708,0.24,9.82636e-06
120000,A_w100_T10000_std_lr0.01_cbp1e-5_s4,0.3,0.00222222,0.44,12.3347,6.25374,0.18699,0.50299,0.00020202,2.09656e-07,1.1634e-06,0.180209,19.166,0.127784,0.3,9.87901e-09
130000,A_w100_T10000_std_lr0.01_cbp1e-5_s0,0.26,0.000808081,0.31,16.027,6.4074,0.187235,0.49903,0,3.20911e-05,0.000279652,0.114754,18.956,0.138281,0.26,1.80159e-06
130000,A_w100_T10000_std_lr0.01_cbp1e-5_s1,0.38,0.00222222,0.34,12.6444,5.61801,0.189226,0.505444,0,0.0113298,0.019305,0.586882,19.0014,0.140287,0.38,0.000171611
130000,A_w100_T10000_std_lr0.01_cbp1e-5_s2,0.52,0.00141414,0.46,15.8959,5.42927,0.187451,0.504404,0,6.07778e-06,0.000170474,0.0356522,18.9424,0.161994,0.52,1.15537e-06
130000,A_w100_T10000_std_lr0.01_cbp1e-5_s3,0.28,0.00242424,0.3,15.5476,5.70832,0.189139,0.499364,0,5.0356e-06,1.38854e-05,0.362655,18.9231,0.136051,0.28,7.18133e-08
130000,A_w100_T10000_std_lr0.01_cbp1e-5_s4,0.31,0.0020202,0.27,13.4132,5.94054,0.187314,0.504172,0.00020202,1.9075e-05,0.000160747,0.118664,19.1365,0.134654,0.31,1.09163e-06
140000,A_w100_T10000_std_lr0.01_cbp1e-5_s0,0.26,0.00121212,0.24,16.9367,5.65404,0.188534,0.49804,0,2.39424e-05,0.000278785,0.0858815,18.8872,0.136103,0.26,1.21892e-06
140000,A_w100_T10000_std_lr0.01_cbp1e-5_s1,0.38,0.0020202,0.42,12.8485,5.53776,0.189613,0.503758,0,1.51221e-05,0.000102799,0.147104,18.893,0.140077,0.38,7.89826e-07
140000,A_w100_T10000_std_lr0.01_cbp1e-5_s2,0.42,0.000808081,0.54,13.7453,4.9325,0.187827,0.503566,0,2.48315e-08,6.58994e-07,0.0376809,18.9175,0.161139,0.42,4.54201e-09
140000,A_w100_T10000_std_lr0.01_cbp1e-5_s3,0.29,0.00121212,0.7,14.9327,5.78277,0.186928,0.50103,0,1.02264e-09,1.59109e-08,0.064273,18.9611,0.132722,0.29,7.34556e-11
140000,A_w100_T10000_std_lr0.01_cbp1e-5_s4,0.26,0.00323232,0.24,14.6065,6.08343,0.186948,0.504,0,1.34392e-05,0.000173132,0.0776237,19.118,0.132334,0.26,1.5457e-06
150000,A_w100_T10000_std_lr0.01_cbp1e-5_s0,0.32,0.00161616,0.31,16.2229,6.59314,0.187221,0.499162,0,0.00165352,0.00385261,0.429194,18.8493,0.136781,0.32,2.44851e-05
150000,A_w100_T10000_std_lr0.01_cbp1e-5_s1,0.38,0.000808081,0.36,16.0265,5.70799,0.193288,0.506545,0,0.00587606,0.00955637,0.614885,18.8317,0.140393,0.38,7.09875e-05
150000,A_w100_T10000_std_lr0.01_cbp1e-5_s2,0.39,0.0010101,0.4,16.0843,6.53426,0.187268,0.505333,0,9.98377e-05,0.000607343,0.164384,18.9167,0.14821,0.39,4.67284e-06
150000,A_w100_T10000_std_lr0.01_cbp1e-5_s3,0.36,0.0010101,0.38,15.5381,5.97268,0.185338,0.500354,0,2.35627e-05,0.000118236,0.199285,19.0258,0.136809,0.36,6.94692e-07
150000,A_w100_T10000_std_lr0.01_cbp1e-5_s4,0.16,0.00383838,0.14,15.0625,6.20976,0.187955,0.504545,0,3.79634e-05,0.000483516,0.0785153,19.0935,0.126941,0.16,3.32787e-06
160000,A_w100_T10000_std_lr0.01_cbp1e-5_s0,0.35,0.00161616,0.32,15.9525,6.4541,0.191162,0.498677,0,7.35542e-05,0.000821398,0.0895476,18.7314,0.14375,0.35,3.65558e-06
160000,A_w100_T10000_std_lr0.01_cbp1e-5_s1,0.44,0.00040404,0.47,15.7971,6.2686,0.193624,0.506505,0,5.15238e-05,0.000766287,0.0672382,18.8013,0.138401,0.44,3.74851e-06
