step,run_id,dead_frac,dup_frac,sat_frac,eff_rank,stable_rank,wcos_mean,sign_match_mean,sign_clone_frac,drift_sq_W,trC_W,snr_drift,eff_rank_W,top1_frac,neg_gate_frac,eval_loss
250000,A_w5_T10000_std_lr0.01_leaky0.3_s0,0,0,0.4,4.33047,2.88072,0.246781,0.45,0,0.266677,16.0387,0.0166271,4.54079,0.410127,0.4,0.546391
250000,A_w5_T10000_std_lr0.01_leaky0.3_s1,0,0,0.2,3.95129,2.19227,0.449076,0.56,0,0.843114,13.756,0.0612909,4.26042,0.575514,0.2,0.339862
250000,A_w5_T10000_std_lr0.01_leaky0.3_s2,0,0,0.4,4.20941,2.43241,0.282772,0.48,0,4.59118,21.0265,0.218352,4.53986,0.437801,0.4,0.292152
250000,A_w5_T10000_std_lr0.01_leaky0.3_s3,0,0,0,4.08953,2.60717,0.411097,0.48,0,0.858525,17.1274,0.0501259,4.22788,0.449639,0,0.210384
250000,A_w5_T10000_std_lr0.01_leaky0.3_s4,0,0,0,4.30338,2.6188,0.231168,0.49,0,1.5816,20.7491,0.0762251,4.58321,0.423516,0,0.189291
260000,A_w5_T10000_std_lr0.01_leaky0.3_s0,0,0,0.4,4.24234,2.59705,0.290154,0.48,0,0.328999,11.37,0.0289357,4.56101,0.392062,0.6,0.397069
260000,A_w5_T10000_std_lr0.01_leaky0.3_s1,0,0,0.2,3.94613,1.61813,0.486799,0.52,0,0.824674,40.5306,0.0203469,4.1554,0.668675,0.4,1.67904
260000,A_w5_T10000_std_lr0.01_leaky0.3_s2,0,0,0,3.99431,1.84748,0.397469,0.5,0,0.826534,5.98781,0.138036,4.42318,0.537115,0.4,0.257666
260000,A_w5_T10000_std_lr0.01_leaky0.3_s3,0,0,0,4.26114,2.0222,0.380839,0.48,0,0.417718,7.27771,0.0573969,4.399,0.441769,0,0.125622
260000,A_w5_T10000_std_lr0.01_leaky0.3_s4,0,0,0,4.84099,3.56473,0.231337,0.51,0,0.0658529,6.81896,0.00965733,4.62434,0.396826,0,0.301149
270000,A_w5_T10000_std_lr0.01_leaky0.3_s0,0,0,0,4.17479,2.59258,0.305995,0.5,0,0.0388298,9.05229,0.0042895,4.5317,0.405141,0,0.269242
270000,A_w5_T10000_std_lr0.01_leaky0.3_s1,0,0,0.2,4.03588,2.04887,0.430764,0.52,0,0.165675,18.2089,0.00909858,4.22573,0.557866,0.2,0.500103
270000,A_w5_T10000_std_lr0.01_leaky0.3_s2,0,0,0.4,4.0455,1.91863,0.442871,0.48,0,0.56299,40.3762,0.0139436,4.28396,0.583717,0.4,0.905692
