quantity,k,level,n,mean,sd,lo,hi,sign
L_S,2,0.975,10,0.5921000000000001,0.008220841135417049,0.5851198894624019,0.5990801105375982,+
L_S,2,0.95,10,0.5921000000000001,0.008220841135417049,0.5862191645208926,0.5979808354791075,+
L_S_fix,2,0.975,10,0.46676874999999995,0.0494215063151492,0.4248061854239544,0.5087313145760455,+
L_S_fix,2,0.95,10,0.46676874999999995,0.0494215063151492,0.43141473415399034,0.5021227658460096,+
G_R,2,0.975,10,0.5726770833333332,0.040793109558145246,0.5380406745768753,0.6073134920897911,+
G_R,2,0.95,10,0.5726770833333332,0.040793109558145246,0.5434954506949004,0.6018587159717661,+
G_R_fix,2,0.975,10,0.6648520833333333,0.038936339417041686,0.6317922116506767,0.69791195501599,+
G_R_fix,2,0.95,10,0.6648520833333333,0.038936339417041686,0.6369987040381389,0.6927054626285278,+
M_C,2,0.975,10,0.12533125000000003,0.05180216393053289,0.08134732860245324,0.16931517139754682,+
M_C,2,0.95,10,0.12533125000000003,0.05180216393053289,0.08827421428807429,0.16238828571192576,+
P_C,2,0.975,10,-0.023894791666666686,0.012284915018350823,-0.034325605662531476,-0.013463977670801895,-
P_C,2,0.95,10,-0.023894791666666686,0.012284915018350823,-0.03268289046430539,-0.015106692869027978,-
P_R,2,0.975,10,0.09000104166666668,0.028840490746364335,0.06551330251052145,0.11448878082281191,+
P_R,2,0.95,10,0.09000104166666668,0.028840490746364335,0.06936979743967493,0.11063228589365844,+
P_N,2,0.975,10,0.06174583333333335,0.01943069714923392,0.04524771450460029,0.07824395216206641,+
P_N,2,0.95,10,0.06174583333333335,0.01943069714923392,0.04784594993980639,0.0756457167268603,+
P_F,2,0.975,10,0.3697479166666667,0.09006619728255333,0.2932749618463985,0.44622087148693484,+
P_F,2,0.95,10,0.3697479166666667,0.09006619728255333,0.3053184404460853,0.43417739288724805,+
