block,name,endpoint,window,label,n,estimate_pt_or_log,ci95_lo,ci95_hi,ci_m_lo,ci_m_hi,p,p_holm,margin
F1,C4,Afresh,fresh t101-120,LOWER,20,-1.2740749999999992,-1.33488172365466,-1.2131135518576674,-1.35050889690942,-1.1968674806522237,1.9073486328125e-06,1.1444091796875e-05,0.1540104696774183
F1,C5,D,mean t16-30 - mean t101-120,EQUIVALENT,20,0.05746666666666726,-0.05031715078102134,0.1650937456498173,-0.07805985900434788,0.19205276155045098,0.2770500183105469,0.2770500183105469,0.20059421527694596
F1,C5,Alate,t101-120,LOWER,20,-0.2793999999999997,-0.3446117385328351,-0.21437264904077272,-0.36175978287841576,-0.19771630489148107,1.9073486328125e-06,1.1444091796875e-05,0.12390681875388973
F1,C5,Abase,t16-30,LOWER,20,-0.22193333333333243,-0.2989203602771391,-0.14582033129333438,-0.3196056163339423,-0.12775714994795684,7.62939453125e-06,1.1444091796875e-05,0.1577502439581773
F1,C5,Gap,fresh-seq t101-120,EQUIVALENT,20,0.04889999999999943,-0.028603533073975635,0.12665035961242663,-0.04810282961169547,0.14672558473986816,0.2032318115234375,0.2032318115234375,0.1540104696774183
F1,C5,Afresh,fresh t101-120,LOWER,20,-0.23049999999999854,-0.27838551552026497,-0.18269834702880433,-0.29121648552832247,-0.1705382774133251,1.9073486328125e-06,1.1444091796875e-05,0.1540104696774183
F1,C6,D,mean t16-30 - mean t101-120,LESS_DECLINE,20,-0.25894166666667146,-0.3349072840784143,-0.18497275604472346,-0.3544205549786828,-0.16854530472868345,3.814697265625e-06,1.9073486328125e-05,0.20059421527694596
F1,C6,Alate,t101-120,LOWER,20,-0.5545249999999953,-0.6141721080454019,-0.4948240588245837,-0.6299452151368317,-0.4792662842531735,1.9073486328125e-06,1.1444091796875e-05,0.12390681875388973
F1,C6,Abase,t16-30,LOWER,20,-0.8134666666666668,-0.8785123654414905,-0.749431386513588,-0.8960683889943069,-0.7342751071874155,1.9073486328125e-06,1.1444091796875e-05,0.1577502439581773
F1,C6,Gap,fresh-seq t101-120,GAP_SMALLER,20,-0.60355,-0.7023782486586914,-0.5046240949691163,-0.7282571872896728,-0.4793310945712892,1.9073486328125e-06,1.1444091796875e-05,0.1540104696774183
F1,C6,Afresh,fresh t101-120,LOWER,20,-1.1580750000000024,-1.2562539065064753,-1.0609661633192133,-1.2826489622066712,-1.0379596620670155,1.9073486328125e-06,1.1444091796875e-05,0.1540104696774183
F1x,I_P,D,mean t16-30 - mean t101-120,NON_ADDITIVE,20,0.23090833333333477,0.102924400731429,0.35618881272617486,0.08977578739642764,0.3681700258118069,0.0021266937255859375,0.004253387451171875,0.20059421527694596
F1x,I_P,Alate,t101-120,NON_ADDITIVE,20,0.20892499999999997,0.1254770207708772,0.29118791916906417,0.11767537537549175,0.2986932995494349,8.96453857421875e-05,0.000179290771484375,0.12390681875388973
F1x,I_P,Abase,t16-30,NON_ADDITIVE,20,0.43983333333333474,0.3103551914953215,0.5646823206872781,0.2972968303387662,0.5750460993829569,2.09808349609375e-05,4.1961669921875e-05,0.1577502439581773
F1x,I_P,Gap,fresh-seq t101-120,NON_ADDITIVE,20,0.4109999999999994,0.2955374710649406,0.5260724528237912,0.2839466380444328,0.5373846600505369,3.814697265625e-06,7.62939453125e-06,0.1540104696774183
F1x,I_P,Afresh,fresh t101-120,NON_ADDITIVE,20,0.6199249999999985,0.5403265334305412,0.6997334889086892,0.5324856994324944,0.7079243601387917,1.9073486328125e-06,5.7220458984375e-06,0.1540104696774183
F1x,I_V,D,mean t16-30 - mean t101-120,ADDITIVE,20,-0.03877499999999827,-0.17527222222820554,0.10053872253588719,-0.18695039423565157,0.114621224074278,0.5648365020751953,0.5648365020751953,0.20059421527694596
F1x,I_V,Alate,t101-120,ADDITIVE_INCONCLUSIVE,20,0.061574999999995585,-0.03237678088232647,0.15486113061290852,-0.041600791758424904,0.16351458411522762,0.18445587158203125,0.18445587158203125,0.12390681875388973
F1x,I_V,Abase,t16-30,ADDITIVE,20,0.022799999999997312,-0.06918059118676798,0.1161575461446483,-0.07762591492846696,0.12561263685546348,0.6167526245117188,0.6167526245117188,0.1577502439581773
F1x,I_V,Gap,fresh-seq t101-120,ADDITIVE_INCONCLUSIVE,20,-0.106724999999999,-0.2302378073018182,0.016113978565858243,-0.24196242730755546,0.027703832824403196,0.08562088012695312,0.08562088012695312,0.1540104696774183
F1x,I_V,Afresh,fresh t101-120,ADDITIVE,20,-0.045149999999996734,-0.12205441906738591,0.03190822790552725,-0.12928343445972051,0.03975247865040095,0.23190689086914062,0.23190689086914062,0.1540104696774183
F1x,B_P,D,mean t16-30 - mean t101-120,LESS_DECLINE,20,-0.5988833333333368,-0.7062211734316244,-0.49096118272825395,-0.716212883097823,-0.48044359360593947,1.9073486328125e-06,5.7220458984375e-06,0.20059421527694596
F1x,B_P,Alate,t101-120,LOWER,20,-0.8014500000000006,-0.8563186712834476,-0.746771514752198,-0.8617389732993168,-0.7414463057541512,1.9073486328125e-06,5.7220458984375e-06,0.12390681875388973
F1x,B_P,Abase,t16-30,LOWER,20,-1.4003333333333372,-1.492315556278816,-1.307995966669922,-1.5011941492272212,-1.2988510159330646,1.9073486328125e-06,5.7220458984375e-06,0.1577502439581773
F1x,B_P,Gap,fresh-seq t101-120,GAP_SMALLER,20,-0.8659500000000004,-1.051257800781617,-0.6811040830687869,-1.0696407780276498,-0.6635524967534792,1.9073486328125e-06,5.7220458984375e-06,0.1540104696774183
F1x,B_P,Afresh,fresh t101-120,LOWER,20,-1.6674000000000007,-1.8306459782779598,-1.505549286493648,-1.8471566114086366,-1.4903564034250438,1.9073486328125e-06,5.7220458984375e-06,0.1540104696774183
F2,C7,D,mean t16-30 - mean t101-120,MORE_DECLINE,20,0.4821833333333402,0.3490436531259221,0.6157495479853587,0.32735132994338634,0.6383558735491812,1.9073486328125e-06,7.62939453125e-06,0.20059421527694596
F2,C7,Alate,t101-120,LOWER,20,-1.9677499999999994,-2.047231823620359,-1.888702503284669,-2.060913121128782,-1.8761070230388195,1.9073486328125e-06,7.62939453125e-06,0.12390681875388973
F2,C7,Abase,t16-30,LOWER,20,-1.4855666666666594,-1.57407217779288,-1.3970611555404389,-1.588977556193718,-1.3822330070795013,1.9073486328125e-06,7.62939453125e-06,0.1577502439581773
F2,C7,Gap,fresh-seq t101-120,GAP_LARGER,20,0.8256500000000002,0.7229291601417239,0.9289216218414309,0.7064974976442873,0.9466384422995606,1.9073486328125e-06,7.62939453125e-06,0.1540104696774183
F2,C7,Afresh,fresh t101-120,LOWER,20,-1.1420999999999992,-1.1933269398303223,-1.0910610489396957,-1.2020684176362306,-1.0827895430588361,1.9073486328125e-06,7.62939453125e-06,0.1540104696774183
F2,C8,D,mean t16-30 - mean t101-120,LESS_DECLINE,20,-0.4604916666666668,-0.6698827493996609,-0.25245523973693607,-0.7055876059285309,-0.21926617255698366,0.0001506805419921875,0.000301361083984375,0.20059421527694596
F2,C8,Alate,t101-120,LOWER,20,-2.387375000000003,-2.5703521690634785,-2.2023185449244425,-2.5966267832161884,-2.1706566897404223,1.9073486328125e-06,7.62939453125e-06,0.12390681875388973
F2,C8,Abase,t16-30,LOWER,20,-2.8478666666666697,-2.980705588901758,-2.7144923434910906,-3.002419071488326,-2.6919460149970917,1.9073486328125e-06,7.62939453125e-06,0.1577502439581773
F2,C8,Gap,fresh-seq t101-120,INCONCLUSIVE,20,-0.031349999999999725,-0.2608416911539311,0.1879338613759164,-0.3001356865042425,0.21769644940338229,0.7960090637207031,0.7960090637207031,0.1540104696774183
F2,C8,Afresh,fresh t101-120,LOWER,20,-2.4187250000000007,-2.5245564241975083,-2.3140282207012968,-2.5425044435058575,-2.2978337435092806,1.9073486328125e-06,7.62939453125e-06,0.1540104696774183
F2,C7s,D,mean t16-30 - mean t101-120,MORE_DECLINE,20,0.649616666666671,0.5440867422110978,0.7552391612314158,0.5266835616868453,0.7726423417556681,1.9073486328125e-06,7.62939453125e-06,0.20059421527694596
F2,C7s,Alate,t101-120,LOWER,20,-2.007249999999999,-2.0978324176225582,-1.9169788621630843,-2.1132407670119626,-1.9022708922913802,1.9073486328125e-06,7.62939453125e-06,0.12390681875388973
F2,C7s,Abase,t16-30,LOWER,20,-1.3576333333333281,-1.4320845637384045,-1.2829870342022995,-1.444373893473391,-1.2703075670154087,1.9073486328125e-06,7.62939453125e-06,0.1577502439581773
F2,C7s,Gap,fresh-seq t101-120,GAP_LARGER,20,2.152375,2.032812284635865,2.272695040560424,2.013973820378175,2.293426817808837,1.9073486328125e-06,7.62939453125e-06,0.1540104696774183
F2,C7s,Afresh,fresh t101-120,HIGHER,20,0.145125000000003,0.09627477159790587,0.19452308143090874,0.08887875570899023,0.20310611221557628,1.9073486328125e-06,7.62939453125e-06,0.1540104696774183
F2,C8s,D,mean t16-30 - mean t101-120,INCONCLUSIVE,20,-0.09979166666666402,-0.2764856785800596,0.0760951546943634,-0.30683604334910336,0.1041853859167762,0.24937820434570312,0.24937820434570312,0.20059421527694596
F2,C8s,Alate,t101-120,LOWER,20,-2.060575000000001,-2.237430095573977,-1.8818424617978509,-2.2624939546600977,-1.8508646584329829,1.9073486328125e-06,7.62939453125e-06,0.12390681875388973
F2,C8s,Abase,t16-30,LOWER,20,-2.1603666666666648,-2.2680877269602435,-2.052296240772134,-2.28514841380674,-2.034362139923257,1.9073486328125e-06,7.62939453125e-06,0.1577502439581773
F2,C8s,Gap,fresh-seq t101-120,GAP_LARGER,20,1.8462,1.6633760162263183,2.028513302254761,1.6322244435721434,2.0576221488332527,1.9073486328125e-06,7.62939453125e-06,0.1540104696774183
F2,C8s,Afresh,fresh t101-120,LOWER,20,-0.2143749999999997,-0.31186292664721327,-0.11786729930627735,-0.3283485449559285,-0.10280746420264016,4.9591064453125e-05,4.9591064453125e-05,0.1540104696774183
F3,C9,D,mean t16-30 - mean t101-120,LESS_DECLINE,20,-1.1250916666666633,-1.2088236379566641,-1.0410661564764345,-1.2088236379566641,-1.0410661564764345,1.9073486328125e-06,3.814697265625e-06,0.20059421527694596
F3,C9,Alate,t101-120,HIGHER,20,0.4791249999999977,0.40977183653393445,0.5486026754291957,0.40977183653393445,0.5486026754291957,1.9073486328125e-06,3.814697265625e-06,0.12390681875388973
F3,C9,Abase,t16-30,LOWER,20,-0.6459666666666657,-0.7110178934304184,-0.5818428504677731,-0.7110178934304184,-0.5818428504677731,1.9073486328125e-06,3.814697265625e-06,0.1577502439581773
F3,C9,Gap,fresh-seq t101-120,GAP_SMALLER,20,-1.0718499999999993,-1.1461762979775383,-0.9983159396947016,-1.1461762979775383,-0.9983159396947016,1.9073486328125e-06,3.814697265625e-06,0.1540104696774183
F3,C9,Afresh,fresh t101-120,LOWER,20,-0.5927250000000029,-0.6309767508962396,-0.5544732491037663,-0.6309767508962396,-0.5544732491037663,1.9073486328125e-06,3.814697265625e-06,0.1540104696774183
F3,C9n,D,mean t16-30 - mean t101-120,LESS_DECLINE,20,-0.7809499999999943,-0.9025859600566162,-0.66014584819205,-0.9025859600566162,-0.66014584819205,1.9073486328125e-06,3.814697265625e-06,0.20059421527694596
F3,C9n,Alate,t101-120,LOWER,20,-2.2771500000000024,-2.3875873752413344,-2.1672212923007237,-2.3875873752413344,-2.1672212923007237,1.9073486328125e-06,3.814697265625e-06,0.12390681875388973
F3,C9n,Abase,t16-30,LOWER,20,-3.058099999999997,-3.1446028110384523,-2.9715129603237243,-3.1446028110384523,-2.9715129603237243,1.9073486328125e-06,3.814697265625e-06,0.1577502439581773
F3,C9n,Gap,fresh-seq t101-120,INCONCLUSIVE,20,-0.1277249999999997,-0.2949748851389158,0.03849735748919715,-0.2949748851389158,0.03849735748919715,0.12462806701660156,0.12462806701660156,0.1540104696774183
F3,C9n,Afresh,fresh t101-120,LOWER,20,-2.4048749999999983,-2.529263684735657,-2.277647720352291,-2.529263684735657,-2.277647720352291,1.9073486328125e-06,3.814697265625e-06,0.1540104696774183
testable,TESTABLE_FIXED,D,mean t16-30 - mean t101-120,HOLDS,20,2.044183333333335,1.953892576817668,2.1333487017045107,,,,,
testable,TESTABLE_LEAKY,D,mean t16-30 - mean t101-120,HOLDS,20,1.7830250000000014,1.7099369277970384,1.858876157859418,,,,,
M1,C1_L1_base,Phi,base,PHASE_ACTIVE,20,0.35616870686592217,0.3486239440244898,0.3635352469630687,,,,,
M1,C1_L1_late,Phi,late,PHASE_ACTIVE,20,0.11768528408634304,0.11542012148171335,0.11995044669097274,,,,,
M1,C1_L2_base,Phi,base,PHASE_ACTIVE,20,0.04693877239467931,0.041348145655614205,0.05252939913374441,,,,,
M1,C1_L2_late,Phi,late,PHASE_ACTIVE,20,0.04463749699022828,0.04208130703751224,0.04719368694294432,,,,,
M1,C2_L1_base,Phi,base,PHASE_ACTIVE,20,0.4855013012718688,0.47910561360555765,0.49179547008633373,,,,,
M1,C2_L1_late,Phi,late,PHASE_ACTIVE,20,0.15795616667123272,0.15502418607338672,0.16083385133208156,,,,,
M1,C2_L2_base,Phi,base,PHASE_ACTIVE,20,0.15842407487036123,0.1474103662898485,0.16952732579705695,,,,,
M1,C2_L2_late,Phi,late,PHASE_ACTIVE,20,0.045875658166638654,0.04376835692954672,0.04798295940373059,,,,,
M1,C7_L1_base,Phi,base,PHASE_ACTIVE,20,0.5258385518440021,0.5180169821315922,0.5335965315587501,,,,,
M1,C7_L1_late,Phi,late,PHASE_ACTIVE,20,0.5600708944329575,0.5551060942510945,0.5650356946148206,,,,,
M1,C7_L2_base,Phi,base,PHASE_ACTIVE,20,0.4405236897906327,0.430822653597841,0.4501512332849942,,,,,
M1,C7_L2_late,Phi,late,PHASE_ACTIVE,20,0.5030719102975867,0.4952853455945219,0.5107895673484119,,,,,
M1,C8_L1_base,Phi,base,PHASE_ACTIVE,20,0.5459637441590566,0.538810763423596,0.5531167248945171,,,,,
M1,C8_L1_late,Phi,late,PHASE_ACTIVE,20,0.5727465339502886,0.5678198818266063,0.577673186073971,,,,,
M1,C8_L2_base,Phi,base,PHASE_ACTIVE,20,0.48108399882275676,0.4723406232283853,0.4899090882077298,,,,,
M1,C8_L2_late,Phi,late,PHASE_ACTIVE,20,0.5443142459202603,0.5361701543040505,0.5523807747591729,,,,,
M1,C7s_L1_base,Phi,base,PHASE_ACTIVE,20,0.4876769663903177,0.47723777904683257,0.49811615373380286,,,,,
M1,C7s_L1_late,Phi,late,PHASE_ACTIVE,20,0.551278134063124,0.5440037862681346,0.5586097601872078,,,,,
M1,C7s_L2_base,Phi,base,PHASE_ACTIVE,20,0.4235505439684144,0.41092829891675037,0.43617278902007844,,,,,
M1,C7s_L2_late,Phi,late,PHASE_ACTIVE,20,0.5019709409665679,0.4953788356043499,0.508563046328786,,,,,
M1,C8s_L1_base,Phi,base,PHASE_ACTIVE,20,0.5406725039710156,0.531515849146946,0.5498291587950852,,,,,
M1,C8s_L1_late,Phi,late,PHASE_ACTIVE,20,0.5457490267934406,0.5397750038111737,0.5517230497757075,,,,,
M1,C8s_L2_base,Phi,base,PHASE_ACTIVE,20,0.4479321248488213,0.4364196144758813,0.4595331929938608,,,,,
M1,C8s_L2_late,Phi,late,PHASE_ACTIVE,20,0.5480621300748421,0.5412567804386927,0.5548067176606686,,,,,
CT1,C1_L1,dlogN,t101-120,GROWTH_ENHANCED,20,0.11954006391061696,0.11665984459690538,0.12242028322432852,0.11620981032913796,0.12278031063854247,1.9073486328125e-06,7.62939453125e-06,0.09877
CT1,C2_L1,dlogN,t101-120,GROWTH_ENHANCED_BELOW_CONDA_SCALE,20,0.08386863955456697,0.08079068271895297,0.08694659639018097,0.08032432562264782,0.08741295348648612,1.9073486328125e-06,7.62939453125e-06,0.09877
CT1,C7_L1,dlogN,t101-120,GROWTH_ENHANCED,20,0.1833199362203729,0.1813815587299133,0.1852583137108325,0.18105849581483668,0.18558137662590912,1.9073486328125e-06,7.62939453125e-06,0.09877
CT1,C8_L1,dlogN,t101-120,GROWTH_ENHANCED,20,0.2149762634017734,0.2019384645221456,0.22774244147140896,0.19958441750221279,0.22873838444138053,1.9073486328125e-06,7.62939453125e-06,0.09877
CT1,C1_L2,dlogN,t101-120,GROWTH_ENHANCED_BELOW_CONDA_SCALE,20,0.039124871559997644,0.03159505245389742,0.04659540075187662,0.030290674341029656,0.04772190912208059,1.9073486328125e-06,7.62939453125e-06,0.09877
CT1,C2_L2,dlogN,t101-120,GROWTH_ENHANCED,20,0.19027158167991912,0.18377613445205845,0.19676702890777978,0.1826935599140817,0.19777227669304392,1.9073486328125e-06,7.62939453125e-06,0.09877
CT1,C7_L2,dlogN,t101-120,GROWTH_ENHANCED,20,0.13840085948448988,0.1299722265688217,0.14682949240015805,0.12860702546276276,0.14825405007604564,1.9073486328125e-06,7.62939453125e-06,0.09877
CT1,C8_L2,dlogN,t101-120,GROWTH_ENHANCED,20,0.31177306843289354,0.2880219470216959,0.33577420164841953,0.28377174634811325,0.33802430788737503,1.9073486328125e-06,7.62939453125e-06,0.09877
class_6.4,C1,,,TEMPORAL_LOP_LESS,,,,,,,,,
class_6.4,C2,,,TEMPORAL_LOP_LESS,,,,,,,,,
class_6.4,C3,,,TEMPORAL_LOP_LESS,,,,,,,,,
class_6.4,C4,,,TEMPORAL_LOP_LESS,,,,,,,,,
class_6.4,C5,,,LEVEL_ONLY,,,,,,,,,
class_6.4,C6,,,TEMPORAL_LOP_LESS,,,,,,,,,
class_6.4,C7,,,TEMPORAL_LOP_MORE,,,,,,,,,
class_6.4,C8,,,INCONCLUSIVE,,,,,,,,,
class_6.4,C7s,,,TEMPORAL_LOP_MORE,,,,,,,,,
class_6.4,C8s,,,LEVEL_DIFF_DECLINE_INCONCLUSIVE,,,,,,,,,
class_6.4,C9,,,TEMPORAL_LOP_LESS,,,,,,,,,
class_6.4,C9n,,,INCONCLUSIVE,,,,,,,,,
answer_6.6,peak,,,NON_ADDITIVE,,,,,,,,,
answer_6.6,valley,,,ORIGIN,,,,,,,,,
answer_6.6,structure_C7s,,,STRUCTURE,,,,,,,,,
answer_6.6,structure_C8s,,,STRUCTURE_INCONCLUSIVE,,,,,,,,,
