seed,task,column,R10,R20,difference
1,1,eff_rank_l2,4.728102175,4.978848664,-0.25074648899999996
1,1,w_norm_l2,0.643366158,0.6469461918,-0.0035800338000000487
1,1,w_norm_l3,4.126215935,4.003373146,0.1228427889999999
1,2,online_acc,0.116575,0.116775,-0.00020000000000000573
1,2,zbar_l1,-6.428249836,-6.428248882,-9.539999998864346e-07
1,2,zsd_l1,1.804477453,1.804477334,1.1900000007614153e-07
1,2,zbar_min_l1,-54.0190773,-68.98324585,14.964168550000004
1,2,dead_frac_l2,0.9799999595,0.969999969,0.0099999905
1,2,zeroout_l2,0.9799999595,0.969999969,0.0099999905
1,2,zbar_l2,-0.07163216919,-0.09812281281,0.026490643620000004
1,2,zbar_min_l2,-1.951721072,-1.980567098,0.02884602600000008
1,2,eff_rank_l2,1.0,1.000000042,-4.19999999223819e-08
1,2,w_norm_l2,0.639644742,0.6405649185,-0.0009201764999999806
1,2,w_norm_l3,4.007509708,3.931854248,0.07565545999999967
2,1,zsd_l1,1.944554448,1.94455421,2.3800000015228306e-07
2,1,zbar_l2,-0.005423441529,-0.005423431285,-1.0243999999832998e-08
2,1,w_norm_l3,0.5128347874,0.5128347278,5.96000000463448e-08
2,2,zsd_l1,1.944554448,1.94455421,2.3800000015228306e-07
2,2,zbar_l2,-0.005423441529,-0.005423431285,-1.0243999999832998e-08
2,2,w_norm_l3,0.5128347874,0.5128347278,5.96000000463448e-08
3,1,zbar_l1,-6.483652592,-6.483653545,9.529999998036942e-07
3,1,zbar_min_l1,-33.87297821,-33.87298203,3.8200000034294135e-06
3,1,zbar_l2,-0.02358741127,-0.02358740941,-1.8600000012414242e-09
3,1,w_norm_l1,0.6514561772,0.6514562368,-5.95999999353225e-08
3,2,zbar_l1,-6.483652592,-6.483653545,9.529999998036942e-07
3,2,zbar_min_l1,-33.87297821,-33.87298203,3.8200000034294135e-06
3,2,zbar_l2,-0.02358741127,-0.02358740941,-1.8600000012414242e-09
3,2,w_norm_l1,0.6514561772,0.6514562368,-5.95999999353225e-08
4,1,online_acc,0.1977520833,0.2103625,-0.012610416700000016
4,1,memo_acc,0.2158333361,0.2966666818,-0.0808333457
4,1,acc,0.2158333361,0.2966666818,-0.0808333457
4,1,zbar_l1,-7.319337845,-7.307658672,-0.011679173000000098
4,1,zsd_l1,1.869318724,1.869318843,-1.1900000007614153e-07
4,1,zbar_min_l1,-35.83208466,-21.35940742,-14.47267724
4,1,eff_rank_l1,2.441172038,2.836319585,-0.3951475470000001
4,1,zbar_l2,-0.1414793283,-0.1574342996,0.01595497129999998
4,1,zsd_l2,0.8042671084,1.280605912,-0.4763388035999999
4,1,zbar_min_l2,-1.519354463,-1.333391547,-0.18596291600000003
4,1,mob_l2,0.05000000075,0.1158333346,-0.06583333385000001
4,1,eff_rank_l2,6.380919044,9.4875516,-3.106632556
4,1,w_norm_l2,0.7274499536,0.7183881998,0.009061753799999961
4,1,w_norm_l3,4.43424511,4.553207397,-0.11896228700000044
4,2,online_acc,0.1192270833,0.1206395833,-0.001412500000000011
4,2,memo_acc,0.1200000048,0.1208333373,-0.0008333324999999919
4,2,acc,0.1200000048,0.1208333373,-0.0008333324999999919
4,2,zsd_l1,1.869318724,1.869318843,-1.1900000007614153e-07
4,2,zbar_min_l1,-68.52236938,-101.6040268,33.08165742
4,2,eff_rank_l1,2.813752146,2.897317447,-0.0835653009999997
4,2,dead_frac_l2,0.2800000012,0.2899999917,-0.0099999905
4,2,zeroout_l2,0.2800000012,0.2899999917,-0.0099999905
4,2,zbar_l2,-0.1116031185,-0.111977987,0.00037486850000000016
4,2,zsd_l2,0.1737143099,0.2182590514,-0.044544741499999985
4,2,zbar_min_l2,-1.824083686,-1.806658149,-0.017425537000000046
4,2,eff_rank_l2,4.361167606,4.571942159,-0.21077455299999936
4,2,w_norm_l2,0.7186252475,0.6949443221,0.023680925399999997
4,2,w_norm_l3,4.539378643,4.595714092,-0.05633544899999965
5,1,online_acc,0.1063,0.106675,-0.00037500000000000033
5,1,zbar_min_l1,-94.4167099,-95.77349091,1.356781010000006
5,1,dead_frac_l2,0.6800000072,0.6699999571,0.010000050099999935
5,1,zeroout_l2,0.6800000072,0.6699999571,0.010000050099999935
5,1,zbar_l2,-0.01778894849,-0.01516349521,-0.0026254532800000004
5,1,zsd_l2,0.08835885674,0.08328027278,0.005078583960000008
5,1,zbar_min_l2,-1.103790522,-1.156062484,0.05227196200000006
5,1,eff_rank_l2,1.364981232,1.357523202,0.007458030000000004
5,1,w_norm_l2,0.5772708058,0.5784409642,-0.0011701584000000098
5,1,w_norm_l3,1.726958156,1.678717136,0.04824102000000008
5,2,online_acc,0.1106395833,0.109775,0.0008645832999999992
5,2,memo_acc,0.1125000045,0.1099999994,0.002500005099999994
5,2,acc,0.1125000045,0.1099999994,0.002500005099999994
5,2,dead_frac_l1,0.9899999499,1.0,-0.010000050100000046
5,2,zeroout_l1,0.9899999499,1.0,-0.010000050100000046
5,2,zbar_min_l1,-126.3575287,-175.2580566,48.9005279
5,2,eff_rank_l1,1.0,0.0,1.0
5,2,dead_frac_l2,0.75,1.0,-0.25
5,2,zeroout_l2,0.75,1.0,-0.25
5,2,zbar_l2,-0.03462114558,-0.02338624187,-0.011234903709999997
5,2,zsd_l2,0.03498652577,0.0,0.03498652577
5,2,zbar_min_l2,-1.154714942,-1.117364168,-0.037350774000000087
5,2,eff_rank_l2,1.434927166,0.0,1.434927166
5,2,w_norm_l2,0.5784409642,0.5772708654,0.0011700987999999635
5,2,w_norm_l3,3.69368434,1.724295497,1.969388843
6,1,zbar_l1,-6.604883671,-6.604884624,9.530000006918726e-07
6,1,zsd_l1,1.759224534,1.759224296,2.3799999993023846e-07
6,1,zbar_min_l1,-33.92649078,-33.92649841,7.629999998925996e-06
6,1,zbar_l2,-0.01722822338,-0.01722822897,5.589999997612782e-09
6,2,zbar_l1,-6.604883671,-6.604884624,9.530000006918726e-07
6,2,zsd_l1,1.759224534,1.759224296,2.3799999993023846e-07
6,2,zbar_min_l1,-33.92649078,-33.92649841,7.629999998925996e-06
6,2,zbar_l2,-0.01722822338,-0.01722822897,5.589999997612782e-09
7,1,zsd_l1,1.928914428,1.928914309,1.1899999985409693e-07
7,1,zbar_min_l1,-9.835292816,-9.835294724,1.907999999772869e-06
7,1,w_norm_l1,0.6578461528,0.6578460932,5.96000000463448e-08
7,1,w_norm_l3,0.525777638,0.5257775187,1.1929999998994134e-07
7,2,zsd_l1,1.928914428,1.928914309,1.1899999985409693e-07
7,2,zbar_min_l1,-9.835292816,-9.835294724,1.907999999772869e-06
7,2,w_norm_l1,0.6578461528,0.6578460932,5.96000000463448e-08
7,2,w_norm_l3,0.5189701915,0.5189701319,5.96000000463448e-08
8,1,online_acc,0.1456520833,0.15199375,-0.006341666699999998
8,1,memo_acc,0.1283333302,0.2208333313,-0.09250000109999998
8,1,acc,0.1283333302,0.2208333313,-0.09250000109999998
8,1,zbar_l1,-6.856935501,-6.748860836,-0.10807466499999929
8,1,zsd_l1,1.876891375,1.876891255,1.199999999368373e-07
8,1,zbar_min_l1,-23.67790604,-57.77017212,34.09226608
8,1,eff_rank_l1,1.981641932,1.519604147,0.46203778500000015
8,1,dead_frac_l2,0.3400000036,0.3799999952,-0.03999999160000001
8,1,zeroout_l2,0.3400000036,0.3799999952,-0.03999999160000001
8,1,zbar_l2,-0.04611270502,-0.06626413763,0.02015143261
8,1,zsd_l2,0.06740555167,0.1552100182,-0.08780446653
8,1,zbar_min_l2,-0.660035491,-0.6097660065,-0.05026948450000002
8,1,mob_l2,0.003333333414,0.1016666666,-0.098333333186
8,1,eff_rank_l2,3.11395757,3.388383885,-0.2744263149999999
8,1,w_norm_l2,0.6095238328,0.6112831831,-0.0017593502999999622
8,1,w_norm_l3,3.224769831,4.247535229,-1.0227653980000002
8,2,online_acc,0.1158020833,0.11565,0.00015208329999999437
8,2,dead_frac_l1,0.9899999499,0.9799999595,0.009999990399999992
8,2,zeroout_l1,0.9899999499,0.9799999595,0.009999990399999992
8,2,zsd_l1,1.876891375,1.876891255,1.199999999368373e-07
8,2,zbar_min_l1,-98.7562027,-92.31984711,-6.436355590000005
8,2,eff_rank_l1,1.0,1.360022895,-0.36002289499999995
8,2,dead_frac_l2,0.6599999666,0.5500000119,0.10999995470000001
8,2,zeroout_l2,0.6599999666,0.5500000119,0.10999995470000001
8,2,zbar_l2,-0.04639668018,-0.05806478113,0.011668100950000003
8,2,zsd_l2,0.07290393859,0.05525418371,0.017649754879999993
8,2,zbar_min_l2,-1.394576669,-0.8026165366,-0.5919601324000001
8,2,eff_rank_l2,1.666576672,1.932930071,-0.266353399
8,2,w_norm_l2,0.6167750359,0.6182524562,-0.0014774202999999764
8,2,w_norm_l3,3.208900928,4.034698486,-0.8257975580000001
9,1,online_acc,0.2832166667,0.284,-0.0007833332999999665
9,1,memo_acc,0.212500006,0.4208333492,-0.2083333432
9,1,acc,0.212500006,0.4208333492,-0.2083333432
9,1,zbar_l1,-7.055674076,-7.055672169,-1.9069999996901288e-06
9,1,zsd_l1,1.971748352,1.971747756,5.960000000193588e-07
9,1,zbar_min_l1,-14.13038445,-14.13039112,6.670000001207654e-06
9,1,eff_rank_l1,1.832032141,1.928797831,-0.09676569000000002
9,1,dead_frac_l2,0.2999999821,0.3100000024,-0.010000020299999968
9,1,zeroout_l2,0.2999999821,0.3100000024,-0.010000020299999968
9,1,zbar_l2,-0.0870808661,-0.01472168602,-0.07235918008
9,1,zsd_l2,0.3194224238,0.3441191018,-0.024696677999999972
9,1,zbar_min_l2,-1.391133308,-2.027116776,0.6359834680000003
9,1,mob_l2,0.2358333319,0.4225000143,-0.1866666824
9,1,eff_rank_l2,5.51301254,5.709447296,-0.1964347559999995
9,1,w_norm_l2,0.6303516626,0.6336952448,-0.0033435821999999726
9,1,w_norm_l3,3.876788855,3.726858616,0.14993023900000013
9,2,online_acc,0.0954,0.09517083333,0.0002291666700000028
9,2,zbar_l1,-7.240158081,-7.240159512,1.431000000273741e-06
9,2,zbar_min_l1,-33.4868927,-19.77172661,-13.715166089999997
9,2,dead_frac_l2,0.6599999666,0.6899999976,-0.030000030999999927
9,2,zeroout_l2,0.6599999666,0.6899999976,-0.030000030999999927
9,2,zbar_l2,-0.03159987926,-0.02160869353,-0.009991185729999998
9,2,zbar_min_l2,-0.8390197158,-0.8297725916,-0.009247124199999956
9,2,eff_rank_l2,1.000001012,1.000001111,-9.899999997564635e-08
9,2,w_norm_l2,0.6295017004,0.6252196431,0.004282057299999975
9,2,w_norm_l3,3.679800749,3.449777365,0.2300233839999999
