run_id,ckpt,M,n_periods,noise_floor,snr_all,snr_W,snr_b,snr_v,snr_c
B_w100_K10000_c2.0_k4_lr0.003_s3,10000,500000,50.0,0.001414213445968926,0.28685474395751953,0.19028230011463165,0.3694898784160614,0.2918683886528015,0.49998724460601807
B_w100_K10000_c2.0_k4_lr0.003_s4,10000,500000,50.0,0.001414213445968926,0.13786910474300385,0.09909897297620773,0.17326052486896515,0.13901102542877197,0.21373555064201355
B_w100_K10000_c2.0_k4_lr0.001_s0,10000,500000,50.0,0.001414213445968926,0.2181355506181717,0.133882075548172,0.2670350968837738,0.22198383510112762,0.357299268245697
B_w100_K10000_c2.0_k4_lr0.001_s1,10000,500000,50.0,0.001414213445968926,0.4472954571247101,0.23388613760471344,0.5770490765571594,0.45441770553588867,0.8467333912849426
B_w100_K10000_c2.0_k4_lr0.001_s2,10000,500000,50.0,0.001414213445968926,0.3661789298057556,0.2191803753376007,0.4966646730899811,0.37645044922828674,0.6614962816238403
B_w100_K10000_c2.0_k4_lr0.001_s3,10000,500000,50.0,0.001414213445968926,0.2556939423084259,0.1768762469291687,0.35955560207366943,0.2594577670097351,0.42366257309913635
B_w100_K10000_c2.0_k4_lr0.001_s4,10000,500000,50.0,0.001414213445968926,0.4004843533039093,0.23072364926338196,0.5669853091239929,0.4093374013900757,0.7782164216041565
B_w100_K10000_c2.0_k16_lr0.003_s0,10000,500000,50.0,0.001414213445968926,0.3622279763221741,0.19596482813358307,0.5161349773406982,0.3799830675125122,0.7691377401351929
B_w100_K10000_c2.0_k16_lr0.003_s1,10000,500000,50.0,0.001414213445968926,0.31913214921951294,0.18861176073551178,0.4345968961715698,0.328559011220932,0.6108948588371277
B_w100_K10000_c2.0_k16_lr0.003_s2,10000,500000,50.0,0.001414213445968926,0.20290407538414001,0.12819576263427734,0.28902310132980347,0.2074275016784668,0.3573680818080902
B_w100_K10000_c2.0_k16_lr0.003_s3,10000,500000,50.0,0.001414213445968926,0.24942564964294434,0.14748071134090424,0.35352805256843567,0.25962549448013306,0.48664283752441406
B_w100_K10000_c2.0_k16_lr0.003_s4,10000,500000,50.0,0.001414213445968926,0.19540069997310638,0.19101670384407043,0.2198302000761032,0.19578415155410767,0.1967376321554184
B_w100_K10000_c2.0_k16_lr0.001_s0,10000,500000,50.0,0.001414213445968926,0.1789732426404953,0.17308206856250763,0.15763725340366364,0.17961721122264862,0.009572983719408512
B_w100_K10000_c2.0_k16_lr0.001_s1,10000,500000,50.0,0.001414213445968926,0.2369309961795807,0.23043572902679443,0.25985631346702576,0.23721928894519806,0.27166175842285156
B_w100_K10000_c2.0_k16_lr0.001_s2,10000,500000,50.0,0.001414213445968926,0.33676767349243164,0.25624528527259827,0.40233373641967773,0.3397924602031708,0.47866931557655334
B_w100_K10000_c2.0_k16_lr0.001_s3,10000,500000,50.0,0.001414213445968926,0.2426808625459671,0.1779123842716217,0.2966386079788208,0.2454557567834854,0.36002427339553833
B_w100_K10000_c2.0_k16_lr0.001_s4,10000,500000,50.0,0.001414213445968926,0.2210196554660797,0.19601984322071075,0.22302310168743134,0.22244642674922943,0.2284402698278427
B_w100_K10000_c2.0_lr0.003_s0,50000,500000,50.0,0.001414213445968926,0.1407206654548645,0.10629825294017792,0.17729994654655457,0.14404110610485077,0.1856936812400818
B_w100_K10000_c2.0_lr0.003_s1,50000,500000,50.0,0.001414213445968926,0.2692563831806183,0.1852417141199112,0.3751703202724457,0.2782091498374939,0.44347959756851196
B_w100_K10000_c2.0_lr0.003_s2,50000,500000,50.0,0.001414213445968926,0.10806164890527725,0.08477175980806351,0.11437693983316422,0.11111411452293396,0.08904705941677094
B_w100_K10000_c2.0_lr0.003_s3,50000,500000,50.0,0.001414213445968926,0.14971785247325897,0.1033848226070404,0.16969886422157288,0.1541701704263687,0.20482134819030762
B_w100_K10000_c2.0_lr0.003_s4,50000,500000,50.0,0.001414213445968926,0.45247676968574524,0.26801905035972595,0.6799124479293823,0.47671809792518616,1.1230112314224243
B_w100_K10000_c2.0_lr0.001_s0,50000,500000,50.0,0.001414213445968926,0.3639761805534363,0.2125510573387146,0.48435795307159424,0.3691917955875397,0.6187843680381775
B_w100_K10000_c2.0_lr0.001_s1,50000,500000,50.0,0.001414213445968926,0.2071555256843567,0.14033152163028717,0.2541339695453644,0.210386261343956,0.28416281938552856
B_w100_K10000_c2.0_lr0.001_s2,50000,500000,50.0,0.001414213445968926,0.10441888123750687,0.10025864839553833,0.11823242157697678,0.10477586835622787,0.09105146676301956
B_w100_K10000_c2.0_lr0.001_s3,50000,500000,50.0,0.001414213445968926,0.4779951572418213,0.2674280107021332,0.710942804813385,0.4887295663356781,0.9145922064781189
