seed,arm,arm_branch,arm_layer,arm_kind,arm_src,arm_delta,arm_reset,k,task,online_acc,online_ce,first75_acc,first75_ce,last750_acc,major_frac,finite,step_w1,step_w1_first75,step_w2,step_w2_first75,step_w3,step_w3_first75,eps_w1_at1,eps_w2_at1,eps_w3_at1,eps_w1_at75,eps_w2_at75,eps_w3_at75,eps_w1_at1500,eps_w2_at1500,eps_w3_at1500,eps_w1_at6000,eps_w2_at6000,eps_w3_at6000,memo_acc_end,full_ce_end,state_sha256,hash_match_prefix,acc_match_prefix,logits_equal_mb,logits_equal_full,logit_maxdiff_full,g1_start,logg1_start,neff1_start,lowgate1_start,zbar1_start,sigma1_start,effbar1_start,pplus1_start,gtr1_start,zero1_start,deadunits1_start,neffT1_start,g2_start,logg2_start,neff2_start,lowgate2_start,zbar2_start,sigma2_start,effbar2_start,pplus2_start,gtr2_start,zero2_start,deadunits2_start,neffT2_start,mu2_start,pf_eps_w1,pf_zero_w1,pf_logrms_med_w1,pf_eps_w2,pf_zero_w2,pf_logrms_med_w2,pf_eps_w3,pf_zero_w3,pf_logrms_med_w3,g1_end,logg1_end,neff1_end,lowgate1_end,zbar1_end,sigma1_end,effbar1_end,pplus1_end,gtr1_end,zero1_end,deadunits1_end,neffT1_end,g2_end,logg2_end,neff2_end,lowgate2_end,zbar2_end,sigma2_end,effbar2_end,pplus2_end,gtr2_end,zero2_end,deadunits2_end,neffT2_end,mu2_end,sec
5,N7,7,,,,,False,1,8,0.16979166666666667,2.1198227722446124,0.08833333333333333,2.843031752904256,0.254,0.1075,True,0.1480854629850607,0.4640971839156312,0.12099089980756617,0.3973848442547023,0.2125695119696805,0.2542668647947721,0.21676020408163266,0.0042,0.0,0.2158801020408163,0.0044,0.0,0.21778061224489795,0.0074,0.0,0.21971938775510205,0.0204,0.0,0.2666666805744171,1.8282391988694364,083dbd8665634efb629c327c2636ef26af07c3ccec1ff211ceb6d2db10432c35,True,True,True,True,0.0,0.5368234013440991,-0.8700026755225803,0.5663183597389133,0.35890833333333333,0.13492784663839663,4.7480516322503465,0.13492784663839663,0.48490833333333344,0.5368234012449782,0.010666666666666665,0.0,0.5663183594572948,0.010058555602715138,-8.826042890548205,0.012082690147232636,0.985825,-39.87896773816923,16.30051294296525,-39.87896773816923,0.008466666666666667,0.010058554815749325,0.8959833333333332,0.0,0.012056365441825883,51.43292672662224,0.218125,0.20830357142857142,-4.992932723582877,0.04,0.0,-5.6687689539590105,0.0,0.0,-2.426778220567961,0.5265986232104143,-0.8813293626207296,0.5562245400889957,0.3681833333333334,0.3859844869897314,5.075727661023682,0.3859844869897314,0.4741833333333333,0.5265986230288943,0.014124999999999999,0.0,0.556224539635478,0.007177556115112621,-10.152189689314634,0.008704610589243546,0.9908000000000002,-47.70648496483766,19.276447613685697,-47.70648496483766,0.006325,0.007177555566032728,0.9292916666666666,0.01,0.008640055594310867,61.466990150997596,4.783559322357178
5,N7,7,,,,,False,2,9,0.14110416666666667,2.2255428533454737,0.09916666666666667,2.7026085392634074,0.19433333333333333,0.12166666666666667,True,0.12463800269165405,0.46772365642633906,0.09439323388329512,0.40110968606313685,0.21853791483590612,0.24356315290788189,0.21968112244897958,0.0204,0.0,0.2196938775510204,0.02,0.0,0.2221683673469388,0.0243,0.0,0.2275765306122449,0.0638,0.0,0.2058333307504654,2.0256452529293467,0171af5e144aa78730c856c7a40f9ebef70514a4073da24ac472cf4aa1c07000,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.511764293681842,-1.049361207494233,0.5368444287913207,0.3989666666666667,0.18357837503538463,5.360325476704315,0.18357837503538463,0.4678333333333333,0.5117642932931582,0.029858333333333334,0.0,0.5368444277593897,0.004075158751942123,-11.493598945756554,0.005237864481990873,0.9945666666666668,-56.32772027143054,21.80464835151723,-56.32772027143054,0.003591666666666666,0.004075158433616162,0.9580333333333337,0.01,0.005169990242019683,68.20663119553424,4.890376329421997
5,N10,10,,,,,False,1,11,0.11436458333333334,2.2810342343846957,0.09,2.554342409769694,0.12883333333333333,0.11083333333333334,True,0.11458228447997953,0.49523417100620765,0.055040698961382375,0.35112878210687387,0.21166986969668264,0.24853116755063331,0.23686224489795918,0.1379,0.0,0.23659438775510205,0.1398,0.0,0.2410204081632653,0.1783,0.0,0.25284438775510204,0.255,0.0,0.1458333283662796,2.2401070285375484,b8da19b8eeb7342c361bc8079f0dab1077afd2be69bc8c8739589d19021a8a43,True,True,True,True,0.0,0.48975960156495046,-1.174742289312888,0.5126118652794419,0.42875,0.1812957966145671,5.689534444065073,0.1812957966145671,0.4503750000000001,0.48975960106998684,0.04448333333333333,0.0,0.5126118638038231,0.0021828083646026576,-14.4941948298342,0.0031484140145696705,0.9972083333333334,-69.51608535073296,25.16837629094113,-69.51608535073296,0.0019166666666666666,0.002182808224360148,0.9833000000000002,0.08,0.003036646393707769,81.61224172133088,0.2663137755102041,0.2264795918367347,-6.249499276020685,0.2699,0.08,-13.500472959476863,0.0,0.0,-2.553692278567278,0.47840508251302166,-1.2731358246660331,0.4992149123533198,0.4465583333333333,0.27577932730193305,5.892293467075782,0.27577932730193305,0.4428333333333333,0.4784050819123784,0.0574,0.0,0.4992149107731704,0.0008858032687201157,-18.669833413412068,0.0018508464853760004,0.9989583333333333,-81.06528103347198,27.860140145764113,-81.06528103347198,0.0008166666666666666,0.0008858031998078029,0.9929083333333333,0.28,0.0015253071039273626,93.63739211713636,4.7628161907196045
5,N10,10,,,,,False,2,12,0.10803125,2.2971141655445098,0.105,2.516393229166667,0.11775,0.11166666666666666,True,0.07979276926115138,0.3750321228289976,0.06660185921996724,0.22531571148041013,0.21482667808231778,0.25913682746856165,0.25283163265306124,0.2549,0.0,0.25309948979591834,0.2564,0.0,0.2594642857142857,0.2945,0.0,0.27677295918367345,0.355,0.0,0.125,2.249884649437043,b971ae575e9456c2c4709d30126b9edd0ad09f3ea0ea3d60ac0cb32a5842f6cd,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4760388661524045,-1.3476048983109594,0.49535370712140797,0.4553916666666666,0.29179384536612,6.110403034830291,0.29179384536612,0.4424833333333334,0.47603886543711027,0.07186666666666666,0.0,0.49535370527869105,0.0006314905272096435,-20.495602543471094,0.0016059039063231325,0.9992083333333334,-87.95135446690715,30.128679704027544,-87.95135446690715,0.000575,0.0006314904645085334,0.9934166666666668,0.42,0.0010768056646959757,102.47600630553222,8.46519947052002
5,N15,15,,,,,False,1,16,0.09983333333333333,2.3156606754660607,0.085,2.5164364782969155,0.09708333333333333,0.1075,True,0.04447762584432743,0.32280083988249925,0.022846260064360042,0.19936703556595603,0.21459305682825897,0.23932914967493465,0.32644132653061225,0.6144,0.0,0.32595663265306124,0.6154,0.0,0.3336862244897959,0.6318,0.0,0.3646301020408163,0.6874,0.0,0.1066666692495346,2.2980639098874964,24ac4f4f14194b316027b8b1f6db3d3bfde41dc7ad869c8d1715a1bc9f004f2a,True,True,True,True,0.0,0.48763421972798604,-1.331874035409758,0.5055263159455295,0.4480333333333333,1.2571790735212,6.538938982684204,1.2571790735212,0.45634166666666665,0.48763421894957626,0.08288333333333332,0.0,0.5055263140001909,0.0003447081505722321,-27.640278202091643,0.0013238326910468153,0.9996166666666666,-104.58675481074093,34.19297388961654,-104.58675481074093,0.0003333333333333333,0.00034470813820759456,0.9982750000000001,0.68,0.0005338249836322004,123.61832528160184,0.4547831632653061,0.34408163265306124,-8.07673024749664,0.7559,0.68,-14.454735666082525,0.0,0.0,-2.470591511223971,0.46712868969226845,-1.4197982418899242,0.48447063631263937,0.4706416666666666,1.4100881129335494,6.691496340856068,1.4100881129335494,0.43704166666666666,0.467128688845535,0.091975,0.0,0.4844706341908099,5.9202220492599785e-05,-34.60144797815159,0.0011726326003306412,0.9999333333333333,-117.73169440723065,37.26741454415814,-117.73169440723065,5.833333333333333e-05,5.9202218055725094e-05,0.999675,0.83,0.00017677414843524393,134.8253269858678,10.761929750442505
5,N15,15,,,,,False,2,17,0.09671875,2.3195287707249324,0.0925,2.3592033354441324,0.09966666666666667,0.11,True,0.012975384974089066,0.22470891829774092,0.007264994508635307,0.0922599584858593,0.21325950460838308,0.20876487416292852,0.3646301020408163,0.6874,0.0,0.3648214285714286,0.6916,0.0,0.38076530612244897,0.7103,0.0,0.43667091836734695,0.7488,0.0,0.10750000178813934,2.3050803609438804,f1207df23178321e2b4117f6c647b6ef1578b08ccb56a1161b39af50a8ffa44d,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4556760210480851,-1.5198948064450122,0.47170912869443504,0.48773333333333324,1.4837907507997496,6.816936455576332,1.4837907507997496,0.4281083333333335,0.45567602011213704,0.10275833333333333,0.0,0.47170912630943584,1.667887786080948e-05,-38.2026006900781,0.001121008363578974,0.9999833333333333,-126.43863469063044,39.137522889536115,-126.43863469063044,1.6666666666666667e-05,1.667887717485428e-05,0.9999000000000001,0.9,8.33349178234643e-05,143.7128498396981,13.684124946594238
5,N20,20,,,,,False,1,21,0.106625,2.303956196129322,0.105,2.3641140619913736,0.11308333333333333,0.115,True,0.06831401748784553,0.2613914270477835,0.02580649204892893,0.11138380241391133,0.21733043725544118,0.24378224547641972,0.3854464285714286,0.8616,0.0,0.38450255102040815,0.8624,0.0,0.3861734693877551,0.8672,0.0,0.40535714285714286,0.8757,0.0,0.10833333432674408,2.278172438212903,37330dbf0752bb7bdf13c1b5200e65485e059c3f83d82d6f49370dadf61323b6,True,True,True,True,0.0,0.46312944824526064,-1.502894744366458,0.4782298802517967,0.48234999999999995,1.6541384836500124,7.003175228150733,1.6541384836500124,0.4374666666666666,0.4631294472828508,0.10707499999999999,0.0,0.47822987787184773,0.00015184779006877902,-38.34939122917056,0.0012589213320788734,0.9998416666666666,-128.29591311836836,39.280236248463616,-128.29591311836836,0.00015000000000000001,0.00015184778521458306,0.999425,0.88,0.00022867192130462808,148.30874633594865,0.4648979591836735,0.38308673469387755,-8.405642909729314,0.9334,0.88,-17.953436674511675,0.0,0.0,-2.552699161685231,0.4640405885761498,-1.5679192426630424,0.4792646383895551,0.4826666666666666,1.5183515784876653,7.08612268110733,1.5183515784876653,0.4379,0.46404058761994044,0.11611666666666669,0.0,0.47926463575018596,0.00019101256558831106,-35.545126661120804,0.0011943185518142954,0.9997999999999999,-128.14447322939287,39.553248213913136,-128.14447322939287,0.00018333333333333334,0.0001910125593344371,0.9993916666666667,0.88,0.0002443848366735883,149.41551025227238,16.522854804992676
5,N20,20,,,,,False,2,22,0.10334375,2.312282778084278,0.10333333333333333,2.3752680015563965,0.10633333333333334,0.115,True,0.03778312827458307,0.2977276638557669,0.017824861174991234,0.13471360224987924,0.21342575910481779,0.21914247093567005,0.40543367346938775,0.8757,0.0,0.4033673469387755,0.8709,0.0,0.41262755102040816,0.8785,0.0,0.41903061224489796,0.8696,0.0,0.10999999940395355,2.2953057067793985,b16e430a001e6d57a7ab1ef54fe307fbd786058977686cef3f0d93b1edf8f296,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.46550904108698127,-1.6292523935373961,0.48023801893904056,0.4819999999999999,1.552852445835306,7.140377400090514,1.552852445835306,0.4404083333333334,0.46550904017140476,0.12081666666666666,0.0,0.4802380156159189,0.00012656738876890255,-35.56942293280072,0.0011804105568720019,0.9998583333333335,-129.9472024653733,40.32521901985612,-129.9472024653733,0.000125,0.00012656738460063935,0.9996166666666667,0.88,0.0001863922311232381,150.99507613546547,12.282097339630127
