quantity,k,seed,value
R_c12b,2,11,0.046322916666666686
R_c12b,2,12,0.03853125000000002
R_c12b,2,13,0.03960416666666669
R_c12b,2,14,0.0605729166666667
R_c12b,2,15,0.046500000000000014
R_c12b,2,16,0.03191666666666665
R_c12b,2,17,0.07564583333333333
R_c12b,2,18,0.06070833333333331
R_c12b,2,19,0.07411458333333334
R_frz,2,10,0.0
R_frz,2,11,0.0
R_frz,2,12,0.0
R_frz,2,13,0.0
R_frz,2,14,0.0
R_frz,2,15,0.0
R_frz,2,16,0.0
R_frz,2,17,0.0
R_frz,2,18,0.0
R_frz,2,19,0.0
dclimb,2,10,-8.110412989150861
dclimb,2,11,-3.6185571830677006
dclimb,2,12,-4.028720478236407
dclimb,2,13,-3.5757428514905563
dclimb,2,14,-5.925716367343857
dclimb,2,15,-4.562632109410036
dclimb,2,16,-2.216053414743518
dclimb,2,17,-7.215703028141208
dclimb,2,18,-6.872840813538929
dclimb,2,19,-6.116224876134762
dneff,2,10,-0.0005272940719361499
dneff,2,11,0.0022296374118981298
dneff,2,12,0.001372948239477998
dneff,2,13,0.0011654816227630342
dneff,2,14,0.00010646314561355442
dneff,2,15,0.001912595924515802
dneff,2,16,0.0013088283521108402
dneff,2,17,0.0017317641510423316
dneff,2,18,0.002562768010489892
dneff,2,19,0.0036656163455967977
I,2,10,-0.10473958333333333
I,2,11,-0.08004166666666668
I,2,12,-0.07379166666666659
I,2,13,-0.2015104166666667
I,2,14,-0.10540624999999992
I,2,15,-0.1142291666666666
I,2,16,-0.10626041666666663
I,2,17,-0.07020833333333332
I,2,18,-0.11755208333333333
I,2,19,-0.047947916666666646
dR_fix,2,10,0.03281249999999997
dR_fix,2,11,0.03559375000000009
dR_fix,2,12,0.07345833333333335
dR_fix,2,13,0.029489583333333347
dR_fix,2,14,0.05232291666666666
dR_fix,2,15,0.02277083333333335
dR_fix,2,16,0.053156250000000016
dR_fix,2,17,0.050114583333333323
dR_fix,2,18,0.03887499999999994
dR_fix,2,19,0.05357291666666664
dR_b,2,10,0.0034479166666666616
dR_b,2,11,0.01092708333333331
dR_b,2,12,0.0035833333333333273
dR_b,2,13,-0.00034375000000003153
dR_b,2,14,0.006385416666666643
dR_b,2,15,-0.0011979166666666874
dR_b,2,16,0.0032812500000000133
dR_b,2,17,0.015614583333333376
dR_b,2,18,0.008812500000000001
dR_b,2,19,0.0006354166666666661
rho_neff_E,1,10,0.8999999999999998
rho_neff_E,1,11,0.8999999999999998
rho_neff_E,1,12,0.9999999999999998
rho_neff_E,1,13,0.9999999999999998
rho_neff_E,1,14,0.8999999999999998
rho_neff_E,1,15,0.6999999999999998
rho_neff_E,1,16,0.8999999999999998
rho_neff_E,1,17,0.8999999999999998
rho_neff_E,1,18,0.8999999999999998
rho_neff_E,1,19,0.8999999999999998
rho_climb_E,1,10,0.7999999999999998
rho_climb_E,1,11,-0.8999999999999998
rho_climb_E,1,12,0.29999999999999993
rho_climb_E,1,13,0.3999999999999999
rho_climb_E,1,14,0.5999999999999999
rho_climb_E,1,15,-0.8999999999999998
rho_climb_E,1,16,-0.8999999999999998
rho_climb_E,1,17,-0.4999999999999999
rho_climb_E,1,18,0.4999999999999999
rho_climb_E,1,19,0.7999999999999998
