zbar_cur,sigma_cur,between_cur,pos_frac,zbar_inv,sigma_inv,between_inv,pos_frac_inv,var_off,var_wid,var_cross,rowmean,rowmean_sd,cnorm,bias,bias_sd,star,star_sd,eps_max,w2col,gate_mean,ce_probe,alpha_med,acc,gbar,gvar_mean,gbar_var,pooled_var,g3_ident,cov,cov_abs,cov10,cov50,q10_med,hard_dead,gmin,gmax,task,step,clamp,ce20,arm,seed,S2,D2,rho_mean,kap2,graw2,step2
-0.43045881380739187,0.9392756663973023,0.620338929345433,0.32376953125,-0.413268982295737,0.6735339213042804,0.37956492582009693,0.32740478515625,0.0661008561177998,0.3867448422347627,0.0008022447949581052,-0.0041346227740704615,0.005775635192515863,2.4220718144216935,0.02068454213498626,0.0779162655262903,-0.4028571676721767,0.5809755883335683,0.41211645833820065,1.0341662654734338,0.7989945878705476,0.24592268466949463,0.7086411714553833,0.9190000295639038,0.798994585655164,0.38957973054247946,0.07580407476867176,0.4653838053111526,1.3877787807814457e-15,0.3179296875,0.3179296875,0.201484375,0.446875,0.021264398097991945,0,0.0,2.0,11,625,ref,1.0318936109542847,SN1,0,,,,,,
-0.42799145589465915,0.954178681064733,0.5332989708214976,0.3191796875,-0.46709588831772897,0.7005278337087953,0.42549457668653673,0.32027832031250003,0.07417100710706297,0.41556846372038697,0.000999774973287762,-0.004697494631008112,0.005877614166051502,2.5131037858326732,0.02004892356460914,0.0820260109116963,-0.46115214762003814,0.5986398651104601,0.40590869288835735,1.0483109254560068,0.7841451720194891,0.2288523018360138,0.7029281854629517,0.9193999767303467,0.78414517237572,0.41077309087878533,0.04535108017179559,0.45612417105057834,2.55351295663786e-15,0.32158203125,0.32158203125,0.2030078125,0.45412109375,0.023667854070663453,0,0.0,2.0,12,625,ref,1.1779109239578247,SN1,0,,,,,,
-0.5171933110970994,0.9821134483677013,0.653110696870813,0.32015625,-0.4989519211775379,0.7225052602722435,0.44307589539880177,0.3133251953125,0.07871409543091903,0.44192721108943883,0.0013725446007046027,-0.00501724748167542,0.00590826989656427,2.5987078064794105,0.018612201069481672,0.08702867699947199,-0.49534365247080453,0.6006019993741585,0.48012113919677496,1.0663546317288075,0.8008592571038753,0.20915158092975616,0.6735078692436218,0.9236000180244446,0.8008592573006171,0.40007363503941484,0.06606479538496625,0.46613843042437786,3.219646771412954e-15,0.31751953125,0.31751953125,0.20013671875,0.4473046875,0.021331173181533814,0,0.0,2.0,13,625,ref,1.04983389377594,SN1,0,,,,,,
-0.602575233986306,1.0083721029501485,0.7783093548251702,0.29767578125,-0.5730001669673901,0.7484310520042232,0.4685592799862104,0.29338378906249996,0.09066936409069935,0.4693780446292732,0.00010163088417586119,-0.005698439367025998,0.0060608052623446545,2.6854077446086775,0.018340146006084978,0.09197618829708012,-0.5653955137205133,0.6203852766702518,0.47676005411488964,1.0909652566330665,0.779326265923446,0.24395914375782013,0.6774930953979492,0.9121999740600586,0.7793262675905135,0.3982227707746084,0.06030275875490969,0.45852552952951875,6.661338147750939e-16,0.32849609375,0.32849609375,0.2089453125,0.45701171875,0.0214316725730896,0,0.0,2.0,14,625,ref,1.0981559753417969,SN1,0,,,,,,
-0.6169488993838823,1.0283106078032183,0.5003424979166267,0.2886328125,-0.5690743708186122,0.7681080097898512,0.46057227729397704,0.30022949218749995,0.09005099189411923,0.5004832325923525,-0.0005443097831455601,-0.00560382206828569,0.006109890541678449,2.766455215236002,0.018108641030848957,0.09597894176605012,-0.5559346296494924,0.6178526974749248,0.4317382937877238,1.1037757327760176,0.7492762453586329,0.21265271306037903,0.6211819052696228,0.9254999756813049,0.7492762449674774,0.392860965965826,0.04898861196544802,0.4418495779312756,1.609823385706477e-15,0.338984375,0.338984375,0.2141796875,0.47462890625,0.0193623423576355,0,0.0,2.0,15,625,ref,1.071299433708191,SN1,0,,,,,,
-0.5635827838434637,1.0445501935658017,0.9196836351787483,0.3166796875,-0.5778817118269841,0.787421832709438,0.5076810651469267,0.29982910156250003,0.09562390263136605,0.523699960282007,0.000709279714117107,-0.005653764200921118,0.006404856957514784,2.8394930764827553,0.01940098547580419,0.09685320305465232,-0.5597582479909078,0.6567631679108353,0.4602106381348643,1.113203756454252,0.7966590867750347,0.23542900383472443,0.6434309482574463,0.921999990940094,0.7966590855957475,0.3941861048429391,0.06813666592077505,0.4623227707637152,1.0547118733938987e-15,0.31869140625,0.31869140625,0.20021484375,0.4477734375,0.02171650528907776,0,0.0,2.0,16,625,ref,1.2161152362823486,SN1,0,,,,,,
-0.622438328950216,1.0589727555647808,0.7305638801770147,0.29099609375,-0.5993750167106547,0.8054599823825039,0.507925175207713,0.29750244140625004,0.09992589168799747,0.5486130071327044,0.00022688439892179613,-0.005919295055719242,0.00642127595479637,2.9120651529795434,0.020303085475461558,0.09912585229132448,-0.5860565477358292,0.6593587329449746,0.49110913817326296,1.1283915079845024,0.7722934848291334,0.23247331380844116,0.645230770111084,0.9172999858856201,0.7722934831783641,0.3822163539676605,0.06163528746367726,0.443851641431338,2.220446049250313e-16,0.3239453125,0.3239453125,0.20197265625,0.45623046875,0.02217429876327515,0,0.0,2.0,17,625,ref,1.0906461477279663,SN1,0,,,,,,
-0.5524657290487796,1.082681079417643,0.8025923551082315,0.3261328125,-0.5830932836457814,0.825410444713923,0.5603499401784379,0.310068359375,0.10463224056016181,0.5754035298305564,0.001266631852118153,-0.005825183538478231,0.0067771903835588156,2.987202385138536,0.02116901914938353,0.10384290901583076,-0.5755500361657132,0.6949420033377355,0.5564242826215751,1.143526924128349,0.8067077428393532,0.2255183756351471,0.5884008407592773,0.92330002784729,0.8067077423841692,0.4028005296442197,0.061181338412661254,0.46398186805688396,2.9976021664879227e-15,0.31068359375,0.31068359375,0.19890625,0.4407421875,0.024655389785766604,0,0.0,2.0,18,625,ref,1.1385624408721924,SN1,0,,,,,,
-0.5949856271261799,1.0978087983935523,0.7975100585257935,0.30380859375,-0.597711719924881,0.8458186571547598,0.5287964915774238,0.30413330078125,0.10396459821257807,0.6056194648473743,0.005825137731128614,-0.005975205959541631,0.00660684436190776,3.054880589108154,0.022962154591223225,0.10315319062067706,-0.5891248692662727,0.67188367067535,0.5601709028057433,1.156580881408731,0.7689971273997799,0.235192209482193,0.5987685322761536,0.9287999868392944,0.768997127818875,0.3965139534155114,0.048731818882203834,0.4452457722977127,2.4980018054066022e-15,0.324609375,0.324609375,0.206875,0.458828125,0.020621925592422485,0,0.0,2.0,19,625,ref,1.2130959033966064,SN1,0,,,,,,
-0.5147524872243907,1.0907532414945469,0.6312571038668873,0.33099609375,-0.6301499480951269,0.8632086610291219,0.49345248855965573,0.29601806640625,0.1055596752300117,0.6350533123293357,0.004516204916342081,-0.006326001745603152,0.006368097162573411,3.123041032211313,0.022571923711802812,0.10157658149476886,-0.6254498528765627,0.6467915237977413,0.5213806047544802,1.1650186801241507,0.7998913497070316,0.22511495649814606,0.6117566823959351,0.9193000197410583,0.7998913502506911,0.4023358435686848,0.05777260514554983,0.460108448714232,2.609024107869118e-15,0.31509765625,0.31509765625,0.1995703125,0.443984375,0.022866451740264894,0,0.0,2.0,20,625,ref,1.2705659866333008,SN1,0,,,,,,
-0.6073084184550732,1.0938482690864386,0.5807641064523037,0.29296875,-0.5880821003377652,0.8740722325645184,0.4891084549197523,0.3076416015625,0.09735865137377989,0.6635960100003699,0.0030476063661719977,-0.005858838043909262,0.006323396851260611,3.1839829390729717,0.025354847726994194,0.10335687144188203,-0.5748117014834019,0.6441004236346918,0.61193132043651,1.170945609997449,0.74787366666249,0.20631836354732513,0.6188613176345825,0.9257000088691711,0.7478736654447857,0.3918201366739265,0.047401132309424755,0.4392212689833549,3.608224830031759e-15,0.3378515625,0.3378515625,0.212265625,0.47458984375,0.020661652088165283,0,0.0,2.0,21,625,ref,1.1807595491409302,SN1,0,,,,,,
