scope,window,metric,arm,baseline,layer,seed,arm_level,baseline_level,gap
block,B01,strict_dead_frac,L2_Aall,L2_A1,1,1,0.043200000000000002,0.030200000000000001,0.013000000000000001
block,B01,strict_dead_frac,L2_Aall,L2_A1,1,2,0.0118,0.007000000000000001,0.0047999999999999987
block,B01,strict_dead_frac,L2_Aall,L2_A1,1,3,0.0088000000000000005,0.0218,-0.012999999999999999
block,B01,strict_dead_frac,L2_Aall,L2_A1,1,4,0.0206,0.018600000000000002,0.0019999999999999983
block,B01,strict_dead_frac,L2_Aall,L2_A1,1,5,0.01,0.016200000000000003,-0.0062000000000000024
block,B01,strict_dead_frac,L2_Aall,L2_A1,1,6,0.0054000000000000003,0.023399999999999997,-0.017999999999999995
block,B01,strict_dead_frac,L2_Aall,L2_A1,1,7,0.0126,0.018600000000000002,-0.0060000000000000019
block,B01,strict_dead_frac,L2_Aall,L2_A1,1,8,0.0041999999999999997,0.012199999999999999,-0.0080000000000000002
block,B01,strict_dead_frac,L2_Aall,L2_A1,1,9,0.0056000000000000008,0.028000000000000004,-0.022400000000000003
block,B01,strict_dead_frac,L2_Aall,L2_A1,2,0,0.042800000000000005,0.34999999999999998,-0.30719999999999997
block,B01,strict_dead_frac,L2_Aall,L2_A1,2,1,0.059999999999999998,0.34619999999999995,-0.28619999999999995
block,B01,strict_dead_frac,L2_Aall,L2_A1,2,2,0.019400000000000001,0.31019999999999998,-0.29079999999999995
block,B01,strict_dead_frac,L2_Aall,L2_A1,2,3,0.053800000000000001,0.47119999999999995,-0.41739999999999994
block,B01,strict_dead_frac,L2_Aall,L2_A1,2,4,0.041000000000000009,0.3614,-0.32040000000000002
block,B01,strict_dead_frac,L2_Aall,L2_A1,2,5,0.024,0.41820000000000002,-0.39419999999999999
block,B01,strict_dead_frac,L2_Aall,L2_A1,2,6,0.035000000000000003,0.38900000000000001,-0.35399999999999998
block,B01,strict_dead_frac,L2_Aall,L2_A1,2,7,0.037200000000000004,0.33520000000000005,-0.29800000000000004
block,B01,strict_dead_frac,L2_Aall,L2_A1,2,8,0.027000000000000003,0.38179999999999997,-0.35479999999999995
block,B01,strict_dead_frac,L2_Aall,L2_A1,2,9,0.046799999999999994,0.45140000000000002,-0.40460000000000002
block,B01,strict_dead_frac,L2_Aall,L2_none,1,0,0.0144,0.50219999999999998,-0.48779999999999996
block,B01,strict_dead_frac,L2_Aall,L2_none,1,1,0.043200000000000002,0.48479999999999995,-0.44159999999999994
block,B01,strict_dead_frac,L2_Aall,L2_none,1,2,0.0118,0.41439999999999999,-0.40260000000000001
block,B01,strict_dead_frac,L2_Aall,L2_none,1,3,0.0088000000000000005,0.51239999999999997,-0.50359999999999994
block,B01,strict_dead_frac,L2_Aall,L2_none,1,4,0.0206,0.58379999999999999,-0.56320000000000003
block,B01,strict_dead_frac,L2_Aall,L2_none,1,5,0.01,0.35100000000000003,-0.34100000000000003
block,B01,strict_dead_frac,L2_Aall,L2_none,1,6,0.0054000000000000003,0.49200000000000005,-0.48660000000000003
block,B01,strict_dead_frac,L2_Aall,L2_none,1,7,0.0126,0.56259999999999999,-0.55000000000000004
block,B01,strict_dead_frac,L2_Aall,L2_none,1,8,0.0041999999999999997,0.39479999999999998,-0.3906
block,B01,strict_dead_frac,L2_Aall,L2_none,1,9,0.0056000000000000008,0.48960000000000004,-0.48400000000000004
block,B01,strict_dead_frac,L2_Aall,L2_none,2,0,0.042800000000000005,0.39700000000000002,-0.35420000000000001
block,B01,strict_dead_frac,L2_Aall,L2_none,2,1,0.059999999999999998,0.39140000000000003,-0.33140000000000003
block,B01,strict_dead_frac,L2_Aall,L2_none,2,2,0.019400000000000001,0.33439999999999998,-0.31499999999999995
block,B01,strict_dead_frac,L2_Aall,L2_none,2,3,0.053800000000000001,0.4078,-0.35399999999999998
block,B01,strict_dead_frac,L2_Aall,L2_none,2,4,0.041000000000000009,0.31859999999999999,-0.27759999999999996
block,B01,strict_dead_frac,L2_Aall,L2_none,2,5,0.024,0.40339999999999998,-0.37939999999999996
block,B01,strict_dead_frac,L2_Aall,L2_none,2,6,0.035000000000000003,0.28220000000000001,-0.2472
block,B01,strict_dead_frac,L2_Aall,L2_none,2,7,0.037200000000000004,0.32439999999999997,-0.28719999999999996
block,B01,strict_dead_frac,L2_Aall,L2_none,2,8,0.027000000000000003,0.33960000000000001,-0.31259999999999999
block,B01,strict_dead_frac,L2_Aall,L2_none,2,9,0.046799999999999994,0.38040000000000002,-0.33360000000000001
block,B02,log10_unfit,L2_A1,L2_none,,0,-2.8459446470427645,-9.98849389680732,7.1425492497645555
block,B02,log10_unfit,L2_A1,L2_none,,1,-2.7850856570635734,-10.57507210431425,7.7899864472506763
block,B02,log10_unfit,L2_A1,L2_none,,2,-2.8249944910203464,-10.971962844082475,8.1469683530621282
block,B02,log10_unfit,L2_A1,L2_none,,3,-2.6498035397780599,-10.221682646745249,7.5718791069671889
block,B02,log10_unfit,L2_A1,L2_none,,4,-2.8247923481339519,-6.268209775166401,3.4434174270324491
block,B02,log10_unfit,L2_A1,L2_none,,5,-2.9326392270617192,-13.085835593944946,10.153196366883227
block,B02,log10_unfit,L2_A1,L2_none,,6,-2.9853747671520323,-13.200500649991618,10.215125882839585
block,B02,log10_unfit,L2_A1,L2_none,,7,-2.8069453510253854,-8.6718489849138223,5.8649036338884368
block,B02,log10_unfit,L2_A1,L2_none,,8,-2.7706016488584795,-13.141366410075923,10.370764761217444
block,B02,log10_unfit,L2_A1,L2_none,,9,-3.045738164464189,-13.069978440171562,10.024240275707374
block,B02,log10_unfit,L2_Aall,L2_A1,,0,-2.5666992221958371,-2.8459446470427645,0.27924542484692738
block,B02,log10_unfit,L2_Aall,L2_A1,,1,-2.5498878792659982,-2.7850856570635734,0.23519777779757511
block,B02,log10_unfit,L2_Aall,L2_A1,,2,-2.6525281482095124,-2.8249944910203464,0.17246634281083395
block,B02,log10_unfit,L2_Aall,L2_A1,,3,-2.5797722917453529,-2.6498035397780599,0.070031248032706994
block,B02,log10_unfit,L2_Aall,L2_A1,,4,-2.578429345887141,-2.8247923481339519,0.24636300224681085
block,B02,log10_unfit,L2_Aall,L2_A1,,5,-2.6913979504987857,-2.9326392270617192,0.24124127656293348
block,B02,log10_unfit,L2_Aall,L2_A1,,6,-2.7142440409280706,-2.9853747671520323,0.27113072622396173
block,B02,log10_unfit,L2_Aall,L2_A1,,7,-2.5469644086029173,-2.8069453510253854,0.25998094242246816
block,B02,log10_unfit,L2_Aall,L2_A1,,8,-2.5335251077931429,-2.7706016488584795,0.2370765410653366
block,B02,log10_unfit,L2_Aall,L2_A1,,9,-2.6642196368830078,-3.045738164464189,0.38151852758118121
block,B02,log10_unfit,L2_Aall,L2_none,,0,-2.5666992221958371,-9.98849389680732,7.4217946746114833
block,B02,log10_unfit,L2_Aall,L2_none,,1,-2.5498878792659982,-10.57507210431425,8.0251842250482515
block,B02,log10_unfit,L2_Aall,L2_none,,2,-2.6525281482095124,-10.971962844082475,8.3194346958729621
block,B02,log10_unfit,L2_Aall,L2_none,,3,-2.5797722917453529,-10.221682646745249,7.6419103549998955
block,B02,log10_unfit,L2_Aall,L2_none,,4,-2.578429345887141,-6.268209775166401,3.68978042927926
block,B02,log10_unfit,L2_Aall,L2_none,,5,-2.6913979504987857,-13.085835593944946,10.39443764344616
block,B02,log10_unfit,L2_Aall,L2_none,,6,-2.7142440409280706,-13.200500649991618,10.486256609063547
block,B02,log10_unfit,L2_Aall,L2_none,,7,-2.5469644086029173,-8.6718489849138223,6.1248845763109045
block,B02,log10_unfit,L2_Aall,L2_none,,8,-2.5335251077931429,-13.141366410075923,10.607841302282781
block,B02,log10_unfit,L2_Aall,L2_none,,9,-2.6642196368830078,-13.069978440171562,10.405758803288554
block,B02,strict_dead_frac,L2_A1,L2_none,1,0,0.046199999999999998,0.67879999999999996,-0.63259999999999994
block,B02,strict_dead_frac,L2_A1,L2_none,1,1,0.065799999999999997,0.63300000000000001,-0.56720000000000004
block,B02,strict_dead_frac,L2_A1,L2_none,1,2,0.071800000000000003,0.58079999999999998,-0.50900000000000001
block,B02,strict_dead_frac,L2_A1,L2_none,1,3,0.048000000000000001,0.66020000000000001,-0.61219999999999997
block,B02,strict_dead_frac,L2_A1,L2_none,1,4,0.091799999999999993,0.78139999999999998,-0.68959999999999999
block,B02,strict_dead_frac,L2_A1,L2_none,1,5,0.040800000000000003,0.49619999999999997,-0.45539999999999997
block,B02,strict_dead_frac,L2_A1,L2_none,1,6,0.047199999999999999,0.61780000000000002,-0.5706
block,B02,strict_dead_frac,L2_A1,L2_none,1,7,0.070800000000000002,0.72900000000000009,-0.65820000000000012
block,B02,strict_dead_frac,L2_A1,L2_none,1,8,0.047400000000000005,0.5726,-0.5252
block,B02,strict_dead_frac,L2_A1,L2_none,1,9,0.053800000000000001,0.62719999999999998,-0.57340000000000002
block,B02,strict_dead_frac,L2_A1,L2_none,2,0,0.66000000000000003,0.65620000000000001,0.0038000000000000256
block,B02,strict_dead_frac,L2_A1,L2_none,2,1,0.64379999999999993,0.56359999999999999,0.080199999999999938
block,B02,strict_dead_frac,L2_A1,L2_none,2,2,0.70860000000000001,0.46659999999999996,0.24200000000000005
block,B02,strict_dead_frac,L2_A1,L2_none,2,3,0.78200000000000003,0.64159999999999995,0.14040000000000008
block,B02,strict_dead_frac,L2_A1,L2_none,2,4,0.72920000000000007,0.6926000000000001,0.036599999999999966
block,B02,strict_dead_frac,L2_A1,L2_none,2,5,0.70540000000000003,0.49939999999999996,0.20600000000000007
block,B02,strict_dead_frac,L2_A1,L2_none,2,6,0.63539999999999996,0.48039999999999999,0.15499999999999997
block,B02,strict_dead_frac,L2_A1,L2_none,2,7,0.64180000000000004,0.55359999999999998,0.088200000000000056
block,B02,strict_dead_frac,L2_A1,L2_none,2,8,0.68379999999999996,0.53000000000000003,0.15379999999999994
block,B02,strict_dead_frac,L2_A1,L2_none,2,9,0.63739999999999997,0.53359999999999996,0.1038
block,B02,strict_dead_frac,L2_Aall,L2_A1,1,0,0.035400000000000001,0.046199999999999998,-0.010799999999999997
block,B02,strict_dead_frac,L2_Aall,L2_A1,1,1,0.086999999999999994,0.065799999999999997,0.021199999999999997
block,B02,strict_dead_frac,L2_Aall,L2_A1,1,2,0.0152,0.071800000000000003,-0.056600000000000004
block,B02,strict_dead_frac,L2_Aall,L2_A1,1,3,0.023599999999999999,0.048000000000000001,-0.024400000000000002
block,B02,strict_dead_frac,L2_Aall,L2_A1,1,4,0.026200000000000001,0.091799999999999993,-0.065599999999999992
block,B02,strict_dead_frac,L2_Aall,L2_A1,1,5,0.032599999999999997,0.040800000000000003,-0.0082000000000000059
block,B02,strict_dead_frac,L2_Aall,L2_A1,1,6,0.011000000000000001,0.047199999999999999,-0.036199999999999996
block,B02,strict_dead_frac,L2_Aall,L2_A1,1,7,0.0178,0.070800000000000002,-0.053000000000000005
block,B02,strict_dead_frac,L2_Aall,L2_A1,1,8,0.024199999999999999,0.047400000000000005,-0.023200000000000005
block,B02,strict_dead_frac,L2_Aall,L2_A1,1,9,0.030200000000000001,0.053800000000000001,-0.023599999999999999
block,B02,strict_dead_frac,L2_Aall,L2_A1,2,0,0.1208,0.66000000000000003,-0.53920000000000001
block,B02,strict_dead_frac,L2_Aall,L2_A1,2,1,0.157,0.64379999999999993,-0.4867999999999999
block,B02,strict_dead_frac,L2_Aall,L2_A1,2,2,0.072599999999999998,0.70860000000000001,-0.63600000000000001
block,B02,strict_dead_frac,L2_Aall,L2_A1,2,3,0.1522,0.78200000000000003,-0.62980000000000003
block,B02,strict_dead_frac,L2_Aall,L2_A1,2,4,0.16940000000000002,0.72920000000000007,-0.55980000000000008
block,B02,strict_dead_frac,L2_Aall,L2_A1,2,5,0.095000000000000001,0.70540000000000003,-0.61040000000000005
block,B02,strict_dead_frac,L2_Aall,L2_A1,2,6,0.078600000000000003,0.63539999999999996,-0.55679999999999996
block,B02,strict_dead_frac,L2_Aall,L2_A1,2,7,0.1024,0.64180000000000004,-0.53939999999999999
block,B02,strict_dead_frac,L2_Aall,L2_A1,2,8,0.069800000000000001,0.68379999999999996,-0.61399999999999999
block,B02,strict_dead_frac,L2_Aall,L2_A1,2,9,0.1268,0.63739999999999997,-0.51059999999999994
block,B02,strict_dead_frac,L2_Aall,L2_none,1,0,0.035400000000000001,0.67879999999999996,-0.64339999999999997
block,B02,strict_dead_frac,L2_Aall,L2_none,1,1,0.086999999999999994,0.63300000000000001,-0.54600000000000004
block,B02,strict_dead_frac,L2_Aall,L2_none,1,2,0.0152,0.58079999999999998,-0.56559999999999999
block,B02,strict_dead_frac,L2_Aall,L2_none,1,3,0.023599999999999999,0.66020000000000001,-0.63660000000000005
block,B02,strict_dead_frac,L2_Aall,L2_none,1,4,0.026200000000000001,0.78139999999999998,-0.75519999999999998
block,B02,strict_dead_frac,L2_Aall,L2_none,1,5,0.032599999999999997,0.49619999999999997,-0.46359999999999996
block,B02,strict_dead_frac,L2_Aall,L2_none,1,6,0.011000000000000001,0.61780000000000002,-0.60680000000000001
block,B02,strict_dead_frac,L2_Aall,L2_none,1,7,0.0178,0.72900000000000009,-0.71120000000000005
block,B02,strict_dead_frac,L2_Aall,L2_none,1,8,0.024199999999999999,0.5726,-0.5484
block,B02,strict_dead_frac,L2_Aall,L2_none,1,9,0.030200000000000001,0.62719999999999998,-0.59699999999999998
block,B02,strict_dead_frac,L2_Aall,L2_none,2,0,0.1208,0.65620000000000001,-0.53539999999999999
block,B02,strict_dead_frac,L2_Aall,L2_none,2,1,0.157,0.56359999999999999,-0.40659999999999996
block,B02,strict_dead_frac,L2_Aall,L2_none,2,2,0.072599999999999998,0.46659999999999996,-0.39399999999999996
block,B02,strict_dead_frac,L2_Aall,L2_none,2,3,0.1522,0.64159999999999995,-0.48939999999999995
block,B02,strict_dead_frac,L2_Aall,L2_none,2,4,0.16940000000000002,0.6926000000000001,-0.52320000000000011
block,B02,strict_dead_frac,L2_Aall,L2_none,2,5,0.095000000000000001,0.49939999999999996,-0.40439999999999998
block,B02,strict_dead_frac,L2_Aall,L2_none,2,6,0.078600000000000003,0.48039999999999999,-0.40179999999999999
block,B02,strict_dead_frac,L2_Aall,L2_none,2,7,0.1024,0.55359999999999998,-0.45119999999999999
block,B02,strict_dead_frac,L2_Aall,L2_none,2,8,0.069800000000000001,0.53000000000000003,-0.46020000000000005
block,B02,strict_dead_frac,L2_Aall,L2_none,2,9,0.1268,0.53359999999999996,-0.40679999999999994
block,B03,log10_unfit,L2_A1,L2_none,,0,-2.8850500298816337,-8.8391154154777674,5.9540653855961336
block,B03,log10_unfit,L2_A1,L2_none,,1,-2.6203439154549248,-9.0891513097622738,6.4688073943073494
block,B03,log10_unfit,L2_A1,L2_none,,2,-2.8017244105439856,-7.2630197372937051,4.4612953267497195
block,B03,log10_unfit,L2_A1,L2_none,,3,-2.7046301340587156,-10.5899437177187,7.8853135836599844
block,B03,log10_unfit,L2_A1,L2_none,,4,-2.8585735729331003,-8.3819639449421484,5.5233903720090485
block,B03,log10_unfit,L2_A1,L2_none,,5,-2.762506776088931,-12.285475134334058,9.5229683582451266
block,B03,log10_unfit,L2_A1,L2_none,,6,-2.6237851314560503,-10.050552301121373,7.4267671696653226
block,B03,log10_unfit,L2_A1,L2_none,,7,-2.5339813626226313,-4.5274532611250358,1.9934718985024045
block,B03,log10_unfit,L2_A1,L2_none,,8,-2.7571400701992546,-8.6549678300708326,5.8978277598715785
block,B03,log10_unfit,L2_A1,L2_none,,9,-2.8544214695546675,-10.757717859370002,7.9032963898153348
block,B03,log10_unfit,L2_Aall,L2_A1,,0,-2.5610943789469629,-2.8850500298816337,0.32395565093467082
block,B03,log10_unfit,L2_Aall,L2_A1,,1,-2.5325168563538414,-2.6203439154549248,0.08782705910108346
block,B03,log10_unfit,L2_Aall,L2_A1,,2,-2.6079834016091041,-2.8017244105439856,0.19374100893488144
block,B03,log10_unfit,L2_Aall,L2_A1,,3,-2.4860452350254141,-2.7046301340587156,0.21858489903330147
block,B03,log10_unfit,L2_Aall,L2_A1,,4,-2.5284562007184954,-2.8585735729331003,0.33011737221460491
block,B03,log10_unfit,L2_Aall,L2_A1,,5,-2.5517533178103604,-2.762506776088931,0.21075345827857062
block,B03,log10_unfit,L2_Aall,L2_A1,,6,-2.5391058486263982,-2.6237851314560503,0.084679282829652092
block,B03,log10_unfit,L2_Aall,L2_A1,,7,-2.5859577830879017,-2.5339813626226313,-0.051976420465270401
block,B03,log10_unfit,L2_Aall,L2_A1,,8,-2.5361929139219668,-2.7571400701992546,0.22094715627728778
block,B03,log10_unfit,L2_Aall,L2_A1,,9,-2.5976054120389285,-2.8544214695546675,0.25681605751573899
block,B03,log10_unfit,L2_Aall,L2_none,,0,-2.5610943789469629,-8.8391154154777674,6.278021036530804
block,B03,log10_unfit,L2_Aall,L2_none,,1,-2.5325168563538414,-9.0891513097622738,6.5566344534084324
block,B03,log10_unfit,L2_Aall,L2_none,,2,-2.6079834016091041,-7.2630197372937051,4.655036335684601
block,B03,log10_unfit,L2_Aall,L2_none,,3,-2.4860452350254141,-10.5899437177187,8.1038984826932854
block,B03,log10_unfit,L2_Aall,L2_none,,4,-2.5284562007184954,-8.3819639449421484,5.8535077442236529
block,B03,log10_unfit,L2_Aall,L2_none,,5,-2.5517533178103604,-12.285475134334058,9.7337218165236976
block,B03,log10_unfit,L2_Aall,L2_none,,6,-2.5391058486263982,-10.050552301121373,7.5114464524949742
block,B03,log10_unfit,L2_Aall,L2_none,,7,-2.5859577830879017,-4.5274532611250358,1.9414954780371341
block,B03,log10_unfit,L2_Aall,L2_none,,8,-2.5361929139219668,-8.6549678300708326,6.1187749161488654
block,B03,log10_unfit,L2_Aall,L2_none,,9,-2.5976054120389285,-10.757717859370002,8.1601124473310733
block,B03,strict_dead_frac,L2_A1,L2_none,1,0,0.083599999999999994,0.65720000000000001,-0.5736
block,B03,strict_dead_frac,L2_A1,L2_none,1,1,0.085000000000000006,0.51660000000000006,-0.43160000000000004
block,B03,strict_dead_frac,L2_A1,L2_none,1,2,0.0974,0.755,-0.65759999999999996
block,B03,strict_dead_frac,L2_A1,L2_none,1,3,0.095400000000000013,0.7118000000000001,-0.61640000000000006
block,B03,strict_dead_frac,L2_A1,L2_none,1,4,0.16760000000000003,0.69499999999999995,-0.52739999999999987
block,B03,strict_dead_frac,L2_A1,L2_none,1,5,0.093000000000000013,0.63319999999999999,-0.54020000000000001
block,B03,strict_dead_frac,L2_A1,L2_none,1,6,0.063200000000000006,0.54579999999999995,-0.48259999999999992
block,B03,strict_dead_frac,L2_A1,L2_none,1,7,0.085800000000000001,0.81620000000000004,-0.73040000000000005
block,B03,strict_dead_frac,L2_A1,L2_none,1,8,0.054000000000000006,0.75879999999999992,-0.70479999999999987
block,B03,strict_dead_frac,L2_A1,L2_none,1,9,0.094200000000000006,0.59260000000000002,-0.49840000000000001
block,B03,strict_dead_frac,L2_A1,L2_none,2,0,0.73080000000000001,0.66379999999999995,0.06700000000000006
block,B03,strict_dead_frac,L2_A1,L2_none,2,1,0.8126000000000001,0.66720000000000002,0.14540000000000008
block,B03,strict_dead_frac,L2_A1,L2_none,2,2,0.77359999999999995,0.64119999999999999,0.13239999999999996
block,B03,strict_dead_frac,L2_A1,L2_none,2,3,0.81999999999999995,0.67799999999999994,0.14200000000000002
block,B03,strict_dead_frac,L2_A1,L2_none,2,4,0.79859999999999998,0.6764,0.12219999999999998
block,B03,strict_dead_frac,L2_A1,L2_none,2,5,0.75840000000000007,0.56619999999999993,0.19220000000000015
block,B03,strict_dead_frac,L2_A1,L2_none,2,6,0.79079999999999995,0.63700000000000001,0.15379999999999994
block,B03,strict_dead_frac,L2_A1,L2_none,2,7,0.80079999999999996,0.71019999999999994,0.090600000000000014
block,B03,strict_dead_frac,L2_A1,L2_none,2,8,0.76859999999999995,0.59819999999999995,0.1704
block,B03,strict_dead_frac,L2_A1,L2_none,2,9,0.7802,0.67400000000000004,0.10619999999999996
block,B03,strict_dead_frac,L2_Aall,L2_A1,1,0,0.041000000000000009,0.083599999999999994,-0.042599999999999985
block,B03,strict_dead_frac,L2_Aall,L2_A1,1,1,0.077800000000000008,0.085000000000000006,-0.0071999999999999981
block,B03,strict_dead_frac,L2_Aall,L2_A1,1,2,0.0258,0.0974,-0.071599999999999997
block,B03,strict_dead_frac,L2_Aall,L2_A1,1,3,0.022600000000000002,0.095400000000000013,-0.072800000000000004
block,B03,strict_dead_frac,L2_Aall,L2_A1,1,4,0.013600000000000001,0.16760000000000003,-0.15400000000000003
block,B03,strict_dead_frac,L2_Aall,L2_A1,1,5,0.023599999999999999,0.093000000000000013,-0.069400000000000017
block,B03,strict_dead_frac,L2_Aall,L2_A1,1,6,0.0078000000000000005,0.063200000000000006,-0.055400000000000005
block,B03,strict_dead_frac,L2_Aall,L2_A1,1,7,0.024,0.085800000000000001,-0.061800000000000001
block,B03,strict_dead_frac,L2_Aall,L2_A1,1,8,0.046600000000000003,0.054000000000000006,-0.0074000000000000038
block,B03,strict_dead_frac,L2_Aall,L2_A1,1,9,0.042199999999999994,0.094200000000000006,-0.052000000000000011
block,B03,strict_dead_frac,L2_Aall,L2_A1,2,0,0.16760000000000003,0.73080000000000001,-0.56319999999999992
block,B03,strict_dead_frac,L2_Aall,L2_A1,2,1,0.20660000000000001,0.8126000000000001,-0.60600000000000009
block,B03,strict_dead_frac,L2_Aall,L2_A1,2,2,0.064199999999999993,0.77359999999999995,-0.70939999999999992
block,B03,strict_dead_frac,L2_Aall,L2_A1,2,3,0.20300000000000001,0.81999999999999995,-0.61699999999999999
block,B03,strict_dead_frac,L2_Aall,L2_A1,2,4,0.30159999999999998,0.79859999999999998,-0.497
block,B03,strict_dead_frac,L2_Aall,L2_A1,2,5,0.18080000000000002,0.75840000000000007,-0.57760000000000011
block,B03,strict_dead_frac,L2_Aall,L2_A1,2,6,0.13739999999999999,0.79079999999999995,-0.65339999999999998
block,B03,strict_dead_frac,L2_Aall,L2_A1,2,7,0.27639999999999998,0.80079999999999996,-0.52439999999999998
