act,reg,lam,lr,seed,task,online_acc,memo_acc,acc,dead_frac_l1,zeroout_l1,zbar_l1,zsd_l1,zbar_min_l1,mob_l1,eff_rank_l1,dead_frac_l2,zeroout_l2,zbar_l2,zsd_l2,zbar_min_l2,mob_l2,eff_rank_l2,w_norm_l1,w_norm_l2,w_norm_l3,alpha_med_l1,alpha_min_l1,alpha_max_l1,alpha_clip_frac_l1,two_alpha_W_med_l1,alpha_med_l2,alpha_min_l2,alpha_max_l2,alpha_clip_frac_l2,two_alpha_W_med_l2,reg_loss,pen_l2_total,pen_l2init_total,pen_shell_total
SNA,l2init,0.001,0.001,0,11,0.966325,1,1,0,0,-0.1874995232,1.066477656,-9.897961617,0.9263612628,61.38404331,0,0,-1.690571189,2.095808029,-6.515242577,0.6463993788,66.25554918,1.344098449,1.133187771,2.361510038,0.5665301681,0.2106328607,2.526382923,0,1.200000048,0.2959438264,0.1494170129,0.6516111493,0,1.200000048,0.2675587805,0.3774324751,0.2675587805,0.1281253562
SNA,l2init,0.001,0.001,0,12,0.9663416667,1,1,0,0,-0.01344752312,1.081301093,-11.83706093,1.068978667,58.46031218,0,0,-2.035345316,2.358202934,-7.027442932,0.6422765851,65.23647102,1.31752789,1.168821573,2.338531733,0.5601559281,0.1809114218,2.855515957,0,1.200000048,0.263722837,0.1463202834,0.5261133313,0,1.200000048,0.2631224384,0.3761219722,0.2631224384,0.1273087684
SNA,l2init,0.001,0.001,0,13,0.9667020833,1,1,0,0,-0.3301045597,1.194530606,-10.24460411,0.8745809793,60.10212489,0,0,-1.297894239,2.25616312,-6.573509216,0.7171091437,65.47278643,1.366298079,1.180369854,2.361972809,0.5143152475,0.2044340223,2.525916338,0,1.200000048,0.2733530998,0.1348264515,1.009264588,0,1.200000048,0.2816598879,0.3933625315,0.2816598879,0.1370110318
SNA,l2init,0.001,0.001,0,14,0.9655708333,1,1,0,0,-0.2398448735,1.094602108,-12.19766903,0.9661010504,56.84971457,0,0,-1.9754498,2.524422169,-7.286959648,0.6275089979,64.64422519,1.313601494,1.175277948,2.381048441,0.5613922477,0.1795202941,3,0.009999999776,1.200000048,0.2407177836,0.1189449206,0.7334106565,0,1.200000048,0.2665583277,0.3774081081,0.2665583277,0.1281462719
SNA,l2init,0.001,0.001,0,15,0.96798125,1,1,0,0,-0.01910032891,1.079876423,-10.06907368,1.010543823,58.68705542,0,0,-1.407956839,2.292418242,-7.025341988,0.6752130389,65.73028809,1.255383611,1.166768074,2.385366201,0.5739504099,0.2126227915,2.59496212,0,1.200000048,0.2708381414,0.1417265236,1.071740746,0,1.200000048,0.2478901325,0.3592999405,0.2478901325,0.117985278
SNA,l2init,0.001,0.001,0,16,0.9675,0.9933333397,0.9933333397,0,0,-0.2177072465,1.016947746,-9.947935104,0.9291633368,59.91810468,0,0,-1.416214585,1.995148778,-6.605864048,0.683565557,64.18023927,1.30679369,1.110665679,2.308260679,0.5993863344,0.2157054394,2.801608562,0,1.200000048,0.3088368475,0.1691048145,0.8375931978,0,1.200000048,0.2421834347,0.3493498497,0.2421834347,0.112549054
SNA,l2init,0.001,0.001,0,17,0.9669708333,0.9975000024,0.9975000024,0,0,0.009782533161,1.10612905,-12.44981098,1.016110182,56.76895098,0,0,-2.319965839,2.586155415,-11.60338497,0.6436346769,63.22119625,1.333784103,1.190019846,2.356878996,0.5486928225,0.1761299968,2.196401596,0,1.200000048,0.2401557118,0.1136043295,0.7737621665,0,1.200000048,0.2733194356,0.3852072321,0.2733194356,0.1324938871
SNA,l2init,0.001,0.001,0,18,0.9667166667,0.9200000167,0.9200000167,0,0,-0.4931218028,1.111779213,-9.32625103,0.7515022755,64.10571691,0,0,-1.435830474,1.984052062,-6.237608433,0.6553906798,67.80608032,1.416626096,1.184989691,2.35153532,0.5612803698,0.2356021851,1.815564156,0,1.200000048,0.3093731105,0.1687069088,0.7897701859,0,1.200000048,0.298436956,0.4092848752,0.298436956,0.1464859431
SNA,l2init,0.001,0.001,0,19,0.9667270833,0.9991666675,0.9991666675,0,0,-0.1763405651,1.125489712,-12.29149055,0.9785400629,57.69161977,0,0,-1.502255917,2.424045801,-7.863626957,0.7104492784,65.21863297,1.29920578,1.158387303,2.360003471,0.546698153,0.1757300049,2.487679243,0,1.200000048,0.2542496324,0.1354503334,1.014822245,0,1.200000048,0.2631730897,0.3743404787,0.2631730897,0.1263923027
SNA,l2init,0.001,0.001,0,20,0.96719375,0.9958333373,0.9958333373,0,0,-0.4284705222,1.172708869,-10.71980286,0.8053610325,63.79622965,0,0,-1.469018459,2.311990738,-6.825733185,0.661195755,65.88518494,1.487980843,1.190001965,2.360594034,0.5281662941,0.1969771981,2.251611233,0,1.200000048,0.2652815282,0.1509199291,1.28125751,0,1.200000048,0.3064718883,0.4190571437,0.3064718883,0.1523379566
