task,arm,seed,online_acc,online_loss,train_acc,train_loss,val_acc,val_loss,samples,steps,online_global_acc,train_global_acc,val_global_acc,train_seconds,seconds,online_chunks
19,KKA,1,0.7835040092468262,0.5701542001914978,0.8848,0.32243223419189454,0.728,0.7472828674316406,62500,500,0.7831360101699829,0.8848,0.728,31.885773492977023,33.77466989599634,"[0.6754399538040161, 0.7672799825668335, 0.803119957447052, 0.8273599743843079, 0.8443199992179871]"
20,KKA,1,0.848688006401062,0.42052517753982543,0.9408,0.15641718978881836,0.796,0.7191068725585937,62500,500,0.8480799794197083,0.9408,0.796,31.882070181018207,33.77215183299268,"[0.732479989528656, 0.8405599594116211, 0.8723999857902527, 0.8883999586105347, 0.9095999598503113]"
21,KKA,1,0.7656959891319275,0.6221403104000092,0.8936,0.2892576553344727,0.724,0.8636773376464844,62500,500,0.7654240131378174,0.8936,0.724,31.886439096997492,33.786176950030494,"[0.6171199679374695, 0.7554399967193604, 0.7868799567222595, 0.8259999752044678, 0.8430399894714355]"
22,KKA,1,0.8534560203552246,0.4169424452199936,0.9348,0.19263282222747802,0.852,0.491160888671875,62500,500,0.8530880212783813,0.9348,0.852,31.88432706700405,33.78675532300258,"[0.7550399899482727, 0.8457599878311157, 0.8691999912261963, 0.8915999531745911, 0.9056800007820129]"
23,KKA,1,0.8147680163383484,0.4849759676618576,0.9156,0.2249149320602417,0.796,0.6140355224609375,62500,500,0.8143360018730164,0.9156,0.796,31.89928424701793,33.787128785974346,"[0.6959999799728394, 0.8064000010490417, 0.8340799808502197, 0.8592000007629395, 0.8781599998474121]"
24,KKA,1,0.8553280234336853,0.40940022754669186,0.94,0.17057516765594483,0.82,0.5102434234619141,62500,500,0.8549439907073975,0.94,0.82,31.88914049399318,33.78699768305523,"[0.7387199997901917, 0.8467199802398682, 0.8806399703025818, 0.8993600010871887, 0.9111999869346619]"
25,KKA,1,0.8838080167770386,0.3194319752540588,0.9704,0.08850693626403809,0.876,0.35704774475097656,62500,500,0.8834080100059509,0.9704,0.876,31.884784889000002,33.85999761999119,"[0.7712799906730652, 0.8744799494743347, 0.9071999788284302, 0.926639974117279, 0.9394399523735046]"
26,KKA,1,0.8722720146179199,0.35544350553989407,0.9608,0.12365674114227294,0.896,0.3939087371826172,62500,500,0.8719519972801208,0.9608,0.896,31.87961937201908,33.76716050802497,"[0.7617599964141846, 0.8671199679374695, 0.8930400013923645, 0.9094399809837341, 0.9299999475479126]"
27,KKA,1,0.8724799752235413,0.3517089420242309,0.9584,0.1353525718688965,0.848,0.5242756805419921,62500,500,0.8718400001525879,0.9584,0.848,31.888093237008434,33.78239042998757,"[0.7504799962043762, 0.8678399920463562, 0.8991199731826782, 0.914639949798584, 0.9303199648857117]"
28,KKA,1,0.7465119957923889,0.6773627594776154,0.8932,0.3132386268615723,0.724,0.8676336669921875,62500,500,0.7460479736328125,0.8932,0.724,31.890462765994016,33.777919249027036,"[0.6135199666023254, 0.7174400091171265, 0.7709599733352661, 0.7974399924278259, 0.8331999778747559]"
29,KKA,1,0.8087679743766785,0.5211705964288711,0.9316,0.1987304210662842,0.788,0.6718959503173828,62500,500,0.8083360195159912,0.9316,0.788,31.884251839015633,33.77013265201822,"[0.6783199906349182, 0.7901600003242493, 0.8348000049591064, 0.8581599593162537, 0.8823999762535095]"
30,KKA,1,0.8117920160293579,0.5052417370796204,0.9324,0.2002439052581787,0.8,0.7175173034667969,62500,500,0.8112959861755371,0.9324,0.8,31.903390905004926,33.79496033099713,"[0.6682400107383728, 0.7991200089454651, 0.8372799754142761, 0.8704800009727478, 0.8838399648666382]"
31,KKA,1,0.7148799896240234,0.7536511425266266,0.8436,0.42328078842163086,0.668,1.1115741577148437,62500,500,0.7144479751586914,0.8436,0.668,31.884934647008777,33.774990924983285,"[0.5635200142860413, 0.6899999976158142, 0.7387999892234802, 0.7717599868774414, 0.8103199601173401]"
32,KKA,1,0.7636319994926453,0.6206115893344879,0.9068,0.28184424133300784,0.66,0.9584337158203124,62500,500,0.7632480263710022,0.9068,0.66,31.884617252042517,33.871055711992085,"[0.6171199679374695, 0.737280011177063, 0.7870399951934814, 0.824400007724762, 0.8523199558258057]"
33,KKA,1,0.8552640080451965,0.3935124772529602,0.9472,0.1547308585166931,0.832,0.6277933349609375,62500,500,0.8548319935798645,0.9472,0.832,31.886565760010853,33.79240195301827,"[0.740559995174408, 0.8427199721336365, 0.8749600052833557, 0.8974399566650391, 0.9206399917602539]"
34,KKA,1,0.8972319960594177,0.3021573709874153,0.9688,0.10032822122573852,0.88,0.4540576629638672,62500,500,0.8968799710273743,0.9688,0.88,31.882845021027606,33.77505796996411,"[0.8017599582672119, 0.8942399621009827, 0.9141599535942078, 0.9311999678611755, 0.9447999596595764]"
35,KKA,1,0.8362879753112793,0.4447659964752197,0.9436,0.15650276277065278,0.816,0.6879164733886719,62500,500,0.8357920050621033,0.9436,0.816,31.87777401099447,33.78752472897759,"[0.7091999650001526, 0.8231199979782104, 0.8567999601364136, 0.8874399662017822, 0.9048799872398376]"
36,KKA,1,0.8612480163574219,0.39352048984813687,0.9568,0.13462488288879396,0.852,0.4628618927001953,62500,500,0.860912024974823,0.9568,0.852,31.87840987398522,33.7701282260241,"[0.7373600006103516, 0.849839985370636, 0.8819999694824219, 0.9121599793434143, 0.9248799681663513]"
37,KKA,1,0.8226879835128784,0.4608565316648483,0.9348,0.17597601993083953,0.8,0.7230033264160156,62500,500,0.822704017162323,0.9348,0.8,31.88336719397921,33.769589870993514,"[0.68367999792099, 0.8064799904823303, 0.8462399840354919, 0.8782399892807007, 0.8987999558448792]"
38,KKA,1,0.8517919778823853,0.4110934248085022,0.9436,0.1703013451576233,0.824,0.48495327758789064,62500,500,0.8513439893722534,0.9436,0.824,31.873160841001663,33.76306587597355,"[0.731440007686615, 0.8399199843406677, 0.87527996301651, 0.8973599672317505, 0.9149599671363831]"
39,KKA,1,0.9027360081672668,0.28021269818401334,0.9788,0.06230191860198975,0.892,0.3488451843261719,62500,500,0.9023039937019348,0.9788,0.892,31.87496808799915,33.86199393501738,"[0.8083999752998352, 0.897599995136261, 0.9237599968910217, 0.9407999515533447, 0.943120002746582]"
40,KKA,1,0.886784017086029,0.3169376970937252,0.9592,0.10792965087890626,0.856,0.42541635131835936,62500,500,0.886352002620697,0.9592,0.856,31.881479970004875,33.78058661700925,"[0.7817599773406982, 0.8780799508094788, 0.9105599522590637, 0.9222399592399597, 0.941279947757721]"
