t,branch,seed,cond,status,hit99,hit999,stop_step,bundle_steps,correct_at_stop,stop_observed,min_correct_after_hit,memo_acc,online_acc,tc,parent_ckpt,parent_sha256,reused,stop_snap,end_snap
10,C,5,std,alive,1700,1800,2300,3200,1200,1,1200,1,0.829296875,303200,results/altlabels_cifar_0923/LR_abab/ckpts/t10.pt,fd7c8fa39e2f723877b15336a8a1239ce0decad2facc61c7fea02bcb4f4d8d99,0,snap/fork_t10_C_seed5_stop.npz,snap/fork_t10_C_seed5_end.npz
10,C,6,std,alive,1700,1800,2300,3200,1200,1,1199,1,0.8199609375,303200,results/altlabels_cifar_0923/LR_abab/ckpts/t10.pt,fd7c8fa39e2f723877b15336a8a1239ce0decad2facc61c7fea02bcb4f4d8d99,0,snap/fork_t10_C_seed6_stop.npz,snap/fork_t10_C_seed6_end.npz
10,C,7,std,alive,1700,2100,2600,3200,1200,1,1200,1,0.8266992187,303200,results/altlabels_cifar_0923/LR_abab/ckpts/t10.pt,fd7c8fa39e2f723877b15336a8a1239ce0decad2facc61c7fea02bcb4f4d8d99,0,snap/fork_t10_C_seed7_stop.npz,snap/fork_t10_C_seed7_end.npz
10,C,8,std,alive,1700,2000,2500,3200,1200,1,1200,1,0.8229101562,303200,results/altlabels_cifar_0923/LR_abab/ckpts/t10.pt,fd7c8fa39e2f723877b15336a8a1239ce0decad2facc61c7fea02bcb4f4d8d99,0,snap/fork_t10_C_seed8_stop.npz,snap/fork_t10_C_seed8_end.npz
10,C,9,std,alive,1800,2700,3200,3200,1200,1,1200,1,0.811875,303200,results/altlabels_cifar_0923/LR_abab/ckpts/t10.pt,fd7c8fa39e2f723877b15336a8a1239ce0decad2facc61c7fea02bcb4f4d8d99,0,snap/fork_t10_C_seed9_stop.npz,snap/fork_t10_C_seed9_end.npz
20,A,0,std,alive,300,400,900,900,1200,1,1200,1,0.9229861111,600900,results/altlabels_cifar_0923/LR_abab/ckpts/t20.pt,a28ca4bbb11363524d3019ce3015c48dad3ae0c60db71777e4d3f98031bf1fef,0,snap/fork_t20_A_seed0_stop.npz,snap/fork_t20_A_seed0_end.npz
20,A,1,std,alive,300,400,900,900,1200,1,1200,1,0.9220138889,600900,results/altlabels_cifar_0923/LR_abab/ckpts/t20.pt,a28ca4bbb11363524d3019ce3015c48dad3ae0c60db71777e4d3f98031bf1fef,0,snap/fork_t20_A_seed1_stop.npz,snap/fork_t20_A_seed1_end.npz
20,A,2,std,alive,300,400,900,900,1200,1,1200,1,0.9218055556,600900,results/altlabels_cifar_0923/LR_abab/ckpts/t20.pt,a28ca4bbb11363524d3019ce3015c48dad3ae0c60db71777e4d3f98031bf1fef,0,snap/fork_t20_A_seed2_stop.npz,snap/fork_t20_A_seed2_end.npz
20,A,3,std,alive,300,400,900,900,1200,1,1200,1,0.9181944444,600900,results/altlabels_cifar_0923/LR_abab/ckpts/t20.pt,a28ca4bbb11363524d3019ce3015c48dad3ae0c60db71777e4d3f98031bf1fef,0,snap/fork_t20_A_seed3_stop.npz,snap/fork_t20_A_seed3_end.npz
20,A,4,std,alive,300,400,900,900,1200,1,1200,1,0.9235416667,600900,results/altlabels_cifar_0923/LR_abab/ckpts/t20.pt,a28ca4bbb11363524d3019ce3015c48dad3ae0c60db71777e4d3f98031bf1fef,0,snap/fork_t20_A_seed4_stop.npz,snap/fork_t20_A_seed4_end.npz
20,A,5,std,alive,300,400,900,900,1200,1,1200,1,0.9234722222,600900,results/altlabels_cifar_0923/LR_abab/ckpts/t20.pt,a28ca4bbb11363524d3019ce3015c48dad3ae0c60db71777e4d3f98031bf1fef,0,snap/fork_t20_A_seed5_stop.npz,snap/fork_t20_A_seed5_end.npz
