arm,seed,clamp,b_Z,b_S,b_B,b_B_between,p_late,acc_med,ce_frac,sigma_late,between_late,star_sd_late,w2col_late,pressure,z_held,z20,eps_max_late
SNA,0,dclamp,-0.0008340943074281725,0.00650733855369007,0.003730866242350272,0.005444125613175419,0.31770361328124996,0.9197500050067902,1.0,1.4232867554179676,1.1466207397154096,1.0645106374020459,1.3131350915059805,0.049434154904754994,-0.6625172334793953,-0.7065748288367417,0.8199262266637859
SNA,1,ref,-0.011159908202583006,0.008796055608379264,0.02020142344243153,0.022529523466728908,0.29017724609375,0.9165500104427338,1.0,1.6071156627340506,2.7718960250903404,2.6557445311334256,1.2810916621345356,0.0,-1.4631563203420068,-0.8282569721253791,0.8678019308905857
SNA,1,wclamp,-0.0015978379200662317,0.0008074929065492573,0.006482639685702678,0.006006509313383479,0.28029443359375,0.9244499802589417,1.0,1.0109027052159199,1.9888816840695636,1.925036211141031,1.3592614970338501,1.4528959173515286,-0.9341312923690113,-0.8282569721253791,0.5194896132922876
SNA,1,mclamp,-0.006765280394473299,0.005843984184970138,0.0013837229892704425,0.0016153105549541271,0.26954296875,0.9190000295639038,1.0,1.415670138080493,0.9907578618752477,0.9232828563190244,1.2973939616192758,9.86463932735641,-1.2987190967140827,-0.8282569721253791,0.8619959410734908
SNA,1,dclamp,-0.0001466421845169798,0.005153201687254433,-0.0049568505762648965,-0.004423383103941948,0.32973193359374997,0.9169500172138214,1.0,1.512432959458869,2.152117861089862,2.0690103926999655,1.3084378954020057,0.035132879751866776,-0.8472073609664484,-0.8282569721253791,0.8095372868413012
SNA,2,ref,-0.0010258383633650484,0.008115442557897333,0.018107620297895848,0.018117009905196293,0.2700029296875,0.9177500009536743,1.0,1.6578091520142977,2.793186137947891,2.707944939363505,1.2930910873840074,0.0,-1.339676273251002,-0.7805752403772537,1.0006058896348282
SNA,2,wclamp,-0.0023304244298015145,0.002872833923390614,0.01608101636741479,0.016414489775323577,0.27304833984375,0.9243499934673309,1.0,1.143081814693211,2.431148913975084,2.371931372998626,1.3489273439515705,1.4439945883804206,-1.018152902233691,-0.7805752403772537,0.5532924302840925
SNA,2,mclamp,-0.004539954300216393,0.006224283221286679,0.0019043355060068443,0.0013290504533986182,0.25873681640625,0.9175499975681305,1.0,1.4502432994636028,1.0987175238501519,1.0330622753189096,1.2891369125998995,9.948334326983272,-1.3886090245794378,-0.7805752403772537,0.8623395364282835
SNA,2,dclamp,-0.001652580694238888,0.006518467876058308,0.0035876398143818784,0.004120164126367561,0.3228427734375,0.9172000288963318,1.0,1.6216010673533703,2.692275138131339,2.640642201698153,1.2925959151765145,0.08924723475042841,-0.8777526625863297,-0.7805752403772537,0.8879933023706975
ELU1,0,ref,-0.032056682897059666,0.020194219972128252,0.04448485891422566,0.04394203079378007,0.19379199218749998,0.910999983549118,1.0,4.131643579537991,9.42716777163035,9.269580610024725,2.3468140525952896,0.0,-6.403935915138597,-2.0218119985300658,1.4394869844718259
ELU1,0,wclamp,-0.05089850786656862,0.026358265200692527,0.06616182642338049,0.06597481287911597,0.177400390625,0.921750009059906,1.0,4.016529794600305,9.991315039949251,9.852459635067538,2.3642444805506613,1.6861633331312316,-6.846955253654102,-2.0218119985300658,0.6011367319963481
ELU1,0,mclamp,-0.020993757142263696,0.012418312618491122,-0.00028173390494930044,-0.0009781866235883392,0.1505,0.9094499945640564,1.0,2.5660366624831417,3.1444388518587694,3.019926708942439,2.372237556803448,6.097770818374621,-4.636916434459865,-2.0218119985300658,1.1042409402544915
ELU1,0,dclamp,-0.0028738336617336454,0.013380940189420428,0.03173671646510737,0.032509203435893246,0.41596337890625,0.9067499935626984,1.0,3.3895205748144135,8.52806018140734,8.3534447328238,2.322845914161874,0.15392731512686736,-2.326249636902942,-2.0218119985300658,1.2383554686202707
ELU1,1,ref,-0.03844220444201685,0.022165158093214923,0.06035235609128872,0.06057281509522449,0.194248046875,0.912200003862381,1.0,3.2842806392155253,8.009807127082215,7.839490185555159,2.335013904608212,0.0,-5.865242277082508,-2.0429982554145703,0.9059616874502507
ELU1,1,wclamp,-0.036813539237590745,0.019885855554282548,0.06541864867545646,0.0660564992503001,0.161408203125,0.9227499961853027,1.0,2.807288327306191,7.770588721221375,7.589349812382326,2.3445653058369182,1.7751056309238813,-5.465809510090706,-2.0429982554145703,0.7043551621215265
ELU1,1,mclamp,-0.008826533484865394,0.010558844958346386,-0.0026053555734050922,-0.0021528818447278664,0.151564453125,0.9123499989509583,1.0,2.3245215912727324,2.6246384481997125,2.5419412602761997,2.3198790374587928,6.9237187827529905,-4.1221576376238875,-2.0429982554145703,1.3325455091572713
ELU1,1,dclamp,-0.0033085744498297506,0.013133154567296336,0.03318367715819768,0.034368179213879586,0.36686474609374997,0.9099500179290771,1.0,2.688578440792182,6.69006985855512,6.532485824680146,2.3251265658723357,0.12310556790507893,-2.221055702949248,-2.0429982554145703,0.855412133255102
ELU1,2,ref,-0.03340312134972554,0.023443949471820682,0.061467149018091014,0.06291395520766525,0.18755859375,0.909850001335144,1.0,3.8844517366718376,9.344905165415788,9.111815211712678,2.3135921271100583,0.0,-6.415143097577447,-2.053661362199015,1.083031466654988
ELU1,2,wclamp,-0.03590923128529684,0.020104513543066537,0.05850193378868575,0.06004979192651193,0.17517529296875,0.9227999746799469,1.0,3.464478850460361,9.241586209444826,9.01265271242283,2.370945869582484,1.736330639685431,-5.924620971505212,-2.053661362199015,0.5960597077559535
ELU1,2,mclamp,-0.013716711573626802,0.01057440692634022,-0.0006940182728022161,0.00162969076582276,0.14272705078125,0.9097999930381775,1.0,2.4620690736617425,2.969377066510181,2.8385457388497373,2.319305933792095,7.22638069203568,-4.5096828770853055,-2.053661362199015,1.231679518700932
ELU1,2,dclamp,-0.003466077517245873,0.006817540407081933,0.005003676672699453,0.005072542769571658,0.39148193359374994,0.9088999927043915,1.0,3.0092208694171467,7.503001555074789,7.300042264381372,2.331395415072575,0.13253533591294267,-2.326138779225423,-2.053661362199015,1.113417769230592
