zbar_cur,sigma_cur,between_cur,pos_frac,zbar_inv,sigma_inv,between_inv,pos_frac_inv,var_off,var_wid,var_cross,rowmean,rowmean_sd,cnorm,bias,bias_sd,star,star_sd,eps_max,w2col,gate_mean,ce_probe,task,step,clamp,pressure,acc,arm,iv,seed
-1.3113083636745635,1.0392515192843088,2.3225701127241143,0.23080078125,-1.1132248097454043,0.8980054864237023,1.9810833114590194,0.25503417968750003,0.32243146522681626,0.49511224563551204,-0.011129857215258008,-0.010119710432625082,0.013386322537386246,2.7540233365686984,-0.024721585124498232,0.11834473244919368,-1.0613625784134226,1.3575034059961089,0.4037484802313208,1.1934154890941624,0.4380207710829569,1.2492365837097168,11,20,ref,0.0,,ELU1,none,2
-1.2612470508547167,1.4170910351969486,2.8205204312954364,0.27787109375,-1.089895367679576,0.9192919904077737,2.1471938814843754,0.27146484374999996,0.33113083282224937,0.5184248818331507,-0.004457951027514014,-0.009829554745812551,0.01387731227321761,2.820533831188157,-0.023492889893241227,0.12119132517084734,-1.0304109695288206,1.405029155839746,0.3736827965397226,1.213695964496055,0.4526308640925575,0.3283356726169586,11,300,ref,0.0,,ELU1,none,2
-1.2525009154227564,1.5460946463544645,2.7739961708479086,0.28484375,-1.1023502298820909,0.9300416230677881,2.1824839375576386,0.27526611328125,0.3374948611200853,0.5307774986042609,-0.003294939085780474,-0.009926616197557003,0.014007868812489752,2.8564850950370873,-0.023153563023079186,0.12187709831199932,-1.0400144053904903,1.4150557889153461,0.36462245381259056,1.2310632044765693,0.45707526200263743,0.2546095848083496,11,625,ref,0.0,0.9261999726295471,ELU1,none,2
-1.2317948353202015,1.0352730000700476,2.9774676593358134,0.26619140625,-1.1825773810575482,0.9511313834642955,2.3352324788922347,0.26368408203125,0.3722700924862328,0.5360485039475029,-0.0036676878230311977,-0.010711427467704373,0.014505002066856653,2.868003908695056,-0.024335705944686196,0.1223490643611864,-1.1215908975423914,1.4708862194099028,0.38392318847865203,1.227344671478365,0.45646566895844315,1.3099557161331177,12,20,ref,0.0,,ELU1,none,2
-1.1411576389469338,1.3807845774967604,3.2545318577997415,0.315859375,-1.1656157168430392,0.9599913324918411,2.3804176237722166,0.26711425781250003,0.3723000519640237,0.5582435990943808,-0.008960292598943933,-0.010554137619112204,0.014620742395654602,2.9350149630977542,-0.023860562692862006,0.12441945944579606,-1.1050033263743315,1.4829303646182148,0.3935023493748466,1.244983485486473,0.48504530002212726,0.35363757610321045,12,300,ref,0.0,,ELU1,none,2
-1.2588954172396378,1.515811044698582,3.418517592788728,0.3044921875,-1.2282893536782433,0.9810924406413272,2.522359707994662,0.2627978515625,0.3996760182595203,0.5717731851612361,-0.008906826337200073,-0.011130906844647731,0.015005605842263663,2.9687887601061878,-0.025235446663864423,0.1258582715032799,-1.1654611877524788,1.5253542100582067,0.41446368740433215,1.2593336534821966,0.4683384759555449,0.2880718410015106,12,625,ref,0.0,0.9243000149726868,ELU1,none,2
-1.3180007428807148,1.0841460298532697,3.50204665632605,0.268828125,-1.2923860046155347,1.0050021528175042,2.7828013986967597,0.25735107421875003,0.440658117231441,0.5756441198040895,-0.006272909867712879,-0.011729776314615777,0.01572482759463232,2.978148914270122,-0.026539161084219814,0.1267317738470384,-1.2281117802610289,1.6023754335782914,0.41243148204598246,1.2583257584281236,0.4403364821554577,1.213749885559082,13,20,ref,0.0,,ELU1,none,2
-1.2648488538689562,1.4269802479253733,3.7535734615881853,0.3037890625,-1.2837235499211732,1.0186907127919118,2.799940271097397,0.25954589843750003,0.4410769635386736,0.6009443120036088,-0.004290507213789027,-0.011691306883317256,0.01576505650776647,3.041261227254348,-0.026804801850248625,0.12809590820192307,-1.2244366966616655,1.6073528298919886,0.4218460990098767,1.2743580725331773,0.4643937018065904,0.3435078561306,13,300,ref,0.0,,ELU1,none,2
-1.235737648688274,1.5381449214333267,3.637115227689998,0.30734375,-1.2856522982274552,1.0252860679077298,2.8136257548766643,0.26297851562499996,0.4430935456171847,0.6134230743452125,-0.005305098916703141,-0.01171046179426021,0.015806643269476315,3.0733316422848582,-0.026244864070758923,0.12852975032849528,-1.2258389460453825,1.6120468596798592,0.44113250898429035,1.2893541441508602,0.46854885357364395,0.22193653881549835,13,625,ref,0.0,0.9311000108718872,ELU1,none,2
-1.4997160320287475,1.088839571914579,3.2347255981347893,0.2284765625,-1.3869300586610345,1.0459669192545231,2.9914540034777475,0.24690185546875,0.4875852429108398,0.6158204603339421,-0.009358907069983881,-0.012716596104446452,0.0162521017678877,3.0839304507740053,-0.02844708548625931,0.13089312064421987,-1.3311073646250815,1.6627734764694344,0.4717085466844684,1.2875586061809126,0.4096534271249338,1.0814485549926758,14,20,ref,0.0,,ELU1,none,2
