seed,boundary_step,step_post,pair_index,n_old,n_new,overlap,flipped_bit,n_flipped_bits,flip_direction,q_other_ones,c_formula,c_direct,n_risk_005,n_death_005,r005,n_risk_strict,n_death_strict,r_strict
1,20000,20001,320,5,4,4,9,1,-1,4,0.9165151389911681,0.9165151389911681,75,6,0.08,79,6,0.0759493670886076
1,30000,30001,530,4,3,3,14,1,-1,3,0.8997354108424374,0.8997354108424374,71,6,0.08450704225352113,78,5,0.0641025641025641
1,40000,40001,740,3,4,3,14,1,1,3,0.8997354108424374,0.8997354108424374,69,8,0.11594202898550725,73,6,0.0821917808219178
1,50000,50001,950,4,5,4,7,1,1,4,0.9165151389911681,0.9165151389911681,72,7,0.09722222222222222,75,5,0.06666666666666667
1,60000,60001,1160,5,4,4,7,1,-1,4,0.9165151389911681,0.9165151389911681,67,4,0.05970149253731343,75,5,0.06666666666666667
1,70000,70001,1370,4,5,4,13,1,1,4,0.9165151389911681,0.9165151389911681,69,9,0.13043478260869565,75,8,0.10666666666666667
1,80000,80001,1580,5,6,5,10,1,1,5,0.9284766908852593,0.9284766908852593,59,3,0.05084745762711865,66,4,0.06060606060606061
1,90000,90001,1790,6,5,5,13,1,-1,5,0.9284766908852593,0.9284766908852593,60,5,0.08333333333333333,67,4,0.05970149253731343
1,100000,100001,2000,5,4,4,10,1,-1,4,0.9165151389911681,0.9165151389911681,61,10,0.16393442622950818,65,6,0.09230769230769231
1,110000,110001,2210,4,5,4,13,1,1,4,0.9165151389911681,0.9165151389911681,52,7,0.1346153846153846,57,4,0.07017543859649122
1,120000,120001,2420,5,6,5,11,1,1,5,0.9284766908852593,0.9284766908852593,49,3,0.061224489795918366,58,9,0.15517241379310345
1,130000,130001,2630,6,7,6,2,1,1,6,0.9374368665610922,0.9374368665610922,49,4,0.08163265306122448,51,5,0.09803921568627451
1,140000,140001,2840,7,8,7,9,1,1,7,0.9444002816030351,0.9444002816030351,40,4,0.1,44,3,0.06818181818181818
1,150000,150001,3050,8,9,8,10,1,1,8,0.9499679070317291,0.9499679070317292,30,2,0.06666666666666667,32,1,0.03125
1,160000,160001,3260,9,10,9,12,1,1,9,0.9545214042184236,0.9545214042184236,22,0,0.0,23,0,0.0
1,170000,170001,3470,10,9,9,10,1,-1,9,0.9545214042184236,0.9545214042184236,22,4,0.18181818181818182,28,1,0.03571428571428571
1,180000,180001,3680,9,8,8,13,1,-1,8,0.9499679070317291,0.9499679070317292,23,3,0.13043478260869565,23,2,0.08695652173913043
1,190000,190001,3890,8,7,7,5,1,-1,7,0.9444002816030351,0.9444002816030351,21,1,0.047619047619047616,24,1,0.041666666666666664
1,200000,200001,4100,7,6,6,9,1,-1,6,0.9374368665610922,0.9374368665610922,22,2,0.09090909090909091,25,2,0.08
1,210000,210001,4310,6,7,6,6,1,1,6,0.9374368665610922,0.9374368665610922,19,2,0.10526315789473684,20,0,0.0
1,220000,220001,4520,7,6,6,12,1,-1,6,0.9374368665610922,0.9374368665610922,17,2,0.11764705882352941,23,0,0.0
1,230000,230001,4730,6,5,5,6,1,-1,5,0.9284766908852593,0.9284766908852593,11,1,0.09090909090909091,15,0,0.0
1,240000,240001,4940,5,6,5,9,1,1,5,0.9284766908852593,0.9284766908852593,9,1,0.1111111111111111,12,0,0.0
1,250000,250001,5150,6,7,6,0,1,1,6,0.9374368665610922,0.9374368665610922,6,0,0.0,8,0,0.0
1,260000,260001,5360,7,6,6,0,1,-1,6,0.9374368665610922,0.9374368665610922,6,0,0.0,9,0,0.0
1,270000,270001,5570,6,7,6,7,1,1,6,0.9374368665610922,0.9374368665610922,4,0,0.0,5,0,0.0
1,280000,280001,5780,7,6,6,4,1,-1,6,0.9374368665610922,0.9374368665610922,4,0,0.0,4,0,0.0
1,290000,290001,5990,6,5,5,7,1,-1,5,0.9284766908852593,0.9284766908852593,7,1,0.14285714285714285,12,0,0.0
1,300000,300001,6200,5,6,5,0,1,1,5,0.9284766908852593,0.9284766908852593,6,0,0.0,8,0,0.0
1,310000,310001,6410,6,7,6,7,1,1,6,0.9374368665610922,0.9374368665610922,6,0,0.0,8,0,0.0
1,320000,320001,6620,7,6,6,0,1,-1,6,0.9374368665610922,0.9374368665610922,5,0,0.0,8,0,0.0
1,330000,330001,6830,6,5,5,2,1,-1,5,0.9284766908852593,0.9284766908852593,1,0,0.0,5,0,0.0
1,340000,340001,7040,5,6,5,12,1,1,5,0.9284766908852593,0.9284766908852593,9,1,0.1111111111111111,23,2,0.08695652173913043
1,350000,350001,7250,6,7,6,1,1,1,6,0.9374368665610922,0.9374368665610922,8,1,0.125,15,0,0.0
1,360000,360001,7460,7,8,7,10,1,1,7,0.9444002816030351,0.9444002816030351,5,0,0.0,8,0,0.0
1,370000,370001,7670,8,7,7,11,1,-1,7,0.9444002816030351,0.9444002816030351,2,0,0.0,10,0,0.0
1,380000,380001,7880,7,8,7,8,1,1,7,0.9444002816030351,0.9444002816030351,6,0,0.0,20,2,0.1
1,390000,390001,8090,8,7,7,3,1,-1,7,0.9444002816030351,0.9444002816030351,8,0,0.0,19,0,0.0
1,400000,400001,8300,7,8,7,3,1,1,7,0.9444002816030351,0.9444002816030351,15,10,0.6666666666666666,27,13,0.48148148148148145
1,410000,410001,8510,8,9,8,13,1,1,8,0.9499679070317291,0.9499679070317292,6,0,0.0,7,0,0.0
1,420000,420001,8720,9,10,9,2,1,1,9,0.9545214042184236,0.9545214042184236,7,2,0.2857142857142857,8,0,0.0
1,430000,430001,8930,10,11,10,0,1,1,10,0.9583148474999099,0.9583148474999099,4,1,0.25,6,1,0.16666666666666666
1,440000,440001,9140,11,10,10,8,1,-1,10,0.9583148474999099,0.9583148474999099,3,0,0.0,4,0,0.0
1,450000,450001,9350,10,11,10,8,1,1,10,0.9583148474999099,0.9583148474999099,2,0,0.0,3,0,0.0
1,460000,460001,9560,11,12,11,4,1,1,11,0.9615239476408232,0.9615239476408232,2,0,0.0,2,0,0.0
1,470000,470001,9770,12,11,11,8,1,-1,11,0.9615239476408232,0.9615239476408232,2,0,0.0,2,0,0.0
1,480000,480001,9980,11,10,10,12,1,-1,10,0.9583148474999099,0.9583148474999099,2,0,0.0,2,0,0.0
1,490000,490001,10190,10,11,10,11,1,1,10,0.9583148474999099,0.9583148474999099,3,0,0.0,4,0,0.0
1,500000,500001,10400,11,10,10,3,1,-1,10,0.9583148474999099,0.9583148474999099,2,0,0.0,3,0,0.0
1,510000,510001,10610,10,9,9,0,1,-1,9,0.9545214042184236,0.9545214042184236,3,0,0.0,4,0,0.0
1,520000,520001,10820,9,10,9,5,1,1,9,0.9545214042184236,0.9545214042184236,6,0,0.0,6,0,0.0
1,530000,530001,11030,10,11,10,0,1,1,10,0.9583148474999099,0.9583148474999099,3,1,0.3333333333333333,3,1,0.3333333333333333
1,540000,540001,11240,11,12,11,12,1,1,11,0.9615239476408232,0.9615239476408232,3,0,0.0,3,0,0.0
1,550000,550001,11450,12,11,11,5,1,-1,11,0.9615239476408232,0.9615239476408232,2,0,0.0,3,0,0.0
1,560000,560001,11660,11,10,10,13,1,-1,10,0.9583148474999099,0.9583148474999099,2,0,0.0,3,0,0.0
1,570000,570001,11870,10,11,10,13,1,1,10,0.9583148474999099,0.9583148474999099,2,0,0.0,2,0,0.0
1,580000,580001,12080,11,10,10,10,1,-1,10,0.9583148474999099,0.9583148474999099,2,0,0.0,2,0,0.0
1,590000,590001,12290,10,11,10,8,1,1,10,0.9583148474999099,0.9583148474999099,2,0,0.0,2,0,0.0
1,600000,600001,12500,11,10,10,8,1,-1,10,0.9583148474999099,0.9583148474999099,2,0,0.0,2,0,0.0
1,610000,610001,12710,10,9,9,11,1,-1,9,0.9545214042184236,0.9545214042184236,2,0,0.0,2,0,0.0
1,620000,620001,12920,9,10,9,8,1,1,9,0.9545214042184236,0.9545214042184236,4,0,0.0,6,1,0.16666666666666666
1,630000,630001,13130,10,9,9,7,1,-1,9,0.9545214042184236,0.9545214042184236,4,0,0.0,5,0,0.0
1,640000,640001,13340,9,10,9,7,1,1,9,0.9545214042184236,0.9545214042184236,5,0,0.0,7,0,0.0
1,650000,650001,13550,10,11,10,10,1,1,10,0.9583148474999099,0.9583148474999099,2,0,0.0,5,0,0.0
1,660000,660001,13760,11,10,10,9,1,-1,10,0.9583148474999099,0.9583148474999099,4,0,0.0,5,0,0.0
1,670000,670001,13970,10,11,10,3,1,1,10,0.9583148474999099,0.9583148474999099,4,1,0.25,9,2,0.2222222222222222
1,680000,680001,14180,11,10,10,1,1,-1,10,0.9583148474999099,0.9583148474999099,3,0,0.0,3,0,0.0
1,690000,690001,14390,10,9,9,2,1,-1,9,0.9545214042184236,0.9545214042184236,3,0,0.0,3,0,0.0
1,700000,700001,14600,9,8,8,8,1,-1,8,0.9499679070317291,0.9499679070317292,2,0,0.0,7,0,0.0
1,710000,710001,14810,8,7,7,4,1,-1,7,0.9444002816030351,0.9444002816030351,5,0,0.0,5,0,0.0
1,720000,720001,15020,7,8,7,6,1,1,7,0.9444002816030351,0.9444002816030351,6,1,0.16666666666666666,16,1,0.0625
1,730000,730001,15230,8,7,7,14,1,-1,7,0.9444002816030351,0.9444002816030351,2,0,0.0,6,0,0.0
1,740000,740001,15440,7,8,7,4,1,1,7,0.9444002816030351,0.9444002816030351,10,1,0.1,20,5,0.25
1,750000,750001,15650,8,9,8,8,1,1,8,0.9499679070317291,0.9499679070317292,5,0,0.0,7,0,0.0
1,760000,760001,15860,9,10,9,11,1,1,9,0.9545214042184236,0.9545214042184236,4,1,0.25,4,0,0.0
1,770000,770001,16070,10,9,9,10,1,-1,9,0.9545214042184236,0.9545214042184236,3,0,0.0,4,0,0.0
1,780000,780001,16280,9,8,8,11,1,-1,8,0.9499679070317291,0.9499679070317292,3,0,0.0,5,0,0.0
1,790000,790001,16490,8,9,8,11,1,1,8,0.9499679070317291,0.9499679070317292,5,3,0.6,7,1,0.14285714285714285
1,800000,800001,16700,9,10,9,2,1,1,9,0.9545214042184236,0.9545214042184236,2,1,0.5,5,2,0.4
1,810000,810001,16910,10,9,9,2,1,-1,9,0.9545214042184236,0.9545214042184236,2,0,0.0,3,0,0.0
1,820000,820001,17120,9,8,8,13,1,-1,8,0.9499679070317291,0.9499679070317292,2,0,0.0,4,0,0.0
1,830000,830001,17330,8,9,8,14,1,1,8,0.9499679070317291,0.9499679070317292,2,0,0.0,5,2,0.4
1,840000,840001,17540,9,8,8,3,1,-1,8,0.9499679070317291,0.9499679070317292,2,0,0.0,2,0,0.0
1,850000,850001,17750,8,7,7,7,1,-1,7,0.9444002816030351,0.9444002816030351,4,0,0.0,5,0,0.0
1,860000,860001,17960,7,8,7,10,1,1,7,0.9444002816030351,0.9444002816030351,7,1,0.14285714285714285,10,1,0.1
1,870000,870001,18170,8,7,7,14,1,-1,7,0.9444002816030351,0.9444002816030351,7,0,0.0,7,0,0.0
1,880000,880001,18380,7,8,7,5,1,1,7,0.9444002816030351,0.9444002816030351,11,0,0.0,17,2,0.11764705882352941
1,890000,890001,18590,8,7,7,11,1,-1,7,0.9444002816030351,0.9444002816030351,11,0,0.0,12,0,0.0
1,900000,900001,18800,7,6,6,10,1,-1,6,0.9374368665610922,0.9374368665610922,11,0,0.0,12,0,0.0
1,910000,910001,19010,6,7,6,1,1,1,6,0.9374368665610922,0.9374368665610922,16,3,0.1875,23,4,0.17391304347826086
1,920000,920001,19220,7,6,6,1,1,-1,6,0.9374368665610922,0.9374368665610922,15,1,0.06666666666666667,18,1,0.05555555555555555
1,930000,930001,19430,6,7,6,13,1,1,6,0.9374368665610922,0.9374368665610922,17,7,0.4117647058823529,21,1,0.047619047619047616
1,940000,940001,19640,7,8,7,1,1,1,7,0.9444002816030351,0.9444002816030351,11,2,0.18181818181818182,17,2,0.11764705882352941
1,950000,950001,19850,8,7,7,13,1,-1,7,0.9444002816030351,0.9444002816030351,11,0,0.0,13,0,0.0
1,960000,960001,20060,7,8,7,11,1,1,7,0.9444002816030351,0.9444002816030351,15,3,0.2,16,0,0.0
1,970000,970001,20270,8,7,7,6,1,-1,7,0.9444002816030351,0.9444002816030351,8,1,0.125,11,0,0.0
1,980000,980001,20480,7,8,7,7,1,1,7,0.9444002816030351,0.9444002816030351,9,1,0.1111111111111111,12,1,0.08333333333333333
1,990000,990001,20690,8,7,7,0,1,-1,7,0.9444002816030351,0.9444002816030351,5,0,0.0,8,0,0.0
2,10000,10001,110,6,5,5,2,1,-1,5,0.9284766908852593,0.9284766908852593,80,4,0.05,80,1,0.0125
2,20000,20001,320,5,6,5,5,1,1,5,0.9284766908852593,0.9284766908852593,74,1,0.013513513513513514,76,0,0.0
2,30000,30001,530,6,7,6,13,1,1,6,0.9374368665610922,0.9374368665610922,78,8,0.10256410256410256,78,7,0.08974358974358974
2,40000,40001,740,7,8,7,1,1,1,7,0.9444002816030351,0.9444002816030351,64,10,0.15625,65,5,0.07692307692307693
2,50000,50001,950,8,9,8,12,1,1,8,0.9499679070317291,0.9499679070317292,56,1,0.017857142857142856,57,1,0.017543859649122806
2,60000,60001,1160,9,10,9,10,1,1,9,0.9545214042184236,0.9545214042184236,52,5,0.09615384615384616,56,3,0.05357142857142857
2,70000,70001,1370,10,11,10,11,1,1,10,0.9583148474999099,0.9583148474999099,48,3,0.0625,52,5,0.09615384615384616
2,80000,80001,1580,11,10,10,11,1,-1,10,0.9583148474999099,0.9583148474999099,45,5,0.1111111111111111,45,3,0.06666666666666667
2,90000,90001,1790,10,11,10,14,1,1,10,0.9583148474999099,0.9583148474999099,40,6,0.15,46,4,0.08695652173913043
2,100000,100001,2000,11,10,10,14,1,-1,10,0.9583148474999099,0.9583148474999099,30,3,0.1,31,1,0.03225806451612903
2,110000,110001,2210,10,9,9,3,1,-1,9,0.9545214042184236,0.9545214042184236,31,1,0.03225806451612903,32,1,0.03125
2,120000,120001,2420,9,10,9,3,1,1,9,0.9545214042184236,0.9545214042184236,31,3,0.0967741935483871,32,0,0.0
2,130000,130001,2630,10,9,9,10,1,-1,9,0.9545214042184236,0.9545214042184236,22,1,0.045454545454545456,25,3,0.12
2,140000,140001,2840,9,8,8,3,1,-1,8,0.9499679070317291,0.9499679070317292,21,0,0.0,24,0,0.0
2,150000,150001,3050,8,7,7,5,1,-1,7,0.9444002816030351,0.9444002816030351,25,3,0.12,28,1,0.03571428571428571
2,160000,160001,3260,7,6,6,6,1,-1,6,0.9374368665610922,0.9374368665610922,34,3,0.08823529411764706,37,1,0.02702702702702703
2,170000,170001,3470,6,7,6,5,1,1,6,0.9374368665610922,0.9374368665610922,40,5,0.125,51,10,0.19607843137254902
2,180000,180001,3680,7,6,6,9,1,-1,6,0.9374368665610922,0.9374368665610922,33,0,0.0,38,0,0.0
2,190000,190001,3890,6,7,6,2,1,1,6,0.9374368665610922,0.9374368665610922,43,3,0.06976744186046512,48,4,0.08333333333333333
2,200000,200001,4100,7,6,6,4,1,-1,6,0.9374368665610922,0.9374368665610922,34,2,0.058823529411764705,41,2,0.04878048780487805
