hidden,seed,tasks,late_train_acc,late_task_start_acc,late_B,late_supply,late_negc,late_loglog,late_halves,P1,P2,late_dV,late_rho,late_c,V_t50,V_t50_per_h,w1_sq_t50,read_share,read_f1,unread_f1,read_f10,unread_f10,f0_s20_39,f1_s20_39,f2_s20_39,f3_s20_39,f4_s20_39,f5_s20_39,f6_s20_39,f7_s20_39,f8_s20_39,f9_s20_39,f10_s20_39,f0_s20_29,f1_s20_29,f2_s20_29,f3_s20_29,f4_s20_29,f5_s20_29,f6_s20_29,f7_s20_29,f8_s20_29,f9_s20_29,f10_s20_29,f11_s20_29,f12_s20_29,f13_s20_29,f14_s20_29,f15_s20_29,f16_s20_29,f17_s20_29,f18_s20_29,f19_s20_29,f20_s20_29
32,200,50,0.8683333333333334,0.09916666666666667,0.9059281779075704,2.8913220931796055,1.0,1.450676075503431,1.1795686427566712,True,False,78.3407596820185,0.5346504644462851,-0.2351667297707167,3265.1380303284627,102.03556344776446,341696.63828771457,0.5933138295727814,0.6331398856889686,0.8450672722671986,0.5559648522488161,0.5129803647909297,1.0,0.7183873295713524,0.6532262478033899,0.6326750571418315,0.6087932161410599,0.5860027674350219,0.5657472811095777,0.5688556209964262,0.5527462878739169,0.5538824834262875,0.5377134151749455,1.0,0.698550281483098,0.6405446544418311,0.626472629136463,0.5967647645958771,0.5684917851828868,0.5502880512728308,0.560346074739184,0.5369019225338802,0.5517294757861014,0.5279790673031323,0.5208817977170558,0.5178830734177196,0.5329011013779066,0.5285882032280933,0.5307721692262864,0.5130543088431907,0.511528388059068,0.5091766186378568,0.5019810365269224,0.49786864472253384
32,201,50,0.8574999999999999,0.09791666666666668,0.8960088310265008,2.9980817684570766,1.0,1.014824017767142,1.1106383628309162,False,False,91.9823604252966,0.548676335631926,-0.2487319854935858,3594.2094166680977,112.31904427087805,363833.3265868078,0.5934353701943607,0.6451080736601191,0.8388762615881357,0.5586077497925713,0.5225466953961382,1.0,0.7238494369918709,0.670042189379471,0.6335254127364813,0.6174937399799895,0.5889782221296622,0.5828350177351787,0.5701660067448402,0.5726254183523405,0.5583301137393332,0.5436602480085726,1.0,0.707920939808841,0.6659242554637652,0.6169478318308081,0.619961101376794,0.5816282770923934,0.5733287618182862,0.5666847602944943,0.5693575207541735,0.5482273767274162,0.5464682066798322,0.5351311621337324,0.5264859175805747,0.5114239724328753,0.5229897021107156,0.5153949532380226,0.5256980785578577,0.504336820427793,0.4982019660296536,0.5086305243828633,0.49903276106376804
32,202,50,0.8533333333333333,0.09958333333333333,0.926050987870053,3.0299775614025104,1.0,1.0488466555758087,1.1231589288721469,True,False,62.75399576999307,0.5524089666883505,-0.2508603192866045,3113.9579122685836,97.31118475839324,356759.595122911,0.6012460369108706,0.6331465852643128,0.8296465392273824,0.5480694455749796,0.5476855064308753,1.0,0.7106738383272111,0.6516059777959173,0.6250771555413659,0.6066469033280049,0.5920182972368897,0.5765977502250307,0.5657136125184644,0.5591449656205102,0.5383951881913658,0.547333325858193,1.0,0.6920923840525368,0.654851728969162,0.6151357643801633,0.6085470537851851,0.59435667038693,0.584280252841325,0.5723478983403697,0.5638214592763402,0.546115633319492,0.5463230056792161,0.5425269353414863,0.5314035404045196,0.5357746600558531,0.5223006201063278,0.5267587453614673,0.5137558649965922,0.5188494954366332,0.5028966005312461,0.511759190270319,0.5054337272504602
32,203,50,0.86625,0.09125,0.9036480455475184,3.0054369103952827,1.0,1.4817567431293028,1.181867529300925,True,False,79.61814214331639,0.5507274120360814,-0.25232134493724906,3158.7518173768826,98.71099429302758,374076.83403782075,0.5974940633001509,0.6348185775054628,0.8317883535584125,0.5558467229888922,0.5435482707545943,1.0,0.7140784192027015,0.6571542934580878,0.6164329818294692,0.5996147977903176,0.5906376988646834,0.5717336796214701,0.562684767784593,0.5536440375933755,0.5478513586730498,0.550782113840645,1.0,0.7045952093399521,0.6463401709063742,0.6047667122098099,0.5944794740490943,0.5795163131352097,0.5739184384970873,0.5628330426278196,0.5585063696614756,0.5482227935184658,0.5538741398623916,0.5348849610998677,0.5433531292419389,0.5371468335800298,0.5254823877338085,0.5210955288175972,0.5135238632200524,0.5222574348843894,0.5389069741360182,0.5166893708900254,0.5239251735345917
32,204,50,0.8920833333333333,0.10791666666666666,0.951096745676621,2.959234605291844,1.0,0.7543104400232588,1.102406758712169,True,False,37.12020542561877,0.5368328692482922,-0.2543459504940278,2679.6361975592577,83.7386311737268,324845.9199971064,0.5942293853942341,0.63097511381388,0.8199980148120682,0.5514717898389894,0.537005396017068,1.0,0.7074446803792606,0.6571940329435955,0.626623983925271,0.6133894461424452,0.5874588796620237,0.5873486466811096,0.5712761350822011,0.5749392128810011,0.5501121673545363,0.5437445102874603,1.0,0.7091621659926405,0.6463175195670072,0.61268557837564,0.6022525350306986,0.5843724420334274,0.5759236695187925,0.5640087582896646,0.5588872899922364,0.5433482892124541,0.5329656923330843,0.536243733039581,0.5307636476185595,0.5214257914287429,0.5263368485720055,0.5004895190395235,0.5070015762015423,0.5022783211009393,0.5135242251055827,0.5091559609334805,0.49750125828595493
64,200,50,0.9954166666666666,0.10041666666666667,0.8822027224805079,2.3426183857512206,1.0,1.3661000862559107,1.1586399699602277,False,False,124.51247521022724,0.48470522674729244,-0.21775855692693097,5160.242849248427,80.62879451950667,481765.7792375391,0.4562840978208221,0.6051301818909043,0.8371245202029562,0.5488634579342838,0.5870851867150139,1.0,0.7311155043208687,0.6754439121756415,0.635032998144975,0.6178903171196072,0.6049302867508779,0.5924781579011504,0.5828082814290386,0.5767842269966817,0.5658182213537633,0.5686452792871541,1.0,0.7222017401331171,0.6649885986734998,0.6291037011236775,0.6156122348642226,0.6069541355247652,0.5915984455955563,0.5808282047137328,0.5779502587964445,0.5676817416106786,0.5705463718651872,0.5472431242228709,0.5509093156704146,0.536612758537366,0.5365368735073694,0.5373886039127522,0.5521033559872326,0.5499214654180687,0.5553310425747788,0.5316391139400884,0.5186380442979723
64,201,50,0.9891666666666666,0.09833333333333333,0.8854213878758153,2.30559114644781,1.0,0.8308332108156412,1.0818704144423623,False,False,135.19420803979446,0.4807930768545111,-0.21084913853538123,6054.240231296217,94.59750361400339,492859.1456599398,0.450164870990423,0.6129620984944301,0.8409351401632833,0.5532274226415538,0.5566208946719203,1.0,0.7385775501554719,0.6724038047983335,0.6455341404052082,0.6282606163196647,0.6021454053542405,0.5872692156875491,0.58078843197188,0.5684986496427593,0.5647675442974842,0.5551757993244792,1.0,0.7340747804466392,0.6685104036147694,0.6394374006567128,0.6227132272494593,0.6046279200907583,0.5898706842067265,0.5762031685864093,0.563001069644715,0.5588952491504663,0.5512440627088973,0.5571241739803368,0.5391723581271578,0.5405533337762687,0.5460598546179863,0.5523541381631646,0.5317962498922321,0.5405441097990945,0.5385165318234288,0.5302311785318854,0.5378861877641965
64,202,50,0.9904166666666667,0.10041666666666667,0.8888849040618134,2.3049802504549994,1.0,1.0322634706087221,1.1195707030581572,False,False,130.69139723569234,0.47916581503386635,-0.2208836183645827,5785.732735436156,90.40207399118994,516915.5676831455,0.45557348016135035,0.6068814239765793,0.8550178888157418,0.554655665100014,0.5653231903607925,1.0,0.742122890153605,0.6788098433096815,0.6390288971823567,0.6234592357149593,0.6085407824621069,0.5924450066456389,0.5857345103170833,0.5812395998356334,0.5751736859724799,0.5601117782867645,1.0,0.7345122609046305,0.6678191397603594,0.6318268131591361,0.6158056373975285,0.5954469111987574,0.5776835247786838,0.5691390163392144,0.5690391033658548,0.5649242986973174,0.5513179293427768,0.5546304288699789,0.5532565991403872,0.5561774879399124,0.5447325075236187,0.5304981808918694,0.5358661215067569,0.5360850146119522,0.541204631881971,0.5289884757229606,0.5231280278749025
64,203,50,0.995,0.09458333333333334,0.9078828633571528,2.3216569962545974,1.0,1.088857333534463,1.1279751954120205,True,False,97.34374007879396,0.4867926822072216,-0.22212918197388792,5112.505515427671,79.88289867855735,474996.87494686997,0.44972883344427766,0.6159271523906845,0.8377400187120202,0.5558107762991382,0.5567782739006073,1.0,0.7377930248751878,0.6770234439079841,0.6431025914060207,0.6199170887450742,0.6033230706821818,0.5842468195349076,0.5784376973371085,0.5792903025603564,0.5693456752381654,0.5559986267384673,1.0,0.7280629696321612,0.681082567320826,0.6495868585098882,0.6175168258996011,0.6052893681510099,0.5950786134646705,0.5864912185143237,0.5787990641350331,0.5683680724915207,0.5572127766251488,0.5558156642093455,0.5554731855231353,0.548616765288322,0.5282619737146701,0.526771785301912,0.5255914835366378,0.5181756095548838,0.5160744700112684,0.5172530793481434,0.5084985494172507
64,204,50,0.9983333333333333,0.10833333333333334,0.9293718084788656,2.356242179547613,1.0,0.7198892513078092,1.0856995919502712,True,False,74.60414831502302,0.48427718186721624,-0.2271048301852088,4893.697895325361,76.46402961445877,455629.7049565007,0.45779747284690053,0.6103798463185589,0.8504309836499895,0.5424371381471766,0.567294521233131,1.0,0.7405544307518694,0.6736408290359595,0.6423577723842283,0.6224330777183686,0.6050991915963166,0.5891165957730413,0.5828864323761476,0.5716690440480104,0.5675371757391992,0.5559746250997023,1.0,0.7308337738851837,0.6631364992972506,0.6329641879332559,0.6137579546416099,0.6073518194776293,0.5950468654185254,0.5848552272062186,0.5656043564052817,0.5648892926166353,0.5549755816225935,0.5591275080716358,0.5488793432760659,0.537851844353194,0.5373218475867395,0.5459996962044498,0.5463531488166371,0.5434907708057622,0.5304262464123202,0.5414753859703316,0.5174453178462974
100,200,50,1.0,0.1,0.9252544430461702,2.2357096212474388,1.0,0.7072047414748508,1.0751998559469536,True,False,86.05094127441635,0.4737679254314335,-0.2178049125431674,5580.488081960446,55.804880819604456,371431.24384001555,0.35725459025807094,0.5835282667879472,0.8464194396340281,0.534283951771388,0.5660411622209992,1.0,0.7523998967754311,0.689540994350883,0.6512283351169247,0.6265857636020277,0.6121858788145719,0.5984288524541979,0.5839194273269953,0.576905594278197,0.567820633898285,0.5542764068573771,1.0,0.753709015850691,0.6895871410901222,0.6428154271187221,0.6199147606303255,0.6039776604842964,0.6022357065539488,0.5818349559744898,0.5724884238101146,0.5706145772721692,0.549499201713627,0.5542192623042823,0.5450033964417021,0.5500802817179535,0.5531683254826028,0.5323174213628119,0.532867970584415,0.5331942126296332,0.5291707616519303,0.5348313053926723,0.5224047475292766
100,201,50,1.0,0.09958333333333333,0.9135110978541304,2.220827663309659,1.0,1.068712305934872,1.1307223769611123,True,False,104.9038452848874,0.47434784955354226,-0.2152834423007498,6014.5906521413635,60.145906521413636,366685.85980876954,0.3533529356065248,0.5945859920417303,0.8427427492389139,0.5442213934166492,0.5828085459806293,1.0,0.7548868591069557,0.6925710735510627,0.660907072835839,0.6299258877388401,0.6084102781001673,0.5998264127339403,0.5859267881893422,0.5773599098373206,0.5761160181142688,0.5689461863364585,1.0,0.7525637980053522,0.694209008669927,0.6583123215824276,0.6377204581319202,0.6141154879940295,0.5961679026588297,0.5859384049461556,0.5715525269031898,0.5716047167785416,0.5688385024158615,0.5593024143759818,0.5559318391734449,0.5491854096809492,0.539335138106702,0.5431631555466275,0.5403973867685222,0.5413867382704394,0.5438157521118219,0.5381337555739354,0.5366814048340426
100,202,50,1.0,0.10041666666666667,0.9105969865413129,2.1772286663999965,1.0,0.9162488267201301,1.1124272400955533,True,False,106.85407399840634,0.46031244864086657,-0.21144212494253997,5931.373886850528,59.31373886850528,398313.4066658928,0.3617569113891302,0.5884904634967538,0.8422713977368069,0.5294953285418994,0.586918308520959,1.0,0.7504549248308744,0.6849400334428275,0.6535410240786487,0.6350713578192503,0.6158767599573874,0.6026746362741904,0.5898211647552498,0.5862019554971523,0.5710553639824697,0.5659714192540252,1.0,0.7405155476203917,0.6789866828618168,0.6550598178804349,0.6309237344882636,0.6100116664587636,0.5991460842301428,0.5904611999950041,0.5776458400626984,0.56143073901174,0.5551434156960326,0.5577035829024687,0.5513817864368293,0.541125008634776,0.5423561861902125,0.5388374014060914,0.5299249835781056,0.5291818565383631,0.525572424873706,0.5194835292212543,0.5064734152037698
100,203,50,1.0,0.09375,0.9122351074713724,2.2147086861485965,1.0,0.9680910410222833,1.1165497343887636,True,False,98.43715663340845,0.4714828073848061,-0.21832697596665646,5501.0457097257695,55.01045709725769,359497.25948991656,0.36446202764196267,0.5897370395617745,0.8370900549956681,0.5306213514008934,0.595577525099238,1.0,0.746779417809678,0.6922193146197813,0.6537045388793195,0.6276164209933359,0.6092783290698521,0.6075946684181407,0.5873874523155965,0.5835302525197708,0.5716764316881224,0.5715636098770798,1.0,0.7454929060462129,0.6916945422075859,0.6534107174058692,0.622227539287011,0.6073424531162737,0.60447639417596,0.5833998590909049,0.5856717446151088,0.5747471157746867,0.5721613461162647,0.5474889431833775,0.5462413917854716,0.5414118667357436,0.5388071738712203,0.5336834325955873,0.5305708646394969,0.5335288054972078,0.5360698712713807,0.527279047479589,0.5322397610600329
100,204,50,1.0,0.10833333333333334,0.9215613044329101,2.2582201573891756,1.0,0.974892478555602,1.1228179271983876,True,False,83.70400849794278,0.4773771320752868,-0.22029814441789403,5125.575658958662,51.25575658958662,340379.6980615092,0.36085461032223404,0.588258362498026,0.8441103623000737,0.5215803590364654,0.5653095883108047,1.0,0.751736728821106,0.6878704039622293,0.6566172207063579,0.6310059025669299,0.6073734261119681,0.5893123785292516,0.581107523926219,0.5758791855075616,0.5625166427452242,0.5493641329456738,1.0,0.7470894542813941,0.6835304272989347,0.6498149818228527,0.6282217686803236,0.6052798314543184,0.5814156883703466,0.5738987283037006,0.5740185554646817,0.5529573454036385,0.5496724122556295,0.5489999179600163,0.5575252443910221,0.5440388044445037,0.537779961414145,0.5388638889469589,0.5424916320559438,0.5348521738213844,0.5364444278555622,0.5355361883914076,0.5271069306607168
300,200,50,1.0,0.1,0.9344476439236951,1.616339585711695,1.0,0.6108486688565438,1.06773893719972,True,False,104.3624657221275,0.3999610686621951,-0.1888676488466756,10250.807598990157,34.16935866330052,112855.5052511408,0.15177753492639984,0.5930486040016129,0.863859069986507,0.5176433599256323,0.6164089219476994,1.0,0.8228760183941208,0.7591815033569016,0.7116371472751863,0.6900455507977247,0.6667149703154727,0.6505054774094906,0.6364037468345977,0.6226821339863847,0.6095010320728464,0.6013351932554999,1.0,0.8222598140346828,0.7627348964821266,0.7125950820675186,0.6916097626634109,0.6674013944494093,0.6491129849079637,0.634743308918468,0.6227949664263751,0.6049246056799353,0.6049754889345619,0.5921337493476633,0.5782510005685391,0.581150436917518,0.5728046103086593,0.5676166838081709,0.5580183576456563,0.5638355875960601,0.5512232592179219,0.5433709484994529,0.5422058963954687
300,201,50,1.0,0.09958333333333333,0.9023657760325409,1.8338399215024181,1.0,0.9451312128282927,1.1190380587062194,True,False,147.22274620619774,0.4281711606735872,-0.19420828850556757,9095.261800368418,30.317539334561395,104777.41352789648,0.14187373847240234,0.6030492682809417,0.8581791163725108,0.5010940084772841,0.6143234495079443,1.0,0.8219479769614217,0.7507455244637177,0.7040529397120361,0.6802403461872515,0.6524965250745962,0.6340202673781795,0.6248645638296414,0.6104073677971897,0.6047473508301189,0.5983301524622411,1.0,0.81622076030996,0.7487344792380832,0.7047005588161501,0.6849290745830066,0.6578905912378122,0.6298135557690285,0.6171863231245232,0.6088729248999508,0.6081147819642894,0.5886222614993877,0.5856837738794481,0.5782439189557559,0.580866169525697,0.5718488004968396,0.5531843508993638,0.5479730764522232,0.5456938306056417,0.5503033281904266,0.5438415475568087,0.5389746406181757
300,202,50,1.0,0.10041666666666667,0.9573754695122106,1.7688776295888786,1.0,0.46789055125336204,1.0544810125089359,True,False,63.74778103187928,0.4196241398264337,-0.19996518918632852,8829.873768654863,29.432912562182878,107969.70698959616,0.1419826900282077,0.6036221850278825,0.8574265250034477,0.5055376672939327,0.6149926218899828,1.0,0.8212856853593167,0.7487365686481027,0.71741412857336,0.6824228905092057,0.6603274371556955,0.648422353236285,0.6392698939487661,0.6211861041095783,0.6049428791898913,0.5993877169896042,1.0,0.8306033906799877,0.7542758101148515,0.7233951945694159,0.6904911284004569,0.6658196130864384,0.6600918338646732,0.6462030923615467,0.6289631946201467,0.6206729218557486,0.6137922152310301,0.6015989503542214,0.5862209752314177,0.5881167158389228,0.5755816000537249,0.567214034541594,0.560868738099423,0.5522999923792338,0.5487655410503087,0.5527952476547883,0.5431726879623129
300,203,50,1.0,0.09375,0.9210248449250236,1.7539558146302545,1.0,0.6688944199235285,1.090907533400925,True,False,116.11498383174167,0.4197606532168514,-0.20204865607834221,9167.71583482467,30.5590527827489,100235.66114551139,0.14519933847217553,0.5846359739110639,0.8578482010507473,0.508112026993707,0.6066711332968787,1.0,0.8181835645415612,0.7579263864900985,0.7119887028810157,0.6854603431887188,0.65654497848586,0.6407440651588361,0.6229351514169615,0.6144419657285314,0.6055520163153734,0.5921484285279669,1.0,0.8226767162813028,0.7645442009952881,0.7189698572197822,0.6879161513154133,0.6623600694986054,0.6407958843214019,0.6214818788496493,0.6129643576889279,0.6048118586404698,0.5919143497897575,0.5867460803102345,0.5890743920174557,0.579189047532911,0.5745961675188017,0.5719974291667228,0.5569807404787366,0.5560334900255313,0.5473102870167719,0.5486604613752254,0.5460412045915615
300,204,50,1.0,0.10833333333333334,0.9527742513613165,1.5384893004785243,1.0,0.2921497699230401,1.0273005666025539,True,False,74.95129626717517,0.3946129084090652,-0.18302804568288292,10606.675121848068,35.35558373949356,111442.24017328909,0.1494505148737812,0.6000697326868014,0.8624384633510275,0.5203089796240898,0.6167602612865302,1.0,0.8232392300955731,0.7556140234383693,0.7215956104021873,0.6882162195798627,0.6693954206481928,0.6552859289089799,0.6415145136723921,0.6268203354341721,0.6144569629636688,0.6022685966745137,1.0,0.8244711882114071,0.7639526106325297,0.7296103981147661,0.6938137337437251,0.672812652289572,0.6573587388635257,0.6407105061877345,0.632554770814925,0.6185624963907335,0.605641792857661,0.5983169374325868,0.5865051502193198,0.5745826813837885,0.5721534404491526,0.5694386441098965,0.5618107198594443,0.5530833089706996,0.549347821697814,0.5446947439561115,0.5414187794654023
