arm,seed,lr,task,iv,online_acc,memo_acc,acc,dead_frac_l1,zeroout_l1,zbar_l1,zsd_l1,zbar_min_l1,mob_l1,eff_rank_l1,dead_frac_l2,zeroout_l2,zbar_l2,zsd_l2,zbar_min_l2,mob_l2,eff_rank_l2,w_norm_l1,w_norm_l2,w_norm_l3
ELU1,0,0.001,33,none,0.09976041667,0.1024999991,0.1024999991,0,0,-13.10596657,9.695547104,-35.81150818,0.09958040714,12.17595784,1,0,-254.7983856,75.83499908,-370.1249695,6.093339812e-34,1.000000758,19.86992264,6.155793667,5.960669518
ELU1,0,0.001,34,none,0.1026166667,0.1141666695,0.1141666695,0,0,-13.10596657,9.695547104,-35.81150818,0.09958040714,12.17595784,1,0,-254.7983856,75.83499908,-370.1249695,6.093339812e-34,1.000000758,19.86992264,6.155793667,5.96035099
ELU1,0,0.001,35,none,0.1004708333,0.09833333641,0.09833333641,0,0,-13.10596657,9.695547104,-35.81150818,0.09958040714,12.17595784,1,0,-254.7983856,75.83499908,-370.1249695,6.093339812e-34,1.000000758,19.86992264,6.155793667,5.966304779
ELU1,0,0.001,36,none,0.1004770833,0.1150000021,0.1150000021,0,0,-13.10596657,9.695547104,-35.81150818,0.09958040714,12.17595784,1,0,-254.7983856,75.83499908,-370.1249695,6.093339812e-34,1.000000758,19.86992264,6.155793667,5.958010197
ELU1,0,0.001,37,none,0.1025291667,0.1183333322,0.1183333322,0,0,-13.10596657,9.695547104,-35.81150818,0.09958040714,12.17595784,1,0,-254.7983856,75.83499908,-370.1249695,6.093339812e-34,1.000000758,19.86992264,6.155793667,5.96062851
ELU1,0,0.001,38,none,0.104725,0.1058333367,0.1058333367,0,0,-13.10596657,9.695547104,-35.81150818,0.09958040714,12.17595784,1,0,-254.7983856,75.83499908,-370.1249695,6.093339812e-34,1.000000758,19.86992264,6.155793667,5.958807945
ELU1,0,0.001,39,none,0.1036875,0.1016666666,0.1016666666,0,0,-13.10596657,9.695547104,-35.81150818,0.09958040714,12.17595784,1,0,-254.7983856,75.83499908,-370.1249695,6.093339812e-34,1.000000758,19.86992264,6.155793667,5.959559441
ELU1,0,0.001,40,none,0.09992083333,0.1066666692,0.1066666692,0,0,-13.10596657,9.695547104,-35.81150818,0.09958040714,12.17595784,1,0,-254.7983856,75.83499908,-370.1249695,6.093339812e-34,1.000000758,19.86992264,6.155793667,5.955121994
ELU1,0,0.001,41,none,0.101575,0.09333333373,0.09333333373,0,0,-13.10596657,9.695547104,-35.81150818,0.09958040714,12.17595784,1,0,-254.7983856,75.83499908,-370.1249695,6.093339812e-34,1.000000758,19.86992264,6.155793667,5.954685211
ELU1,0,0.001,42,none,0.09937708333,0.1024999991,0.1024999991,0,0,-13.10596657,9.695547104,-35.81150818,0.09958040714,12.17595784,1,0,-254.7983856,75.83499908,-370.1249695,6.093339812e-34,1.000000758,19.86992264,6.155793667,5.958624363
ELU1,0,0.001,43,none,0.0966125,0.09250000119,0.09250000119,0,0,-13.10596657,9.695547104,-35.81150818,0.09958040714,12.17595784,1,0,-254.7983856,75.83499908,-370.1249695,6.093339812e-34,1.000000758,19.86992264,6.155793667,5.95869112
ELU1,0,0.001,44,none,0.09732083333,0.1058333367,0.1058333367,0,0,-13.10596657,9.695547104,-35.81150818,0.09958040714,12.17595784,1,0,-254.7983856,75.83499908,-370.1249695,6.093339812e-34,1.000000758,19.86992264,6.155793667,5.956468105
ELU1,0,0.001,45,none,0.103,0.1033333316,0.1033333316,0,0,-13.10596657,9.695547104,-35.81150818,0.09958040714,12.17595784,1,0,-254.7983856,75.83499908,-370.1249695,6.093339812e-34,1.000000758,19.86992264,6.155793667,5.953032017
ELU1,0,0.001,46,none,0.0989875,0.1000000015,0.1000000015,0,0,-13.10596657,9.695547104,-35.81150818,0.09958040714,12.17595784,1,0,-254.7983856,75.83499908,-370.1249695,6.093339812e-34,1.000000758,19.86992264,6.155793667,5.958225727
ELU1,0,0.001,47,none,0.09763541667,0.08833333105,0.08833333105,0,0,-13.10596657,9.695547104,-35.81150818,0.09958040714,12.17595784,1,0,-254.7983856,75.83499908,-370.1249695,6.093339812e-34,1.000000758,19.86992264,6.155793667,5.951434135
ELU1,0,0.001,48,none,0.09581875,0.09499999881,0.09499999881,0,0,-13.10596657,9.695547104,-35.81150818,0.09958040714,12.17595784,1,0,-254.7983856,75.83499908,-370.1249695,6.093339812e-34,1.000000758,19.86992264,6.155793667,5.951168537
ELU1,0,0.001,49,none,0.09678541667,0.09749999642,0.09749999642,0,0,-13.10596657,9.695547104,-35.81150818,0.09958040714,12.17595784,1,0,-254.7983856,75.83499908,-370.1249695,6.093339812e-34,1.000000758,19.86992264,6.155793667,5.95289278
ELU1,0,0.001,50,none,0.09841875,0.1091666669,0.1091666669,0,0,-13.10596657,9.695547104,-35.81150818,0.09958040714,12.17595784,1,0,-254.7983856,75.83499908,-370.1249695,6.093339812e-34,1.000000758,19.86992264,6.155793667,5.961306572
ELU1,1,0.001,1,none,0.954525,1,1,0,0,-0.5110746026,1.481116772,-2.111597538,0.6133261919,75.98003475,0,0,0.6451013684,2.021192074,-0.2667503655,0.7697690725,53.84323539,4.408002853,1.940328956,2.972108841
ELU1,1,0.001,2,none,0.941875,1,1,0,0,-2.641306877,2.716367722,-8.062977791,0.314658761,67.07281599,0,0,-1.154446244,3.543958902,-5.685120583,0.4701946378,59.49009032,6.283725739,2.697673559,3.819277048
ELU1,1,0.001,3,none,0.94616875,1,1,0,0,-3.646774054,3.523075819,-9.958948135,0.2515735626,71.93682962,0,0,-3.464474201,4.558032513,-15.22553062,0.2919392288,67.60382634,7.582365513,3.26548624,4.396535397
ELU1,1,0.001,4,none,0.9327979167,0.9691666961,0.9691666961,0,0,-4.760855675,4.34855032,-12.72955418,0.209820658,67.17620896,0,0,-7.125927925,6.255813122,-19.92123413,0.1678384393,61.53992325,9.187664986,3.773299932,4.841657639
ELU1,1,0.001,5,none,0.9104104167,1,1,0,0,-5.681921959,5.190486908,-14.94219685,0.1740383059,64.78936795,0,0,-10.51167679,7.725365639,-33.34360504,0.08308997005,60.72097103,11.0902338,4.030946255,5.188760757
ELU1,1,0.001,6,none,0.894525,1,1,0,0,-6.213411808,5.862651825,-18.95966911,0.1769878715,63.11610028,0,0,-17.09410667,10.928092,-46.18065262,0.06217534468,66.73777447,12.97040749,4.437686443,5.923565865
ELU1,1,0.001,7,none,0.8049854167,0.9991666675,0.9991666675,0,0,-7.510812759,7.001862526,-18.68443298,0.1720807701,64.2846378,0,0,-23.80834579,14.39154148,-47.6296463,0.03761891276,70.98575421,14.69147015,4.954098701,6.225315094
