environment,arm,window,metric,field,n_seed,seed_median,ci95_low,ci95_high
conda,LR_k1_X0Y0,primary400,reference,late_activity,5,0.0985310921589726,0.07008425190438426,0.13600953964329968
conda,LR_k1_X0Y0,primary400,reference,late_zero_Q_count,5,0.0,0.0,0.0
conda,LR_k1_X0Y0,primary400,reference,late_negative_c_fraction,5,0.475,0.2125,0.7625
conda,LR_k1_X0Y0,primary400,reference,window_endpoint,5,400.0,400.0,400.0
conda,LR_k1_X0Y0,primary400,reference,late_first_task,5,321.0,321.0,321.0
conda,LR_k1_X0Y0,primary400,reference,late_last_task,5,400.0,400.0,400.0
conda,LR_k1_X0Y0,primary400,reference,late_mean_V,5,104.77073776246675,82.24032166269225,131.21213484110754
conda,LR_k1_X0Y0,primary400,reference,late_mean_sigma,5,10.23478237567144,9.068478172514668,11.453067788292449
conda,LR_k1_X0Y0,primary400,reference,late_mean_sqrtQ,5,0.3580664625776214,0.3381915069021465,0.39778513125613346
conda,LR_k1_X0Y0,primary400,reference,late_sum_Q,5,10.320666149882612,9.195904311116216,12.74768396237185
conda,LR_k1_X0Y0,primary400,reference,late_sum_X,5,-0.8526308021716761,-4.376347126625924,3.2329497850543625
conda,LR_k1_X0Y0,primary400,reference,late_sum_G_pre,5,0.0,0.0,0.0
conda,LR_k1_X0Y0,primary400,reference,late_sum_A_energy,5,0.0,0.0,0.0
conda,LR_k1_X0Y0,primary400,reference,late_sum_E_energy,5,0.0,0.0,0.0
conda,LR_k1_X0Y0,primary400,reference,late_sum_AE_cross,5,0.0,0.0,0.0
conda,LR_k1_X0Y0,primary400,reference,late_sum_total_energy,5,0.0,0.0,0.0
conda,LR_k1_X0Y0,primary400,reference,late_sum_mean_A_sq,5,0.0,0.0,0.0
conda,LR_k1_X0Y0,primary400,reference,late_sum_mean_E_sq,5,0.0,0.0,0.0
conda,LR_k1_X0Y0,primary400,reference,late_sum_centered_E_energy,5,0.0,0.0,0.0
conda,LR_k1_X0Y0,primary400,reference,late_target_change_fraction,5,0.0,0.0,0.0
conda,LR_k1_X0Y0,primary400,reference,late_target_change_energy,5,0.0,0.0,0.0
conda,LR_k1_X0Y0,primary400,reference,late_learner_input_mean_shift_sq,5,0.0,0.0,0.0
conda,LR_k1_X0Y0,primary400,reference,late_original_context_mean_shift_sq,5,1.0,1.0,1.0
conda,LR_k1_X0Y0,primary400,reference,late_task_start_mse,5,0.0003678693059718796,0.0003255963888705082,0.0008945433133021652
conda,LR_k1_X0Y0,primary400,reference,late_mse,5,0.000366135843812998,0.0003275402637171965,0.0008958353174648437
conda,LR_k1_X0Y0,primary400,reference,late_task_mse_gain,5,-1.2920041626784951e-06,-4.940580947732087e-06,1.7334621588815935e-06
conda,LR_k1_X0Y0,primary400,reference,late_task_start_acc,0,,,
conda,LR_k1_X0Y0,primary400,reference,late_train_acc,0,,,
conda,LR_k1_X0Y0,primary400,reference,late_task_accuracy_gain,0,,,
