variant,k,M,ci_lo,ci_hi,n_pair,n_seed_contrib,delta_vs_main,rel_delta_vs_main,ci_method,note
no_strict_off,5,1.8999027691077e-05,-2.0909151743837157e-05,4.7950427686051884e-05,157248,10,0.0,0.0,studentized,window minus pairs that are strict-off at the end (spec 5-6)
win_lo_m1,10,3.079459669773703e-05,7.075864398864714e-06,7.278929501362418e-05,273237,10,-1.0774993687591496e-06,-0.03380698170936466,studentized,"window lower edge -1 band: x in [0.0, 0.9)"
win_lo_p1,10,7.250871471838165e-05,-3.0362071695965562e-05,0.00013806230399912995,78217,10,4.063661865188547e-05,1.2749904671190586,studentized,"window lower edge +1 band: x in [0.2, 0.9)"
win_hi_m1,10,2.5982678081453576e-05,-1.0265606842535275e-05,5.519972268786236e-05,156543,10,-5.889417985042602e-06,-0.1847828888553563,studentized,"window upper edge -1 band: x in [0.1, 0.8)"
win_hi_p1,10,3.6919939553882785e-05,5.769311407598023e-07,7.239590978501786e-05,157724,10,5.047843487386607e-06,0.15837814610168927,studentized,"window upper edge +1 band: x in [0.1, 1.0)"
a_no_near,10,3.1849643959578586e-05,-7.301313042518851e-06,6.504766455694077e-05,157188,10,-2.2452106917591542e-08,-0.0007044440023884438,studentized,population A_no_near: p_hat_start >= 0.05
pair_weight,10,3.071575015814119e-05,1.0126759080438355e-07,5.888575307984384e-05,157248,10,-1.156345908354986e-06,-0.03628082401428666,percentile,pair-equal weighting instead of seed-equal
no_blip,10,3.124148933258493e-05,-1.3459169823470635e-05,7.769325682914353e-05,154251,10,-6.306067339112466e-07,-0.019785543209821645,studentized,"window minus band [0.6,0.7) (spec 5-4 blip contribution)"
no_strict_off,10,3.187209606649618e-05,-7.206237608925664e-06,6.506976044899316e-05,157248,10,0.0,0.0,studentized,window minus pairs that are strict-off at the end (spec 5-6)
win_lo_m1,20,4.285387142186871e-05,1.6316358894866257e-05,9.360092189473794e-05,273237,10,-6.880605725207963e-06,-0.1383467992407033,studentized,"window lower edge -1 band: x in [0.0, 0.9)"
win_lo_p1,20,0.00010831537510241004,5.3209604117974096e-06,0.00019862340251649514,78217,10,5.8580897955333366e-05,1.17787300311001,studentized,"window lower edge +1 band: x in [0.2, 0.9)"
win_hi_m1,20,4.112986696968929e-05,2.1252612706681838e-06,7.544005962047836e-05,156543,10,-8.604610177387384e-06,-0.17301097087924552,studentized,"window upper edge -1 band: x in [0.1, 0.8)"
win_hi_p1,20,5.6408317777058315e-05,1.899854817161392e-05,0.00010185573740211968,157724,10,6.673840629981642e-06,0.13418941975092064,studentized,"window upper edge +1 band: x in [0.1, 1.0)"
a_no_near,20,4.971846399836053e-05,5.261615113484348e-06,9.024590304278424e-05,157188,10,-1.601314871614622e-08,-0.00032197279703557617,studentized,population A_no_near: p_hat_start >= 0.05
pair_weight,20,4.8124816650084256e-05,1.393715334006874e-05,8.113122240344204e-05,157248,10,-1.6096604969924176e-06,-0.032365083325039665,percentile,pair-equal weighting instead of seed-equal
no_blip,20,4.8377436217500836e-05,-6.825064262393804e-06,0.0001058877302659288,154251,10,-1.3570409295758372e-06,-0.027285718226467817,studentized,"window minus band [0.6,0.7) (spec 5-4 blip contribution)"
no_strict_off,20,4.973447714707667e-05,5.324362354289327e-06,9.025264359349157e-05,157248,10,0.0,0.0,studentized,window minus pairs that are strict-off at the end (spec 5-6)
win_lo_m1,40,5.082666293282745e-05,2.2064513720556387e-05,0.00010107762319258077,273237,10,-1.2989076574646127e-05,-0.20354032837188937,studentized,"window lower edge -1 band: x in [0.0, 0.9)"
win_lo_p1,40,0.00013928757214537815,3.1705735603507044e-05,0.0002470635339919066,78217,10,7.547183263790457e-05,1.1826523240252653,studentized,"window lower edge +1 band: x in [0.2, 0.9)"
win_hi_m1,40,5.321872292632739e-05,8.845875808683057e-06,8.787405935518452e-05,156543,10,-1.0597016581146192e-05,-0.166056472320675,studentized,"window upper edge -1 band: x in [0.1, 0.8)"
win_hi_p1,40,7.136982693214524e-05,3.1060410278117595e-05,0.00011705575018861904,157724,10,7.554087424671658e-06,0.11837342140001346,studentized,"window upper edge +1 band: x in [0.1, 1.0)"
a_no_near,40,6.380443396414175e-05,1.3569928330498782e-05,0.00010602464621091243,157188,10,-1.1305543331829914e-08,-0.00017715916824102463,studentized,population A_no_near: p_hat_start >= 0.05
pair_weight,40,6.186896103384189e-05,2.5369455928655687e-05,9.689268321830696e-05,157248,10,-1.9467784736316925e-06,-0.03050624326626665,percentile,pair-equal weighting instead of seed-equal
no_blip,40,6.064770327164142e-05,2.792077102242122e-08,0.00011804585598909997,154251,10,-3.1680362358321593e-06,-0.04964349328681124,studentized,"window minus band [0.6,0.7) (spec 5-4 blip contribution)"
no_strict_off,40,6.381573950747358e-05,1.361767126875088e-05,0.00010602301764436038,157248,10,0.0,0.0,studentized,window minus pairs that are strict-off at the end (spec 5-6)
