arm,seed,clamp,acc_late,acc_base,slope_late,slope_sigma_late,ce_frac,zbar_late,z20,sigma_late,star_sd_late,cnorm_late,pos_late,w2col_late,dead_hard_late,dead_soft_late,sat_late,pressure,L_ref,rho
GELU,1,ref,0.8476999998092651,0.9223999977111816,-0.1875481518259831,0.31752114792218583,1.0,-6.793297605324704,-2.0184063620788044,3.18965085767913,5.886876961355107,8.640801921868087,0.134677734375,8.203837503059013,57.0,59.0,0.8580273389816284,0.0,0.0746999979019165,0.0
GELU,1,dclamp,0.8680999875068665,0.9223999977111816,-0.9629100355485343,0.7047102545041478,1.0,-2.5332161311649877,-2.0184063620788044,3.960577558475379,8.382711799067348,11.954587113739471,0.286748046875,4.866714503911995,15.0,16.0,0.6892675757408142,0.2729528570303465,0.0746999979019165,0.2730922124574509
GELU,1,wclamp,0.902400016784668,0.9223999977111816,0.17389787627597122,-0.026992107224561423,1.0,-4.9107864468328675,-2.0184063620788044,1.3237688617966044,2.1524078521254757,3.537599013764887,0.04515625,10.348850711786511,66.0,69.0,0.9493457078933716,4.3900487180394565,0.0746999979019165,0.7322626306793972
GELU,1,wcap2,0.8646000027656555,0.9223999977111816,-0.08786749703871471,0.034905612577524156,1.0,-6.554099394370044,-2.0184063620788044,2.4465495001878557,3.9776188974505904,6.817942724432503,0.0966796875,8.061965528644283,59.0,61.0,0.8953320384025574,185074.0,0.0746999979019165,0.22623833241040553
GELU,2,ref,0.847599983215332,0.9258999824523926,-0.7275192150295754,0.4230327040036232,1.0,-6.951445919238713,-1.8858015051454189,3.4994023597987667,6.074230791696174,9.130135959443848,0.13544921875,7.571859435110961,52.0,54.0,0.8550097644329071,0.0,0.07829999923706055,0.0
GELU,2,dclamp,0.8671000003814697,0.9258999824523926,-1.0019014413171579,0.6813524819100717,1.0,-2.3925138654852525,-1.8858015051454189,4.052683535834625,7.783536664315481,12.175258713748077,0.308740234375,4.244559413573246,11.0,12.0,0.6635644435882568,0.30766706887479,0.07829999923706055,0.24904236725596351
GELU,2,wclamp,0.900299996137619,0.9258999824523926,-0.2723791239464104,-0.1554798977528291,1.0,-4.8845194068448174,-1.8858015051454189,1.396733014062016,2.176112086050292,3.582512629132129,0.03373046875,10.183869766682204,63.0,66.0,0.9595117270946503,4.181293201892017,0.07829999923706055,0.6730525343012174
GELU,2,wcap2,0.8659000098705292,0.9258999824523926,-0.7901051328449057,-0.08284441000474045,1.0,-7.224468370237436,-1.8858015051454189,2.8700541787994354,4.431509427552933,7.095408376152905,0.10216796875,7.48152041441057,59.0,61.0,0.8895702958106995,192925.0,0.07829999923706055,0.23371681779704884
SILU,0,ref,0.8562000095844269,0.9266999959945679,-1.0712625563341496,0.7916964372281472,1.0,-6.047053601805163,-2.9567690676342124,4.49604823971804,10.181296311212202,10.561529490648436,0.15217773437499998,6.958260216352318,25.0,27.0,0.8186621069908142,0.0,0.07049998641014099,0.0
SILU,0,dclamp,0.8593999743461609,0.9266999959945679,-0.17615967314771788,1.231227453504089,1.0,-4.116495298299235,-2.9567690676342124,5.315830558634474,12.859391335281268,11.645244252514747,0.2199609375,6.171379663075827,17.0,19.0,0.7399023473262787,0.17799861641811768,0.07049998641014099,0.0453895798379007
SILU,0,wclamp,0.911300003528595,0.9266999959945679,0.2838703236206522,-0.0547449265509499,1.0,-5.969072437722891,-2.9567690676342124,2.053942067877838,3.119032298773077,3.9020194918669118,0.043203124999999995,8.423011344570124,39.5,42.0,0.925048828125,7.244064322291791,0.07049998641014099,0.7815603484462842
SILU,0,wcap2,0.8811500072479248,0.9266999959945679,-0.6150382007881691,-0.22119919291336232,1.0,-6.8434619182324905,-2.9567690676342124,3.189696000971957,6.1073943400790975,7.7527471716078535,0.10999999999999999,7.727947916646205,36.0,39.0,0.8624120950698853,205143.0,0.07049998641014099,0.3539007442972928
SILU,1,ref,0.8611000180244446,0.9291999936103821,0.12315078930492686,0.49333514290244773,1.0,-6.166919724679186,-2.85254070510879,4.052397660229109,9.783912845809198,10.721807486904092,0.16633789062499998,7.135410962729296,26.0,28.0,0.805371105670929,0.0,0.0680999755859375,0.0
SILU,1,dclamp,0.8580999970436096,0.9291999936103821,-1.9820277268129078,0.961250663960963,1.0,-3.9631421155836444,-2.85254070510879,4.498652570875864,11.8644912297016,11.432184059044864,0.210107421875,6.262845450287764,18.0,20.5,0.7550585865974426,0.10630681666323263,0.0680999755859375,-0.04405318731794757
SILU,1,wclamp,0.9128999710083008,0.9291999936103821,0.5217814781699326,0.21683897997272386,1.0,-6.530259657350694,-2.85254070510879,1.8441869204074912,2.675125260429316,3.928009993918566,0.02482421875,9.724098488116589,49.0,53.0,0.9576757848262787,6.888309177302782,0.0680999755859375,0.7606456909589961
SILU,1,wcap2,0.8808000087738037,0.9291999936103821,0.09350673665235712,-0.01749399598134533,1.0,-6.355216324428964,-2.85254070510879,2.853871373192643,6.042059541895764,7.790610007006852,0.10770507812499999,7.628994231855662,33.0,36.0,0.8646972477436066,203147.0,0.0680999755859375,0.28928043776607665
SILU,2,ref,0.8531000018119812,0.9222999811172485,-0.3083881622243558,0.651193801204297,1.0,-7.031116594352522,-3.003102947322708,4.426923250795055,9.882202830601825,10.789437813405623,0.139775390625,7.146767807124808,29.0,31.5,0.8343456983566284,0.0,0.06919997930526733,0.0
SILU,2,dclamp,0.8580999970436096,0.9222999811172485,-1.3742460705230468,0.8143476347972803,1.0,-4.009107266247344,-3.003102947322708,4.764566721218008,11.766495929392121,11.540268797670922,0.20662109374999998,6.2152184911093755,18.0,19.0,0.7588769495487213,0.19097118185702763,0.06919997930526733,0.07225428796115016
SILU,2,wclamp,0.9124000072479248,0.9222999811172485,0.005977786127377461,0.1832987774424657,1.0,-6.676617117655944,-3.003102947322708,2.070855882224005,2.7299373721518307,3.895748058390361,0.014042968749999999,9.310926887941573,47.0,50.5,0.9685449302196503,7.293750063566404,0.06919997930526733,0.8569367510118581
SILU,2,wcap2,0.8788999915122986,0.9222999811172485,-0.6422258839748941,0.08666475371110972,1.0,-6.037282889935026,-3.003102947322708,3.1063623262650104,6.568264495084724,7.738144981684286,0.111689453125,7.625287443863668,31.0,33.0,0.8598144352436066,200867.0,0.06919997930526733,0.37283233260090803
