arm,seed,task,cap_on,major_frac,med_K_l1,med_K_l2,med_U_l1,med_U_l2,med_a1mean_l1,med_b1,med_b2,med_d_l1,med_d_l2,med_gate_mean_l1,med_gate_mean_l2,med_gate_rms_l1,med_gate_rms_l2,med_lowgate_l1,med_lowgate_l2,med_pplus_l1,med_pplus_l2,med_q_l1,med_q_l2,med_row_mean_l1,med_row_mean_l2,med_row_norm_l1,med_row_norm_l2,med_sigma_l1,med_sigma_l2,med_v_norm_l1,med_v_norm_l2,med_wt_norm_l1,med_wt_norm_l2,med_zbar_l1,med_zbar_l2,memo_acc,online_acc,rem_par,rem_perp,rows_par,rows_perp
cap_par,6,16,1,0.11166666666666666,3.218085068305495,1.9006869900907937,21.307677268981934,23.6816987991333,2.70748169535577,1.2607219815254211,-0.8318048119544983,0.17932343375625553,-1.3356675372517635,0.607693160219948,0.05803559073844759,0.7649948188936692,0.23326419401854764,0.2791666666666667,0.9254166666666667,0.5616666666666668,0.050416666666666665,0.011583989261942082,-1.5213149132663726,0.03694272303874288,-0.11868304351693951,12.96122613733458,4.105670866822402,6.05678707474314,36.933828479817635,12.961093998660031,3.80446581062519,12.888629662912633,3.94008618248267,1.182417145539075,-49.06758285281559,0.4483333230018616,0.35553125,263.20834124833345,0.0,88528,0
cap_par,6,17,1,0.11166666666666666,3.1584872404657833,1.968458310436716,21.703336715698242,25.647302627563477,2.698351056079846,1.3838254809379578,-0.8372718989849091,0.17151276027428497,-1.369854415317977,0.6148553335046242,0.04333547373302962,0.7670942603581727,0.19971527053752974,0.2833333333333333,0.9391666666666667,0.5675,0.03708333333333333,-0.003318039054844374,-1.57326562068342,0.03320242480395438,-0.1234687375609792,13.335471568822882,4.256714843737038,6.307687120829803,38.146018969868095,13.335449596396316,3.961540718235839,13.156592948138336,4.066517823711919,1.133961230702698,-51.9418056866775,0.5116666555404663,0.3718854166666667,275.09739333949983,0.0,96636,0
cap_par,6,18,1,0.11166666666666666,3.130863714904219,2.029515945695106,21.850014686584473,23.287230491638184,2.881266185017691,1.4969570636749268,-0.8852905929088593,0.2031199198732784,-1.448808406377917,0.6212496205827402,0.025267060948737506,0.772382595393549,0.1487708111526412,0.28125,0.9641666666666666,0.57375,0.019166666666666665,0.008609386493460505,-1.6616877463748785,0.037165482057131924,-0.13152205198421144,13.605289764795035,4.394214688633732,6.5333909618704595,40.31004085748168,13.60504243033482,4.108392571960422,13.442972110357928,4.207017704591839,1.505668246994416,-58.22699330798039,0.4241666793823242,0.314125,268.4743951149285,0.0,86476,0
cap_par,6,19,1,0.12083333333333333,3.1178313750769213,2.0727094197033353,22.301108360290527,26.92406177520752,3.0669204605045763,1.631077766418457,-0.9101611375808716,0.20087239049322925,-1.4461734711917706,0.6182661194920374,0.017855915216632465,0.7734230391788394,0.1285618943696969,0.28541666666666665,0.9745833333333334,0.5729166666666667,0.015833333333333335,-0.0006344305617413393,-1.712572201232793,0.03957859014171474,-0.1401463053288171,13.850856216228854,4.61296695641614,6.738588662426395,41.77495657809797,13.850626736626811,4.271481488891194,13.75270332002882,4.398585449064548,1.6092886544267335,-61.698287929321324,0.4508333206176758,0.31226041666666665,268.3077745568007,0.0,86946,0
cap_par,6,20,1,0.12416666666666666,3.1144290240874737,2.068756705334435,23.535982131958008,29.407241821289062,3.2787999124712464,1.687829613685608,-0.9380317032337189,0.19555843825205554,-1.5080853731271922,0.6280615698756824,0.017429926969373635,0.7794627410303608,0.12798937122778042,0.28374999999999995,0.9766666666666667,0.58,0.015416666666666667,0.0013112681670625487,-1.774544774642136,0.04344886055970183,-0.13842051663494204,14.144937933190665,4.710887895536098,6.886676486990002,43.70468009324382,14.144554724949671,4.364356108607373,13.99348467599177,4.493846550277702,1.580053226277232,-66.73034174479544,0.4008333384990692,0.28347916666666667,262.97264002263546,0.0,90213,0
cap_par,6,21,1,0.12083333333333333,3.106136363085276,2.0281217604237094,22.939120292663574,28.90265941619873,3.5002588864183055,1.6893313527107239,-0.9599673449993134,0.21073648201737402,-1.5082800979979205,0.6336054767469895,0.013059631004323478,0.7804888696534457,0.11139928729706297,0.2758333333333333,0.9808333333333333,0.5883333333333334,0.011666666666666667,0.00556974159702095,-1.8561973627913164,0.04050398414171598,-0.15062006835592912,14.398895409193402,4.872290143643584,6.991525596410291,46.953091446404116,14.398752385384508,4.458811457264188,14.20814921640396,4.63816264895203,1.6715104102591674,-72.03806867597004,0.3733333349227905,0.2765520833333333,263.85677333176136,0.0,86192,0
cap_par,6,22,1,0.10833333333333334,3.1615311218035473,2.0757308981884535,24.610593795776367,26.01578998565674,3.6849485914896647,1.7663573026657104,-1.0085071921348572,0.23708403827260088,-1.5624832825380501,0.6367206310079532,0.009865478850746087,0.7846047235551219,0.09335974932768056,0.2833333333333333,0.9875,0.5974999999999999,0.007916666666666666,0.001997591377730451,-1.9588982243749373,0.0413851118298924,-0.15623696204915177,14.555837974673679,4.941010063537005,7.167290246771277,48.68235021169015,14.555834478682275,4.515424297122492,14.401970933854166,4.691775287374217,1.8239382679512102,-77.67662699195246,0.33666667342185974,0.225,271.57888270169497,0.0,87612,0
cap_par,6,23,1,0.11666666666666667,3.0493365153753578,2.0060816473306846,24.95597553253174,26.332655906677246,3.7526313134088802,1.9152673482894897,-1.0455215573310852,0.250636142509278,-1.590242491070019,0.6375720024445495,0.007524867479076479,0.7862592742793829,0.08251943058360117,0.27708333333333335,0.99,0.595,0.005833333333333334,-0.0007758241732715582,-2.0209994121546178,0.04334433673490626,-0.15844323719851672,14.726796423806551,5.055632953859643,7.459776233821792,52.69116527189688,14.726742699555395,4.587407088320399,14.598777122593756,4.803354000843931,1.6804636805752913,-83.37024124905467,0.28333333134651184,0.21025,268.8909803144634,0.0,94149,0
cap_par,6,24,1,0.11833333333333333,3.1353036493621587,2.0134158423916757,26.087973594665527,25.76149272918701,3.8056678207195365,2.0996686220169067,-1.0792487263679504,0.2335886003366835,-1.5578804170090652,0.6386184770811703,0.007536153879836298,0.7852491994428493,0.08302396689520551,0.27958333333333335,0.9908333333333333,0.5920833333333333,0.006666666666666667,-0.015061359081071011,-2.0517804967734508,0.04655542162577937,-0.15927551900967957,14.77971968080417,5.096623721443692,7.712197388740821,53.75676564923518,14.779560563856293,4.656604604112269,14.667042594536605,4.856282566563465,1.8586641941964626,-85.22901707032074,0.29249998927116394,0.21411458333333333,240.94584498461336,0.0,85686,0
cap_par,6,25,1,0.11333333333333333,3.095660285519144,2.0128477843663104,25.677382469177246,28.999662399291992,3.921081166983737,2.1487876176834106,-1.0837714672088623,0.24811516365626823,-1.574984468544098,0.6391742404120737,0.007906004006307206,0.7880292279641717,0.08792175868469511,0.28208333333333335,0.9895833333333333,0.6000000000000001,0.0075,1.3439539509843557e-05,-2.0476243543636024,0.0462372157701756,-0.16010760413948447,14.889941363276396,5.162873394660787,7.718324202054132,55.23619219846317,14.889841213584557,4.696162038476157,14.815781158124356,4.895056162248986,1.9654592676957447,-87.7155638477703,0.31583333015441895,0.212875,259.75122279673815,0.0,90766,0
