task,N,N2,D2,erode,cos,rowmean,bias,arm,seed,steps2,persist,zbar_cur,sigma_cur,zbar_inv,sigma_inv,acc,E,E_pred,E_pred_wrong,r_1,r_2,r_scale
33,7.733555969020495,61.26303602855719,5.183523552263222,-4.401522671947953,-0.12613415450609586,-0.17664897024398152,0.041531451232731345,LIN0,0,,,,,,,,,,,,,
34,7.773072532397876,61.89617826737989,5.428729738965261,-4.7955875001425605,-0.13163976177638195,-0.18071750052105454,0.042348712682724,LIN0,0,,,,,,,,,,,,,
35,7.813622883918964,62.5075903942472,4.918014395659112,-4.306602268791799,-0.12382603178800711,-0.18337509406301447,0.0428669199347496,LIN0,0,,,,,,,,,,,,,
36,7.846179724686581,63.07114127266548,5.973697990104435,-5.410147111686152,-0.14035655634351357,-0.18689437453093222,0.04406864047050476,LIN0,0,,,,,,,,,,,,,
37,7.887183148948859,63.74297852982286,5.4156585010239935,-4.743821243866616,-0.13031664923757263,-0.19129487403881243,0.04426887482404709,LIN0,0,,,,,,,,,,,,,
38,7.93142832432641,64.5192308544529,5.278554521185864,-4.5023021965558225,-0.1268375195612348,-0.19468562329564043,0.04470025599002838,LIN0,0,,,,,,,,,,,,,
39,7.948223044536348,64.78641809276841,5.766932766975723,-5.499745528660197,-0.14254623142413958,-0.19822886817261848,0.0461588054895401,LIN0,0,,,,,,,,,,,,,
40,7.987196388047343,65.45082332901396,5.213922603458942,-4.549517367213415,-0.12763918816459988,-0.20153154011793548,0.04710590839385986,LIN0,0,0.04154867815577269,125.48949412809489,-21.4744211525878,8.350517039935218,-20.87698018807624,7.625229600770376,0.8580999970436096,-0.05866813918416286,-0.05866815997400403,0.002832934089449109,-0.05866813918416286,0.0,5.143473685704013
41,8.02677020555779,66.07249003612779,5.367693359220378,-4.746026652106538,-0.1278972495195049,-0.20567189540056924,0.04736076593399048,LIN0,0,,,,,,,,,,,,,
42,8.056088776471114,66.53493650156035,4.980689266372372,-4.518242800939807,-0.122554643291328,-0.20879442319899733,0.048779836297035216,LIN0,0,,,,,,,,,,,,,
43,8.068343774159917,66.75722746063555,5.76202597643003,-5.539735017354842,-0.14259178451804905,-0.2122500400399777,0.04899936392903328,LIN0,0,,,,,,,,,,,,,
44,8.106609006898912,67.36421105531385,4.835218661583961,-4.228235066905657,-0.12155140322078054,-0.21617549076962472,0.04887402802705765,LIN0,0,,,,,,,,,,,,,
45,8.11637009055886,67.57064267902716,5.442494415370232,-5.236062791656913,-0.1398743699570218,-0.21913610504829267,0.04943984150886536,LIN0,0,,,,,,,,,,,,,
46,8.10950361594869,67.47269955597771,6.159513547774287,-6.257456670823723,-0.1538544130997313,-0.22278580002124984,0.05108677819371223,LIN0,0,,,,,,,,,,,,,
47,8.124832606792918,67.74521087084278,5.456811810686074,-5.18430049582101,-0.13671598477216443,-0.22682659803073818,0.05185501947999001,LIN0,0,,,,,,,,,,,,,
48,8.124953284404281,67.75815342311378,5.619832762441319,-5.606890210170343,-0.14466384698559961,-0.22971401320703116,0.05348576754331589,LIN0,0,,,,,,,,,,,,,
49,8.161021610786529,68.38353693820784,4.996462058884298,-4.3710785437902375,-0.12159512855289427,-0.23298982319534395,0.05474016219377518,LIN0,0,,,,,,,,,,,,,
50,8.182472118111393,68.77089365278883,5.036129761190814,-4.648773046609824,-0.1300635569033921,-0.237076564561388,0.05540572106838226,LIN0,0,0.039202524244306126,128.4644256529546,-25.02656089447971,9.62521795723391,-24.524758011037086,8.892579400003813,0.8490999937057495,,,,,,
51,8.204128452836432,69.18283873637327,5.468734140199496,-5.056789056615058,-0.1342505261878851,-0.2403523980815129,0.05583383589982986,LIN0,0,,,,,,,,,,,,,
52,8.224326483717846,69.4900010073543,5.621946833595274,-5.314784562614244,-0.13236480939557255,-0.24479049478354215,0.05553015470504761,LIN0,0,,,,,,,,,,,,,
53,8.243867980057981,69.87112152460735,5.659559202280166,-5.278438685027098,-0.13811422897877695,-0.24850186853234807,0.0575630359351635,LIN0,0,,,,,,,,,,,,,
54,8.265152897383183,70.22296559331774,5.142583077456791,-4.790739008746412,-0.12696015771386393,-0.25197508332899743,0.05829005166888237,LIN0,0,,,,,,,,,,,,,
55,8.282781389548607,70.48094484022701,5.165251681941609,-4.907272435032348,-0.13010596380680672,-0.25558191353151677,0.05782668516039848,LIN0,0,,,,,,,,,,,,,
56,8.301894087176699,70.72417567191852,5.611596425580255,-5.368365593888745,-0.1309435959604345,-0.25949663007107826,0.05808189883828163,LIN0,0,,,,,,,,,,,,,
57,8.319947088046584,71.02077011812639,5.377882658391924,-5.081288212184042,-0.12961547297237414,-0.2636717186358013,0.057477594912052156,LIN0,0,,,,,,,,,,,,,
58,8.333875065538177,71.23465952555692,5.421828527486954,-5.207939120056418,-0.1332593333152104,-0.2670950158743195,0.05850850343704224,LIN0,0,,,,,,,,,,,,,
59,8.355913184350522,71.59727903018906,6.018211632957344,-5.6555921283252255,-0.1390774511091221,-0.2715957383678749,0.05911975651979447,LIN0,0,,,,,,,,,,,,,
60,8.36009756075028,71.66101289346004,5.448963960126337,-5.38523009685534,-0.13785369210165815,-0.27487324313077,0.059599433839321134,LIN0,0,0.042850662143177336,127.16172137363152,-28.00840030461531,10.41844468384307,-28.48862909974655,10.245228420652783,0.8475000262260437,-0.032119097725067526,-0.03211911373302462,0.004918021515023777,-0.032119097725067526,0.0,5.3459180795542345
61,8.371411529828382,71.91472188178092,5.4879360687175796,-5.2342270803967175,-0.13695539172369148,-0.27874992421065387,0.06106364876031876,LIN0,0,,,,,,,,,,,,,
62,8.362939210858574,71.73009086505878,5.878371896210348,-6.06300291293247,-0.14759632952388171,-0.2828365813834751,0.06155751049518585,LIN0,0,,,,,,,,,,,,,
63,8.381445984252299,72.03734061559517,5.607624604294021,-5.300374853757637,-0.13272355456576324,-0.2865634131036827,0.06129684746265411,LIN0,0,,,,,,,,,,,,,
64,8.415261604792235,72.54607722114916,4.514482777606912,-4.0057461720529135,-0.10816013139713668,-0.28941833322940286,0.06177246943116188,LIN0,0,,,,,,,,,,,,,
65,8.416085759159511,72.56036243405181,5.847550832753194,-5.833265619850541,-0.14322438927669312,-0.29214380629938036,0.06395658105611801,LIN0,0,,,,,,,,,,,,,
66,8.424169207423743,72.73298322753791,5.066242555529972,-4.8936217620438764,-0.1311276025852192,-0.2953518520090238,0.06386010274291039,LIN0,0,,,,,,,,,,,,,
67,8.427223824596695,72.77586099774003,5.386567880552484,-5.3436901103503756,-0.1356476534994023,-0.2993438518248992,0.06494010835886002,LIN0,0,,,,,,,,,,,,,
68,8.447138160899275,73.11460881330883,4.665776118134686,-4.327028302565873,-0.11923153909291781,-0.3026057839031989,0.06599245592951775,LIN0,0,,,,,,,,,,,,,
69,8.471006963034382,73.54172527905556,5.337503005062187,-4.910386539315487,-0.1279195502117137,-0.3064365788747173,0.06683377996087074,LIN0,0,,,,,,,,,,,,,
70,8.476281016276012,73.61862471175431,5.108729733929695,-5.031830301230917,-0.1295433857945874,-0.3096696809941458,0.06716303825378418,LIN0,0,0.045198284076795686,113.02928503324448,-32.07156020352134,11.723332124381253,-32.097687395894354,11.51628528774322,0.8428999781608582,,,,,,
71,8.472712678660566,73.63820880685627,5.799767768302109,-5.780183673200166,-0.14281566270135976,-0.3132193678949664,0.06771650463342667,LIN0,0,,,,,,,,,,,,,
72,8.494130902484368,74.00998161918214,5.138712114486336,-4.766939302160446,-0.12216122472715303,-0.3167049926531166,0.06822472661733628,LIN0,0,,,,,,,,,,,,,
73,8.51346618540668,74.45419070105133,4.792921739220768,-4.348712657351593,-0.12231319849151437,-0.32040712684260775,0.0684946596622467,LIN0,0,,,,,,,,,,,,,
