a,start,seed,geometry,phase_start,phase_end,nupdates,erosion,recovery,injection,inward,net,self_linear,rest_linear
0.35,0,8,full,1000,10000,9000,4.512743956791341,4.509631457063504,0.19842062729372786,0.0031124997278366706,0.195308127565891,0.0,0.0
0.35,0,9,full,0,20,20,0.13376486637117432,0.09307519304315304,0.030069649090096157,0.040689673328021286,-0.01062002423792513,0.0,0.0
0.35,0,9,full,20,100,80,0.26543388151583847,0.21440788305180664,0.030699651966868507,0.05102599846403183,-0.020326346497163333,0.0,0.0
0.35,0,9,full,100,1000,900,1.3554856755310898,1.266150657826061,0.08398242952165869,0.08933501770502872,-0.005352588183370033,0.0,0.0
0.35,0,9,full,1000,10000,9000,6.030346937738539,5.980510110421515,0.3287217455325903,0.04983682731702377,0.2788849182155664,0.0,0.0
0.35,0,0,centered,0,20,20,0.06660403595953719,0.05508807120577014,0.006116857495808095,0.011515964753767052,-0.00539910725795896,0.0,0.0
0.35,0,0,centered,20,100,80,0.152648477556078,0.13609928101106622,0.00790993945533809,0.016549196545011774,-0.008639257089673696,0.0,0.0
0.35,0,0,centered,100,1000,900,0.8331686204544629,0.8143862283907083,0.02289301973931441,0.01878239206375465,0.004110627675559808,0.0,0.0
0.35,0,0,centered,1000,10000,9000,3.868548503311209,3.960525427703343,0.06668118735793525,-0.09197692439213423,0.15865811175006916,0.0,0.0
0.35,0,1,centered,0,20,20,0.057162449808754345,0.04793644680314667,0.004037056417226455,0.009226003005607677,-0.0051889465883812255,0.0,0.0
0.35,0,1,centered,20,100,80,0.15387355504875772,0.13720252961445595,0.007526696529175472,0.016671025434301767,-0.009144328905126287,0.0,0.0
0.35,0,1,centered,100,1000,900,0.8216507103279884,0.8148108077890722,0.021913982004277664,0.006839902538916198,0.015074079465361434,0.0,0.0
0.35,0,1,centered,1000,10000,9000,3.525223095632632,3.6181975734508773,0.06546815418231502,-0.0929744778182453,0.1584426320005603,0.0,0.0
0.35,0,2,centered,0,20,20,0.042745166288879914,0.037490148819384644,0.0029823293141362514,0.00525501746949527,-0.002272688155359019,0.0,0.0
0.35,0,2,centered,20,100,80,0.12376221191610895,0.11092985467648046,0.00620907166152601,0.012832357239628486,-0.006623285578102475,0.0,0.0
0.35,0,2,centered,100,1000,900,0.6507422405397005,0.6422328436064064,0.017786036691765796,0.008509396933294111,0.009276639758471705,0.0,0.0
0.35,0,2,centered,1000,10000,9000,2.553582011726328,2.6190487042608277,0.037580188963173736,-0.06546669253449977,0.10304688149767349,0.0,0.0
0.35,0,3,centered,0,20,20,0.07223435154686843,0.05898638599071906,0.006490229425399506,0.01324796555614937,-0.0067577361307498696,0.0,0.0
0.35,0,3,centered,20,100,80,0.1475004520258352,0.12873482019750032,0.008221502719387284,0.018765631828334878,-0.010544129108947586,0.0,0.0
0.35,0,3,centered,100,1000,900,0.8092615117296107,0.7926358221564425,0.02268253400273638,0.016625689573168234,0.006056844429568109,0.0,0.0
0.35,0,3,centered,1000,10000,9000,3.731093439550732,3.829636804378633,0.062497821244453265,-0.09854336482790105,0.1610411860723544,0.0,0.0
0.35,0,4,centered,0,20,20,0.08120522939373133,0.06558320342874224,0.007914224397074633,0.015622025964989086,-0.007707801567914452,0.0,0.0
0.35,0,4,centered,20,100,80,0.17617071298620873,0.151386711507915,0.009784565236086689,0.024784001478293738,-0.014999436242207037,0.0,0.0
0.35,0,4,centered,100,1000,900,0.9390206978324459,0.9240760521895564,0.029250228452164805,0.014944645642889554,0.014305582809275297,0.0,0.0
0.35,0,4,centered,1000,10000,9000,4.502206533014091,4.604967371962337,0.09212744672162423,-0.10276083894824595,0.1948882856698706,0.0,0.0
0.35,0,5,centered,0,20,20,0.08706020117589927,0.07062122771686441,0.008188278663908793,0.01643897345903486,-0.008250694795126065,0.0,0.0
0.35,0,5,centered,20,100,80,0.16653038328198455,0.14793445449390144,0.00797518294296334,0.01859592878808311,-0.010620745845119767,0.0,0.0
0.35,0,5,centered,100,1000,900,0.9292856311187018,0.9134383159188056,0.02501889164658964,0.015847315199896128,0.00917157644669353,0.0,0.0
0.35,0,5,centered,1000,10000,9000,4.384878576899099,4.505004184848007,0.08242489177176274,-0.12012560794890792,0.20255049972067063,0.0,0.0
0.35,0,6,centered,0,20,20,0.10027282888941311,0.08190980793031767,0.008821053125895319,0.018363020959095436,-0.009541967833200118,0.0,0.0
0.35,0,6,centered,20,100,80,0.21709262307404903,0.1875392892667441,0.011536169146365368,0.029553333807304932,-0.018017164660939555,0.0,0.0
0.35,0,6,centered,100,1000,900,1.15123740278776,1.120453649249174,0.031316198010055765,0.0307837535385862,0.0005324444714696064,0.0,0.0
0.35,0,6,centered,1000,10000,9000,5.351100512901722,5.466854575237601,0.11157242040643729,-0.11575406233587948,0.22732648274231693,0.0,0.0
0.35,0,7,centered,0,20,20,0.059263497213612806,0.051729434654539774,0.004548925703327272,0.007534062559073032,-0.0029851368557457583,0.0,0.0
0.35,0,7,centered,20,100,80,0.17814054417898242,0.15404619039874626,0.009968713198721713,0.024094353780236166,-0.014125640581514443,0.0,0.0
0.35,0,7,centered,100,1000,900,0.8665664026335989,0.8486155855049997,0.024342714906883254,0.01795081712859914,0.0063918977782840836,0.0,0.0
0.35,0,7,centered,1000,10000,9000,4.043185207339388,4.134584808688565,0.07111786987708106,-0.09139960134917757,0.16251747122625826,0.0,0.0
0.35,0,8,centered,0,20,20,0.06650958876439125,0.05512681312356939,0.006455613857001247,0.011382775640821866,-0.004927161783820619,0.0,0.0
0.35,0,8,centered,20,100,80,0.1611456181065431,0.13564010801640042,0.009194865990123435,0.02550551009014268,-0.016310644100019256,0.0,0.0
0.35,0,8,centered,100,1000,900,0.7710601352771103,0.7481748797106265,0.02236461236523822,0.022885255566483798,-0.0005206432012455631,0.0,0.0
0.35,0,8,centered,1000,10000,9000,4.275885302689288,4.382691418690466,0.09052828593795868,-0.10680611600117818,0.19733440193913676,0.0,0.0
0.35,0,9,centered,0,20,20,0.12304187933896453,0.09413673700452908,0.013907371553228073,0.028905142334435446,-0.01499777078120737,0.0,0.0
0.35,0,9,centered,20,100,80,0.23835955864344727,0.20044436515675526,0.014477691619642167,0.037915193486692006,-0.023437501867049848,0.0,0.0
0.35,0,9,centered,100,1000,900,1.2082702808389691,1.168914037718388,0.03916593535099664,0.03935624312058117,-0.00019030776958461892,0.0,0.0
0.35,0,9,centered,1000,10000,9000,6.131869336345337,6.261214646334045,0.15354455006984968,-0.1293453099887074,0.28288986005855676,0.0,0.0
0.35,0,0,variance,0,20,20,0.016631543752340463,0.014621838440900998,0.0008544314103700275,0.002009705311439465,-0.0011552739010694379,-0.006970412227013166,0.004960706649018892
0.35,0,0,variance,20,100,80,0.03666758195494621,0.033910716708579106,0.0010549708118614762,0.0027568652463671045,-0.0017018944345056283,-0.02357560024024915,0.02081873907859857
0.35,0,0,variance,100,1000,900,0.2003402555427744,0.19873880322910592,0.0029806068886378155,0.0016014523136684833,0.0013791545749693435,-0.1952365527234558,0.19363509578997493
0.35,0,0,variance,1000,10000,9000,0.9478834838884765,0.9794419903449356,0.008513038031458033,-0.03155850645645908,0.040071544487917166,-2.8738004710231326,2.9053590035576624
0.35,0,1,variance,0,20,20,0.018473796328210054,0.015971294552568575,0.0009501071977786287,0.002502501775641479,-0.00155239457786285,-0.007632335637741126,0.005129831929381533
0.35,0,1,variance,20,100,80,0.04750767825238538,0.04411873616800163,0.001557518784215571,0.003388942084383749,-0.0018314233001681807,-0.026224127895150502,0.022835193028878827
0.35,0,1,variance,100,1000,900,0.2636879049238299,0.2626589442801099,0.004712042958144447,0.0010289606437199894,0.003683082314424435,-0.25594548959878904,0.2549165184362029
0.35,0,1,variance,1000,10000,9000,1.1943129707400266,1.2173175752252177,0.014330309607283745,-0.023004604485191038,0.0373349140924748,-3.320903133198981,3.343907710818622
0.35,0,2,variance,0,20,20,0.010425569649863485,0.009473201363140041,0.0003883769045157599,0.0009523682867234439,-0.0005639913822076837,-0.004457212351000897,0.003504844303003547
0.35,0,2,variance,20,100,80,0.028773316203180653,0.026349359995676752,0.0006976576457859435,0.002423956207503901,-0.001726298561717958,-0.014977085471582307,0.012553127100271113
0.35,0,2,variance,100,1000,900,0.16111286884502748,0.1614893690602087,0.0023272633030537895,-0.000376500215181208,0.0027037635182350084,-0.13937556711595542,0.13975206165500578
0.35,0,2,variance,1000,10000,9000,0.6706834964989952,0.6910777380968289,0.005371044977876507,-0.020394241597833762,0.02576528657571031,-1.9768465731072187,1.9972408606964858
0.35,0,3,variance,0,20,20,0.017956017511093235,0.016042345139812276,0.0008728800969687291,0.001913672371280959,-0.0010407922743122314,-0.007375513951341407,0.0054618418491763875
0.35,0,3,variance,20,100,80,0.03899390124175215,0.03499895270502145,0.001292246338969709,0.0039949485367307,-0.0027027021977609894,-0.022346509238443293,0.01835156245268153
0.35,0,3,variance,100,1000,900,0.21284706189407854,0.21148737792785605,0.003406698477406743,0.0013596839662224913,0.0020470145111842475,-0.2007823831171351,0.199422701968506
0.35,0,3,variance,1000,10000,9000,1.000059906604007,1.0298104756649684,0.009483145303222812,-0.029750569060961407,0.039233714364184324,-2.8564876063529923,2.8862381888377
0.35,0,4,variance,0,20,20,0.022482229951633056,0.019393099282171318,0.001243519994312383,0.0030891306694617385,-0.001845610675149354,-0.008776293607097887,0.005687166597647349
0.35,0,4,variance,20,100,80,0.05003606552778524,0.04464270307658287,0.001612072973712752,0.005393362451202366,-0.0037812894774896105,-0.023879537816562536,0.01848618320529172
0.35,0,4,variance,100,1000,900,0.2626614775677323,0.26168873755816496,0.004417908907062031,0.0009727400095673189,0.003445168897494688,-0.21356931228544607,0.2125965632163596
0.35,0,4,variance,1000,10000,9000,1.253424644072457,1.2884809829364139,0.013238304747216403,-0.03505633886395687,0.048294643611173305,-3.462724574823068,3.497780918835795
0.35,0,5,variance,0,20,20,0.025782352483165516,0.021599932847897636,0.001985475546741608,0.00418241963526788,-0.0021969440885262724,-0.0073599558223206695,0.0031775356472973242
0.35,0,5,variance,20,100,80,0.04878586530602937,0.04415534391302861,0.0017668039413975367,0.004630521393000762,-0.0028637174516032288,-0.0188547983240047,0.014224275531359219
0.35,0,5,variance,100,1000,900,0.2766146092591023,0.27318099757808934,0.005811046638303589,0.0034336116810129713,0.0023774349572905917,-0.17035870561566388,0.1669251035226471
0.35,0,5,variance,1000,10000,9000,1.3326427038857762,1.360858207503468,0.019739399171023072,-0.028215503617691873,0.04795490278871495,-2.9854308579883826,3.013646374429844
0.35,0,6,variance,0,20,20,0.022905975752747908,0.019708614251364626,0.001045301845788126,0.0031973615013832814,-0.002152059655595156,-0.008720216200847584,0.005522847798547276
0.35,0,6,variance,20,100,80,0.05249754999938072,0.046153356441775366,0.0014265899680061917,0.006344193557605356,-0.004917603589599161,-0.025844324716099976,0.019500130313521772
0.35,0,6,variance,100,1000,900,0.2680861382924139,0.2648444653566832,0.0037320322170670142,0.0032416729357306884,0.0004903592813363389,-0.20023581817484257,0.1969941651316736
0.35,0,6,variance,1000,10000,9000,1.3202714071706507,1.363381992026149,0.01454718940164249,-0.043110584855498235,0.05765777425714069,-3.8477171203146354,3.8908277952533696
0.35,0,7,variance,0,20,20,0.01446868374314777,0.013139496732387646,0.0006014079469335397,0.0013291870107601245,-0.0007277790638265842,-0.007957486086084046,0.006628301881381998
0.35,0,7,variance,20,100,80,0.04645297700616728,0.041405621012563135,0.0015245446283687798,0.005047355993604147,-0.0035228113652353704,-0.022378118349249736,0.01733076512743529
0.35,0,7,variance,100,1000,900,0.22410009627424685,0.22277751843607252,0.003696594309435964,0.001322577838174327,0.0023740164712616474,-0.1824641993644824,0.1811416103123817
0.35,0,7,variance,1000,10000,9000,1.078814540620438,1.1081968279230683,0.01079108610617074,-0.029382287302630372,0.040173373408801005,-2.7888799666905686,2.8182622965992787
0.35,0,8,variance,0,20,20,0.017850881327325093,0.015565634316710214,0.000985039290884597,0.0022852470106148794,-0.0013002077197302835,-0.008649417224526796,0.0063641705163339
0.35,0,8,variance,20,100,80,0.04254953863034032,0.0374809832129324,0.001353809826915046,0.005068555417407916,-0.0037147455904928683,-0.02715472881055293,0.022086177954044765
0.35,0,8,variance,100,1000,900,0.2038693065811065,0.20039359161131204,0.003312475832049753,0.003475714969794458,-0.000163239137744714,-0.2118740434424585,0.2083983114451405
0.35,0,8,variance,1000,10000,9000,1.184633865896615,1.2198407961129307,0.013354934429556148,-0.035206930216315824,0.048561864645871866,-3.5067288296670562,3.541935786285383
0.35,0,9,variance,0,20,20,0.03322651559919545,0.027101280731494516,0.0021259854938492414,0.006125234867700932,-0.003999249373851689,-0.012272935869452311,0.006147697584855252
0.35,0,9,variance,20,100,80,0.06279577231483788,0.05530337942499891,0.0020260409041402347,0.007492392889838967,-0.005466351985698732,-0.031753201716596104,0.02426081374912416
0.35,0,9,variance,100,1000,900,0.328206702757294,0.32299705523859545,0.005744541669999117,0.005209647518698568,0.0005348941513005356,-0.2663020374737798,0.26109239703975917
0.35,0,9,variance,1000,10000,9000,1.6605015242385057,1.7076761470501485,0.022370311260726937,-0.04717462281164275,0.06954493407236972,-5.045163854284449,5.092338506027744
0.4,0,0,full,0,20,20,0.07599716853033042,0.05572220737432153,0.014663100089431188,0.020274961156008894,-0.005611861066577711,0.0,0.0
0.4,0,0,full,20,100,80,0.1598770639194989,0.13467358734824955,0.016431633679959225,0.025203476571249356,-0.008771842891290127,0.0,0.0
0.4,0,0,full,100,1000,900,0.8802923056852991,0.8273923598740387,0.04825193221544998,0.05289994581126045,-0.004648013595810463,0.0,0.0
0.4,0,0,full,1000,10000,9000,4.046279443270668,4.04443165019715,0.1603635927993834,0.0018477930735185666,0.1585157997258646,0.0,0.0
0.4,0,1,full,0,20,20,0.066331663696423,0.050513276703739285,0.00989544913158242,0.015818386992683717,-0.0059229378611012976,0.0,0.0
0.4,0,1,full,20,100,80,0.18273505984848076,0.15241047285865172,0.01901451202253201,0.03032458698982904,-0.011310074967297024,0.0,0.0
0.4,0,1,full,100,1000,900,0.9679017400388652,0.9187793368780222,0.05410633942211018,0.04912240316084304,0.004983936261267141,0.0,0.0
0.4,0,1,full,1000,10000,9000,4.618126371357553,4.590671485508082,0.20544352424536028,0.027454885849470756,0.17798863839588996,0.0,0.0
0.4,0,2,full,0,20,20,0.04735732443755768,0.037686898465909904,0.007083727944753336,0.009670425971647773,-0.0025866980268944365,0.0,0.0
0.4,0,2,full,20,100,80,0.12806629609140754,0.10695402269768395,0.014128902617862857,0.021112273393723596,-0.006983370775860739,0.0,0.0
0.4,0,2,full,100,1000,900,0.6998039311379215,0.6606950675915406,0.04086362596134663,0.03910886354638088,0.0017547624149657493,0.0,0.0
0.4,0,2,full,1000,10000,9000,2.9306209359287534,2.940746167981782,0.10515983049484603,-0.010125232053028732,0.11528506254787496,0.0,0.0
0.4,0,3,full,0,20,20,0.07354867069037087,0.05580431235121428,0.012916981638483186,0.017744358339156587,-0.0048273767006734025,0.0,0.0
0.4,0,3,full,20,100,80,0.1602862540599789,0.1310120494322008,0.01656831657657419,0.029274204627778105,-0.0127058880512039,0.0,0.0
0.4,0,3,full,100,1000,900,0.9146068421204017,0.855900927631402,0.05054582714774518,0.058705914488999644,-0.008160087341254507,0.0,0.0
0.4,0,3,full,1000,10000,9000,4.805512215441261,4.786492612258085,0.19431307612242912,0.019019603183175526,0.1752934729392539,0.0,0.0
0.4,0,4,full,0,20,20,0.08345561700926948,0.060615604475458884,0.014914790974353224,0.0228400125338106,-0.00792522155945738,0.0,0.0
0.4,0,4,full,20,100,80,0.18855876572234934,0.1515198436867444,0.02064127108031154,0.03703892203560494,-0.016397650955293386,0.0,0.0
0.4,0,4,full,100,1000,900,1.017703383416285,0.9515454440990659,0.06356028810044488,0.06615793931721903,-0.002597651216774244,0.0,0.0
0.4,0,4,full,1000,10000,9000,5.534140619856398,5.471718161092797,0.2764448871739055,0.062422458763601085,0.2140224284103045,0.0,0.0
0.4,0,5,full,0,20,20,0.0903685060145975,0.06305958811132772,0.01965884451510334,0.02730891790326978,-0.007650073388166437,0.0,0.0
0.4,0,5,full,20,100,80,0.1775601998205985,0.14636342433047594,0.018867293855305625,0.031196775490122564,-0.012329481634816952,0.0,0.0
0.4,0,5,full,100,1000,900,0.9566542935054715,0.8950936846598749,0.05781952900101058,0.061560608845596554,-0.0037410798445859372,0.0,0.0
0.4,0,5,full,1000,10000,9000,5.108931131043509,5.069041390902678,0.253977700983549,0.03988974014083091,0.21408796084271842,0.0,0.0
0.4,0,6,full,0,20,20,0.09306159281584404,0.0684230182394023,0.016783397983321586,0.024638574576441738,-0.007855176593120156,0.0,0.0
0.4,0,6,full,20,100,80,0.2181480003138848,0.1735236997334481,0.02518376130613905,0.04462430058043668,-0.01944053927429762,0.0,0.0
0.4,0,6,full,100,1000,900,1.1243755802962685,1.0406019072091528,0.06687819928465663,0.0837736730871157,-0.01689547380245915,0.0,0.0
0.4,0,6,full,1000,10000,9000,6.240523469400015,6.149214926165422,0.335791768260395,0.09130854323459303,0.24448322502580222,0.0,0.0
0.4,0,7,full,0,20,20,0.06294636735785583,0.0496473572252396,0.009946776482244775,0.01329901013261623,-0.003352233650371454,0.0,0.0
0.4,0,7,full,20,100,80,0.1825391705189097,0.14995958798070783,0.020510938812580395,0.03257958253820187,-0.01206864372562147,0.0,0.0
0.4,0,7,full,100,1000,900,0.9141295451105853,0.8610225479428898,0.05295525154551678,0.05310699716769551,-0.00015174562217867837,0.0,0.0
0.4,0,7,full,1000,10000,9000,4.565002594134552,4.540121715190081,0.19088908931244775,0.02488087894447144,0.16600821036797608,0.0,0.0
0.4,0,8,full,0,20,20,0.0730214076348819,0.05331187635138054,0.01407742932243399,0.019709531283501357,-0.005632101961067365,0.0,0.0
0.4,0,8,full,20,100,80,0.17722259315352432,0.14078081939345527,0.020153817879973855,0.036441773760069046,-0.016287955880095184,0.0,0.0
0.4,0,8,full,100,1000,900,0.8706863076335267,0.8150494211833511,0.04990898761860758,0.055636886450175616,-0.00572789883156799,0.0,0.0
0.4,0,8,full,1000,10000,9000,4.676892093098225,4.654214076617396,0.21797572059305131,0.022678016480829122,0.19529770411222191,0.0,0.0
0.4,0,9,full,0,20,20,0.12328819131338253,0.08422005003948108,0.02702994463807276,0.03906814127390146,-0.012038196635828696,0.0,0.0
0.4,0,9,full,20,100,80,0.24050733234263388,0.19376517294081563,0.026223904986140616,0.04674215940181825,-0.020518254415677645,0.0,0.0
0.4,0,9,full,100,1000,900,1.3200419679535202,1.2183088790667194,0.08419098233839806,0.10173308888680088,-0.017542106548402714,0.0,0.0
0.4,0,9,full,1000,10000,9000,7.952540630984567,7.785302210284186,0.4629228688667351,0.16723842070038053,0.2956844481663552,0.0,0.0
0.4,0,0,centered,0,20,20,0.07208687124332812,0.05897680955364666,0.006778204735836545,0.013110061689681457,-0.0063318569538449165,0.0,0.0
0.4,0,0,centered,20,100,80,0.15206809202011612,0.13475383358570475,0.00768964465214342,0.017314258434411367,-0.009624613782267949,0.0,0.0
0.4,0,0,centered,100,1000,900,0.8358262969947832,0.8102803665399214,0.02278119065069839,0.025545930454861754,-0.002764739804163363,0.0,0.0
0.4,0,0,centered,1000,10000,9000,4.188997464854532,4.274148144952353,0.07592301480526883,-0.08515068009782034,0.16107369490308887,0.0,0.0
0.4,0,1,centered,0,20,20,0.05937854921493975,0.04935137251092114,0.004062958803684405,0.010027176704018606,-0.005964217900334204,0.0,0.0
0.4,0,1,centered,20,100,80,0.16523938136446342,0.14414131001546357,0.008144933630015925,0.021098071348999853,-0.012953137718983931,0.0,0.0
0.4,0,1,centered,100,1000,900,0.8685592868170391,0.8520646050913374,0.02278493320093538,0.016494681725701676,0.006290251475233655,0.0,0.0
0.4,0,1,centered,1000,10000,9000,4.521481981998976,4.614228246321156,0.08627306502112578,-0.09274626432218014,0.17901932934330578,0.0,0.0
0.4,0,2,centered,0,20,20,0.04508778365727359,0.0394408490363863,0.0031268809171097456,0.005646934620887292,-0.0025200537037775445,0.0,0.0
0.4,0,2,centered,20,100,80,0.12610091900774878,0.11238243563492656,0.006422985576584545,0.013718483372822221,-0.007295497796237671,0.0,0.0
0.4,0,2,centered,100,1000,900,0.6837270435534103,0.6690793170173394,0.018427834105787796,0.014647726536070937,0.0037801075697168063,0.0,0.0
0.4,0,2,centered,1000,10000,9000,3.0654329424825915,3.1330356866654214,0.04781591480858591,-0.06760274418282997,0.11541865899141568,0.0,0.0
0.4,0,3,centered,0,20,20,0.07267366131905642,0.0604914962560845,0.00599721326817536,0.012182165062971921,-0.006184951794796556,0.0,0.0
0.4,0,3,centered,20,100,80,0.15551982038108156,0.13611551968651853,0.007693369554053116,0.01940430069456303,-0.011710931140509917,0.0,0.0
0.4,0,3,centered,100,1000,900,0.8699933519499273,0.8414655387299941,0.023354987856450286,0.02852781321993325,-0.005172825363482958,0.0,0.0
0.4,0,3,centered,1000,10000,9000,5.0455472558907655,5.132199018695799,0.09001861960774286,-0.08665176280503317,0.17667038241277577,0.0,0.0
0.4,0,4,centered,0,20,20,0.07863290353057514,0.06421190793467586,0.006642002860688316,0.01442099559589928,-0.00777899273521096,0.0,0.0
0.4,0,4,centered,20,100,80,0.1784058809709685,0.15133826432323583,0.009155886571422099,0.027067616647732662,-0.017911730076310556,0.0,0.0
0.4,0,4,centered,100,1000,900,0.9715703657797283,0.9423453614905295,0.028871646348116675,0.02922500428919883,-0.00035335794108215524,0.0,0.0
0.4,0,4,centered,1000,10000,9000,5.721267015679624,5.811442391490553,0.12584875612529134,-0.09017537581092938,0.21602413193622105,0.0,0.0
0.4,0,5,centered,0,20,20,0.08323488636492335,0.06736990269186782,0.008019433379772869,0.015864983673055527,-0.007845550293282655,0.0,0.0
0.4,0,5,centered,20,100,80,0.16967462969140906,0.14855011663225431,0.0078535695690812,0.021124513059154748,-0.013270943490073545,0.0,0.0
0.4,0,5,centered,100,1000,900,0.909343710943266,0.8834009775605602,0.023652701308863777,0.025942733382705807,-0.002290032073842041,0.0,0.0
0.4,0,5,centered,1000,10000,9000,5.249809319226227,5.364026925828001,0.10283546233279546,-0.11421760660177416,0.21705306893457,0.0,0.0
0.4,0,6,centered,0,20,20,0.09547705006158429,0.0783543999545409,0.007429467077806675,0.01712265010704339,-0.009693183029236718,0.0,0.0
0.4,0,6,centered,20,100,80,0.22071464296591864,0.18999779134529077,0.011059533067584042,0.030716851620627872,-0.01965731855304384,0.0,0.0
0.4,0,6,centered,100,1000,900,1.1438602414028958,1.0956696669725292,0.02996344741474665,0.04819057443036656,-0.018227127015620015,0.0,0.0
0.4,0,6,centered,1000,10000,9000,6.895120032143103,6.989276685127962,0.1503059665881218,-0.09415665298485898,0.24446261957298088,0.0,0.0
