a,start,seed,geometry,phase,expected_linear,expected_injection,fullbatch_injection,noise_injection,expected_net,q,self_variance_rate
0.35,0,4,full,1000,-5.5673697333147146e-05,4.759775537712429e-05,1.0218367382405675e-05,3.737938799471861e-05,-8.075941956022864e-06,0.008930853050169009,-0.024823272383386684
0.35,0,4,full,5000,1.0747584673501236e-05,1.286289909273091e-05,2.0032826303714255e-06,1.0859616462359484e-05,2.361048376623214e-05,0.016151610640687982,-0.03778317879260099
0.35,0,4,full,9999,-1.0406218257199978e-06,6.0705127402633576e-06,1.9365322297123165e-06,4.133980510551041e-06,5.029890914543363e-06,0.01921859887720179,-0.04676865483393194
0.35,0,5,full,0,-0.00048580029445392326,0.0005164542731199193,0.0001161106850283862,0.00040034358809153304,3.065397866599596e-05,0.08188677603270404,-0.03988550199623313
0.35,0,5,full,20,-0.0005494449650007221,0.0004031007006027313,9.293467178927891e-05,0.00031016602881345234,-0.00014634426439799072,0.06068576483630934,-0.027526688997710973
0.35,0,5,full,100,-0.0003905886574880793,0.00020324913690243946,7.961838713045033e-05,0.0001236307497719891,-0.0001873395205856399,0.0373290611238885,-0.020943855636733014
0.35,0,5,full,1000,-3.0038445362464992e-05,4.088865296306957e-05,7.137215941642004e-06,3.375143702142757e-05,1.0850207600604582e-05,0.01260627995300867,-0.019552300291628265
0.35,0,5,full,5000,-3.0024363894979636e-05,2.2915427587286402e-05,6.172834195506624e-06,1.6742593391779774e-05,-7.108936307693232e-06,0.01657782279733104,-0.03394150044727299
0.35,0,5,full,9999,-8.138623862614277e-06,1.052472667964724e-05,4.082910505823062e-06,6.44181617382418e-06,2.3861028170329596e-06,0.021090745185524208,-0.041741681319219626
0.35,0,6,full,0,-0.0003858009125745523,0.0005396849590042592,8.745583862949978e-05,0.0004522291203747594,0.00015388404642970683,0.07101642760966954,-0.04932600542233131
0.35,0,6,full,20,-0.0024508818162492646,0.0012378492817096678,0.0006396410285328723,0.0005982082531767954,-0.0012130325345395968,0.05451679047360519,-0.04406650676828211
0.35,0,6,full,100,-0.0003622951887672589,0.00019557916841618267,5.431906806007221e-05,0.00014126010035611042,-0.00016671602035107612,0.01952904276318828,-0.026972331533659195
0.35,0,6,full,1000,1.9707891355513088e-05,5.509642868998e-05,1.3679421715173952e-05,4.141700697480605e-05,7.480432004549309e-05,-0.0017127345768165388,-0.023001354779285423
0.35,0,6,full,5000,5.504510457725633e-06,2.2594280306229058e-05,6.206344604580762e-06,1.6387935701648295e-05,2.8098790763954684e-05,0.005519133146437653,-0.04303910574041593
0.35,0,6,full,9999,1.200829640171104e-05,7.263066344623155e-06,9.493431762447906e-07,6.313723168378365e-06,1.9271362746334197e-05,0.009311574559265704,-0.05371801396291385
0.35,0,7,full,0,-0.0004546817606753691,0.0007726462092681474,0.0003662430878605713,0.00040640312140757605,0.0003179644485927783,0.05884185588152809,-0.03911688937257653
0.35,0,7,full,20,-0.0010369899024762908,0.0005171877221433506,0.00016286680490178634,0.00035432091724156404,-0.00051980218033294,0.04535188097443199,-0.035163005170676435
0.35,0,7,full,100,-0.00010571975024662803,0.00011655049646999623,2.580755105104316e-05,9.074294541895306e-05,1.0830746223368203e-05,0.016267549434983965,-0.023891861502896846
0.35,0,7,full,1000,-5.1773714203597556e-05,3.535540142190556e-05,5.086720067284305e-06,3.0268681354621262e-05,-1.6418312781691976e-05,-0.002106532316849057,-0.020820842296436652
0.35,0,7,full,5000,8.425301469374453e-06,1.1195154052634597e-05,1.2746721264326396e-06,9.920481926201958e-06,1.962045552200905e-05,0.0033326973613673873,-0.0305181207448744
0.35,0,7,full,9999,1.3502133036856736e-05,4.129207405600271e-06,1.2248790456707491e-06,2.904328359929522e-06,1.7631340442457002e-05,0.007934785646276732,-0.039040556027798504
0.35,0,8,full,0,-0.0005987660353469256,0.0005644735487021054,0.00018165754008086452,0.0003828160086212409,-3.429248664482022e-05,0.07553548246122144,-0.04671868372456221
0.35,0,8,full,20,-0.00047227687398495135,0.0003670809078080621,9.282125790723483e-05,0.0002742596499008273,-0.00010519596617688916,0.06142945029720484,-0.04196075972745989
0.35,0,8,full,100,-0.00015783965990128222,0.00012004934945412716,2.9624880298963535e-05,9.042446915516363e-05,-3.7790310447155026e-05,0.033479786462310444,-0.026871269237073045
0.35,0,8,full,1000,-5.662808007400957e-06,2.8703067364407573e-05,2.8605088681796607e-06,2.584255849622791e-05,2.3040259357006615e-05,0.0075946726835912515,-0.022917257333426838
0.35,0,8,full,5000,4.8741547958141455e-06,1.859524089483421e-05,4.548207527123035e-06,1.4047033367711175e-05,2.3469395690648357e-05,0.010748707786186404,-0.038475836244347805
0.35,0,8,full,9999,4.6162959860066515e-06,5.9449920781722426e-06,7.693148605904877e-07,5.175677217581755e-06,1.0561288064178894e-05,0.014995612763380147,-0.05111311360485213
0.35,0,9,full,0,-0.0006242683010294313,0.0008610692372380684,0.00017606954400820757,0.0006849996932298609,0.0002368009362086371,0.06131175562978853,-0.064892071476968
0.35,0,9,full,20,-0.0007656576729583365,0.0006235653721509367,0.00012746935548903633,0.0004960960166619003,-0.00014209230080739992,0.04006407894388789,-0.04675484687400856
0.35,0,9,full,100,-0.0006475224351791052,0.000271504628671842,9.19685027162872e-05,0.0001795361259555548,-0.00037601780650726324,0.014720989261467771,-0.0335304330267498
0.35,0,9,full,1000,-0.00014051049298546928,0.00016164275318044703,7.913476873157544e-05,8.250798444887157e-05,2.1132260194977784e-05,0.002837015408958054,-0.032060315227019714
0.35,0,9,full,5000,2.443946345848465e-06,3.904291547040891e-05,1.1870336294236878e-05,2.7172579176172032e-05,4.1486861816257365e-05,0.008747317751168819,-0.055685793493820954
0.35,0,9,full,9999,1.2403718603850663e-06,1.3940311135087182e-05,6.319832723539404e-06,7.620478411547775e-06,1.518068299547224e-05,0.013488361932408401,-0.0716716270949641
0.35,0,0,centered,0,3.104335360293216e-05,0.00021747239285063675,6.411884326504408e-05,0.00015335354958559267,0.00024851574645356887,0.06400295516834538,-0.03760558184676563
0.35,0,0,centered,20,-0.0004098860162504466,0.00016410599189012605,4.570599831612248e-05,0.00011839999357400359,-0.00024578002436032053,0.046424804316527485,-0.031696182289971966
0.35,0,0,centered,100,-2.3409130600515122e-05,5.1512594587314596e-05,1.0182420005602697e-05,4.13301745817119e-05,2.8103463986799443e-05,0.02372623850185191,-0.026323239673856594
0.35,0,0,centered,1000,7.513161445594738e-05,1.556581407434088e-05,2.707191621155363e-06,1.2858622453185516e-05,9.069742853028826e-05,0.003620443946974829,-0.021146475968049215
0.35,0,0,centered,5000,-1.890420147281912e-05,9.217596228768756e-06,3.2520062213849574e-06,5.965590007383799e-06,-9.68660524405036e-06,0.004204902708497652,-0.031512651233648256
0.35,0,0,centered,9999,-1.482412079093204e-05,1.4489905756907878e-06,3.3526947670939424e-07,1.1137210989813935e-06,-1.3375130215241254e-05,0.006782941724314734,-0.04010658112988549
0.35,0,1,centered,0,-0.0004539681517483704,0.00018613372257554261,5.1047536896396544e-05,0.0001350861856791461,-0.00026783442917282775,0.06919536167050605,-0.042057267167830044
0.35,0,1,centered,20,-0.00027765328800043003,0.00011671250284272543,2.0107944669751945e-05,9.660455817297348e-05,-0.00016094078515770452,0.053910983362823246,-0.035366731068561946
0.35,0,1,centered,100,-0.0002203544701612428,5.94149903830784e-05,1.4966525155941947e-05,4.444846522713646e-05,-0.0001609394797781644,0.029221896332854286,-0.031891747598910766
0.35,0,1,centered,1000,-7.179288404746862e-05,1.8733518862458998e-05,4.116641508736916e-06,1.4616877353722083e-05,-5.305936518500961e-05,0.007310546789386552,-0.030470936228685623
0.35,0,1,centered,5000,-3.7872258946572536e-06,7.399599453374897e-06,1.8005742780148955e-06,5.59902517536e-06,3.61237355871764e-06,0.006270515853624022,-0.037639055857759104
0.35,0,1,centered,9999,-1.2140248649036889e-05,2.2402827041484488e-06,4.181938470817785e-07,1.8220888570666706e-06,-9.899965944888442e-06,0.009664279465306893,-0.042467802761014854
0.35,0,2,centered,0,-0.0002341056946297946,0.00014640206345226358,3.618997703645334e-05,0.00011021208641581024,-8.770363117753104e-05,0.0908218300340761,-0.023910393132177382
0.35,0,2,centered,20,-0.0002643927163623383,0.00011789745285345874,3.1154484627490014e-05,8.674296822596872e-05,-0.00014649526350887952,0.08054023477685279,-0.022169357828818122
0.35,0,2,centered,100,-4.933619856172354e-05,4.941609205100874e-05,1.4274814654278094e-05,3.514127739673065e-05,7.989348928511691e-08,0.062406052486701724,-0.01680503286511492
0.35,0,2,centered,1000,3.4327485130204155e-05,1.1196174697208096e-05,2.2996620365850877e-06,8.89651266062301e-06,4.552365982741225e-05,0.038322225228664866,-0.015591037813088765
0.35,0,2,centered,5000,5.386130875401035e-06,3.806902385533169e-06,9.623250247240559e-07,2.8445773608091137e-06,9.193033260934209e-06,0.03532290592269517,-0.021765574122006512
0.35,0,2,centered,9999,1.1331657700966321e-05,5.504113603049563e-07,8.334734192223808e-08,4.670640183827183e-07,1.1882069061271275e-05,0.03821720004782267,-0.026401273360639948
0.35,0,3,centered,0,-0.0004180582533259822,0.0002070659260566873,4.65009571236652e-05,0.0001605649689330221,-0.00021099232726929499,0.07914778171375737,-0.04028252085188628
0.35,0,3,centered,20,-0.0004493553237135762,0.00021905231760837576,8.85063713467146e-05,0.00013054594626166115,-0.0002303030061052005,0.058473768886259096,-0.03360177901136593
0.35,0,3,centered,100,-0.00023295037605111884,8.092960848936925e-05,2.9012909327347642e-05,5.191669916202162e-05,-0.0001520207675617496,0.03180590268672779,-0.026227501212294863
0.35,0,3,centered,1000,-5.3350036572977695e-05,1.935179757691373e-05,4.4908469358621355e-06,1.4860950641051596e-05,-3.399823899606398e-05,0.005344576176025061,-0.021300810408520762
0.35,0,3,centered,5000,1.569596139627236e-05,4.838028380375526e-06,7.97210699342527e-07,4.040817681032999e-06,2.0533989776647887e-05,0.005034747241128385,-0.03123922150292701
0.35,0,3,centered,9999,2.2598097787660276e-05,1.3682368056455525e-06,3.7505651632531967e-07,9.93180289320233e-07,2.3966334593305825e-05,0.0092097284154359,-0.03972231127517847
0.35,0,4,centered,0,-0.00032140227206143424,0.0003602554169155176,0.00011112217722755557,0.00024913323968796204,3.8853144854083314e-05,0.0844051630803909,-0.05264343091076061
0.35,0,4,centered,20,-0.0005469643505921122,0.00028761978300677213,9.374890646585867e-05,0.00019387087654091351,-0.00025934456758534006,0.05906667568582247,-0.038929336860441054
0.35,0,4,centered,100,-0.00020083670379244162,8.791920326984803e-05,2.1856556243389076e-05,6.606264702645895e-05,-0.00011291750052259362,0.032484035158208836,-0.030171410996410797
0.35,0,4,centered,1000,-3.608658189353166e-05,2.164363373013124e-05,4.077603288149767e-06,1.7566030441981473e-05,-1.4442948163400433e-05,0.008930853050169009,-0.024823272383386684
0.35,0,4,centered,5000,4.055284836829011e-05,5.833160550065572e-06,7.899558426703473e-07,5.043204707395224e-06,4.6386008918355684e-05,0.016151610640687982,-0.03778317879260099
0.35,0,4,centered,9999,5.548898919111844e-06,2.7748256042780214e-06,7.690269730745526e-07,2.0057986312034693e-06,8.323724523389878e-06,0.01921859887720179,-0.04676865483393194
0.35,0,5,centered,0,-0.00043876013598445585,0.000213171919461471,4.248549864864191e-05,0.00017068642081282905,-0.00022558821652298493,0.08188677603270404,-0.03988550199623313
0.35,0,5,centered,20,-0.0005699099909808902,0.00016694172736459633,3.3732030293333083e-05,0.00013320969707126325,-0.00040296826361629386,0.06068576483630934,-0.027526688997710973
0.35,0,5,centered,100,-8.800772626080833e-05,8.335429432382114e-05,2.764230921396654e-05,5.57119851098546e-05,-4.653431936987168e-06,0.0373290611238885,-0.020943855636733014
0.35,0,5,centered,1000,2.1801340521120738e-05,1.635097822957648e-05,2.3444431335348734e-06,1.4006535096041603e-05,3.815231875069723e-05,0.01260627995300867,-0.019552300291628265
0.35,0,5,centered,5000,-1.6923604912692152e-05,9.098469532978692e-06,2.085876270422969e-06,7.012593262555723e-06,-7.825135379713464e-06,0.01657782279733104,-0.03394150044727299
0.35,0,5,centered,9999,1.132073888152118e-05,4.3604161458290125e-06,1.4922055711845052e-06,2.8682105746445086e-06,1.5681155027350184e-05,0.021090745185524208,-0.041741681319219626
0.35,0,6,centered,0,-0.00024586260578136464,0.00024118019277122733,3.531842601220741e-05,0.0002058617667590199,-4.682413010137332e-06,0.07101642760966954,-0.04932600542233131
0.35,0,6,centered,20,-0.00013824787876382213,0.0005332954573743339,0.00023694843351737663,0.00029634702385695724,0.00039504757861051165,0.05451679047360519,-0.04406650676828211
0.35,0,6,centered,100,-0.00010544577852876034,8.467541547019832e-05,1.9302392357955336e-05,6.5373023112243e-05,-2.077036305856203e-05,0.01952904276318828,-0.026972331533659195
0.35,0,6,centered,1000,-4.245604065054658e-05,2.468809636646722e-05,5.434410321443066e-06,1.9253686045024155e-05,-1.7767944284079347e-05,-0.0017127345768165388,-0.023001354779285423
0.35,0,6,centered,5000,6.0612168453497016e-05,1.0462134370148374e-05,2.5795064732148716e-06,7.882627896933503e-06,7.107430282364541e-05,0.005519133146437653,-0.04303910574041593
0.35,0,6,centered,9999,1.9962200071970167e-05,3.2583534856094806e-06,3.8212128213161836e-07,2.8762322034778622e-06,2.3220553557579638e-05,0.009311574559265704,-0.05371801396291385
0.35,0,7,centered,0,7.958355464311357e-05,0.0003651164267672512,0.0001506535896834441,0.00021446283708380706,0.0004446999814103647,0.05884185588152809,-0.03911688937257653
0.35,0,7,centered,20,-0.0009486207488340735,0.0002408247778013366,6.820923505907336e-05,0.00017261554274226323,-0.0007077959710327367,0.04535188097443199,-0.035163005170676435
0.35,0,7,centered,100,-0.00011958514736112122,5.434470048634564e-05,1.0739389199986148e-05,4.3605311286359496e-05,-6.524044687477559e-05,0.016267549434983965,-0.023891861502896846
0.35,0,7,centered,1000,-1.351972938276151e-07,1.6287074136360105e-05,2.0943853242773537e-06,1.4192688812082754e-05,1.61518768425325e-05,-0.002106532316849057,-0.020820842296436652
0.35,0,7,centered,5000,1.8529340544595227e-05,5.1478835859685715e-06,5.333559932204143e-07,4.614527592748156e-06,2.3677224130563793e-05,0.0033326973613673873,-0.0305181207448744
0.35,0,7,centered,9999,-1.4565889322558455e-05,1.9252859116414977e-06,4.990884529482011e-07,1.4261974586932966e-06,-1.2640603410916957e-05,0.007934785646276732,-0.039040556027798504
0.35,0,8,centered,0,-0.0005409234159297338,0.0002596890354469047,7.390699786984911e-05,0.0001857820375770556,-0.00028123438048282916,0.07553548246122144,-0.04671868372456221
0.35,0,8,centered,20,-0.000541622142542558,0.0001686223687684017,3.795728617288179e-05,0.00013066508259551994,-0.0003729997737741564,0.06142945029720484,-0.04196075972745989
0.35,0,8,centered,100,-4.960214034966388e-05,5.478009106184743e-05,1.1812516269582135e-05,4.296757479226529e-05,5.177950712183557e-06,0.033479786462310444,-0.026871269237073045
0.35,0,8,centered,1000,2.3285130501543814e-05,1.3094669911365102e-05,1.1808647165591645e-06,1.1913805194805938e-05,3.6379800412908904e-05,0.0075946726835912515,-0.022917257333426838
0.35,0,8,centered,5000,4.463849822052811e-05,8.568201058941989e-06,1.849291687660661e-06,6.718909371281326e-06,5.3206699279470095e-05,0.010748707786186404,-0.038475836244347805
0.35,0,8,centered,9999,1.9770499034250086e-05,2.6914806616046464e-06,3.207731086168401e-07,2.3707075529878063e-06,2.2461979695854736e-05,0.014995612763380147,-0.05111311360485213
0.35,0,9,centered,0,-0.0005849237592381613,0.00040704963955948793,7.246390677466055e-05,0.0003345857327848273,-0.00017787411967867359,0.06131175562978853,-0.064892071476968
0.35,0,9,centered,20,-0.0006679110522471321,0.0002950341651371865,5.3081561324616775e-05,0.0002419526038125697,-0.0003728768871099455,0.04006407894388789,-0.04675484687400856
0.35,0,9,centered,100,-0.000563964375161237,0.00012574262609841669,3.685462377428176e-05,8.888800232413495e-05,-0.0004382217490628203,0.014720989261467771,-0.0335304330267498
0.35,0,9,centered,1000,0.00016832782764441518,7.386109222280923e-05,3.1424885053099e-05,4.243620716971022e-05,0.00024218891986722447,0.002837015408958054,-0.032060315227019714
0.35,0,9,centered,5000,-7.4026140198536985e-06,1.8136342455889388e-05,4.839404432863982e-06,1.3296938023025412e-05,1.0733728436035689e-05,0.008747317751168819,-0.055685793493820954
0.35,0,9,centered,9999,7.039529683287457e-06,6.590279934153735e-06,2.5705915800947368e-06,4.019688354058999e-06,1.3629809617441176e-05,0.013488361932408401,-0.0716716270949641
0.35,0,0,variance,0,-8.256203559826548e-05,2.9080957388881405e-05,7.0052666663805716e-06,2.2075690722500827e-05,-5.34810782093841e-05,0.06400295516834538,-0.03760558184676563
0.35,0,0,variance,20,-3.461261237881258e-05,1.923390106072286e-05,3.794022639399079e-06,1.5439878421323777e-05,-1.5378711318089714e-05,0.046424804316527485,-0.031696182289971966
0.35,0,0,variance,100,-3.9106542324014596e-05,6.751845113273038e-06,1.1004510990017687e-06,5.6513940142712685e-06,-3.235469721074156e-05,0.02372623850185191,-0.026323239673856594
0.35,0,0,variance,1000,-1.747910264714778e-06,1.929544970481844e-06,2.546117014382159e-07,1.674933269043628e-06,1.816347057670628e-07,0.003620443946974829,-0.021146475968049215
0.35,0,0,variance,5000,6.281702563253697e-06,1.1723887069993306e-06,3.0227903845068086e-07,8.7010966854865e-07,7.45409127025303e-06,0.004204902708497652,-0.031512651233648256
0.35,0,0,variance,9999,2.068847152622844e-06,1.837580199294579e-07,3.320397768438382e-08,1.5055404224507406e-07,2.2526051725523006e-06,0.006782941724314734,-0.04010658112988549
0.35,0,1,variance,0,-0.00011972077408766238,4.045998163990632e-05,1.0286734572351876e-05,3.0173247067554428e-05,-7.926079244775603e-05,0.06919536167050605,-0.042057267167830044
0.35,0,1,variance,20,-7.406587513910263e-05,2.2904781135297473e-05,3.0916492121414824e-06,1.9813131923155995e-05,-5.1161094003805154e-05,0.053910983362823246,-0.035366731068561946
0.35,0,1,variance,100,-7.389929542566376e-05,1.2747738844005085e-05,2.853553201404416e-06,9.894185642600671e-06,-6.115155658165866e-05,0.029221896332854286,-0.031891747598910766
0.35,0,1,variance,1000,-3.815526494925322e-05,4.202476075696562e-06,9.128659293111308e-07,3.2896101463854305e-06,-3.395278887355667e-05,0.007310546789386552,-0.030470936228685623
0.35,0,1,variance,5000,-9.20121554404626e-06,1.7543936415800153e-06,4.468018447187272e-07,1.307591796861288e-06,-7.4468219024662455e-06,0.006270515853624022,-0.037639055857759104
0.35,0,1,variance,9999,-5.727488795143412e-06,4.602610547068296e-07,7.198599312876834e-08,3.882750615780613e-07,-5.267227740436585e-06,0.009664279465306893,-0.042467802761014854
0.35,0,2,variance,0,-3.781585519737441e-05,1.8190722377435e-05,3.2120427662172977e-06,1.49786796112177e-05,-1.9625132819939416e-05,0.0908218300340761,-0.023910393132177382
0.35,0,2,variance,20,-4.776642222494888e-05,1.3892314185045065e-05,2.5183122027754016e-06,1.1374001982269663e-05,-3.387410803990383e-05,0.08054023477685279,-0.022169357828818122
0.35,0,2,variance,100,-3.8311983645020626e-05,6.020638597311783e-06,9.963617823787452e-07,5.024276814933037e-06,-3.2291345047708836e-05,0.062406052486701724,-0.01680503286511492
0.35,0,2,variance,1000,-5.741066705008612e-06,1.5351461313090204e-06,2.3114607607742186e-07,1.3040000552315983e-06,-4.2059205736995914e-06,0.038322225228664866,-0.015591037813088765
0.35,0,2,variance,5000,9.905439457167043e-06,6.220756752797623e-07,1.3086457382127495e-07,4.912111014584872e-07,1.0527515132446806e-05,0.03532290592269517,-0.021765574122006512
0.35,0,2,variance,9999,4.845526819894323e-07,8.453212143261842e-08,7.81952520258986e-09,7.671259623002855e-08,5.690848034220501e-07,0.03821720004782267,-0.026401273360639948
0.35,0,3,variance,0,-8.207669549717226e-05,2.9965985009312195e-05,5.1657074058610725e-06,2.4800277603451118e-05,-5.211071048786007e-05,0.07914778171375737,-0.04028252085188628
0.35,0,3,variance,20,-8.614004400401109e-05,3.2826027638935215e-05,9.748362238241964e-06,2.3077665400693254e-05,-5.331401636507584e-05,0.058473768886259096,-0.03360177901136593
0.35,0,3,variance,100,-1.8124202880120162e-05,1.2245570913573104e-05,3.1993191249864193e-06,9.046251788586684e-06,-5.878631966547056e-06,0.03180590268672779,-0.026227501212294863
0.35,0,3,variance,1000,-3.622366188209734e-06,2.9082558411492103e-06,5.529766463290841e-07,2.3552791948201264e-06,-7.141103470605254e-07,0.005344576176025061,-0.021300810408520762
0.35,0,3,variance,5000,5.239311860740875e-06,7.674810325575867e-07,9.959604276384463e-08,6.67884989793742e-07,6.0067928932984616e-06,0.005034747241128385,-0.03123922150292701
0.35,0,3,variance,9999,4.559211084956178e-06,2.1165662487345936e-07,4.612503726135771e-08,1.6553158761210162e-07,4.770867709829635e-06,0.0092097284154359,-0.03972231127517847
0.35,0,4,variance,0,-0.00017302485562742807,5.558709043075848e-05,1.3134335207213972e-05,4.24527552235445e-05,-0.00011743776519666958,0.0844051630803909,-0.05264343091076061
0.35,0,4,variance,20,-7.099790895274082e-05,5.040897634638749e-05,1.5204916027161161e-05,3.520406031922632e-05,-2.058893260635332e-05,0.05906667568582247,-0.038929336860441054
0.35,0,4,variance,100,-0.00012642049554229556,1.3922186148904311e-05,3.086681491826098e-06,1.0835504657078213e-05,-0.00011249830939339126,0.032484035158208836,-0.030171410996410797
0.35,0,4,variance,1000,2.0482137097969968e-05,3.1230287884855953e-06,4.2810185283770597e-07,2.6949269356478894e-06,2.360516588645556e-05,0.008930853050169009,-0.024823272383386684
0.35,0,4,variance,5000,5.751325442068182e-06,8.45826825071729e-07,9.785991050904773e-08,7.479669145626814e-07,6.597152267139913e-06,0.016151610640687982,-0.03778317879260099
0.35,0,4,variance,9999,-1.5989367477992726e-06,3.754560241432949e-07,7.642909636466781e-08,2.990269277786271e-07,-1.22348072365598e-06,0.01921859887720179,-0.04676865483393194
0.35,0,5,variance,0,-0.0001038997555247939,4.886718910063119e-05,8.588446586971733e-06,4.0278742513659454e-05,-5.50325664241627e-05,0.08188677603270404,-0.03988550199623313
0.35,0,5,variance,20,-0.0001398341373030356,3.791607786073138e-05,7.53949256772768e-06,3.03765852930037e-05,-0.00010191805944230422,0.06068576483630934,-0.027526688997710973
0.35,0,5,variance,100,-5.1123953054831247e-05,1.9139885936161422e-05,5.916969585173217e-06,1.3222916350988209e-05,-3.1984067118669825e-05,0.0373290611238885,-0.020943855636733014
0.35,0,5,variance,1000,-7.177110851323592e-06,4.1196157192506975e-06,6.345900007935325e-07,3.4850257184571644e-06,-3.0574951320728945e-06,0.01260627995300867,-0.019552300291628265
0.35,0,5,variance,5000,-1.6517155771188174e-06,2.3815814035183958e-06,5.268104458700747e-07,1.854770957648321e-06,7.298658263995744e-07,0.01657782279733104,-0.03394150044727299
0.35,0,5,variance,9999,-1.7025634253919842e-06,1.0156871094440155e-06,2.920383437848575e-07,7.236487656591583e-07,-6.86876315947965e-07,0.021090745185524208,-0.041741681319219626
0.35,0,6,variance,0,-8.553374401870862e-05,2.827975232973375e-05,2.3655827412894873e-06,2.591416958844426e-05,-5.7253991688974844e-05,0.07101642760966954,-0.04932600542233131
