geometry,start,seed,erosion_difference,recovery_difference,injection_difference,net_difference,inward_difference,balance_difference,normalized_net_difference,median_size_ratio_difference
variance,0,6,-2.5423389213189402,-2.6534414089697087,-0.01624905041071384,-0.1273515380614613,0.11110248765076847,0.35856170064428794,-1.004226685165757,-0.37031863725467096
variance,0,7,-0.7955961805743286,-0.880618057661831,0.005848717445998297,-0.07917315964151309,0.08502187708750242,0.3071682251967359,-0.6879232523290575,-0.20213412158801392
variance,0,8,-1.225865554946985,-1.3132354781119915,-0.005450096428279538,-0.09282001959327388,0.08736992316500647,0.321162580181671,-0.7714220483322463,-0.0745258358321852
variance,0,9,-6.1680033193284345,-6.245791557503168,-0.07551218822891298,-0.1533004264036555,0.07778823817473324,0.23807454244821308,-1.1820288297422576,-0.4144377832760674
variance,1000000,0,-2.00809823645805,-2.0138207855602914,0.015950299485186115,0.010227750382953094,0.005722549102241459,-0.051917294219173016,-0.006328980087073444,-0.0681867739538764
variance,1000000,1,-3.421833055255597,-3.365309755214337,0.002054348860788646,0.058577648902047315,-0.056523300041259716,-0.22736447339032995,0.19628945068316342,0.13018108163735342
variance,1000000,2,-3.0207053646416036,-3.0475042364485745,-0.021999409499826705,-0.04879828130676963,0.026798871806970936,0.12163938074138181,-0.12297981346366009,-0.08187260554983655
variance,1000000,3,-1.1234827603345856,-1.0992634175822893,0.007574891736957773,0.03179423448924322,-0.024219342752296313,-0.19773837054788745,0.09084133513795051,-0.03414362872504184
variance,1000000,4,-3.0712319154187924,-3.078786323125705,-0.006077687825165212,-0.013632095532081029,0.007554407706912514,0.04793546216408684,-0.05449797612591409,-0.011078815130047381
variance,1000000,5,-0.43871332199631397,-0.4351173211929087,0.014627389902743426,0.018223390706158173,-0.003596000803405275,-0.10666949278718696,0.009051026450178079,0.0002895702106400222
variance,1000000,6,-1.4946322507038907,-1.476675258980606,0.008968558167167934,0.026925549890463897,-0.017956991723284688,-0.12908478576359783,0.06364785193973278,0.09211218847987779
variance,1000000,7,-3.8105780023754363,-3.7751947368924803,0.00477276664973092,0.04015603213268144,-0.035383265482956006,-0.10057299544331577,0.11682436245098816,0.1479123521224115
variance,1000000,8,-3.703709659725458,-3.662597318858502,-0.003796578600928052,0.03731576226605797,-0.04111234086695603,-0.17429878542677313,0.1790677405796593,-0.0688505371427316
variance,1000000,9,-14.67901901758141,-14.440933661340111,-0.22959945828836792,0.008485897952912748,-0.23808535624129945,-0.009345178782545704,0.03125905529305527,0.06173593116471254
