seed,branch,task,step,ce,acc
0,D,21,2,26.016948699951172,0.0925000011920929
0,AF,21,2,2.335034132003784,0.08416666835546494
0,BF,21,2,3.945356607437134,0.10583333671092987
1,A,21,2,3.043760299682617,0.10249999910593033
1,B,21,2,4.7219767570495605,0.09916666895151138
1,C,21,2,36.324947357177734,0.1066666692495346
1,D,21,2,27.55644989013672,0.1066666692495346
1,AF,21,2,3.0377461910247803,0.10333333909511566
1,BF,21,2,4.441810607910156,0.10083333402872086
2,A,21,2,2.5873045921325684,0.09833333641290665
2,B,21,2,4.329225540161133,0.11500000208616257
2,C,21,2,50.45948028564453,0.09750000387430191
2,D,21,2,42.73927688598633,0.09750000387430191
2,AF,21,2,2.5871708393096924,0.09833333641290665
2,BF,21,2,3.4978370666503906,0.10999999940395355
0,A,21,5,2.3331809043884277,0.10833333432674408
0,B,21,5,4.713981628417969,0.10583333671092987
0,C,21,5,30.052963256835938,0.0833333358168602
0,D,21,5,18.652015686035156,0.11083333939313889
0,AF,21,5,2.3331801891326904,0.10833333432674408
0,BF,21,5,3.3665518760681152,0.10916666686534882
1,A,21,5,3.014343023300171,0.10249999910593033
1,B,21,5,5.9297261238098145,0.10999999940395355
1,C,21,5,32.461036682128906,0.11083333939313889
1,D,21,5,18.448638916015625,0.11083333939313889
1,AF,21,5,3.0176055431365967,0.10333333909511566
1,BF,21,5,4.629091739654541,0.10750000178813934
2,A,21,5,2.585824966430664,0.09833333641290665
2,B,21,5,5.971659183502197,0.10083333402872086
2,C,21,5,46.334293365478516,0.0949999988079071
2,D,21,5,29.613611221313477,0.10249999910593033
2,AF,21,5,2.585556745529175,0.09833333641290665
2,BF,21,5,5.4729132652282715,0.09333333373069763
0,A,21,10,2.324807643890381,0.10833333432674408
0,B,21,10,5.12543249130249,0.11250000447034836
0,C,21,10,23.70339012145996,0.07916666567325592
0,D,21,10,14.007492065429688,0.10083333402872086
0,AF,21,10,2.3248064517974854,0.10833333432674408
0,BF,21,10,3.6669809818267822,0.10999999940395355
1,A,21,10,2.7757272720336914,0.11749999970197678
1,B,21,10,5.2660017013549805,0.12666666507720947
1,C,21,10,25.662799835205078,0.10999999940395355
1,D,21,10,12.052766799926758,0.11500000208616257
1,AF,21,10,2.882718801498413,0.11666666716337204
1,BF,21,10,4.170748710632324,0.10916666686534882
2,A,21,10,2.5722224712371826,0.09583333879709244
2,B,21,10,4.708251476287842,0.11833333969116211
2,C,21,10,38.61508560180664,0.09833333641290665
2,D,21,10,18.274925231933594,0.09166666865348816
2,AF,21,10,2.5776641368865967,0.09583333879709244
2,BF,21,10,3.517033815383911,0.1041666716337204
0,A,21,20,2.327268600463867,0.11083333939313889
0,B,21,20,4.009562015533447,0.12000000476837158
0,C,21,20,17.46910858154297,0.08833333849906921
0,D,21,20,7.296789646148682,0.12666666507720947
0,AF,21,20,2.3272669315338135,0.11083333939313889
0,BF,21,20,2.9904837608337402,0.11916667222976685
1,A,21,20,2.612529754638672,0.0925000011920929
1,B,21,20,4.574186325073242,0.1458333432674408
1,C,21,20,17.82130241394043,0.1158333346247673
1,D,21,20,6.071685314178467,0.11666666716337204
1,AF,21,20,2.774369478225708,0.09333333373069763
1,BF,21,20,3.642697334289551,0.1274999976158142
2,A,21,20,2.5162525177001953,0.09583333879709244
2,B,21,20,4.352258205413818,0.15833333134651184
2,C,21,20,26.78376007080078,0.10999999940395355
2,D,21,20,7.424839019775391,0.11083333939313889
2,AF,21,20,2.5493862628936768,0.09583333879709244
2,BF,21,20,3.6529152393341064,0.12666666507720947
0,A,21,25,2.31587290763855,0.11083333939313889
0,B,21,25,4.548056602478027,0.1433333307504654
0,C,21,25,15.492737770080566,0.09083333611488342
0,D,21,25,5.8729705810546875,0.12333333492279053
0,AF,21,25,2.323615789413452,0.11083333939313889
0,BF,21,25,3.1675140857696533,0.10583333671092987
1,A,21,25,2.544762372970581,0.10916666686534882
1,B,21,25,4.664498805999756,0.15833333134651184
1,C,21,25,16.52659797668457,0.09916666895151138
1,D,21,25,4.935042381286621,0.11916667222976685
1,AF,21,25,2.731097459793091,0.11083333939313889
1,BF,21,25,3.747016668319702,0.11833333969116211
2,A,21,25,2.4822075366973877,0.11166667193174362
2,B,21,25,5.028242111206055,0.15000000596046448
2,C,21,25,22.553421020507812,0.10999999940395355
2,D,21,25,5.7001519203186035,0.11416666954755783
2,AF,21,25,2.533054828643799,0.11083333939313889
2,BF,21,25,3.7077319622039795,0.14083333313465118
0,A,21,50,2.307765007019043,0.09916666895151138
0,B,21,50,3.490180730819702,0.18666666746139526
0,C,21,50,11.600898742675781,0.09000000357627869
0,D,21,50,3.8539087772369385,0.10000000149011612
0,AF,21,50,2.3118631839752197,0.09916666895151138
0,BF,21,50,3.1543917655944824,0.11416666954755783
1,A,21,50,2.3819522857666016,0.12000000476837158
1,B,21,50,3.590319871902466,0.1783333420753479
1,C,21,50,13.737967491149902,0.11083333939313889
1,D,21,50,3.1194186210632324,0.11250000447034836
1,AF,21,50,2.6030478477478027,0.11749999970197678
1,BF,21,50,3.308382987976074,0.10583333671092987
2,A,21,50,2.3785951137542725,0.1066666692495346
2,B,21,50,3.677508592605591,0.20666667819023132
2,C,21,50,13.308064460754395,0.09583333879709244
2,D,21,50,3.8271567821502686,0.1158333346247673
2,AF,21,50,2.488659620285034,0.1066666692495346
2,BF,21,50,3.1833057403564453,0.13250000774860382
0,A,21,75,2.304171085357666,0.09666667133569717
0,B,21,75,2.365830659866333,0.23916667699813843
0,C,21,75,11.241010665893555,0.08833333849906921
0,D,21,75,3.485051393508911,0.10500000417232513
0,AF,21,75,2.3077967166900635,0.09583333879709244
0,BF,21,75,2.32291316986084,0.14166666567325592
1,A,21,75,2.3249452114105225,0.09416666626930237
1,B,21,75,2.8682072162628174,0.2058333456516266
1,C,21,75,12.415505409240723,0.1066666692495346
1,D,21,75,2.780025005340576,0.10583333671092987
1,AF,21,75,2.525786876678467,0.09333333373069763
1,BF,21,75,2.8149800300598145,0.1525000035762787
2,A,21,75,2.345743417739868,0.09083333611488342
2,B,21,75,3.060291051864624,0.20416666567325592
2,C,21,75,12.765769958496094,0.10000000149011612
2,D,21,75,3.226114273071289,0.09750000387430191
2,AF,21,75,2.474052906036377,0.09083333611488342
2,BF,21,75,3.022892475128174,0.1274999976158142
0,A,21,150,2.3119211196899414,0.08916667103767395
0,B,21,150,2.096822500228882,0.2991666793823242
0,C,21,150,10.405373573303223,0.0949999988079071
0,D,21,150,2.7002222537994385,0.12666666507720947
0,AF,21,150,2.311898946762085,0.08916667103767395
0,BF,21,150,2.6864912509918213,0.1666666716337204
1,A,21,150,2.3039002418518066,0.12083333730697632
1,B,21,150,2.0062057971954346,0.3383333384990692
1,C,21,150,11.354079246520996,0.11833333969116211
1,D,21,150,2.5040295124053955,0.13333334028720856
1,AF,21,150,2.406820058822632,0.12083333730697632
1,BF,21,150,2.3452980518341064,0.20000000298023224
2,A,21,150,2.3217098712921143,0.09416666626930237
2,B,21,150,2.1425235271453857,0.2958333492279053
2,C,21,150,11.626952171325684,0.09833333641290665
2,D,21,150,2.7444629669189453,0.10916666686534882
2,AF,21,150,2.43796443939209,0.09416666626930237
2,BF,21,150,2.3226397037506104,0.1875
0,A,21,375,2.308314085006714,0.11083333939313889
0,B,21,375,1.499069094657898,0.4741666913032532
0,C,21,375,9.009381294250488,0.10249999910593033
0,D,21,375,2.3187530040740967,0.13750000298023224
0,AF,21,375,2.3083178997039795,0.11083333939313889
0,BF,21,375,2.163137674331665,0.21000000834465027
1,A,21,375,2.3030619621276855,0.1158333346247673
1,B,21,375,1.2282696962356567,0.5683333277702332
1,C,21,375,9.010963439941406,0.11916667222976685
1,D,21,375,2.3159422874450684,0.14500001072883606
1,AF,21,375,2.3253378868103027,0.11416666954755783
1,BF,21,375,2.159470558166504,0.21250000596046448
2,A,21,375,2.3068289756774902,0.10750000178813934
2,B,21,375,1.3783228397369385,0.4950000047683716
2,C,21,375,9.94291877746582,0.10583333671092987
2,D,21,375,2.3476672172546387,0.13083334267139435
2,AF,21,375,2.337181806564331,0.11250000447034836
2,BF,21,375,2.2694733142852783,0.19583334028720856
0,A,21,750,2.3205347061157227,0.1041666716337204
0,B,21,750,1.1901483535766602,0.5991666913032532
0,C,21,750,7.411163806915283,0.09916666895151138
0,D,21,750,2.2087788581848145,0.16583333909511566
0,AF,21,750,2.320537805557251,0.1041666716337204
0,BF,21,750,2.0619804859161377,0.2541666626930237
1,A,21,750,2.2927162647247314,0.10916666686534882
1,B,21,750,1.03126859664917,0.6358333230018616
1,C,21,750,6.873115539550781,0.11083333939313889
1,D,21,750,2.2125513553619385,0.14916667342185974
1,AF,21,750,2.287242889404297,0.11083333939313889
1,BF,21,750,2.1430370807647705,0.24916666746139526
2,A,21,750,2.3110547065734863,0.11166667193174362
2,B,21,750,1.1398686170578003,0.59333336353302
2,C,21,750,8.264843940734863,0.10833333432674408
2,D,21,750,2.233656167984009,0.1508333384990692
2,AF,21,750,2.306915283203125,0.1133333370089531
2,BF,21,750,2.11281418800354,0.2358333319425583
0,A,21,1500,2.3149235248565674,0.11833333969116211
0,B,21,1500,0.9846788048744202,0.6466667056083679
0,C,21,1500,5.562093257904053,0.10083333402872086
0,D,21,1500,2.1528046131134033,0.18250000476837158
0,AF,21,1500,2.3149256706237793,0.11833333969116211
0,BF,21,1500,2.0940654277801514,0.23666667938232422
1,A,21,1500,2.2953081130981445,0.1274999976158142
1,B,21,1500,0.8206896185874939,0.7100000381469727
1,C,21,1500,5.101210117340088,0.11916667222976685
1,D,21,1500,2.1793429851531982,0.17249999940395355
1,AF,21,1500,2.291940927505493,0.12583333253860474
1,BF,21,1500,1.9551727771759033,0.2783333361148834
2,A,21,1500,2.3064687252044678,0.11250000447034836
2,B,21,1500,0.9244760274887085,0.6625000238418579
2,C,21,1500,6.250428199768066,0.10916666686534882
2,D,21,1500,2.146758794784546,0.17000000178813934
2,AF,21,1500,2.301257610321045,0.11500000208616257
2,BF,21,1500,2.043158531188965,0.2600000202655792
0,A,21,3000,2.303715467453003,0.10833333432674408
0,B,21,3000,0.810461699962616,0.7075000405311584
0,C,21,3000,3.9490561485290527,0.11500000208616257
0,D,21,3000,2.1004648208618164,0.19083334505558014
0,AF,21,3000,2.303311347961426,0.10833333432674408
0,BF,21,3000,1.9694596529006958,0.28083333373069763
1,A,21,3000,2.285511016845703,0.13250000774860382
1,B,21,3000,0.6879443526268005,0.7450000047683716
1,C,21,3000,3.4873812198638916,0.13750000298023224
1,D,21,3000,2.155519485473633,0.18666666746139526
1,AF,21,3000,2.2972846031188965,0.12583333253860474
1,BF,21,3000,1.8131701946258545,0.3408333361148834
2,A,21,3000,2.3006293773651123,0.09916666895151138
2,B,21,3000,0.7646303772926331,0.7166666984558105
2,C,21,3000,4.153047561645508,0.13333334028720856
2,D,21,3000,2.1115565299987793,0.17499999701976776
2,AF,21,3000,2.295447587966919,0.10249999910593033
2,BF,21,3000,1.8504586219787598,0.32750001549720764
0,A,21,6000,2.2993052005767822,0.11083333939313889
0,B,21,6000,0.6827638149261475,0.7350000143051147
0,C,21,6000,2.8809502124786377,0.1274999976158142
0,D,21,6000,2.032910108566284,0.2133333384990692
0,AF,21,6000,2.29537296295166,0.11083333939313889
0,BF,21,6000,1.8379634618759155,0.3383333384990692
1,A,21,6000,2.2677178382873535,0.1366666704416275
1,B,21,6000,0.602846086025238,0.7708333730697632
1,C,21,6000,2.413958787918091,0.16750000417232513
1,D,21,6000,2.126802921295166,0.1925000101327896
1,AF,21,6000,2.278533697128296,0.13166667520999908
1,BF,21,6000,1.6276732683181763,0.42500001192092896
2,A,21,6000,2.287851095199585,0.1158333346247673
2,B,21,6000,0.6687811613082886,0.7408333420753479
2,C,21,6000,2.7310631275177,0.1925000101327896
2,D,21,6000,2.03597092628479,0.19583334028720856
2,AF,21,6000,2.2840559482574463,0.10999999940395355
2,BF,21,6000,1.9043225049972534,0.3058333396911621
0,A,22,0,2.3203482627868652,0.10500000417232513
0,B,22,0,9.893349647521973,0.10333333909511566
0,C,22,0,3.176783561706543,0.10083333402872086
0,D,22,0,3.830963611602783,0.10583333671092987
0,AF,22,0,2.3258728981018066,0.10500000417232513
0,BF,22,0,2.958632230758667,0.1066666692495346
1,A,22,0,2.6273486614227295,0.09000000357627869
1,B,22,0,9.999556541442871,0.08666666597127914
1,C,22,0,3.030851364135742,0.10333333909511566
1,D,22,0,3.3271970748901367,0.09416666626930237
1,AF,22,0,2.4747474193573,0.08916667103767395
1,BF,22,0,3.233548641204834,0.09083333611488342
2,A,22,0,2.41749906539917,0.09083333611488342
2,B,22,0,10.310200691223145,0.11666666716337204
2,C,22,0,4.194676876068115,0.11250000447034836
2,D,22,0,3.9218759536743164,0.10500000417232513
2,AF,22,0,2.40132999420166,0.09333333373069763
2,BF,22,0,3.287139892578125,0.10000000149011612
0,A,22,1,2.3207130432128906,0.10500000417232513
0,B,22,1,9.8018217086792,0.10333333909511566
0,C,22,1,3.1657657623291016,0.09750000387430191
0,D,22,1,3.832397937774658,0.10583333671092987
0,AF,22,1,2.3260996341705322,0.10500000417232513
0,BF,22,1,2.947087526321411,0.10833333432674408
1,A,22,1,2.617405652999878,0.09000000357627869
1,B,22,1,9.980371475219727,0.08916667103767395
1,C,22,1,3.0231006145477295,0.10333333909511566
1,D,22,1,3.314375400543213,0.09416666626930237
1,AF,22,1,2.47166109085083,0.08916667103767395
1,BF,22,1,3.2245125770568848,0.08833333849906921
2,A,22,1,2.4165823459625244,0.10083333402872086
2,B,22,1,10.320197105407715,0.1158333346247673
2,C,22,1,4.1716790199279785,0.1133333370089531
2,D,22,1,3.9138424396514893,0.10500000417232513
2,AF,22,1,2.3989667892456055,0.10249999910593033
2,BF,22,1,3.256478786468506,0.10249999910593033
0,A,22,2,2.3210856914520264,0.10500000417232513
0,B,22,2,9.750151634216309,0.10500000417232513
0,C,22,2,3.169003486633301,0.09750000387430191
0,D,22,2,3.8243768215179443,0.10583333671092987
0,AF,22,2,2.3263485431671143,0.10500000417232513
0,BF,22,2,2.9499247074127197,0.10833333432674408
1,A,22,2,2.607469320297241,0.09000000357627869
1,B,22,2,9.834815979003906,0.09000000357627869
1,C,22,2,3.0101675987243652,0.10583333671092987
1,D,22,2,3.29211688041687,0.09416666626930237
1,AF,22,2,2.4677858352661133,0.08916667103767395
1,BF,22,2,3.208916187286377,0.08916667103767395
2,A,22,2,2.415196180343628,0.10000000149011612
2,B,22,2,10.237090110778809,0.11666666716337204
2,C,22,2,4.130113124847412,0.11500000208616257
2,D,22,2,3.8814303874969482,0.10333333909511566
2,AF,22,2,2.3961665630340576,0.09666667133569717
2,BF,22,2,3.2100608348846436,0.10916666686534882
0,A,22,5,2.320573091506958,0.10500000417232513
0,B,22,5,10.036588668823242,0.10500000417232513
0,C,22,5,3.114342212677002,0.08666666597127914
0,D,22,5,3.736966133117676,0.10583333671092987
0,AF,22,5,2.325424909591675,0.10500000417232513
0,BF,22,5,3.014350175857544,0.09916666895151138
1,A,22,5,2.561997652053833,0.08916667103767395
1,B,22,5,9.980918884277344,0.09666667133569717
1,C,22,5,3.0258615016937256,0.10750000178813934
1,D,22,5,3.2163262367248535,0.0925000011920929
1,AF,22,5,2.4533798694610596,0.08916667103767395
1,BF,22,5,3.206550359725952,0.0925000011920929
2,A,22,5,2.414862632751465,0.10166666656732559
2,B,22,5,10.093475341796875,0.11749999970197678
2,C,22,5,4.010059833526611,0.1300000101327896
2,D,22,5,3.7384026050567627,0.10333333909511566
2,AF,22,5,2.3914389610290527,0.0925000011920929
2,BF,22,5,3.167832136154175,0.1041666716337204
0,A,22,10,2.318398952484131,0.10500000417232513
0,B,22,10,8.708932876586914,0.10083333402872086
0,C,22,10,3.052943229675293,0.08583333343267441
0,D,22,10,3.4554057121276855,0.10916666686534882
0,AF,22,10,2.322736978530884,0.10500000417232513
0,BF,22,10,2.941243886947632,0.09416666626930237
1,A,22,10,2.50831937789917,0.08916667103767395
1,B,22,10,9.482400894165039,0.10833333432674408
1,C,22,10,2.9242103099823,0.11166667193174362
1,D,22,10,3.146942377090454,0.0949999988079071
1,AF,22,10,2.4215829372406006,0.08916667103767395
1,BF,22,10,3.2225451469421387,0.08749999850988388
2,A,22,10,2.4067986011505127,0.1041666716337204
2,B,22,10,10.069720268249512,0.12166666984558105
2,C,22,10,3.805527448654175,0.12250000238418579
2,D,22,10,3.548888921737671,0.10833333432674408
2,AF,22,10,2.38753080368042,0.10249999910593033
2,BF,22,10,3.2396347522735596,0.09833333641290665
0,A,22,20,2.3179473876953125,0.10750000178813934
0,B,22,20,7.874439716339111,0.10999999940395355
0,C,22,20,3.0830674171447754,0.09833333641290665
0,D,22,20,3.204554796218872,0.11083333939313889
0,AF,22,20,2.3199543952941895,0.10249999910593033
0,BF,22,20,2.935034990310669,0.11416666954755783
1,A,22,20,2.4193334579467773,0.11083333939313889
1,B,22,20,8.515585899353027,0.11916667222976685
1,C,22,20,2.8736138343811035,0.09666667133569717
1,D,22,20,2.8872017860412598,0.11500000208616257
1,AF,22,20,2.3819708824157715,0.11250000447034836
1,BF,22,20,3.1414706707000732,0.0949999988079071
2,A,22,20,2.359337329864502,0.1041666716337204
2,B,22,20,8.808094024658203,0.13250000774860382
2,C,22,20,3.502197027206421,0.12000000476837158
2,D,22,20,3.29146671295166,0.10750000178813934
2,AF,22,20,2.380434513092041,0.10500000417232513
2,BF,22,20,3.0937955379486084,0.11083333939313889
0,A,22,25,2.3113412857055664,0.10833333432674408
0,B,22,25,7.319490909576416,0.12583333253860474
0,C,22,25,3.0490469932556152,0.10249999910593033
0,D,22,25,2.978858232498169,0.10583333671092987
0,AF,22,25,2.311807870864868,0.09916666895151138
0,BF,22,25,2.913853168487549,0.10000000149011612
1,A,22,25,2.395996570587158,0.11416666954755783
1,B,22,25,8.038259506225586,0.12416666746139526
1,C,22,25,2.864665985107422,0.10333333909511566
1,D,22,25,2.794520854949951,0.11500000208616257
1,AF,22,25,2.3690223693847656,0.1158333346247673
1,BF,22,25,3.1500935554504395,0.10583333671092987
2,A,22,25,2.343374490737915,0.09666667133569717
2,B,22,25,9.346322059631348,0.12833333015441895
2,C,22,25,3.4632136821746826,0.10999999940395355
2,D,22,25,3.1621508598327637,0.1158333346247673
2,AF,22,25,2.3723549842834473,0.09750000387430191
2,BF,22,25,3.1569671630859375,0.11749999970197678
0,A,22,50,2.3122944831848145,0.10750000178813934
0,B,22,50,6.7970404624938965,0.13833333551883698
0,C,22,50,3.033684730529785,0.10000000149011612
0,D,22,50,2.5277347564697266,0.11833333969116211
0,AF,22,50,2.3109347820281982,0.10750000178813934
0,BF,22,50,2.7780795097351074,0.11666666716337204
1,A,22,50,2.3142623901367188,0.11250000447034836
1,B,22,50,7.002126693725586,0.13500000536441803
1,C,22,50,2.808807373046875,0.11250000447034836
1,D,22,50,2.4635231494903564,0.11416666954755783
1,AF,22,50,2.3354170322418213,0.11166667193174362
1,BF,22,50,3.012085437774658,0.09750000387430191
2,A,22,50,2.3382439613342285,0.09833333641290665
2,B,22,50,6.963877201080322,0.1666666716337204
2,C,22,50,3.394742488861084,0.12583333253860474
2,D,22,50,2.611062526702881,0.10999999940395355
2,AF,22,50,2.3789498805999756,0.10249999910593033
2,BF,22,50,3.065514326095581,0.125
0,A,22,75,2.3051304817199707,0.11166667193174362
0,B,22,75,5.177685260772705,0.15583333373069763
0,C,22,75,3.038146734237671,0.1066666692495346
0,D,22,75,2.4043312072753906,0.12000000476837158
0,AF,22,75,2.310185432434082,0.11250000447034836
0,BF,22,75,2.718808650970459,0.12000000476837158
1,A,22,75,2.3255107402801514,0.10833333432674408
1,B,22,75,6.306297302246094,0.14500001072883606
1,C,22,75,2.7754976749420166,0.11083333939313889
1,D,22,75,2.3795201778411865,0.10833333432674408
1,AF,22,75,2.350851058959961,0.10750000178813934
1,BF,22,75,3.000831127166748,0.10083333402872086
2,A,22,75,2.3219873905181885,0.10500000417232513
2,B,22,75,5.256179332733154,0.15666666626930237
2,C,22,75,3.2742815017700195,0.12083333730697632
2,D,22,75,2.467541456222534,0.12333333492279053
2,AF,22,75,2.358987808227539,0.10750000178813934
2,BF,22,75,2.9736664295196533,0.12000000476837158
0,A,22,150,2.3083817958831787,0.09916666895151138
0,B,22,150,3.896385669708252,0.1850000023841858
0,C,22,150,2.979030132293701,0.09750000387430191
0,D,22,150,2.3040218353271484,0.10916666686534882
0,AF,22,150,2.310849189758301,0.09916666895151138
0,BF,22,150,2.6398215293884277,0.12583333253860474
1,A,22,150,2.2989652156829834,0.11416666954755783
1,B,22,150,3.577906608581543,0.21250000596046448
1,C,22,150,2.6372008323669434,0.11666666716337204
1,D,22,150,2.289320468902588,0.11500000208616257
1,AF,22,150,2.3127520084381104,0.11416666954755783
1,BF,22,150,2.6741552352905273,0.14500001072883606
2,A,22,150,2.315666675567627,0.10166666656732559
2,B,22,150,4.017210960388184,0.1925000101327896
2,C,22,150,3.1503167152404785,0.13083334267139435
2,D,22,150,2.37589430809021,0.1133333370089531
2,AF,22,150,2.3403282165527344,0.10166666656732559
2,BF,22,150,2.7915663719177246,0.12916666269302368
0,A,22,375,2.3091976642608643,0.10083333402872086
0,B,22,375,2.567605972290039,0.273333340883255
0,C,22,375,2.9501607418060303,0.10333333909511566
0,D,22,375,2.25854229927063,0.12250000238418579
0,AF,22,375,2.30816912651062,0.10000000149011612
0,BF,22,375,2.409076452255249,0.14750000834465027
1,A,22,375,2.304675340652466,0.09166666865348816
1,B,22,375,2.2968764305114746,0.33000001311302185
1,C,22,375,2.5504493713378906,0.12166666984558105
1,D,22,375,2.2830567359924316,0.10166666656732559
1,AF,22,375,2.3078079223632812,0.0925000011920929
1,BF,22,375,2.3810362815856934,0.16083334386348724
2,A,22,375,2.3172075748443604,0.10333333909511566
2,B,22,375,2.3116307258605957,0.3125
2,C,22,375,2.984093427658081,0.12666666507720947
2,D,22,375,2.3070218563079834,0.12416666746139526
2,AF,22,375,2.3252334594726562,0.10333333909511566
2,BF,22,375,2.483477830886841,0.16750000417232513
0,A,22,750,2.313527822494507,0.10083333402872086
0,B,22,750,1.6519449949264526,0.41750001907348633
0,C,22,750,2.840579032897949,0.12000000476837158
0,D,22,750,2.251190185546875,0.125
0,AF,22,750,2.3099074363708496,0.10083333402872086
0,BF,22,750,2.273138999938965,0.16333334147930145
1,A,22,750,2.3112070560455322,0.09833333641290665
1,B,22,750,1.4579702615737915,0.49000000953674316
1,C,22,750,2.5103702545166016,0.12833333015441895
1,D,22,750,2.2855775356292725,0.10916666686534882
1,AF,22,750,2.3094677925109863,0.09916666895151138
1,BF,22,750,2.33892822265625,0.18833333253860474
2,A,22,750,2.30301833152771,0.10500000417232513
2,B,22,750,1.54291832447052,0.44833335280418396
2,C,22,750,2.840832233428955,0.12833333015441895
2,D,22,750,2.219135046005249,0.1433333307504654
2,AF,22,750,2.301725387573242,0.10750000178813934
2,BF,22,750,2.327211856842041,0.21250000596046448
0,A,22,1500,2.308932065963745,0.10583333671092987
0,B,22,1500,1.309605360031128,0.5241667032241821
0,C,22,1500,2.64128041267395,0.1158333346247673
0,D,22,1500,2.2402210235595703,0.13250000774860382
0,AF,22,1500,2.305586814880371,0.1066666692495346
0,BF,22,1500,2.0906312465667725,0.2083333432674408
1,A,22,1500,2.305833101272583,0.11416666954755783
1,B,22,1500,1.0414050817489624,0.6450000405311584
1,C,22,1500,2.3662099838256836,0.16750000417232513
1,D,22,1500,2.278428077697754,0.12416666746139526
1,AF,22,1500,2.296882390975952,0.11833333969116211
1,BF,22,1500,2.044135332107544,0.2541666626930237
2,A,22,1500,2.313441038131714,0.10583333671092987
2,B,22,1500,1.073304295539856,0.6308333277702332
2,C,22,1500,2.598001003265381,0.14666667580604553
2,D,22,1500,2.221031904220581,0.1458333432674408
2,AF,22,1500,2.307138204574585,0.11083333939313889
2,BF,22,1500,2.0741782188415527,0.2408333420753479
0,A,22,3000,2.297476053237915,0.09583333879709244
0,B,22,3000,0.9527508616447449,0.65583336353302
0,C,22,3000,2.491241931915283,0.11916667222976685
0,D,22,3000,2.2558605670928955,0.13166667520999908
0,AF,22,3000,2.304719924926758,0.10750000178813934
0,BF,22,3000,2.001162528991699,0.2549999952316284
1,A,22,3000,2.3016748428344727,0.11749999970197678
1,B,22,3000,0.7763506174087524,0.71833336353302
1,C,22,3000,2.2799770832061768,0.17249999940395355
1,D,22,3000,2.2637178897857666,0.125
1,AF,22,3000,2.287508964538574,0.1158333346247673
1,BF,22,3000,1.8447046279907227,0.32500001788139343
2,A,22,3000,2.3181583881378174,0.10166666656732559
2,B,22,3000,0.8053061962127686,0.7116667032241821
2,C,22,3000,2.3306424617767334,0.19333334267139435
2,D,22,3000,2.2005112171173096,0.14916667342185974
2,AF,22,3000,2.3079235553741455,0.10750000178813934
2,BF,22,3000,1.9335726499557495,0.2849999964237213
0,A,22,6000,2.2551753520965576,0.11749999970197678
0,B,22,6000,0.7278315424919128,0.7258333563804626
0,C,22,6000,2.2847893238067627,0.16333334147930145
0,D,22,6000,2.1968917846679688,0.14500001072883606
0,AF,22,6000,2.277661085128784,0.11083333939313889
0,BF,22,6000,1.8664861917495728,0.3199999928474426
1,A,22,6000,2.266664981842041,0.12666666507720947
1,B,22,6000,0.6152845621109009,0.7574999928474426
1,C,22,6000,1.9658305644989014,0.26333335041999817
1,D,22,6000,2.2247636318206787,0.14500001072883606
1,AF,22,6000,2.2618513107299805,0.12916666269302368
1,BF,22,6000,1.6687864065170288,0.39666667580604553
2,A,22,6000,2.3081560134887695,0.10916666686534882
2,B,22,6000,0.8066133260726929,0.6916666626930237
2,C,22,6000,1.9053796529769897,0.27916666865348816
2,D,22,6000,2.1689767837524414,0.1525000035762787
