arm,quantity,window,mean,n_censored,diff_mean,diff_lo95,diff_hi95,diff_pos_seeds
cap_both,level_mu2sq_share_q_pos,51-100,0.772659495111663,,,,,
cap_both,level_mu2sq_share_always_on,51-100,0.47626406134950267,,,,,
cap_both,level_frac_q_pos,2-10,0.5405555555555555,,,,,
cap_both,level_frac_always_on,2-10,0.0,,,,,
cap_both,level_mu2sq_share_q_pos,2-10,0.7142404259003231,,,,,
cap_both,level_mu2sq_share_always_on,2-10,0.0,,,,,
cap_both,level_frac_q_pos,11-50,0.44782500000000003,,,,,
cap_both,level_frac_always_on,11-50,0.029475,,,,,
cap_both,level_mu2sq_share_q_pos,11-50,0.6597291896766533,,,,,
cap_both,level_mu2sq_share_always_on,11-50,0.14471466543370773,,,,,
cap_both,level_mu2_norm,51-100,29.514522179876813,,,,,
cap_both,level_mu2_norm,2-10,5.096905735774758,,,,,
cap_both,level_mu2_norm,11-50,18.23056190565438,,,,,
cap_both,level_mu2_proj_sd,51-100,5.24127166324619,,,,,
cap_both,level_mu2_proj_sd,2-10,2.2409045059534805,,,,,
cap_both,level_mu2_proj_sd,11-50,4.874480071609936,,,,,
cap_both,level_s2_mean,51-100,141.6686185565064,,,,,
cap_both,level_s2_mean,2-10,32.42788954309836,,,,,
cap_both,level_s2_mean,11-50,90.32286397417607,,,,,
cap_both,level_s2_sd,51-100,33.21533420191069,,,,,
cap_both,level_s2_sd,2-10,14.569745388845073,,,,,
cap_both,level_s2_sd,11-50,26.176650870694694,,,,,
cap_both,level_memo_acc,51-100,0.10774333338439461,,,,,
cap_both,level_memo_acc,2-10,0.9891944454775915,,,,,
cap_both,level_memo_acc,11-50,0.287175000552088,,,,,
cap_both,level_online_acc,51-100,0.10086172916666662,,,,,
cap_both,level_online_acc,2-10,0.7817686342592592,,,,,
cap_both,level_online_acc,11-50,0.1965726041666666,,,,,
cap_both,absorb_l1_frac_absorbed,1-100,0.015,,,,,
cap_both,absorb_l1_median_absorb_task,1-100,75.66666666666667,,,,,
cap_both,absorb_l1_frac_neg_at_end,1-100,0.015,,,,,
cap_both,absorb_l1_frac_ever_neg,1-100,0.097,,,,,
cap_both,absorb_l2_frac_absorbed,1-100,1.0,,,,,
cap_both,absorb_l2_median_absorb_task,1-100,29.45,,,,,
cap_both,absorb_l2_frac_neg_at_end,1-100,0.9970000000000001,,,,,
cap_both,absorb_l2_frac_ever_neg,1-100,1.0,,,,,
cap_both,t_half_median_observed,2-100,14.5,0.0,,,,
cap_both,seeds_at_floor,51-100,10.0,,,,,
