task,f,shock_ce,shock_acc,N,N2,D2,cos,arm,k,act,param,seed,gw2,g2,e2,xi,R,graw,phi2_batch,alive,addgap,S2,rho,sigma,zbar,posfrac,acc
87,1.0,0.020994344726204872,0.994873046875,6.070106984301929,37.05838312928557,0.15424241769640212,0.05084480482708166,K000_LR,0.0,leaky,0.1,1,,,,,,,,,,,,,,,
88,1.0,0.013859732076525688,0.99462890625,6.088958925707818,37.29289473431977,0.15846600650235143,0.013598647319739254,K000_LR,0.0,leaky,0.1,1,,,,,,,,,,,,,,,
89,1.0,0.02442723698914051,0.99267578125,6.118516435756915,37.656636236912185,0.17599544560717592,0.03569822479520981,K000_LR,0.0,leaky,0.1,1,,,,,,,,,,,,,,,
90,1.0,0.027698496356606483,0.9931640625,6.150265644854913,38.04549043474644,0.1587601251756518,0.04827521252029024,K000_LR,0.0,leaky,0.1,1,2.9650828502063715e-08,0.19930838476607232,9.869898006521236e-09,0.18976479348153683,79.42970624764196,0.012961958833807517,0.25801282022336297,1.0,1.4210854715202004e-14,0.011822489014328218,13.428654912112256,4.346965471118861,-2.835388221694799,0.24685546875,0.9785000085830688
91,1.0,0.012350074015557766,0.99658203125,6.190478975322496,38.54446696048983,0.1944884091626319,0.055754439913545895,K000_LR,0.0,leaky,0.1,1,,,,,,,,,,,,,,,
92,1.0,0.017955465242266655,0.99462890625,6.214965792961206,38.84444727489943,0.1263335919836372,0.04043372744681872,K000_LR,0.0,leaky,0.1,1,,,,,,,,,,,,,,,
93,1.0,0.01562683656811714,0.994384765625,6.242071297259381,39.18125163306207,0.17809563544011148,0.029394757357858445,K000_LR,0.0,leaky,0.1,1,,,,,,,,,,,,,,,
94,1.0,0.01684936322271824,0.994873046875,6.272477003061218,39.56321244227522,0.1799330539079303,0.03763528638758941,K000_LR,0.0,leaky,0.1,1,,,,,,,,,,,,,,,
95,1.0,0.01616838574409485,0.9951171875,6.300007054896242,39.9158831144624,0.15590013073166445,0.037808634347682044,K000_LR,0.0,leaky,0.1,1,,,,,,,,,,,,,,,
96,1.0,0.01586196757853031,0.993408203125,6.330096020152642,40.29484648051605,0.15896191201386883,0.043931437312075605,K000_LR,0.0,leaky,0.1,1,,,,,,,,,,,,,,,
97,1.0,0.009893483482301235,0.99609375,6.35750653869638,40.64288855927592,0.15046213561766036,0.039535539042022116,K000_LR,0.0,leaky,0.1,1,,,,,,,,,,,,,,,
98,1.0,0.01950744353234768,0.99365234375,6.392365698554072,41.09299942543439,0.1787555270491081,0.0494739829368811,K000_LR,0.0,leaky,0.1,1,,,,,,,,,,,,,,,
99,1.0,0.028558578342199326,0.9921875,6.424694189261796,41.51155278458964,0.13297888139872518,0.06264979408511187,K000_LR,0.0,leaky,0.1,1,,,,,,,,,,,,,,,
100,1.0,0.014923638664186,0.994140625,6.453152443689836,41.87455699645693,0.18454889027468602,0.03278263897476577,K000_LR,0.0,leaky,0.1,1,4.241509473754332e-08,0.18376870285149507,1.5549859031352953e-08,0.19245302213813106,77.12544804064926,0.014227150042471336,0.24314500022783883,1.0,3.552713678800501e-15,0.013133480735160527,14.051788249905277,4.600551957619584,-3.20698130724678,0.227265625,0.9769999980926514
101,1.0,0.02667841874063015,0.992431640625,6.480935928079773,42.2296984257211,0.16276258847092848,0.037892889378695234,K000_LR,0.0,leaky,0.1,1,,,,,,,,,,,,,,,
102,1.0,0.015090705826878548,0.994140625,6.505145174918271,42.54861148041054,0.1432262922678872,0.03405605313171815,K000_LR,0.0,leaky,0.1,1,,,,,,,,,,,,,,,
103,1.0,0.006136986892670393,0.9970703125,6.533640986046782,42.91931334798317,0.15088596349096253,0.04266534011071893,K000_LR,0.0,leaky,0.1,1,,,,,,,,,,,,,,,
104,1.0,0.00813664123415947,0.997802734375,6.552830783471229,43.16943415606528,0.13543624759909348,0.023244213967925136,K000_LR,0.0,leaky,0.1,1,,,,,,,,,,,,,,,
105,1.0,0.024923797696828842,0.992919921875,6.583909139103191,43.58094513212476,0.19147188096806986,0.0383597850794253,K000_LR,0.0,leaky,0.1,1,,,,,,,,,,,,,,,
