task,f,shock_ce,shock_acc,N,N2,D2,cos,arm,k,act,param,seed,gw2,g2,e2,xi,R,graw,phi2_batch,alive,addgap,S2,rho,sigma,zbar,posfrac,acc
30,0.9005102040816326,0.20267076790332794,0.93896484375,2.8838834476993735,8.346991924786085,0.20469089604409302,-0.03859551766698625,K010_SN06,0.1,snake,0.6,2,0.0010255897476995311,0.8398127523332181,3.37237487787268e-05,0.46036136827513563,78.66046115372329,0.09100965603235449,0.9420280275803913,1.0,1.3322676295501878e-14,0.016987048843450307,12.049820891815214,1.2862287132331776,-0.5685902662872252,0.28908203125,0.9588000178337097
31,0.9017857142857143,0.1989254653453827,0.9365234375,2.913394231938571,8.518727511590408,0.19554998453145628,-0.010226406493266862,K010_SN06,0.1,snake,0.6,2,,,,,,,,,,,,,,,
32,0.9017857142857143,0.17445428669452667,0.94140625,2.9452676596552743,8.705727301782558,0.21712587963533836,-0.012142184016089234,K010_SN06,0.1,snake,0.6,2,,,,,,,,,,,,,,,
33,0.9030612244897959,0.17080730199813843,0.944580078125,2.9681028314108655,8.841404606477756,0.21297396498187715,-0.029452182287734257,K010_SN06,0.1,snake,0.6,2,,,,,,,,,,,,,,,
34,0.9056122448979592,0.18035873770713806,0.94091796875,2.991976035359188,8.983203885901222,0.20549361675183925,-0.024256661640616396,K010_SN06,0.1,snake,0.6,2,,,,,,,,,,,,,,,
35,0.9043367346938775,0.1684730499982834,0.94482421875,3.0144099498823986,9.117982000734735,0.21323718956803434,-0.029409236210050368,K010_SN06,0.1,snake,0.6,2,,,,,,,,,,,,,,,
36,0.9005102040816326,0.1682967245578766,0.947998046875,3.0396634013859405,9.27023656745308,0.21937917020140893,-0.023649515135699496,K010_SN06,0.1,snake,0.6,2,,,,,,,,,,,,,,,
37,0.9068877551020408,0.1551200896501541,0.95068359375,3.067190334023253,9.438957185588997,0.22078265877287745,-0.01892219835855067,K010_SN06,0.1,snake,0.6,2,,,,,,,,,,,,,,,
38,0.9005102040816326,0.21531979739665985,0.93017578125,3.0960697348272577,9.6179149452622,0.23235200783685372,-0.019235964167158993,K010_SN06,0.1,snake,0.6,2,,,,,,,,,,,,,,,
39,0.9005102040816326,0.2990136444568634,0.910400390625,3.1141370031189393,9.730320411414889,0.2154751025525445,-0.03645123590726579,K010_SN06,0.1,snake,0.6,2,,,,,,,,,,,,,,,
40,0.9005102040816326,0.16788864135742188,0.949951171875,3.133689130986561,9.853624254077564,0.23172209194791166,-0.03663899647940484,K010_SN06,0.1,snake,0.6,2,0.0010768639054432342,0.822281790897631,3.7424536568597936e-05,0.4469770255318746,78.2885978809112,0.0911610951920603,0.9233730029943213,1.0,2.1316282072803006e-14,0.018757671400820693,12.353457260039924,1.2837078067183234,-0.5641542850072073,0.28955078125,0.9539999961853027
41,0.9017857142857143,0.2309263050556183,0.92724609375,3.158161437049176,10.007649092261959,0.2149587994400511,-0.020976863271156203,K010_SN06,0.1,snake,0.6,2,,,,,,,,,,,,,,,
42,0.9005102040816326,0.17691700160503387,0.944580078125,3.184052832704412,10.172446795292114,0.22221163943327477,-0.020459184411037223,K010_SN06,0.1,snake,0.6,2,,,,,,,,,,,,,,,
43,0.9030612244897959,0.22556455433368683,0.93017578125,3.202505810989007,10.291867773171733,0.21663563329730373,-0.03381854581213821,K010_SN06,0.1,snake,0.6,2,,,,,,,,,,,,,,,
44,0.9005102040816326,0.16330088675022125,0.950439453125,3.231202928225505,10.47395928755035,0.23674176299191785,-0.01726607816058989,K010_SN06,0.1,snake,0.6,2,,,,,,,,,,,,,,,
45,0.9056122448979592,0.24919193983078003,0.923583984375,3.248003322777287,10.583315969321761,0.1949035697896381,-0.030503299695617016,K010_SN06,0.1,snake,0.6,2,,,,,,,,,,,,,,,
46,0.9005102040816326,0.16885051131248474,0.945556640625,3.272496811720271,10.744271371800025,0.2214078564812371,-0.020497448956222755,K010_SN06,0.1,snake,0.6,2,,,,,,,,,,,,,,,
47,0.9017857142857143,0.18930155038833618,0.9423828125,3.295395427283399,10.894535114568834,0.2208796972268881,-0.02386815744897529,K010_SN06,0.1,snake,0.6,2,,,,,,,,,,,,,,,
48,0.9005102040816326,0.22201018035411835,0.9326171875,3.311836958459174,11.003201577074686,0.21375725892883446,-0.03504925790387435,K010_SN06,0.1,snake,0.6,2,,,,,,,,,,,,,,,
49,0.9005102040816326,0.2369995266199112,0.927734375,3.3297261186603966,11.12189147749817,0.21581433710590953,-0.031795794036434746,K010_SN06,0.1,snake,0.6,2,,,,,,,,,,,,,,,
50,0.9017857142857143,0.1784219890832901,0.946533203125,3.3448063265100516,11.223178507751884,0.20954699956154205,-0.035859806797654006,K010_SN06,0.1,snake,0.6,2,0.0007034240847331288,0.8354574425400711,2.582700549296908e-05,0.40843666731244616,79.81676527210108,0.0795070150281373,0.9327383479995264,1.0,2.398081733190338e-14,0.016126629319778613,12.993849824807574,1.3218355280093088,-0.5821176396874502,0.291640625,0.9595000147819519
51,0.9030612244897959,0.2350694239139557,0.933349609375,3.36543144916705,11.361157130603656,0.23351274807947553,-0.029968516360482474,K010_SN06,0.1,snake,0.6,2,,,,,,,,,,,,,,,
52,0.9005102040816326,0.2959834635257721,0.905517578125,3.3861775831606495,11.501578124894127,0.23861057043131045,-0.03055655416249581,K010_SN06,0.1,snake,0.6,2,,,,,,,,,,,,,,,
