exp,width,period,enc,c,kappa,lr,batch,seed,method,method_cfg,run_id,target_hidden,out_scale,H_T
A,100,10000,std,,1,0.01,1,7,none,{'name': 'none'},A_w100_T10000_std_lr0.01_s7,2,7.0710678118654755,2
A,100,10000,std,,1,0.01,1,8,none,{'name': 'none'},A_w100_T10000_std_lr0.01_s8,2,7.0710678118654755,2
A,100,10000,std,,1,0.01,1,9,none,{'name': 'none'},A_w100_T10000_std_lr0.01_s9,2,7.0710678118654755,2
A,100,10000,std,,1,0.01,1,0,none,{'name': 'none'},A_w100_T10000_std_lr0.01_s0,4,5.0,4
A,100,10000,std,,1,0.01,1,1,none,{'name': 'none'},A_w100_T10000_std_lr0.01_s1,4,5.0,4
A,100,10000,std,,1,0.01,1,2,none,{'name': 'none'},A_w100_T10000_std_lr0.01_s2,4,5.0,4
A,100,10000,std,,1,0.01,1,3,none,{'name': 'none'},A_w100_T10000_std_lr0.01_s3,4,5.0,4
A,100,10000,std,,1,0.01,1,4,none,{'name': 'none'},A_w100_T10000_std_lr0.01_s4,4,5.0,4
A,100,10000,std,,1,0.01,1,5,none,{'name': 'none'},A_w100_T10000_std_lr0.01_s5,4,5.0,4
A,100,10000,std,,1,0.01,1,6,none,{'name': 'none'},A_w100_T10000_std_lr0.01_s6,4,5.0,4
A,100,10000,std,,1,0.01,1,7,none,{'name': 'none'},A_w100_T10000_std_lr0.01_s7,4,5.0,4
A,100,10000,std,,1,0.01,1,8,none,{'name': 'none'},A_w100_T10000_std_lr0.01_s8,4,5.0,4
A,100,10000,std,,1,0.01,1,9,none,{'name': 'none'},A_w100_T10000_std_lr0.01_s9,4,5.0,4
A,100,10000,std,,1,0.01,1,0,none,{'name': 'none'},A_w100_T10000_std_lr0.01_s0,8,3.5355339059327378,8
A,100,10000,std,,1,0.01,1,1,none,{'name': 'none'},A_w100_T10000_std_lr0.01_s1,8,3.5355339059327378,8
A,100,10000,std,,1,0.01,1,2,none,{'name': 'none'},A_w100_T10000_std_lr0.01_s2,8,3.5355339059327378,8
A,100,10000,std,,1,0.01,1,3,none,{'name': 'none'},A_w100_T10000_std_lr0.01_s3,8,3.5355339059327378,8
A,100,10000,std,,1,0.01,1,4,none,{'name': 'none'},A_w100_T10000_std_lr0.01_s4,8,3.5355339059327378,8
A,100,10000,std,,1,0.01,1,5,none,{'name': 'none'},A_w100_T10000_std_lr0.01_s5,8,3.5355339059327378,8
A,100,10000,std,,1,0.01,1,6,none,{'name': 'none'},A_w100_T10000_std_lr0.01_s6,8,3.5355339059327378,8
A,100,10000,std,,1,0.01,1,7,none,{'name': 'none'},A_w100_T10000_std_lr0.01_s7,8,3.5355339059327378,8
A,100,10000,std,,1,0.01,1,8,none,{'name': 'none'},A_w100_T10000_std_lr0.01_s8,8,3.5355339059327378,8
A,100,10000,std,,1,0.01,1,9,none,{'name': 'none'},A_w100_T10000_std_lr0.01_s9,8,3.5355339059327378,8
A,100,10000,std,,1,0.01,1,0,none,{'name': 'none'},A_w100_T10000_std_lr0.01_s0,32,1.7677669529663689,32
A,100,10000,std,,1,0.01,1,1,none,{'name': 'none'},A_w100_T10000_std_lr0.01_s1,32,1.7677669529663689,32
A,100,10000,std,,1,0.01,1,2,none,{'name': 'none'},A_w100_T10000_std_lr0.01_s2,32,1.7677669529663689,32
A,100,10000,std,,1,0.01,1,3,none,{'name': 'none'},A_w100_T10000_std_lr0.01_s3,32,1.7677669529663689,32
A,100,10000,std,,1,0.01,1,4,none,{'name': 'none'},A_w100_T10000_std_lr0.01_s4,32,1.7677669529663689,32
A,100,10000,std,,1,0.01,1,5,none,{'name': 'none'},A_w100_T10000_std_lr0.01_s5,32,1.7677669529663689,32
A,100,10000,std,,1,0.01,1,6,none,{'name': 'none'},A_w100_T10000_std_lr0.01_s6,32,1.7677669529663689,32
A,100,10000,std,,1,0.01,1,7,none,{'name': 'none'},A_w100_T10000_std_lr0.01_s7,32,1.7677669529663689,32
A,100,10000,std,,1,0.01,1,8,none,{'name': 'none'},A_w100_T10000_std_lr0.01_s8,32,1.7677669529663689,32
A,100,10000,std,,1,0.01,1,9,none,{'name': 'none'},A_w100_T10000_std_lr0.01_s9,32,1.7677669529663689,32
A,100,10000,std,,1,0.01,1,0,none,{'name': 'none'},A_w100_T10000_std_lr0.01_s0,100,1.0,100
A,100,10000,std,,1,0.01,1,1,none,{'name': 'none'},A_w100_T10000_std_lr0.01_s1,100,1.0,100
A,100,10000,std,,1,0.01,1,2,none,{'name': 'none'},A_w100_T10000_std_lr0.01_s2,100,1.0,100
A,100,10000,std,,1,0.01,1,3,none,{'name': 'none'},A_w100_T10000_std_lr0.01_s3,100,1.0,100
A,100,10000,std,,1,0.01,1,4,none,{'name': 'none'},A_w100_T10000_std_lr0.01_s4,100,1.0,100
A,100,10000,std,,1,0.01,1,5,none,{'name': 'none'},A_w100_T10000_std_lr0.01_s5,100,1.0,100
A,100,10000,std,,1,0.01,1,6,none,{'name': 'none'},A_w100_T10000_std_lr0.01_s6,100,1.0,100
A,100,10000,std,,1,0.01,1,7,none,{'name': 'none'},A_w100_T10000_std_lr0.01_s7,100,1.0,100
A,100,10000,std,,1,0.01,1,8,none,{'name': 'none'},A_w100_T10000_std_lr0.01_s8,100,1.0,100
A,100,10000,std,,1,0.01,1,9,none,{'name': 'none'},A_w100_T10000_std_lr0.01_s9,100,1.0,100
