part,model,first_cone,first_pin,first_eps,first_gate,first_absorbed,first_floor_task,late_acc,floor_thr,at_floor
variant,RL_ELU1>ELU1_preLN_a_s2,t2+75,,,,,,0.74508124,0.11822478634406863,False
variant,RL_ELU1>LR_none_s2,t2+75,t4+75,,,t3+75,,0.30780001,0.11822478634406863,False
variant,RL_ELU1>LR_inLN_s2,,,,,t2+75,,0.18536459,0.11822478634406863,False
variant,RL_ELU1>LR_inLN_a_s2,t7+75,,,,t2+75,,0.25479063,0.11822478634406863,False
variant,RL_ELU1>LR_preLN_s2,t2+75,,,,t6+375,,0.47369269,0.11822478634406863,False
variant,RL_ELU1>LR_preLN_a_s2,t2+75,,,,t4+75,,0.6883020500000001,0.11822478634406863,False
variant,RL_LR>ELU1_none_s2,t2+75,t11+75,t30+6000,t6+375,t9+75,22,0.10693855,0.11822478634406863,True
variant,RL_LR>ELU1_inLN_s2,t13+375,,,t7+75,t2+75,,0.2861198,0.11822478634406863,False
variant,RL_LR>ELU1_inLN_a_s2,t2+75,,t27+6000,t4+75,t2+75,18,0.11208852999999999,0.11822478634406863,True
variant,RL_LR>ELU1_preLN_s2,t2+75,,,,,,0.63445937,0.11822478634406863,False
variant,RL_LR>ELU1_preLN_a_s2,t2+75,,,,,,0.6896895599999999,0.11822478634406863,False
variant,RL_LR>LR_none_s2,t2+75,t2+75,,,t4+75,,0.48927188,0.11822478634406863,False
variant,RL_LR>LR_inLN_s2,,,,,t2+75,,0.39617603,0.11822478634406863,False
variant,RL_LR>LR_inLN_a_s2,,,,,t2+75,,0.42414372999999994,0.11822478634406863,False
variant,RL_LR>LR_preLN_s2,t2+75,,,,,,0.4904906299999999,0.11822478634406863,False
variant,RL_LR>LR_preLN_a_s2,t2+75,,,,t10+75,,0.44891248000000006,0.11822478634406863,False
variant,PM_ELU1>ELU1_none_s2,t7+75,,,,,,0.9882687499999999,0.1158333,False
variant,PM_ELU1>ELU1_inLN_s2,,,,,,,0.9916468499999999,0.1158333,False
variant,PM_ELU1>ELU1_inLN_a_s2,,,,,,,0.9898677100000002,0.1158333,False
variant,PM_ELU1>ELU1_preLN_s2,,,,,,,0.98242084,0.1158333,False
variant,PM_ELU1>ELU1_preLN_a_s2,,,,,,,0.98665312,0.1158333,False
variant,PM_ELU1>LR_none_s2,t11+75,,,,,,0.98876874,0.1158333,False
variant,PM_ELU1>LR_inLN_s2,,,,,,,0.9871135499999999,0.1158333,False
variant,PM_ELU1>LR_inLN_a_s2,,,,,,,0.9883947799999999,0.1158333,False
variant,PM_ELU1>LR_preLN_s2,,,,,,,0.986125,0.1158333,False
variant,PM_ELU1>LR_preLN_a_s2,,,,,,,0.9865593700000002,0.1158333,False
variant,PM_LR>ELU1_none_s2,,,,,,,0.98360624,0.1158333,False
variant,PM_LR>ELU1_inLN_s2,,,,,,,0.99133749,0.1158333,False
variant,PM_LR>ELU1_inLN_a_s2,,,,,,,0.9891874700000001,0.1158333,False
variant,PM_LR>ELU1_preLN_s2,,,,,,,0.98523333,0.1158333,False
variant,PM_LR>ELU1_preLN_a_s2,,,,,,,0.9858958199999999,0.1158333,False
variant,PM_LR>LR_none_s2,,,,,,,0.98398854,0.1158333,False
variant,PM_LR>LR_inLN_s2,,,,,,,0.98655935,0.1158333,False
variant,PM_LR>LR_inLN_a_s2,,,,,,,0.98692501,0.1158333,False
variant,PM_LR>LR_preLN_s2,t47+0,,,,,,0.98577602,0.1158333,False
variant,PM_LR>LR_preLN_a_s2,,,,,,,0.98571353,0.1158333,False
variant,RL_ELU1>ELU1_eps1e-6_s0,t2+75,t6+75,t15+3000,t3+75,t2+75,13,0.101373954,0.12276671928110718,True
variant,RL_ELU1>ELU1_eps1e-30_s0,t2+75,t4+75,,t3+75,t2+75,13,0.107191642,0.12276671928110718,True
variant,RL_LR>ELU1_eps1e-6_s0,t2+75,t6+75,t17+375,t6+75,t3+75,15,0.10150831899999999,0.12276671928110718,True
variant,RL_LR>ELU1_eps1e-30_s0,t2+75,t7+75,,t6+375,t9+75,20,0.11339689,0.12276671928110718,True
variant,RL_ELU1>ELU1_eps1e-6_s1,t2+75,t4+75,t16+1500,t4+75,t2+75,15,0.10197083300000001,0.12079148826029182,True
variant,RL_ELU1>ELU1_eps1e-30_s1,t2+75,t4+75,,t3+75,t2+75,17,0.10979792,0.12079148826029182,True
variant,RL_LR>ELU1_eps1e-6_s1,t2+75,t2+75,t18+6000,t6+75,t2+75,17,0.103379164,0.12079148826029182,True
variant,RL_LR>ELU1_eps1e-30_s1,t2+75,t2+75,,t6+375,t2+75,19,0.11184581999999998,0.12079148826029182,True
variant,RL_ELU1>ELU1_eps1e-6_s2,t2+75,t2+75,t13+6000,t3+75,t2+75,13,0.100528123,0.11822478634406863,True
variant,RL_ELU1>ELU1_eps1e-30_s2,t2+75,t4+75,,t3+75,t2+75,13,0.11131562499999999,0.11822478634406863,True
variant,RL_LR>ELU1_eps1e-6_s2,t2+75,t2+75,t18+375,t5+375,t2+75,17,0.10206561600000001,0.11822478634406863,True
variant,RL_LR>ELU1_eps1e-30_s2,t2+75,t5+75,,t6+75,t7+375,19,0.11179272,0.11822478634406863,True
