seed,env,act1,act2,task,floor_acc,online_acc,online_ce,finite,train_acc,train_ce,a1_rms,wnorm_l1,wnorm_l2,wnorm_l3,cnorm_l1,lowgate_l1,nearzero_l1
1,PM,ELU1,LR,1,0.1141667,0.9875417,0.04364438,True,1,6.57177e-05,1.917383,1.640435,1.131493,1.385832,1.620755,0.01308333,0.400275
1,PM,LR,ELU1,1,0.1141667,0.9885833,0.03994071,True,1,5.55404e-05,1.617183,1.525637,1.057091,1.460809,1.51333,0,0.456975
1,PM,LR,LR,1,0.1141667,0.9876041,0.04334859,True,1,6.228149e-05,1.897308,1.614876,1.091702,1.376304,1.598308,0,0.3868334
2,RL,ELU1,ELU1,1,0.1083333,0.7901354,0.613493,True,0.965,0.1021999,0.7257776,3.359058,1.600348,2.458695,3.352214,0.043875,0.5898501
2,RL,ELU1,LR,1,0.1083333,0.8149479,0.5558543,True,0.7441667,0.979583,0.9125068,3.428908,1.784276,2.755657,3.421609,0.039625,0.56165
2,RL,LR,ELU1,1,0.1083333,0.8640104,0.4068238,True,1,0.004178007,0.6206442,2.810538,1.578824,2.60968,2.804958,0,0.5720167
2,RL,LR,LR,1,0.1083333,0.8529062,0.4427381,True,1,0.003700872,0.7521163,2.966312,1.643492,2.4739,2.959337,0,0.5155751
2,PM,ELU1,ELU1,1,0.1158333,0.9891354,0.04022153,True,1,5.514542e-05,1.527749,1.538643,1.135413,1.452752,1.525734,0.004833333,0.4882167
2,PM,ELU1,LR,1,0.1158333,0.9880833,0.04313936,True,1,6.217996e-05,1.873629,1.621724,1.134434,1.417338,1.603754,0.0078,0.4167334
2,PM,LR,ELU1,1,0.1158333,0.9886459,0.04082477,True,1,5.579949e-05,1.625516,1.544166,1.055938,1.473991,1.532,0,0.4423917
2,PM,LR,LR,1,0.1158333,0.9872916,0.04475292,True,1,6.36816e-05,1.85898,1.634898,1.072652,1.380396,1.619327,0,0.3973833
0,RL,ELU1,ELU1,2,0.1108333,0.7601146,0.7170394,True,1,0.004009939,0.9678118,4.462159,1.931425,2.621977,4.44889,0.25495,0.2962917
0,RL,ELU1,LR,2,0.1108333,0.7914792,0.6430846,True,1,0.007107707,1.122647,4.606774,2.16506,3.736175,4.592875,0.25695,0.2942167
0,RL,LR,ELU1,2,0.1108333,0.7999687,0.6039967,True,1,0.003341739,0.4472201,4.008487,2.104591,3.597669,3.98551,0,0.2500083
0,RL,LR,LR,2,0.1108333,0.7877917,0.6255155,True,1,0.001952457,0.5684371,4.150035,2.154079,4.187498,4.131255,0,0.2723334
0,PM,ELU1,ELU1,2,0.1191667,0.99225,0.03309713,True,1,5.960226e-05,1.096247,2.015637,1.289886,1.605128,2.001749,0.04545834,0.487575
0,PM,ELU1,LR,2,0.1191667,0.9923125,0.03210471,True,1,5.495111e-05,1.241713,2.132982,1.325873,1.695382,2.116785,0.06145833,0.4494333
0,PM,LR,ELU1,2,0.1191667,0.9931875,0.02686261,True,1,4.768928e-05,1.076977,2.002402,1.261104,1.78323,1.984833,0,0.325425
0,PM,LR,LR,2,0.1191667,0.9928125,0.02934623,True,1,5.161246e-05,1.262061,2.138757,1.306398,1.75476,2.117319,0,0.339625
1,RL,ELU1,ELU1,2,0.1125,0.7596667,0.7157069,True,1,0.002443998,1.062402,4.249387,1.940175,2.687366,4.23948,0.2280417,0.324675
1,RL,ELU1,LR,2,0.1125,0.7758854,0.6765302,True,1,0.00310567,1.138576,4.377499,2.143584,3.784573,4.36938,0.22605,0.320625
1,RL,LR,ELU1,2,0.1125,0.7833229,0.6617275,True,1,0.003977104,0.4512876,4.108882,2.047189,3.582139,4.090626,0,0.2471167
1,RL,LR,LR,2,0.1125,0.7792292,0.6569654,True,1,0.002783441,0.5310193,4.176773,2.123732,4.188658,4.160698,0,0.2255917
1,PM,ELU1,ELU1,2,0.1141667,0.992625,0.03091892,True,1,5.445083e-05,1.138006,2.055064,1.293655,1.630967,2.042863,0.08138334,0.4194916
1,PM,ELU1,LR,2,0.1141667,0.9927709,0.03001217,True,1,5.308747e-05,1.236743,2.16074,1.362419,1.711944,2.147943,0.1313,0.3473
1,PM,LR,ELU1,2,0.1141667,0.9930833,0.02690701,True,1,4.906893e-05,0.9430969,2.042239,1.319301,1.879273,2.020408,0,0.28455
1,PM,LR,LR,2,0.1141667,0.9926771,0.02870583,True,1,5.102595e-05,1.17638,2.130785,1.37502,1.825263,2.108811,0,0.266525
2,RL,ELU1,ELU1,2,0.1158333,0.7655833,0.7084671,True,0.9483334,0.1595486,1.046058,4.539826,1.927011,2.61,4.528284,0.2958917,0.265875
2,RL,ELU1,LR,2,0.1158333,0.7898125,0.6401129,True,1,0.00544205,1.140743,4.59262,2.163006,3.743151,4.580545,0.2550167,0.2905833
2,RL,LR,ELU1,2,0.1158333,0.7804791,0.6759029,True,1,0.009862118,0.4482701,4.18167,2.064783,3.524405,4.165246,0,0.2109
2,RL,LR,LR,2,0.1158333,0.7795729,0.654523,True,1,0.002900534,0.6085118,4.130853,2.155262,4.178713,4.11321,0,0.2469833
2,PM,ELU1,ELU1,2,0.1158333,0.991125,0.03958352,True,1,6.869475e-05,1.093776,2.113262,1.302663,1.640118,2.099238,0.1145083,0.4116083
2,PM,ELU1,LR,2,0.1158333,0.9910417,0.03705569,True,1,6.229639e-05,1.238694,2.217983,1.358442,1.727899,2.202549,0.148925,0.3649167
2,PM,LR,ELU1,2,0.1158333,0.9923125,0.03218641,True,1,5.802314e-05,0.9432334,2.101192,1.299415,1.907614,2.083752,0,0.282675
2,PM,LR,LR,2,0.1158333,0.9906875,0.03708378,True,1,6.491582e-05,1.284328,2.233353,1.346068,1.846078,2.21484,0,0.2260333
0,RL,ELU1,ELU1,3,0.115,0.7791042,0.6564972,True,1,0.001725183,1.137344,5.246062,2.202505,2.815982,5.230484,0.3561,0.2345917
0,RL,ELU1,LR,3,0.115,0.789375,0.6453629,True,1,0.002293254,1.323052,5.471292,2.438754,4.319032,5.453195,0.3720833,0.2192084
0,RL,LR,ELU1,3,0.115,0.7647083,0.7379171,True,1,0.007169438,0.4706448,5.061946,2.356564,3.691139,5.039337,0,0.1656083
0,RL,LR,LR,3,0.115,0.7896771,0.6503487,True,1,0.006139982,0.6543969,5.155732,2.483417,5.137869,5.133384,0,0.1676
0,PM,ELU1,ELU1,3,0.1191667,0.9928229,0.03231286,True,1,5.121708e-05,1.274283,2.435599,1.428871,1.673567,2.420494,0.06999167,0.433875
0,PM,ELU1,LR,3,0.1191667,0.9926979,0.03136763,True,1,4.623811e-05,1.435897,2.558364,1.459397,1.860589,2.543366,0.07923333,0.4019583
0,PM,LR,ELU1,3,0.1191667,0.9934791,0.02911246,True,1,3.973802e-05,0.9279096,2.400342,1.42672,1.920907,2.380146,0,0.3103
0,PM,LR,LR,3,0.1191667,0.9933958,0.02875618,True,1,3.705978e-05,1.121018,2.544677,1.478938,1.98125,2.520549,0,0.2916334
1,RL,ELU1,ELU1,3,0.1208333,0.7886146,0.6436585,True,1,0.003455509,1.144204,5.336785,2.237329,2.836884,5.320692,0.3742251,0.2219417
1,RL,ELU1,LR,3,0.1208333,0.8026041,0.6111147,True,1,0.001819571,1.22317,5.239516,2.403708,4.278837,5.223675,0.3713499,0.23085
1,RL,LR,ELU1,3,0.1208333,0.7511354,0.7636358,True,1,0.007761849,0.5345361,4.959342,2.329724,3.687692,4.93669,0,0.1800333
1,RL,LR,LR,3,0.1208333,0.7632917,0.7116797,True,1,0.007057182,0.6378566,5.223997,2.454228,5.146391,5.203361,0,0.1623833
1,PM,ELU1,ELU1,3,0.1141667,0.9921563,0.03264787,True,1,4.859209e-05,1.231619,2.482332,1.445871,1.695199,2.468202,0.1189833,0.3756667
1,PM,ELU1,LR,3,0.1141667,0.9909583,0.03408219,True,1,3.779173e-05,1.688612,2.613866,1.528534,1.874179,2.595205,0.1123667,0.3647917
1,PM,LR,ELU1,3,0.1141667,0.9930625,0.02870602,True,1,4.035632e-05,0.8376174,2.443929,1.465165,2.051033,2.417484,0,0.296475
1,PM,LR,LR,3,0.1141667,0.9930208,0.02853019,True,1,3.646136e-05,1.034919,2.535461,1.536461,2.09236,2.50679,0,0.2653167
2,RL,ELU1,ELU1,3,0.1058333,0.7607083,0.6980724,True,0.9958333,0.03968528,1.231918,5.565506,2.334068,2.944172,5.550648,0.3851917,0.2174917
2,RL,ELU1,LR,3,0.1058333,0.7841563,0.6530865,True,1,0.004141886,1.20095,5.574596,2.418772,4.253562,5.554513,0.430225,0.2033
2,RL,LR,ELU1,3,0.1058333,0.7226146,0.8520997,True,1,0.02677214,0.4860719,5.195405,2.347302,3.613892,5.173939,0,0.1434333
2,RL,LR,LR,3,0.1058333,0.7913333,0.6336532,True,1,0.001983008,0.7051226,4.98385,2.453158,4.921731,4.961554,0,0.20715
2,PM,ELU1,ELU1,3,0.1158333,0.9911667,0.03823463,True,1,5.398194e-05,1.530616,2.571529,1.436372,1.705567,2.554586,0.134725,0.3419667
2,PM,ELU1,LR,3,0.1158333,0.991125,0.03638195,True,1,4.453739e-05,1.62679,2.674823,1.49563,1.899366,2.66163,0.1200417,0.3451833
2,PM,LR,ELU1,3,0.1158333,0.9926041,0.03192466,True,1,3.772497e-05,1.08143,2.52125,1.436065,2.028926,2.498526,0,0.2693417
2,PM,LR,LR,3,0.1158333,0.9923542,0.03281117,True,1,3.899892e-05,1.130336,2.655738,1.507695,2.075599,2.628868,0,0.2492334
0,RL,ELU1,ELU1,4,0.1141667,0.7946354,0.6339921,True,1,0.00376176,1.364712,6.324594,2.544426,3.071416,6.307671,0.4562083,0.182425
0,RL,ELU1,LR,4,0.1141667,0.8091041,0.6066114,True,1,0.001783231,1.457027,6.40638,2.672529,4.526398,6.384833,0.4426417,0.1885084
0,RL,LR,ELU1,4,0.1141667,0.7043542,0.8948941,True,0.9991667,0.02600333,0.602377,6.005198,2.621595,3.653111,5.977609,0,0.1320417
0,RL,LR,LR,4,0.1141667,0.7155833,0.8543891,True,0.9258333,0.2472461,0.6521813,6.24767,2.802323,5.975422,6.223036,0,0.1054917
0,PM,ELU1,ELU1,4,0.1191667,0.992125,0.03044474,True,1,3.741264e-05,1.625021,2.86195,1.581935,1.742185,2.834172,0.148725,0.3439834
0,PM,ELU1,LR,4,0.1191667,0.9915,0.03224739,True,1,3.507574e-05,1.56268,2.961487,1.599135,1.977314,2.934586,0.1368667,0.3539083
0,PM,LR,ELU1,4,0.1191667,0.9938958,0.02500698,True,1,2.863964e-05,0.9793136,2.752184,1.530992,1.982279,2.726689,0,0.2816083
0,PM,LR,LR,4,0.1191667,0.9934062,0.02554193,True,1,2.881845e-05,1.103434,2.914907,1.625302,2.201566,2.885046,0,0.2447083
1,RL,ELU1,ELU1,4,0.1125,0.7473333,0.7500994,True,1,0.007808156,1.611703,6.39407,2.596645,3.176058,6.376502,0.4624167,0.17335
1,RL,ELU1,LR,4,0.1125,0.7961667,0.6352162,True,1,0.001843359,1.262651,6.148931,2.638168,4.601027,6.127579,0.4827583,0.1789833
1,RL,LR,ELU1,4,0.1125,0.7277396,0.8355096,True,0.9983333,0.01370362,0.5779061,5.766968,2.616179,3.720522,5.743221,0,0.1521833
1,RL,LR,LR,4,0.1125,0.7197188,0.8528375,True,1,0.00844667,0.7030098,6.129574,2.732257,5.844396,6.106916,0,0.1391583
1,PM,ELU1,ELU1,4,0.1141667,0.9907917,0.03324154,True,1,4.551331e-05,1.399342,2.861806,1.592964,1.765748,2.841967,0.1664667,0.34485
1,PM,ELU1,LR,4,0.1141667,0.9915,0.03048086,True,1,3.495296e-05,1.677986,3.009045,1.664326,2.001157,2.983088,0.1652,0.3223667
1,PM,LR,ELU1,4,0.1141667,0.9931354,0.02735532,True,1,3.366312e-05,0.8954766,2.777465,1.557428,2.091592,2.749533,0,0.287775
1,PM,LR,LR,4,0.1141667,0.9927812,0.02625895,True,1,3.384908e-05,1.04213,2.907873,1.675612,2.313342,2.874686,0,0.2697417
2,RL,ELU1,ELU1,4,0.11,0.7416562,0.7529685,True,1,0.003896343,1.519693,6.393294,2.654275,3.297457,6.373171,0.4443417,0.181575
2,RL,ELU1,LR,4,0.11,0.7892812,0.6467789,True,1,0.001971178,1.321077,6.364775,2.654114,4.591592,6.338461,0.4962417,0.17095
2,RL,LR,ELU1,4,0.11,0.6673542,0.9930241,True,0.9975,0.03097138,0.5526912,6.038085,2.618801,3.674128,6.01462,0,0.1308917
2,RL,LR,LR,4,0.11,0.7650312,0.7203791,True,1,0.0040217,0.753456,5.894006,2.757077,5.502964,5.872027,0,0.1505333
2,PM,ELU1,ELU1,4,0.1158333,0.9916562,0.03188819,True,1,3.592571e-05,1.576337,2.958127,1.576283,1.748476,2.937122,0.1676583,0.3311584
2,PM,ELU1,LR,4,0.1158333,0.9910104,0.03351718,True,1,3.290256e-05,1.701003,3.06941,1.605019,2.001522,3.051021,0.132475,0.3360667
2,PM,LR,ELU1,4,0.1158333,0.9925938,0.0276941,True,1,3.970464e-05,0.9016346,2.876784,1.543267,2.09899,2.850417,0,0.2962583
2,PM,LR,LR,4,0.1158333,0.9930729,0.02617008,True,1,3.234188e-05,0.9930964,3.02299,1.6631,2.32303,2.990377,0,0.2260167
0,RL,ELU1,ELU1,5,0.1125,0.7232187,0.8124884,True,1,0.005131265,1.97612,7.307479,2.886784,3.37459,7.283726,0.4502333,0.16525
0,RL,ELU1,LR,5,0.1125,0.7887396,0.6781347,True,1,0.002191064,1.375041,7.242498,2.857937,4.663013,7.217004,0.5241,0.157675
0,RL,LR,ELU1,5,0.1125,0.6672395,0.9644699,True,1,0.01594158,0.7073957,6.704721,2.92143,3.752086,6.675598,0,0.1296583
0,RL,LR,LR,5,0.1125,0.6283125,1.099683,True,0.9825,0.0994583,0.6871285,7.255658,3.080605,6.470119,7.226264,0,0.0934
0,PM,ELU1,ELU1,5,0.1191667,0.991375,0.03617342,True,1,3.762404e-05,1.596178,3.223035,1.749176,1.823162,3.186248,0.1766583,0.3266167
0,PM,ELU1,LR,5,0.1191667,0.9914479,0.03453482,True,1,3.613671e-05,1.607421,3.342919,1.709119,2.102198,3.316028,0.1704333,0.29665
0,PM,LR,ELU1,5,0.1191667,0.9933229,0.02776155,True,1,3.903151e-05,0.8803839,3.076432,1.652982,2.065865,3.037914,0,0.2702833
0,PM,LR,LR,5,0.1191667,0.9932604,0.02704575,True,1,2.649387e-05,0.9838935,3.20199,1.734001,2.385284,3.166062,0,0.2450417
1,RL,ELU1,ELU1,5,0.1116667,0.6956562,0.867682,True,1,0.007907663,2.309435,7.393178,2.968057,3.520823,7.374675,0.4250584,0.1620167
1,RL,ELU1,LR,5,0.1116667,0.7901979,0.6598799,True,1,0.002343191,1.354485,7.052826,2.857971,4.819986,7.033587,0.5270584,0.1518583
1,RL,LR,ELU1,5,0.1116667,0.6531354,1.02498,True,0.9975,0.03485356,0.6687605,6.737323,2.940586,3.794596,6.713072,0,0.1173833
1,RL,LR,LR,5,0.1116667,0.6887396,0.9564055,True,0.9975,0.0436449,0.7713827,7.181652,3.015661,6.394492,7.154558,0,0.09092501
1,PM,ELU1,ELU1,5,0.1141667,0.991677,0.03065897,True,1,4.0102e-05,1.562282,3.220231,1.733697,1.831945,3.189252,0.1624,0.3308833
1,PM,ELU1,LR,5,0.1141667,0.9914792,0.03208076,True,1,3.559709e-05,1.580341,3.380986,1.77009,2.102671,3.3505,0.159225,0.3303
1,PM,LR,ELU1,5,0.1141667,0.9935,0.02648561,True,1,3.485521e-05,0.8944692,3.071187,1.639038,2.10907,3.037768,0,0.2887667
1,PM,LR,LR,5,0.1141667,0.9928542,0.02585532,True,1,2.163967e-05,1.295797,3.191494,1.752979,2.401642,3.154092,0,0.2772167
2,RL,ELU1,ELU1,5,0.1108333,0.7605208,0.7132083,True,1,0.004399964,2.195337,7.419396,2.987875,3.625061,7.400173,0.4766417,0.15255
2,RL,ELU1,LR,5,0.1108333,0.779625,0.6977031,True,1,0.009680221,1.403842,7.43196,2.917212,4.819994,7.403006,0.57715,0.1320417
2,RL,LR,ELU1,5,0.1108333,0.6389791,1.053952,True,0.9216667,0.2163275,0.6508582,6.88823,2.893279,3.708665,6.860487,0,0.1065
2,RL,LR,LR,5,0.1108333,0.7505313,0.7659848,True,1,0.008103671,0.8023924,6.621186,2.988239,5.864305,6.592371,0,0.123675
2,PM,ELU1,ELU1,5,0.1158333,0.9923958,0.02954373,True,1,3.160477e-05,1.541927,3.301608,1.707371,1.823161,3.268803,0.1965417,0.319325
2,PM,ELU1,LR,5,0.1158333,0.9925,0.02754448,True,1,2.852202e-05,1.55918,3.381619,1.713886,2.1126,3.359338,0.1493917,0.336425
2,PM,LR,ELU1,5,0.1158333,0.9925208,0.02940647,True,1,3.712019e-05,0.8353021,3.169067,1.631254,2.142992,3.140473,0,0.264375
2,PM,LR,LR,5,0.1158333,0.9935312,0.0227313,True,1,2.44093e-05,1.047679,3.302111,1.774103,2.486878,3.27248,0,0.2692083
0,RL,ELU1,ELU1,6,0.1125,0.6504791,0.9658378,True,1,0.01822779,2.736512,8.342674,3.230809,3.63049,8.310881,0.457325,0.143125
0,RL,ELU1,LR,6,0.1125,0.7616562,0.7657467,True,1,0.003626871,1.410533,8.069673,3.077272,4.78159,8.043194,0.5815417,0.1308917
0,RL,LR,ELU1,6,0.1125,0.6535,1.001203,True,0.9983333,0.02038793,0.9452072,7.660741,3.236941,3.928917,7.62615,0,0.119
0,RL,LR,LR,6,0.1125,0.5917292,1.230027,True,0.9566667,0.2201145,0.7262394,8.234558,3.237032,6.732565,8.201028,0,0.06715833
0,PM,ELU1,ELU1,6,0.1191667,0.9918646,0.03291695,True,1,3.779411e-05,1.557089,3.536973,1.891733,1.914801,3.486649,0.1851833,0.3176083
0,PM,ELU1,LR,6,0.1191667,0.9914271,0.03398106,True,1,3.082236e-05,1.689051,3.652277,1.807922,2.204953,3.61789,0.1787583,0.3175917
0,PM,LR,ELU1,6,0.1191667,0.993,0.02937283,True,1,4.331986e-05,0.924089,3.375223,1.775618,2.144022,3.324294,0,0.2206167
0,PM,LR,LR,6,0.1191667,0.9925104,0.02879858,True,1,2.880971e-05,1.150429,3.489386,1.837813,2.517535,3.451076,0,0.2431333
1,RL,ELU1,ELU1,6,0.115,0.5972604,1.108441,True,0.9766667,0.1061119,3.087261,8.47265,3.305195,3.730018,8.446298,0.4470249,0.1362833
1,RL,ELU1,LR,6,0.115,0.7529375,0.7821687,True,1,0.00486928,1.292552,7.995331,3.05467,4.971703,7.969589,0.6134584,0.1228333
1,RL,LR,ELU1,6,0.115,0.6374271,1.052226,True,0.9966667,0.04682398,0.8897726,7.74126,3.257634,3.979975,7.717449,0,0.1015083
1,RL,LR,LR,6,0.115,0.6580521,1.052784,True,0.9783334,0.1009476,0.7608724,7.97576,3.228629,6.690183,7.948523,0,0.0842
1,PM,ELU1,ELU1,6,0.1141667,0.9906979,0.03576254,True,1,2.382755e-05,1.51481,3.573818,1.880737,1.87135,3.55215,0.1477917,0.3469916
1,PM,ELU1,LR,6,0.1141667,0.9913542,0.0342613,True,1,3.001889e-05,1.478122,3.691089,1.840161,2.15134,3.666183,0.1601583,0.3251167
1,PM,LR,ELU1,6,0.1141667,0.9930208,0.0282857,True,1,3.279289e-05,0.9005924,3.335886,1.742358,2.133771,3.300103,0,0.2607583
1,PM,LR,LR,6,0.1141667,0.99225,0.02916515,True,1,3.146648e-05,1.333173,3.489411,1.874066,2.53051,3.449977,0,0.2233417
2,RL,ELU1,ELU1,6,0.1141667,0.6509896,0.9666259,True,0.9975,0.02260966,2.822335,8.418607,3.327086,3.841553,8.39372,0.477975,0.1353667
2,RL,ELU1,LR,6,0.1141667,0.7240208,0.8617443,True,1,0.005383682,1.389577,8.246647,3.125455,5.014457,8.21708,0.6374251,0.1108
2,RL,LR,ELU1,6,0.1141667,0.5816458,1.193489,True,0.9816667,0.09520619,0.7621644,7.858663,3.233893,3.853809,7.828268,0,0.09582502
2,RL,LR,LR,6,0.1141667,0.6390208,1.094716,True,0.9858333,0.09095164,0.8766809,7.613362,3.228248,6.165513,7.579103,0,0.081925
2,PM,ELU1,ELU1,6,0.1158333,0.9905521,0.03448615,True,1,3.454765e-05,1.581806,3.623266,1.852742,1.889766,3.572285,0.2659084,0.2733167
2,PM,ELU1,LR,6,0.1158333,0.9909479,0.03457129,True,1,3.716628e-05,1.533638,3.679103,1.813162,2.211516,3.643497,0.2189667,0.314975
2,PM,LR,ELU1,6,0.1158333,0.9923437,0.03039382,True,1,3.79022e-05,0.7774571,3.440825,1.730845,2.193492,3.404686,0,0.2495833
2,PM,LR,LR,6,0.1158333,0.9924687,0.02773546,True,1,2.873739e-05,1.066568,3.570865,1.876056,2.632035,3.535439,0,0.2255166
0,RL,ELU1,ELU1,7,0.1258333,0.4912917,1.376905,True,0.8616667,0.3709437,3.58334,9.231289,3.525517,3.75183,9.19108,0.4760084,0.1216583
0,RL,ELU1,LR,7,0.1258333,0.7411146,0.8325632,True,1,0.006274711,1.400268,8.816766,3.195571,4.826751,8.787093,0.6311834,0.1124833
0,RL,LR,ELU1,7,0.1258333,0.6183958,1.089283,True,0.9916667,0.04670424,1.187468,8.717343,3.586962,4.095506,8.670999,0,0.1049333
0,RL,LR,LR,7,0.1258333,0.5761979,1.294179,True,0.9308333,0.3073761,0.7631172,9.017619,3.348031,6.8446,8.975204,0,0.05678334
0,PM,ELU1,ELU1,7,0.1191667,0.9915625,0.03293584,True,1,2.778053e-05,1.682334,3.842636,2.033175,1.971854,3.788851,0.1906583,0.3094917
0,PM,ELU1,LR,7,0.1191667,0.9907187,0.03776797,True,1,4.163424e-05,1.820298,3.97828,1.911139,2.29684,3.941131,0.1971333,0.28535
0,PM,LR,ELU1,7,0.1191667,0.9927083,0.02771956,True,1,2.876918e-05,1.025135,3.622348,1.876379,2.151934,3.571307,0,0.2596917
0,PM,LR,LR,7,0.1191667,0.9924896,0.0280933,True,1,2.469301e-05,1.104848,3.7464,1.945847,2.643444,3.707391,0,0.2630083
1,RL,ELU1,ELU1,7,0.1141667,0.415375,1.522407,True,0.8225,0.5072871,4.055157,9.382413,3.577886,3.845286,9.345441,0.4640083,0.1172833
1,RL,ELU1,LR,7,0.1141667,0.7334583,0.8417374,True,1,0.005044725,1.348216,8.807178,3.222869,5.005935,8.780178,0.6553835,0.1047167
1,RL,LR,ELU1,7,0.1141667,0.5901771,1.168902,True,0.9866667,0.09022741,1.325582,8.723809,3.600571,4.206119,8.693598,0,0.09609166
1,RL,LR,LR,7,0.1141667,0.5817916,1.270773,True,0.9441667,0.2620699,0.8248107,8.782228,3.352189,6.760898,8.752515,0,0.05870834
1,PM,ELU1,ELU1,7,0.1141667,0.9900833,0.03774708,True,1,3.288031e-05,1.715326,3.885352,2.021585,1.921951,3.850471,0.2092167,0.289275
1,PM,ELU1,LR,7,0.1141667,0.991625,0.03584046,True,1,3.387292e-05,1.680432,3.998627,1.926263,2.218155,3.968366,0.19125,0.2942917
1,PM,LR,ELU1,7,0.1141667,0.9927917,0.02809653,True,1,3.393809e-05,0.8894352,3.597364,1.848275,2.16364,3.555717,0,0.255825
1,PM,LR,LR,7,0.1141667,0.9915,0.03119139,True,1,2.283057e-05,1.31681,3.763745,2.000983,2.608073,3.725183,0,0.2444167
2,RL,ELU1,ELU1,7,0.115,0.551625,1.208234,True,0.93,0.2225611,3.507792,9.319982,3.637369,4.010045,9.288349,0.523775,0.1129583
2,RL,ELU1,LR,7,0.115,0.7072396,0.892704,True,1,0.01106085,1.418214,9.079627,3.282259,5.131012,9.045636,0.6849833,0.09297501
2,RL,LR,ELU1,7,0.115,0.5710521,1.204093,True,0.9816667,0.1011076,0.8704295,8.946225,3.568726,4.054908,8.91058,0,0.08535834
2,RL,LR,LR,7,0.115,0.6233333,1.176445,True,0.9666667,0.1708907,0.8878302,8.447024,3.378978,6.333038,8.412302,0,0.072125
2,PM,ELU1,ELU1,7,0.1158333,0.9905729,0.03769896,True,1,3.774563e-05,1.84773,4.045611,1.987255,1.974325,3.987881,0.285475,0.2338917
2,PM,ELU1,LR,7,0.1158333,0.9904479,0.0386016,True,1,3.180265e-05,1.982943,4.002868,1.898733,2.307366,3.959871,0.2355334,0.2738584
2,PM,LR,ELU1,7,0.1158333,0.9922813,0.03266298,True,1,4.094919e-05,0.9092114,3.69459,1.822761,2.223536,3.6538,0,0.2213333
2,PM,LR,LR,7,0.1158333,0.992375,0.02983367,True,1,2.722621e-05,1.073181,3.822666,1.982859,2.725514,3.781936,0,0.2396584
0,RL,ELU1,ELU1,8,0.1116667,0.3255104,1.736196,True,0.62,0.9486777,4.647343,9.766865,3.726812,3.812468,9.718227,0.4937667,0.104775
0,RL,ELU1,LR,8,0.1116667,0.7403646,0.8440155,True,1,0.009784228,1.466813,9.624007,3.391189,4.873049,9.593653,0.6678334,0.09570834
0,RL,LR,ELU1,8,0.1116667,0.5660625,1.191531,True,0.9683334,0.131001,1.61744,9.507443,3.926435,4.289474,9.449615,0,0.092325
0,RL,LR,LR,8,0.1116667,0.5662292,1.345951,True,0.9125,0.3611585,0.7754841,9.760783,3.434735,6.879999,9.719608,0,0.05275001
0,PM,ELU1,ELU1,8,0.1191667,0.9921042,0.03246914,True,1,3.253301e-05,1.829499,4.157282,2.157955,2.016323,4.108007,0.1661333,0.3032417
0,PM,ELU1,LR,8,0.1191667,0.9912812,0.03563428,True,1,3.33492e-05,1.719983,4.26582,1.993938,2.354872,4.22536,0.1942333,0.2931167
