seed,env,act,task,floor_acc,online_acc,online_ce,finite,train_acc,train_ce,zmean_l1,gate_mean_l1,lowgate_l1,tinygate_l1,neggate_l1,zmed_l1,zmean_l2,gate_mean_l2,lowgate_l2,tinygate_l2,neggate_l2,zmed_l2,wnorm_l1,wnorm_l2,wnorm_l3,cnorm_l1
0,RL,SILU,84,0.1166667,0.1154375,2.301017,True,0.1166667,2.297828,-30.10678,0.03081236,0.9674416,0.85675,0.9653918,-40.09406,-113.4072,-1.122807e-07,1,0.997725,0.508375,-93.61743,19.95021,13.90279,94.17745,19.43738
0,PM,LR,84,0.1191667,0.9783854,0.0977756,True,1,0.0001842007,-7.65499,0.196525,0,0,0,-7.601631,-12.2828,0.2182825,0,0,0,-13.15265,15.26195,5.788678,4.525608,15.08034
0,PM,ELU1,84,0.1191667,0.9846146,0.08155546,True,1,0.0002668754,-3.7777,0.3170631,0.5678416,0.0327,0,-4.37776,-33.71563,0.0760728,0.9111668,0.7231833,0,-33.17423,15.12899,5.994269,4.298714,14.99682
0,PM,R,84,0.1191667,0.8593854,0.4244667,True,0.9575,0.1394875,-7.480049,0.02779167,0.9722083,0.9722083,0,-8.104786,-10.82463,0.1155,0.8845,0.8845,0,-11.89859,8.078664,4.953425,31.57662,7.810082
0,PM,GELU,84,0.1191667,0.1170833,2.297482,True,0.1191667,2.297188,-7.000196,0.04257922,0.9091083,0.6722249,0.8376999,-8.451931,-77.48013,-6.202438e-17,1,1,0.003091667,-63.30999,12.40025,14.45592,27.74303,12.14825
0,PM,SILU,84,0.1191667,0.4109479,1.787772,True,0.685,0.9965938,-7.928184,0.04291768,0.8264834,0.02989167,0.9252083,-8.745936,-24.84356,0.0006327616,0.97475,0.5223417,0.9895333,-24.58407,14.94183,13.28721,38.79964,14.76517
1,RL,LR,84,0.1166667,0.4936354,1.553685,True,0.755,0.7899148,-11.87276,0.125395,0,0,0,-11.70015,-8.752605,0.1225675,0,0,0,-8.805557,31.52016,4.361698,4.740796,31.10848
1,RL,ELU1,84,0.1166667,0.1027187,2.31982,True,0.1166667,2.304822,-1.046374,0.3027134,0.6604334,0.1906833,0,-10.19398,-183.4316,3.106609e-11,1,0.9999917,0,-184.49,13.23728,4.06051,3.760598,12.99164
1,RL,R,84,0.1166667,0.11475,2.299302,True,0.1166667,2.298542,-5.871558,0,1,1,0,-6.65449,-0.2616176,0,1,1,0,-0.004888603,3.085286,2.350704,6.040824,3.001943
1,RL,GELU,84,0.1166667,0.1895417,2.105831,True,0.22,1.958332,-21.69754,0.000155562,0.9974167,0.9807083,0.2138833,-21.28216,-0.1274698,0.424981,0.01528333,0.003658333,0.01966667,-0.1042117,17.91689,28.49772,9.472324,17.83016
1,RL,SILU,84,0.1166667,0.1149792,2.306852,True,0.1166667,2.298004,-30.36858,0.04081107,0.9576083,0.86665,0.9546499,-38.87919,-96.90099,-8.517888e-07,0.9999917,0.9978333,0.51285,-93.18452,19.75743,15.62343,93.9604,19.10229
1,PM,LR,84,0.1141667,0.9740521,0.1198012,True,1,0.0005830113,-11.39511,0.176035,0,0,0,-10.11236,-18.22397,0.1454275,0,0,0,-18.57485,16.27823,5.987405,4.408277,15.93228
1,PM,ELU1,84,0.1141667,0.979875,0.09527791,True,1,0.0002817933,-3.81652,0.3370957,0.5636917,0.04334167,0,-4.793231,-35.6113,0.06978354,0.91795,0.7529501,0,-33.94052,15.79103,6.003373,3.948934,15.65239
1,PM,R,84,0.1141667,0.9175937,0.2732127,True,0.9866667,0.04820652,-6.941378,0.039925,0.9600751,0.9600751,0,-7.555923,-19.51693,0.049975,0.9500251,0.9500251,0,-17.83142,8.537078,4.71523,26.7772,8.293325
1,PM,GELU,84,0.1141667,0.7878958,0.7092085,True,0.9683334,0.1128573,-8.654875,0.01157942,0.9518834,0.7118416,0.8663,-8.39485,-15.85821,0.04945512,0.8048918,0.579525,0.5637833,-10.37279,12.72687,19.66001,23.24891,12.60826
1,PM,SILU,84,0.1141667,0.9575729,0.1901478,True,1,0.001234029,-10.58944,-0.005080178,0.9046667,0.0436,0.9809582,-9.900364,-0.3970143,0.3691353,0.111825,0,0.1886667,-0.3238088,13.56528,12.85764,10.92538,13.33947
2,RL,LR,84,0.1158333,0.4685313,1.590552,True,0.7291667,0.8197024,-11.41323,0.12571,0,0,0,-11.3939,-8.555909,0.12106,0,0,0,-8.393983,31.6737,4.366905,4.717779,31.30646
2,RL,ELU1,84,0.1158333,0.09869792,2.322644,True,0.1075,2.318526,-3.622577,0.2692186,0.6863667,0.2353,0,-10.47201,-160.2948,2.018208e-09,1,0.9999583,0,-156.4317,14.52543,4.569273,4.052425,14.3103
2,RL,R,84,0.1158333,0.1144687,2.300359,True,0.1158333,2.299603,-5.874896,0,1,1,0,-6.683026,-0.2040938,0,1,1,0,-0.00363094,3.18394,2.36093,5.199898,3.106436
2,RL,GELU,84,0.1158333,0.1927292,2.086025,True,0.2325,1.939606,-20.68283,9.755444e-05,0.9971916,0.9770584,0.2399417,-20.38292,-0.0710745,0.4599499,0.01190833,0.00285,0.01446667,-0.06019463,18.04222,28.61023,8.619565,17.95377
