arm,cond,seed,slot,lr,task,iv,online_acc,memo_acc,acc,dead_frac_l1,zeroout_l1,zbar_l1,zsd_l1,zbar_min_l1,mob_l1,eff_rank_l1,dead_frac_l2,zeroout_l2,zbar_l2,zsd_l2,zbar_min_l2,mob_l2,eff_rank_l2,w_norm_l1,w_norm_l2,w_norm_l3,steps,stop_step,tc,hit99,hit999,acc_at_hit_plus_500,min_correct_after_hit
LR,std,0,0,0.001,38,none,0.923984375,1,1,0,0,-4.713552952,27.45333862,-13.07279491,0.4780001342,78.09556926,0,0,-29.48691559,27.23131752,-51.35433578,0.2027499825,81.04467288,8.710699081,1.463779449,0.6190337539,800,800,37400,200,300,1200,1200
LR,std,0,0,0.001,39,none,0.92203125,1,1,0,0,-4.473696232,27.73094177,-15.25755215,0.4780001044,79.08802985,0,0,-30.57093811,27.58157349,-42.68405533,0.2019999772,79.25009312,8.778727531,1.477058172,0.6086429954,800,800,38200,200,300,1200,1200
LR,std,0,0,0.001,40,none,0.926484375,1,1,0,0,-5.141918182,27.7186985,-13.11478043,0.4795001447,79.00377574,0,0,-28.90225029,27.73077583,-47.43317795,0.1944999695,81.30117784,8.86654377,1.474558711,0.612129271,800,800,39000,200,300,1200,1200
LR,std,0,0,0.001,41,none,0.9334722222,1,1,0,0,-4.356940269,27.6974926,-14.75049019,0.4817501009,79.29108279,0,0,-29.33632851,27.72015572,-46.19483948,0.2132499814,80.40512287,8.956043243,1.484844565,0.6138560772,900,900,39900,300,400,1200,1200
LR,std,0,0,0.001,42,none,0.92703125,1,1,0,0,-5.334941864,28.20670128,-14.75586414,0.4735001624,78.79217405,0,0,-29.24651718,28.2405262,-52.81668854,0.1997499615,81.16616869,9.045038223,1.489279628,0.6138489246,800,800,40700,300,300,1200,1198
LR,std,0,0,0.001,43,none,0.9311111111,1,1,0,0,-4.512904644,27.68105507,-13.70286179,0.473500073,79.2514563,0,0,-29.46270943,28.52911377,-47.4239006,0.206499964,80.05513951,9.137277603,1.503878713,0.6082368493,900,900,41600,200,400,1200,1200
LR,std,0,0,0.001,44,none,0.925546875,1,1,0,0,-5.199015617,28.23951149,-12.94947433,0.4772500694,78.86700305,0,0,-28.98677444,28.31987762,-50.22835541,0.2109999955,81.98852244,9.176633835,1.490363717,0.5934473872,800,800,42400,200,300,1200,1200
LR,std,0,0,0.001,45,none,0.927890625,1,1,0,0,-4.969202995,27.98836136,-14.93156433,0.4757501483,79.54973727,0,0,-29.30900383,28.68849182,-47.90977859,0.2034999728,80.2925104,9.280410767,1.495591879,0.5830715299,800,800,43200,200,300,1200,1200
LR,std,0,0,0.001,46,none,0.92578125,1,1,0,0,-5.1599226,28.34587669,-13.98900795,0.4772500694,79.0322053,0,0,-30.76050186,28.377388,-50.47008514,0.2199999541,82.32831788,9.323853493,1.493399262,0.5972954035,800,800,44000,300,300,1200,1200
LR,std,0,0,0.001,47,none,0.923671875,1,1,0,0,-4.627962589,28.55225372,-13.44623566,0.4787501097,79.47306541,0,0,-31.89887428,28.71153641,-49.84082413,0.1989999712,79.72321622,9.473367691,1.501327872,0.5858561397,800,800,44800,300,300,1200,1200
LR,std,0,0,0.001,48,none,0.9299305556,1,1,0,0,-4.965630054,28.79112434,-14.79006386,0.4720000923,79.135653,0,0,-29.77772141,28.80795097,-52.39358902,0.2094999701,81.97200489,9.522953033,1.500657439,0.5888343453,900,900,45700,400,400,1200,1200
LR,std,0,0,0.001,49,none,0.929375,1,1,0,0,-4.568472862,29.6648674,-14.06212234,0.4772500694,79.23957871,0,0,-31.91039085,29.59265709,-51.59951782,0.1922499686,79.02029946,9.647099495,1.510583758,0.581299603,800,800,46500,200,300,1200,1200
LR,std,0,0,0.001,50,none,0.92984375,1,1,0,0,-5.493542671,29.55490494,-14.1438055,0.4727500975,79.34773245,0,0,-30.27328873,29.10002899,-53.27032089,0.2057499737,81.4866062,9.667089462,1.511333227,0.5768070817,800,800,47300,200,300,1200,1200
