arm,iv,seed,step,pos,neg,l2,pre,actual,rounding
SNA,l2,1,1,-0.013349391469326509,0.005475928728081456,1.3860956992516268e-05,-4.025677743454927e-05,-0.007899859064323021,-5.026359345274315e-10
SNA,l2,1,5,-0.10821262568818932,0.03782811052669702,0.00018491002406975662,-0.00016939080188776455,-0.0703689981548793,-2.2155689983331712e-09
SNA,l2,1,10,-0.22062645623489396,0.06784694202951641,0.0006384050805221905,-0.00027339953737131196,-0.1524145060018518,2.6603748789864484e-09
SNA,l2,1,20,-0.3007629253678593,0.07995107849773866,0.0022251975264004653,-0.0003879062023655304,-0.2189745345156634,2.1030422243903878e-08
SNA,l2,2,1,-0.014922877644346619,0.00492288686990474,1.4517532406443663e-05,-2.6129516301772152e-05,-0.010011603316863179,-5.585259678062305e-10
SNA,l2,2,5,-0.11017786230815702,0.03164981238481932,0.00019997453350401864,-0.00014084359196463856,-0.07846892044956279,-1.4677644799938822e-09
SNA,l2,2,10,-0.21237006829584149,0.055470064054031064,0.0006879495171334144,-0.0002474919972486252,-0.15645954274534352,3.976582110375804e-09
SNA,l2,2,20,-0.27363289398571033,0.06209984332821712,0.002351141857228362,-0.0003496537459318657,-0.20953153936188618,2.318431054860753e-08
LR,none,0,1,-0.011855203554299342,0.005306400232273933,0.0,0.00020135913154509683,-0.006347444527483667,-3.3700335442595095e-10
LR,none,0,5,-0.10084393651504024,0.05017355579843471,0.0,0.0007978755143050889,-0.04987250586189231,-6.59591854848081e-10
LR,none,0,10,-0.20648227214189882,0.10566423431504954,0.0,0.0012320845738715165,-0.09958595102986073,2.2231170558881962e-09
LR,none,0,20,-0.3207251493140022,0.12418208389498368,0.0,0.001617726186236739,-0.194925322368739,1.6864042801734732e-08
LR,none,1,1,-0.011930804797818361,0.004922749150111598,0.0,-0.00021871688900167077,-0.007226772763772004,-2.2706356743498809e-10
LR,none,1,5,-0.10672884110535537,0.05930791163609479,0.0,-0.0008893724060866112,-0.048310302690048317,-8.147011189841577e-10
LR,none,1,10,-0.22202800709073703,0.1352256416445193,0.0,-0.0014131092735548227,-0.08821547232336836,2.396404221753695e-09
LR,none,1,20,-0.33546051069698163,0.1761648705952001,0.0,-0.001913955126393572,-0.1612095813094038,1.3918771289561135e-08
LR,none,2,1,-0.011256862877171842,0.006268941754652397,0.0,-1.9829124342523422e-06,-0.004989904535565744,-5.006120480501737e-10
LR,none,2,5,-0.09440949597386285,0.051008986909782915,0.0,-2.8307485411755457e-05,-0.043428818147076574,-1.5975849104946157e-09
LR,none,2,10,-0.20318769605320114,0.11640544733993263,0.0,-5.962314242029646e-05,-0.08684187031228209,1.5434067254226892e-09
LR,none,2,20,-0.3250657891252334,0.16699751171883562,0.0,-9.294815265749834e-05,-0.15816121186027945,1.3698775844692925e-08
LR,l2,0,1,-0.014820673473736362,0.0008826389525609842,2.3440306116883353e-05,0.00025600198822162357,-0.01365859322326788,-9.964310112211022e-10
LR,l2,0,5,-0.11787124483087799,0.004447376690537127,0.00032536696858973327,0.0010047954088150902,-0.11209370897619166,-3.213255625622069e-09
LR,l2,0,10,-0.22730495525815,0.0075305287657882235,0.0011458740680584578,0.001540697441056859,-0.21708785071461226,4.268634205233576e-09
LR,l2,0,20,-0.28367264274357035,-0.001845449169926384,0.00397965446140903,0.0020199040675970732,-0.27951850241891907,3.096557152945445e-08
LR,l2,1,1,-0.014862070360135348,0.0014648888842080366,2.187868695083035e-05,0.00011463641289179056,-0.013260667163136224,-7.870515328640853e-10
LR,l2,1,5,-0.12543386122068528,0.01075144211275816,0.000301754668529657,0.000459725811336479,-0.11392094154836528,-2.9203042715453534e-09
LR,l2,1,10,-0.24606118341772557,0.016565389115278505,0.001059449902615066,0.0007240170723034993,-0.22771232293796084,4.389567639044039e-09
LR,l2,1,20,-0.28253996148492116,0.007580110160250779,0.0037153430070319773,0.0009486655147822788,-0.27029581117727175,3.162558439250216e-08
LR,l2,2,1,-0.016019410041912752,0.0009071831690681702,2.141288376298859e-05,0.00015880660969341026,-0.014932008530570856,-1.1511826682896244e-09
LR,l2,2,5,-0.12768860944450808,0.005071776249843436,0.0003119900140865036,0.0005925618581983582,-0.1217122846194131,-3.297033296240767e-09
LR,l2,2,10,-0.24177152646969713,0.01171180074606395,0.0011212775275079823,0.0008998463450917856,-0.228038597575148,4.275885415890087e-09
LR,l2,2,20,-0.29647532955599787,0.00599829177890493,0.003952892881071251,0.0011834995190850915,-0.2853406148819973,3.049493930175965e-08
