seed,env,checkpoint,layer,branch,task,step,ce,acc,online_ce,online_acc
0,PM,50,1,C5,51,1500,0.0043706330470740795,1.0,0.19230057299137115,0.9543333053588867
0,PM,50,1,D5,51,1500,0.0043706330470740795,1.0,0.19230057299137115,0.9543333053588867
0,PM,50,1,C10,51,1500,0.0043706330470740795,1.0,0.19230057299137115,0.9543333053588867
0,PM,50,1,D10,51,1500,0.0043706330470740795,1.0,0.19230057299137115,0.9543333053588867
0,PM,50,1,RB20,51,1500,0.0043706330470740795,1.0,0.19230057299137115,0.9543333053588867
0,PM,50,1,RC20,51,1500,0.0043706330470740795,1.0,0.19230057299137115,0.9543333053588867
0,PM,50,1,RD20,51,1500,0.0043706330470740795,1.0,0.19230057299137115,0.9543333053588867
1,PM,50,1,A,51,1500,0.004344348330050707,1.0,0.20223964750766754,0.9565833210945129
1,PM,50,1,B20,51,1500,0.004344348330050707,1.0,0.20223964750766754,0.9565833210945129
1,PM,50,1,C20,51,1500,0.004344348330050707,1.0,0.20223964750766754,0.9565833210945129
1,PM,50,1,D20,51,1500,0.004344348330050707,1.0,0.20223964750766754,0.9565833210945129
1,PM,50,1,C5,51,1500,0.004344348330050707,1.0,0.20223964750766754,0.9565833210945129
1,PM,50,1,D5,51,1500,0.004344348330050707,1.0,0.20223964750766754,0.9565833210945129
1,PM,50,1,C10,51,1500,0.004344348330050707,1.0,0.20223964750766754,0.9565833210945129
1,PM,50,1,D10,51,1500,0.004344348330050707,1.0,0.20223964750766754,0.9565833210945129
1,PM,50,1,RB20,51,1500,0.004344348330050707,1.0,0.20223964750766754,0.9565833210945129
1,PM,50,1,RC20,51,1500,0.004344348330050707,1.0,0.20223964750766754,0.9565833210945129
1,PM,50,1,RD20,51,1500,0.004344348330050707,1.0,0.20223964750766754,0.9565833210945129
2,PM,50,1,A,51,1500,0.005434402730315924,1.0,0.23750989139080048,0.9462916851043701
2,PM,50,1,B20,51,1500,0.005434402730315924,1.0,0.23750989139080048,0.9462916851043701
2,PM,50,1,C20,51,1500,0.005434402730315924,1.0,0.23750989139080048,0.9462916851043701
2,PM,50,1,D20,51,1500,0.005434402730315924,1.0,0.23750989139080048,0.9462916851043701
2,PM,50,1,C5,51,1500,0.005434402730315924,1.0,0.23750989139080048,0.9462916851043701
2,PM,50,1,D5,51,1500,0.005434402730315924,1.0,0.23750989139080048,0.9462916851043701
2,PM,50,1,C10,51,1500,0.005434402730315924,1.0,0.23750989139080048,0.9462916851043701
2,PM,50,1,D10,51,1500,0.005434402730315924,1.0,0.23750989139080048,0.9462916851043701
