arm,task,unit,m0,dm,cnorm0,fossil,zbar0,pos0,dep_task,align_task,dnorm2,cos_task,gpos,gneg,dm20,dm100,gpos20,gneg20,split_identity
R,21,57,0.0381485873311954,0.0023834911439827933,4.117556681211153,1.0869353046292791,4.2530982432811255,1.0,1.1675176072508968,-0.6712132069692025,0.49630440028169787,-0.07543261991652543,-0.0110602073147465,0.0,-0.007696813288299494,-0.0029602784009045784,0.05983497177576758,0.0,9.270362255620057e-15
R,21,58,-0.028293789214200973,0.0,3.227601438406704,0.5800962452690487,-3.049306788517538,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,9.270362255620057e-15
R,21,59,0.0066716018461322945,0.0009185218448655347,3.7669511982687944,0.7157428798581622,0.9488334307382376,0.873046875,1.2899934646412545,-0.5817306878145448,0.7082627768267127,-0.06798423735524936,-0.023512540554291583,0.0,-0.0011955597341400382,0.00029153043493463396,0.02226394767355914,0.0,9.270362255620057e-15
R,21,60,-0.026545467332912916,0.0,1.6572028389964406,0.18400633154656246,-2.7688813179754606,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,9.270362255620057e-15
R,21,61,-0.03769603399984348,0.0,3.1302737984372344,1.0106017717692901,-4.506389421830687,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,9.270362255620057e-15
R,21,62,-0.026039311601491543,-0.0018289614543539993,3.387535880366972,0.5792449575381575,-3.215469486987972,0.0,0.027148115121071733,-0.031851278597794325,-0.004703163476726502,-0.02853271708321435,0.0013754057223249528,0.0,-0.0005412523446930395,-0.0006170039744166409,0.0,0.0,9.270362255620057e-15
R,21,63,-0.03628305070235781,0.012739504941014355,3.095387744307925,0.7033013120278593,-3.049795852398434,0.009765625,1.7778678257755602,0.12896883374648493,1.9068366595220425,0.015623919149116965,-0.025770204798710238,0.0,0.00013901430711670476,0.006857286899132155,-0.00034405217781559137,0.0,9.270362255620057e-15
R,21,64,-0.015254818903875795,-0.011377301319206293,3.57193201822447,0.7702928687002405,-0.7030796334178542,0.265625,0.24997653299027883,-0.23662103399257048,0.013355498997704274,-0.06624766068988908,0.055835644117840526,0.0,-0.009414859323961924,-0.010819233808879098,0.05397407297718737,0.0,9.270362255620057e-15
R,21,65,-0.02131152455867592,0.0,2.0053942981387727,0.27939952875548024,-2.6655840881967814,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,9.270362255620057e-15
R,21,66,-0.01606691137865301,-0.002754498963654162,3.3631517312376613,0.45625357348470347,-2.2236309208832066,0.0,0.07543758331449554,0.01015396203743087,0.08559154535192626,0.00549623375341064,0.012111937444457366,0.0,0.00022009917569337223,0.000727886519670466,0.0,0.0,9.270362255620057e-15
