run_id,ckpt,neuron,w_norm,snr_i,cos_intra,cos_inter,E_adelta,sign_v,cov_norm,cov_proj
B_w100_K10000_c0.0_lr0.01_b32_s0,0,19,1.214938998222351,0.073741614818573,0.0,-0.049142252653837204,0.03914858028292656,1.0,0.3074733018875122,-0.015175111591815948
B_w100_K10000_c0.0_lr0.01_b32_s0,0,20,1.348097562789917,0.07943558692932129,0.0,-0.0532902367413044,0.10388127714395523,1.0,0.33520764112472534,-0.01831478625535965
B_w100_K10000_c0.0_lr0.01_b32_s0,0,21,1.5109686851501465,0.08029486984014511,0.0,-0.08815955370664597,0.08926445245742798,1.0,0.33978310227394104,-0.030220117419958115
B_w100_K10000_c0.0_lr0.01_b32_s0,0,22,1.5328612327575684,0.07711564749479294,0.0,0.12470421940088272,-0.1517479419708252,-1.0,0.3263612389564514,-0.04006452113389969
B_w100_K10000_c0.0_lr0.01_b32_s0,0,23,1.3856663703918457,0.08018124103546143,0.0,-0.12041910737752914,-0.057522453367710114,1.0,0.3438487648963928,-0.04109363630414009
B_w100_K10000_c0.0_lr0.01_b32_s0,0,24,1.359415054321289,0.07901769876480103,0.0,0.038944777101278305,0.06408911943435669,-1.0,0.3306248188018799,-0.013249987736344337
B_w100_K10000_c0.0_lr0.01_b32_s0,0,25,1.5982568264007568,0.08039520680904388,0.0,0.1354064792394638,-0.14745686948299408,-1.0,0.3380972146987915,-0.04531334713101387
B_w100_K10000_c0.0_lr0.01_b32_s0,0,26,1.3966459035873413,0.07885885238647461,0.0,-0.05439741164445877,0.06725368648767471,1.0,0.3336884379386902,-0.01844148337841034
B_w100_K10000_c0.0_lr0.01_b32_s0,0,27,1.4662402868270874,0.08084981143474579,0.0,0.06119690090417862,-0.08626008778810501,-1.0,0.3458113670349121,-0.02081609144806862
B_w100_K10000_c0.0_lr0.01_b32_s0,0,28,1.7116926908493042,0.07564852386713028,0.0,0.06587503850460052,-0.07137080281972885,-1.0,0.3167422413825989,-0.020665351301431656
B_w100_K10000_c0.0_lr0.01_b32_s0,0,29,1.3722190856933594,0.07786554098129272,0.0,0.09405408054590225,-0.15090826153755188,-1.0,0.323598712682724,-0.029790231958031654
B_w100_K10000_c0.0_lr0.01_b32_s0,0,30,1.2965999841690063,0.07509726285934448,0.0,-0.08815130591392517,-0.008998806588351727,1.0,0.30866655707359314,-0.02710578218102455
B_w100_K10000_c0.0_lr0.01_b32_s0,0,31,1.519333004951477,0.07517825067043304,0.0,-0.0692366436123848,0.06796301901340485,1.0,0.31464865803718567,-0.021947894245386124
B_w100_K10000_c0.0_lr0.01_b32_s0,0,32,1.5213265419006348,0.07451210916042328,0.0,0.04491201415657997,-0.06623876094818115,-1.0,0.3113881051540375,-0.013685987330973148
B_w100_K10000_c0.0_lr0.01_b32_s0,0,33,1.1949347257614136,0.07629316300153732,0.0,-0.05016152933239937,0.049256786704063416,1.0,0.32260948419570923,-0.016398275271058083
B_w100_K10000_c0.0_lr0.01_b32_s0,0,34,1.623055338859558,0.07132574915885925,0.0,0.04228648543357849,0.016669059172272682,-1.0,0.28812506794929504,-0.01233489066362381
