run_id,ckpt,M,n_periods,noise_floor,snr_all,snr_W,snr_b,snr_v,snr_c
B_w5_K10000_c0.0_lr0.01_bfull_s2,100000,500000,50.0,0.001414213445968926,0.15648113191127777,0.0838230773806572,0.18533959984779358,0.23492352664470673,0.1746257096529007
B_w5_K10000_c0.0_lr0.01_bfull_s3,100000,500000,50.0,0.001414213445968926,0.19444143772125244,0.07470874488353729,0.20592565834522247,0.23404879868030548,0.11695833504199982
B_w5_K10000_c0.0_lr0.01_bfull_s4,100000,500000,50.0,0.001414213445968926,0.17004002630710602,0.0909091904759407,0.20919090509414673,0.2427029311656952,0.07706742733716965
B_w5_K10000_c2.0_lr0.01_bfull_s0,100000,500000,50.0,0.001414213445968926,0.4066530764102936,0.2913121283054352,0.8235666155815125,0.6126030087471008,0.8529349565505981
B_w5_K10000_c2.0_lr0.01_bfull_s1,100000,500000,50.0,0.001414213445968926,0.3604259788990021,0.23493355512619019,0.5390418767929077,0.4856153428554535,0.5191641449928284
B_w5_K10000_c2.0_lr0.01_bfull_s2,100000,500000,50.0,0.001414213445968926,0.21344800293445587,0.13399049639701843,0.2535458207130432,0.22663630545139313,0.24968667328357697
B_w5_K10000_c2.0_lr0.01_bfull_s3,100000,500000,50.0,0.001414213445968926,0.3026685416698456,0.18595248460769653,0.48634156584739685,0.40079569816589355,0.6131709814071655
B_w5_K10000_c2.0_lr0.01_bfull_s4,100000,500000,50.0,0.001414213445968926,0.19949431717395782,0.12817957997322083,0.2582426965236664,0.27675652503967285,0.1456596851348877
B_w5_K10000_c0.0_lr0.01_bfull_s0,300000,500000,50.0,0.001414213445968926,0.22246719896793365,0.10139039158821106,0.4241722524166107,0.332335501909256,0.4897119104862213
B_w5_K10000_c0.0_lr0.01_bfull_s1,300000,500000,50.0,0.001414213445968926,0.17896173894405365,0.1074993759393692,0.3872407078742981,0.36034512519836426,0.4050445854663849
B_w5_K10000_c0.0_lr0.01_bfull_s2,300000,500000,50.0,0.001414213445968926,0.16267740726470947,0.09452933073043823,0.2600121796131134,0.2246331423521042,0.1696116030216217
B_w5_K10000_c0.0_lr0.01_bfull_s3,300000,500000,50.0,0.001414213445968926,0.20118530094623566,0.10958736389875412,0.38437697291374207,0.392281711101532,0.39693930745124817
B_w5_K10000_c0.0_lr0.01_bfull_s4,300000,500000,50.0,0.001414213445968926,0.146593376994133,0.08782149106264114,0.1841869205236435,0.21990707516670227,0.07684709876775742
B_w5_K10000_c2.0_lr0.01_bfull_s0,300000,500000,50.0,0.001414213445968926,0.13396912813186646,0.12222272157669067,0.14364466071128845,0.20524360239505768,0.1479787826538086
B_w5_K10000_c2.0_lr0.01_bfull_s1,300000,500000,50.0,0.001414213445968926,0.11033480614423752,0.08546590805053711,0.1834331899881363,0.13089661300182343,0.0702260434627533
B_w5_K10000_c2.0_lr0.01_bfull_s2,300000,500000,50.0,0.001414213445968926,0.13436251878738403,0.10464707762002945,0.259564608335495,0.15901201963424683,0.1692143827676773
B_w5_K10000_c2.0_lr0.01_bfull_s3,300000,500000,50.0,0.001414213445968926,0.18752405047416687,0.16033056378364563,0.3904973268508911,0.26803842186927795,0.41337358951568604
B_w5_K10000_c2.0_lr0.01_bfull_s4,300000,500000,50.0,0.001414213445968926,0.16783568263053894,0.14661023020744324,0.3197663724422455,0.17772264778614044,0.2126050442457199
B_w5_K10000_c0.0_lr0.01_bfull_s0,1000000,500000,50.0,0.001414213445968926,0.11391474306583405,0.0761786550283432,0.1304522305727005,0.15957559645175934,0.09909363090991974
B_w5_K10000_c0.0_lr0.01_bfull_s1,1000000,500000,50.0,0.001414213445968926,0.1716415137052536,0.0897991880774498,0.38303428888320923,0.3626883029937744,0.3830608129501343
B_w5_K10000_c0.0_lr0.01_bfull_s2,1000000,500000,50.0,0.001414213445968926,0.11091384291648865,0.1112128347158432,0.04835844412446022,0.12693241238594055,0.018346203491091728
B_w5_K10000_c0.0_lr0.01_bfull_s3,1000000,500000,50.0,0.001414213445968926,0.15239271521568298,0.08011839538812637,0.34389740228652954,0.3177795112133026,0.344089537858963
B_w5_K10000_c0.0_lr0.01_bfull_s4,1000000,500000,50.0,0.001414213445968926,0.12167729437351227,0.11986025422811508,0.14858168363571167,0.12117474526166916,0.1543121486902237
B_w5_K10000_c2.0_lr0.01_bfull_s0,1000000,500000,50.0,0.001414213445968926,0.21542377769947052,0.16761018335819244,0.39837178587913513,0.34841129183769226,0.3946600556373596
B_w5_K10000_c2.0_lr0.01_bfull_s1,1000000,500000,50.0,0.001414213445968926,0.18348582088947296,0.11025021225214005,0.17960305511951447,0.27066975831985474,0.02533591166138649
B_w5_K10000_c2.0_lr0.01_bfull_s2,1000000,500000,50.0,0.001414213445968926,0.16765759885311127,0.13849478960037231,0.23029698431491852,0.2416505366563797,0.20132626593112946
B_w5_K10000_c2.0_lr0.01_bfull_s3,1000000,500000,50.0,0.001414213445968926,0.37391072511672974,0.2900207042694092,0.9143490791320801,0.6942307353019714,0.9514904022216797
B_w5_K10000_c2.0_lr0.01_bfull_s4,1000000,500000,50.0,0.001414213445968926,0.15638113021850586,0.11252522468566895,0.20228950679302216,0.2423209398984909,0.04115595668554306
