arm,iv,seed,task,window,diag_net,diag_U,diag_D,diag_frozenD,diag_sgd,train_current,train_history,train_actual
SNA,none,0,24,w2_5,-0.005433790498990098,0.1228343470743866,0.12826813757337652,-0.006447574825418001,-0.0006635082660762186,-0.0072608192837556,-0.0404319691677469,-0.0476927846084419
SNA,none,0,24,w6_10,-0.013744086060297499,0.1071068045459211,0.12085089060621869,-0.0169733876732819,-0.000830773273062684,-0.012931356041626901,-0.0499259091736872,-0.0628572603148909
SNA,none,0,24,w11_20,-0.012888534800113,0.17254465435359218,0.1854331891537056,-0.018113077666755496,-0.0007241081224663612,-0.015678182366640703,-0.1768157811427337,-0.19249396975983132
SNA,none,0,24,w21_30,0.017899453579137196,0.14190604692856,0.1240065933494222,0.0257596182411506,0.001079316090886163,0.01831004572283048,0.004152764687515997,0.0224628118597088
SNA,none,0,24,w31_40,0.013921369944766199,0.11819079100646161,0.10426942106169469,0.019747825771096905,0.0005713124722757874,0.0035635675351301,0.022675285335010297,0.026238852321554904
SNA,none,0,25,w1,-0.002663201839668,0.0393215650765627,0.0419847669162307,-0.002663201839668,-0.0001534796084295,-0.0115967905880651,0.0007731272788484,-0.0108236639681316
SNA,none,0,25,w2_5,-0.0022826799304243002,0.1330050266504214,0.13528770658084582,-0.0030066036059547,-0.0002534841057027754,0.006728359903342199,-0.0236936875851784,-0.0169653256126005
SNA,none,0,25,w6_10,-0.0034583883182716,0.1277244433820883,0.13118283170036021,-0.0053296414989915,-0.00034970474962409923,-0.008755910079965701,-0.0170656895893027,-0.0258216020556473
SNA,none,0,25,w11_20,-0.0030395731145134,0.1737919232653158,0.17683149637982967,-0.004049010711416099,-0.0001664685924172262,0.0002650419584823998,-0.043067363678179,-0.042802315751528146
SNA,none,0,25,w21_30,0.001525611216505015,0.13528469309780608,0.1337590818813012,0.0008616077068140278,1.7782470944606554e-05,-0.006228287988083599,-0.07494049493347821,-0.08116878940144649
SNA,none,0,25,w31_40,0.0036478017459154613,0.12095509075596171,0.1173072890100458,0.0046081892514621735,0.0001393525180910026,-0.004341654965683801,-0.010878482398485486,-0.015220148694336282
SNA,none,0,26,w1,-0.007776419554692,0.0399982531467128,0.0477746727014048,-0.007776419554692,-0.0004378767133229,-0.0067797467338594,0.0011499498489435,-0.0056297966369057
SNA,none,0,26,w2_5,2.813446414170009e-05,0.12720599771427069,0.127177863250129,-0.0015797189376412998,-0.00021404888092285495,-0.010134707426411099,-0.039448927462762504,-0.0495836286920371
SNA,none,0,26,w6_10,-0.0056671612711674,0.11268107010357299,0.11834823137474042,-0.0074022108207311005,-0.00045945040399945214,0.0034892671921839,-0.0336847100421471,-0.0301954429630509
SNA,none,0,26,w11_20,-0.018362251236575502,0.1777084087510837,0.1960706599876598,-0.023477137529549098,-0.0010318487561326957,-0.017314839612553735,-0.0546651608835818,-0.0719799971872069
SNA,none,0,26,w21_30,0.004864493060245414,0.13842548158152593,0.1335609885212801,0.006737197395329699,0.00030791082669706123,0.0122795781813159,-0.02752891389308,-0.015249328359327699
SNA,none,0,26,w31_40,0.0032390462933593995,0.1174444964607154,0.1142054501673558,0.0053490139738086,0.00018044913137116962,0.005015385727277327,0.0044936042132017,0.0095089900924549
SNA,none,0,27,w1,-0.00074464265448,0.0364327806255733,0.0371774232800533,-0.00074464265448,-5.083088730806845e-05,-0.0028968566520579,0.0003341986968383,-0.0025626556340278
