arm,mode,seed,task,step,global_step,window_start,window_steps,loss,acc,advantage,confidence,online_acc_window,initial_positive_count,observed,down,up,net,conf,hist,label,correction,roundoff,conf_common,correction_common,zmean_l1,zsd_l1,outputsd_l1,gain_l1,ppos_l1,dead_l1,output_sd_ratio_l1,output_sd_ratio_n_l1,eff_rank_l1,zmean_l2,zsd_l2,outputsd_l2,gain_l2,ppos_l2,dead_l2,output_sd_ratio_l2,output_sd_ratio_n_l2,eff_rank_l2
ELU,early,1005,1,150,150,75,75,2.381335497,0.1083333343,0.05225120112,2.433586597,0.1083333343,3581,True,15.09188938,60.3702507,45.27835083,-35.07410049,0,3.635559082,76.71690369,4.291534424e-06,-3.757683754,8.918692589,15.28828812,4.286981106,4.286981106,1,0.7900916934,0,32.59032822,100,,-10.07956123,2.78128624,0.006562755909,4.384659042e-05,0.1099916622,0,0.09395475686,100,
ELU,early,1001,1,300,300,150,150,2.337576866,0.1150000021,0.03524334729,2.372820377,0.1170833334,3285,True,18.54541397,71.66330719,53.11788559,-30.37434387,0,4.532872677,78.95933533,9.655952454e-06,-2.649999619,10.51225758,21.4618969,5.628923893,5.628923893,1,0.720025003,0,42.27889252,100,,-13.93061924,3.619828224,0.001064878772,1.168211043e-06,0.03009166569,0,0.01764187589,100,
ELU,early,1002,1,300,300,150,150,2.325988054,0.1108333394,0.07576268911,2.401751041,0.1174999997,2812,True,27.14425278,83.42593384,56.28165436,-31.66928673,0,-9.697972298,97.64889526,1.007318497e-05,-3.953852654,13.49792957,19.96327782,5.442632198,5.442632198,1,0.8206250072,0,41.27641678,100,,-12.77207565,3.407942772,0.01351846475,0.0001830016699,0.06975832582,0,0.202948153,100,
ELU,early,1003,1,300,300,150,150,2.305283785,0.1083333343,0.00966278743,2.314946413,0.08708333224,3529,True,12.86263084,50.72427368,37.86161423,-6.148077965,0,-3.839824438,47.84953308,5.370937288e-06,-1.182683468,6.203151226,17.615242,4.543444157,4.543444157,1,0.750008285,0,37.15205383,100,,-13.91850948,3.552310228,0.001420256682,2.043834684e-06,0.009850000031,0,0.01914996281,100,
ELU,early,1004,1,300,300,150,150,2.302802801,0.1166666672,0.009939019568,2.312741756,0.1095833331,2895,True,17.34929085,67.11380768,49.76454163,-15.61097813,0,-1.555008769,66.93051147,7.696449757e-06,-2.488010168,9.604063034,23.50303841,6.34743166,6.34743166,1,0.824000001,0,49.20970535,100,,-13.76600647,3.725236177,0.004829142708,2.345021312e-05,0.009816667065,0,0.08036886901,100,
ELU,early,1005,1,300,300,150,150,2.350814342,0.09833333641,0.009101903997,2.35991621,0.1166666672,3581,True,24.20792389,88.35336304,64.14543152,-22.10855484,0,-3.999102592,90.25309753,9.045004845e-06,-2.864183426,10.84864426,24.7795639,6.766888142,6.766888142,1,0.820200026,0,51.21769714,100,,-15.61771965,4.503471851,0.001815935015,3.30959233e-06,0.02587500028,0,0.02889918163,100,
ELU,early,1001,1,750,750,300,450,2.31287837,0.1150000021,0.01172672026,2.324605465,0.1065277755,3285,True,22.78456879,67.53004456,44.74551392,-21.37556458,0,1.960847735,64.16020203,5.427515134e-06,-2.206469297,8.93875885,28.08824921,7.668108463,7.668108463,1,0.7600333095,0,59.40198135,100,,-21.04276085,5.365422249,0.0001244250598,1.559185669e-08,0,0.02999999933,0.002161100507,100,
ELU,early,1002,1,750,750,300,450,2.308025837,0.113333337,0.003332431428,2.311358213,0.1034722254,2812,True,31.0142498,114.5040665,83.48976135,-23.48799706,0,-0.1101598665,107.0879211,1.487880945e-05,-3.396350622,15.32009029,32.11096573,8.77909565,8.77909565,1,0.8700749874,0,64.545578,100,,-25.63566971,6.625380993,0.006445097271,4.15742943e-05,2.499999937e-05,0,0.09348072112,100,
ELU,early,1003,1,750,750,300,450,2.32017231,0.1000000015,0.005991799291,2.326164246,0.09763889015,3529,True,10.19619751,59.43608475,49.23991776,-13.42285633,0,2.883164644,59.77959442,8.172821254e-06,-1.618603349,8.157168388,25.01995468,6.752105713,6.752105713,1,0.7901666164,0,52.32486725,100,,-20.26898193,5.15498209,0.0002845327836,8.171727472e-08,0,0.01999999955,0.004170333035,100,
ELU,early,1004,1,750,750,300,450,2.314480543,0.1066666692,0.01282148436,2.327301979,0.1009722203,2895,True,14.13626671,74.18533325,60.04909134,-16.67871094,0,5.221372604,71.50642395,8.927774616e-06,-1.778315306,9.269808769,30.59285927,8.278496742,8.278496742,1,0.8499999642,0,67.73870087,100,,-22.69473457,5.928006649,0.001598915667,2.560054781e-06,0,0,0.02649451979,100,
